# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  34               1.64846411E-01   4.44891004E+02   8.38279741E-01   1.60502925E-01   6.31093241E-04   3.89773708E-04   1.05330204E-04   2.28975554E-23   5.79700031E-05   2.29872660E-05  
  35               1.91045433E-01   4.59762746E+02   8.38279518E-01   1.60502690E-01   6.31093916E-04   3.89774124E-04   1.05330316E-04   1.44284132E-22   5.79700648E-05   2.29872323E-05  
  36               2.21148080E-01   4.76190770E+02   8.38276773E-01   1.60502124E-01   6.31095499E-04   3.89775102E-04   1.05330581E-04   9.68093299E-22   5.79702100E-05   2.29871512E-05  
  37               2.55652253E-01   4.93797724E+02   8.38277607E-01   1.60501293E-01   6.31094404E-04   3.89774426E-04   1.05330398E-04   6.47895969E-21   5.79701091E-05   2.29870321E-05  
  38               2.95079372E-01   5.13514440E+02   8.38278622E-01   1.60500276E-01   6.31095185E-04   3.89774908E-04   1.05330528E-04   4.68636932E-20   5.79701806E-05   2.29868865E-05  
  39               3.40020544E-01   5.34326847E+02   8.38280115E-01   1.60498696E-01   6.31141538E-04   3.89803536E-04   1.05338265E-04   3.23005804E-19   5.79744380E-05   2.29866603E-05  
  40               3.91114940E-01   5.58696867E+02   8.38282665E-01   1.60496152E-01   6.31138403E-04   3.89801601E-04   1.05337742E-04   2.59911243E-18   5.79741498E-05   2.29862959E-05  
  41               4.49164667E-01   5.80726951E+02   8.38285152E-01   1.60493672E-01   6.31135123E-04   3.89799575E-04   1.05337194E-04   1.45819610E-17   5.79738481E-05   2.29859407E-05  
  42               5.15059611E-01   6.06623834E+02   8.38288287E-01   1.60490546E-01   6.31130771E-04   3.89796887E-04   1.05336468E-04   9.50790261E-17   5.79734480E-05   2.29854929E-05  
  43               5.89752828E-01   6.29952704E+02   8.38290725E-01   1.60488114E-01   6.31127555E-04   3.89794901E-04   1.05335931E-04   4.46737922E-16   5.79731521E-05   2.29851447E-05  
  44               6.74392431E-01   6.57460309E+02   8.38293383E-01   1.60485462E-01   6.31124245E-04   3.89792856E-04   1.05335379E-04   2.42400476E-15   5.79728475E-05   2.29847648E-05  
  45               7.70286191E-01   6.82185786E+02   8.38295215E-01   1.60483628E-01   6.31122540E-04   3.89791804E-04   1.05335094E-04   9.77111654E-15   5.79726903E-05   2.29845022E-05  
  46               8.78799145E-01   7.11423099E+02   8.38297099E-01   1.60481733E-01   6.31121186E-04   3.89790968E-04   1.05334869E-04   4.51831188E-14   5.79725653E-05   2.29842307E-05  
  47               1.00144028E+00   7.37595694E+02   8.38298290E-01   1.60480486E-01   6.31121388E-04   3.89791092E-04   1.05334902E-04   1.58980589E-13   5.79725830E-05   2.29840521E-05  
  48               1.13979372E+00   7.68587177E+02   8.38299389E-01   1.60479185E-01   6.31122238E-04   3.89791617E-04   1.05335044E-04   6.36322044E-13   5.79726602E-05   2.29838656E-05  
  49               1.29581934E+00   7.96207673E+02   8.38299975E-01   1.60478334E-01   6.31128052E-04   3.89795208E-04   1.05336015E-04   1.98031757E-12   5.79731933E-05   2.29837434E-05  
  50               1.47177807E+00   8.29037387E+02   8.38300811E-01   1.60477483E-01   6.31131146E-04   3.89797119E-04   1.05336532E-04   6.97540964E-12   5.79734764E-05   2.29836206E-05  
  51               1.66995379E+00   8.58175021E+02   8.38301320E-01   1.60476932E-01   6.31137252E-04   3.89800891E-04   1.05337553E-04   1.94801135E-11   5.79740361E-05   2.29895253E-05  
  52               1.89274718E+00   8.92848971E+02   8.38301857E-01   1.60476300E-01   6.31140395E-04   3.89802832E-04   1.05338087E-04   6.10919611E-11   5.79743234E-05   2.30106614E-05  
  53               2.14276584E+00   9.23421623E+02   8.38302065E-01   1.60475808E-01   6.31144317E-04   3.89805254E-04   1.05338794E-04   1.54329007E-10   5.79746822E-05   2.30638445E-05  
  54               2.42283216E+00   9.59867650E+02   8.38302068E-01   1.60475046E-01   6.31149647E-04   3.89808547E-04   1.05339925E-04   4.34854869E-10   5.79751704E-05   2.32466961E-05  
  55               2.73643998E+00   9.91811308E+02   8.38301491E-01   1.60474177E-01   6.31159537E-04   3.89814653E-04   1.05342736E-04   1.00265669E-09   5.79760775E-05   2.36518277E-05  
  56               3.08723597E+00   1.03004707E+03   8.38301699E-01   1.60472678E-01   6.31175386E-04   3.89824431E-04   1.05350062E-04   2.56753736E-09   5.79775333E-05   2.42875415E-05  
  57               3.47908950E+00   1.06333250E+03   8.38303489E-01   1.60470874E-01   6.31175344E-04   3.89824297E-04   1.05369752E-04   5.45431166E-09   5.79775406E-05   2.42871771E-05  
  58               3.91654731E+00   1.10333721E+03   8.38307202E-01   1.60467098E-01   6.31170757E-04   3.89820764E-04   1.05439836E-04   1.28130303E-08   5.79772004E-05   2.42864178E-05  
  59               4.40482758E+00   1.13797315E+03   8.38311705E-01   1.60462351E-01   6.31158877E-04   3.89808352E-04   1.05696502E-04   2.53110842E-08   5.79767085E-05   2.42854404E-05  
