# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.71112121E+02   8.38545323E-01   1.60548927E-01   1.10308463E-37   5.19888667E-04   2.73637003E-04   6.04184227E-05   0.00000000E+00   2.29943572E-05  
  2                9.92416619E-05   3.21335571E+02   8.38552982E-01   1.60541181E-01   1.28105030E-31   5.19877658E-04   2.73631227E-04   6.04170290E-05   0.00000000E+00   2.29932478E-05  
  3                1.95797105E-04   3.43319574E+02   8.38557297E-01   1.60536868E-01   1.70272166E-29   5.19877278E-04   2.73631073E-04   6.04166986E-05   0.00000000E+00   2.29926301E-05  
  4                3.05259933E-04   3.56053573E+02   8.38558614E-01   1.60535555E-01   2.10165940E-28   5.19874957E-04   2.73629895E-04   6.04161621E-05   0.00000000E+00   2.29924420E-05  
  5                4.30850867E-04   3.67730079E+02   8.38559993E-01   1.60534181E-01   1.84072619E-27   5.19872954E-04   2.73628883E-04   6.04156690E-05   0.00000000E+00   2.29922452E-05  
  6                5.75592323E-04   3.76482659E+02   8.38560564E-01   1.60533612E-01   8.38399853E-27   5.19871857E-04   2.73628345E-04   6.04152940E-05   0.00000000E+00   2.29921637E-05  
  7                7.42789131E-04   3.86184608E+02   8.38561057E-01   1.60532562E-01   4.26248809E-26   5.19870421E-04   2.73627628E-04   6.04148892E-05   0.00000000E+00   2.29920133E-05  
  8                9.36157712E-04   3.93933956E+02   8.38561543E-01   1.60532078E-01   1.44853164E-25   5.19869214E-04   2.73627030E-04   6.04145184E-05   0.00000000E+00   2.29919440E-05  
  9                1.16000347E-03   4.02888454E+02   8.38562293E-01   1.60531330E-01   5.73595246E-25   5.19868083E-04   2.73626471E-04   6.04141611E-05   0.00000000E+00   2.29918368E-05  
  10               1.41929704E-03   4.10065381E+02   8.38562613E-01   1.60531012E-01   1.62533924E-24   5.19865734E-04   2.73625270E-04   6.04136655E-05   0.00000000E+00   2.29917914E-05  
  11               1.71977522E-03   4.18771099E+02   8.38563173E-01   1.60530383E-01   5.60247534E-24   5.19905035E-04   2.73645991E-04   6.04180115E-05   0.00000000E+00   2.29917012E-05  
  12               2.06802042E-03   4.26023396E+02   8.38563452E-01   1.60530082E-01   1.48874193E-23   5.19905076E-04   2.73646048E-04   6.04177956E-05   0.00000000E+00   2.29916581E-05  
