# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  1                1.00000000E-05   5.76141602E+01   8.38172161E-01   1.60482649E-01   7.43757603E-04   4.96965830E-04   1.08433895E-05   3.16333962E-109  5.51509457E-05   2.29853570E-05  
  2                2.16486427E-04   7.50119655E+01   8.38172161E-01   1.60482649E-01   7.43757636E-04   4.96965852E-04   1.08433901E-05   6.79877211E-110  5.51509475E-05   2.29853570E-05  
  3                4.46904077E-04   8.86032489E+01   8.38172161E-01   1.60482649E-01   7.43757646E-04   4.96965859E-04   1.08433903E-05   4.73193382E-110  5.51509476E-05   2.29853570E-05  
  4                7.00267493E-04   9.67833050E+01   8.38169901E-01   1.60482216E-01   7.43757651E-04   4.96965862E-04   1.08433904E-05   3.78018163E-110  5.51509477E-05   2.29852950E-05  
  5                9.87041234E-04   1.05204229E+02   8.38158678E-01   1.60480067E-01   7.43749641E-04   4.96960511E-04   1.08432736E-05   1.25673305E-104  5.51503538E-05   2.29849872E-05  
  6                1.31508095E-03   1.11386780E+02   8.38086549E-01   1.60466257E-01   7.43693128E-04   4.96922750E-04   1.08424497E-05   1.01592418E-98   5.51461632E-05   2.29830092E-05  
  7                1.69269126E-03   1.18866799E+02   8.38172026E-01   1.60482623E-01   7.43848370E-04   4.97026479E-04   1.08447130E-05   2.22019979E-92   5.51576745E-05   2.29853533E-05  
  8                2.12885132E-03   1.24486274E+02   8.38172026E-01   1.60482623E-01   7.43848281E-04   4.97026420E-04   1.08447117E-05   3.94428399E-88   5.51576679E-05   2.29853533E-05  
  9                2.63361803E-03   1.31750805E+02   8.38172027E-01   1.60482623E-01   7.43847741E-04   4.97026059E-04   1.08447039E-05   3.67619755E-83   5.51576278E-05   2.29853533E-05  
  10               3.21854514E-03   1.37237524E+02   8.38172023E-01   1.60482623E-01   7.43848389E-04   4.97026492E-04   1.08447133E-05   9.09613918E-80   5.51576757E-05   2.29853532E-05  
  11               3.89723070E-03   1.44575055E+02   8.38172017E-01   1.60482622E-01   7.43848393E-04   4.97026495E-04   1.08447134E-05   1.27926394E-75   5.51576760E-05   2.29853531E-05  
  12               4.68537575E-03   1.50138292E+02   8.38171970E-01   1.60482612E-01   7.43848395E-04   4.97026497E-04   1.08447134E-05   9.35911855E-73   5.51576761E-05   2.29853518E-05  
  13               5.60111794E-03   1.57782680E+02   8.38171868E-01   1.60482593E-01   7.43848190E-04   4.97026359E-04   1.08447104E-05   3.89032084E-69   5.51576607E-05   2.29853490E-05  
  14               6.66569137E-03   1.63620026E+02   8.38171179E-01   1.60482461E-01   7.43848602E-04   4.97026635E-04   1.08447164E-05   1.30495775E-66   5.51576912E-05   2.29853301E-05  
  15               7.90430839E-03   1.71538180E+02   8.38170057E-01   1.60482246E-01   7.43846223E-04   4.97025045E-04   1.08446818E-05   1.89523494E-63   5.51575147E-05   2.29852993E-05  
  16               9.34583393E-03   1.77590569E+02   8.38144381E-01   1.60477330E-01   7.43851136E-04   4.97028328E-04   1.08447534E-05   3.12405316E-61   5.51578789E-05   2.29845952E-05  
  17               1.10234926E-02   1.85791246E+02   8.38172026E-01   1.60482623E-01   7.43848533E-04   4.97026589E-04   1.08447155E-05   1.89944067E-58   5.51576857E-05   2.29853533E-05  
  18               1.29748564E-02   1.92243543E+02   8.38096160E-01   1.60468097E-01   7.43875870E-04   4.97044855E-04   1.08451141E-05   1.96409006E-56   5.51597127E-05   2.29832728E-05  
  19               1.52435297E-02   2.01079063E+02   8.37622680E-01   1.60377441E-01   7.43864011E-04   4.97036931E-04   1.08449412E-05   7.11718486E-54   5.51588331E-05   2.29702885E-05  
  20               1.78797232E-02   2.07921164E+02   8.38171854E-01   1.60482590E-01   7.43963898E-04   4.97103674E-04   1.08463975E-05   4.74376599E-52   5.51662398E-05   2.29853486E-05  
  21               2.09427444E-02   2.16913778E+02   8.38171154E-01   1.60482456E-01   7.44434704E-04   4.97418258E-04   1.08532614E-05   8.05571296E-50   5.52011507E-05   2.29853294E-05  
  22               2.45014630E-02   2.23841751E+02   8.38171155E-01   1.60482456E-01   7.44434034E-04   4.97417811E-04   1.08532517E-05   3.11033646E-48   5.52011008E-05   2.29853294E-05  
  23               2.86356286E-02   2.32688189E+02   8.38171154E-01   1.60482456E-01   7.44434712E-04   4.97418264E-04   1.08532616E-05   2.44751393E-46   5.52011509E-05   2.29853294E-05  
  24               3.34395264E-02   2.39430042E+02   8.38171160E-01   1.60482457E-01   7.44430535E-04   4.97415473E-04   1.08532007E-05   5.37415443E-45   5.52008409E-05   2.29853296E-05  
  25               3.90214535E-02   2.48147040E+02   8.38171154E-01   1.60482456E-01   7.44434748E-04   4.97418288E-04   1.08532622E-05   2.31514097E-43   5.52011530E-05   2.29853294E-05  
  26               4.55045084E-02   2.54980710E+02   8.38171154E-01   1.60482456E-01   7.44434734E-04   4.97418279E-04   1.08532620E-05   3.62421530E-42   5.52011518E-05   2.29853294E-05  
  27               5.30353022E-02   2.63906768E+02   8.38171154E-01   1.60482456E-01   7.44434766E-04   4.97418300E-04   1.08532625E-05   1.08279164E-40   5.52011538E-05   2.29853294E-05  
  28               6.17807141E-02   2.71018674E+02   8.38171154E-01   1.60482456E-01   7.44434770E-04   4.97418303E-04   1.08532626E-05   1.35682126E-39   5.52011538E-05   2.29853294E-05  
  29               7.19344981E-02   2.80228220E+02   8.38171154E-01   1.60482456E-01   7.44434773E-04   4.97418306E-04   1.08532627E-05   3.01471989E-38   5.52011538E-05   2.29853294E-05  
  30               8.37176281E-02   2.87792140E+02   8.38171154E-01   1.60482456E-01   7.44434777E-04   4.97418309E-04   1.08532627E-05   3.26396106E-37   5.52011539E-05   2.29853294E-05  
  31               9.73870952E-02   2.97574877E+02   8.38171154E-01   1.60482456E-01   7.44434782E-04   4.97418312E-04   1.08532628E-05   6.04391497E-36   5.52011539E-05   2.29853294E-05  
  32               1.13235793E-01   3.05922649E+02   8.38171154E-01   1.60482456E-01   7.44434787E-04   4.97418315E-04   1.08532629E-05   6.20520807E-35   5.52011539E-05   2.29853294E-05  
  33               1.31601760E-01   3.16620644E+02   8.38171154E-01   1.60482456E-01   7.44434792E-04   4.97418318E-04   1.08532631E-05   1.04262088E-33   5.52011539E-05   2.29853294E-05  
