# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   2.44322158E+01   8.38109161E-01   1.60470387E-01   7.77884864E-04   5.29679304E-04   5.85408752E-05   2.69881832E-05   2.29833235E-05   0.00000000E+00  
  2                2.70880716E-05   2.94232944E+01   8.38109161E-01   1.60470387E-01   7.77884793E-04   5.29679255E-04   5.85407863E-05   2.69882929E-05   2.29833235E-05   0.00000000E+00  
  3                4.71564926E-05   3.14053765E+01   8.38109161E-01   1.60470387E-01   7.77884756E-04   5.29679230E-04   5.85407382E-05   2.69883523E-05   2.29833235E-05   0.00000000E+00  
  4                7.07237772E-05   3.34008554E+01   8.38109161E-01   1.60470387E-01   7.77884730E-04   5.29679212E-04   5.85407056E-05   2.69883926E-05   2.29833235E-05   0.00000000E+00  
  5                9.83975672E-05   3.44745318E+01   8.38109161E-01   1.60470387E-01   7.77884710E-04   5.29679198E-04   5.85406799E-05   2.69884243E-05   2.29833235E-05   0.00000000E+00  
  6                1.30892028E-04   3.60443990E+01   8.38109161E-01   1.60470387E-01   7.77884693E-04   5.29679186E-04   5.85406572E-05   2.69884525E-05   2.29833235E-05   0.00000000E+00  
  7                1.69042838E-04   3.69045990E+01   8.38109161E-01   1.60470387E-01   7.77884678E-04   5.29679176E-04   5.85406370E-05   2.69884775E-05   2.29833235E-05   0.00000000E+00  
  8                2.13831041E-04   3.83616303E+01   8.38109161E-01   1.60470387E-01   7.77884664E-04   5.29679166E-04   5.85406182E-05   2.69885009E-05   2.29833235E-05   0.00000000E+00  
  9                2.66407393E-04   3.91352749E+01   8.38109161E-01   1.60470387E-01   7.77884652E-04   5.29679158E-04   5.85406002E-05   2.69885234E-05   2.29833235E-05   0.00000000E+00  
  10               3.28117268E-04   4.05811148E+01   8.38109161E-01   1.60470387E-01   7.77884640E-04   5.29679149E-04   5.85405826E-05   2.69885453E-05   2.29833235E-05   0.00000000E+00  
  11               4.00538242E-04   4.13483889E+01   8.38109161E-01   1.60470387E-01   7.77884628E-04   5.29679141E-04   5.85405654E-05   2.69885669E-05   2.29833235E-05   0.00000000E+00  
  12               4.85521882E-04   4.28114172E+01   8.38109161E-01   1.60470387E-01   7.77884617E-04   5.29679134E-04   5.85405482E-05   2.69885884E-05   2.29833235E-05   0.00000000E+00  
  13               5.85230409E-04   4.35940563E+01   8.38109161E-01   1.60470387E-01   7.77884606E-04   5.29679126E-04   5.85405309E-05   2.69886101E-05   2.29833235E-05   0.00000000E+00  
  14               7.02187600E-04   4.51435999E+01   8.38109161E-01   1.60470387E-01   7.77884595E-04   5.29679118E-04   5.85405134E-05   2.69886320E-05   2.29833235E-05   0.00000000E+00  
  15               8.39357264E-04   4.59927253E+01   8.38109161E-01   1.60470387E-01   7.77884584E-04   5.29679111E-04   5.85404957E-05   2.69886544E-05   2.29833235E-05   0.00000000E+00  
  16               1.00020551E-03   4.76432205E+01   8.38109161E-01   1.60470387E-01   7.77884573E-04   5.29679103E-04   5.85404775E-05   2.69886772E-05   2.29833235E-05   0.00000000E+00  
  17               1.18876846E-03   4.85817132E+01   8.38109161E-01   1.60470387E-01   7.77884561E-04   5.29679095E-04   5.85404588E-05   2.69887007E-05   2.29833235E-05   0.00000000E+00  
  18               1.40974095E-03   5.03836287E+01   8.38109161E-01   1.60470387E-01   7.77884550E-04   5.29679087E-04   5.85404396E-05   2.69887250E-05   2.29833235E-05   0.00000000E+00  
  19               1.66863220E-03   5.14344766E+01   8.38109161E-01   1.60470387E-01   7.77884538E-04   5.29679079E-04   5.85404197E-05   2.69887501E-05   2.29833235E-05   0.00000000E+00  
  20               1.97187455E-03   5.33727871E+01   8.38109161E-01   1.60470387E-01   7.77884527E-04   5.29679071E-04   5.85403989E-05   2.69887763E-05   2.29833235E-05   0.00000000E+00  
  21               2.32692135E-03   5.45303646E+01   8.38109161E-01   1.60470387E-01   7.77884514E-04   5.29679062E-04   5.85403773E-05   2.69888037E-05   2.29833235E-05   0.00000000E+00  
  22               2.74239104E-03   5.66561350E+01   8.38109161E-01   1.60470387E-01   7.77884501E-04   5.29679053E-04   5.85403546E-05   2.69888324E-05   2.29833235E-05   0.00000000E+00  
  23               3.22832820E-03   5.79615995E+01   8.38109161E-01   1.60470387E-01   7.77884488E-04   5.29679044E-04   5.85403309E-05   2.69888623E-05   2.29833235E-05   0.00000000E+00  
  24               3.79650008E-03   6.02954202E+01   8.38109161E-01   1.60470387E-01   7.77884474E-04   5.29679035E-04   5.85403061E-05   2.69888937E-05   2.29833235E-05   0.00000000E+00  
  25               4.46044635E-03   6.17901157E+01   8.38109161E-01   1.60470387E-01   7.77884460E-04   5.29679025E-04   5.85402801E-05   2.69889267E-05   2.29833235E-05   0.00000000E+00  
  26               5.23568945E-03   6.44822194E+01   8.38109161E-01   1.60470387E-01   7.77884445E-04   5.29679014E-04   5.85402524E-05   2.69889618E-05   2.29833235E-05   0.00000000E+00  
  27               6.14002591E-03   6.63861547E+01   8.38109161E-01   1.60470387E-01   7.77884429E-04   5.29679003E-04   5.85402227E-05   2.69889994E-05   2.29833235E-05   0.00000000E+00  
  28               7.19431537E-03   6.96533825E+01   8.38109161E-01   1.60470387E-01   7.77884411E-04   5.29678991E-04   5.85401906E-05   2.69890402E-05   2.29833235E-05   0.00000000E+00  
  29               8.42209627E-03   7.24728368E+01   8.38109161E-01   1.60470387E-01   7.77884393E-04   5.29678978E-04   5.85401554E-05   2.69890848E-05   2.29833235E-05   0.00000000E+00  
  30               9.84444722E-03   7.61530394E+01   8.38109161E-01   1.60470387E-01   7.77884372E-04   5.29678964E-04   5.85401169E-05   2.69891338E-05   2.29833235E-05   0.00000000E+00  
  31               1.14829026E-02   7.99064881E+01   8.38109161E-01   1.60470387E-01   7.77884350E-04   5.29678948E-04   5.85400744E-05   2.69891878E-05   2.29833235E-05   0.00000000E+00  
  32               1.33653899E-02   8.38523519E+01   8.38109161E-01   1.60470387E-01   7.77884326E-04   5.29678932E-04   5.85400283E-05   2.69892464E-05   2.29833235E-05   0.00000000E+00  
  33               1.55279973E-02   8.78754418E+01   8.38109161E-01   1.60470387E-01   7.77884304E-04   5.29678916E-04   5.85399840E-05   2.69893027E-05   2.29833235E-05   0.00000000E+00  
  34               1.80155280E-02   9.21216238E+01   8.38109161E-01   1.60470387E-01   7.77884285E-04   5.29678903E-04   5.85399468E-05   2.69893501E-05   2.29833235E-05   0.00000000E+00  
  35               2.08798236E-02   9.64679895E+01   8.38109162E-01   1.60470387E-01   7.77884269E-04   5.29678892E-04   5.85399158E-05   2.69893895E-05   2.29833235E-05   0.00000000E+00  
  36               2.41806413E-02   1.01071723E+02   8.38109064E-01   1.60470369E-01   7.77884257E-04   5.29678883E-04   5.85398925E-05   2.69894191E-05   2.29833208E-05   8.85645403E-17  
  37               2.79865454E-02   1.05794790E+02   8.38108730E-01   1.60470305E-01   7.77884339E-04   5.29678939E-04   5.85398823E-05   2.69894440E-05   2.29833117E-05   1.01280156E-15  
  38               3.23771355E-02   1.10807687E+02   8.38107472E-01   1.60470064E-01   7.77884734E-04   5.29679208E-04   5.85399006E-05   2.69894729E-05   2.29832772E-05   9.77955901E-15  
  39               3.74451003E-02   1.15958805E+02   8.38102748E-01   1.60469159E-01   7.77886175E-04   5.29680189E-04   5.85399967E-05   2.69895395E-05   2.29831476E-05   8.88278455E-14  
  40               4.32977557E-02   1.21434502E+02   8.38086589E-01   1.60466065E-01   7.77891727E-04   5.29683969E-04   5.85404010E-05   2.69897502E-05   2.29827045E-05   7.25274317E-13  
  41               5.00583151E-02   1.27173381E+02   8.38038280E-01   1.60456816E-01   7.77911048E-04   5.29697126E-04   5.85418403E-05   2.69904404E-05   2.29813798E-05   5.55185027E-12  
  42               5.78672922E-02   1.33276604E+02   8.38109031E-01   1.60470362E-01   7.77970789E-04   5.29737804E-04   5.85463196E-05   2.69925352E-05   2.29833200E-05   3.80601084E-11  
  43               6.68867645E-02   1.39654319E+02   8.38109143E-01   1.60470384E-01   7.77896120E-04   5.29686960E-04   5.85406821E-05   2.69899691E-05   2.29833230E-05   2.44440542E-10  
  44               7.73057584E-02   1.46418582E+02   8.38109017E-01   1.60470360E-01   7.77979540E-04   5.29743763E-04   5.85469392E-05   2.69928912E-05   2.29833196E-05   1.41049735E-09  
  45               8.93445558E-02   1.53475411E+02   8.38109013E-01   1.60470359E-01   7.77978970E-04   5.29743374E-04   5.85468729E-05   2.69929027E-05   2.29833194E-05   7.49906159E-09  
  46               1.03256367E-01   1.60883362E+02   8.38108988E-01   1.60470354E-01   7.77979643E-04   5.29743832E-04   5.85468970E-05   2.69929618E-05   2.29833188E-05   3.63274715E-08  
