# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.01277696E+02   8.38159156E-01   1.60480162E-01   7.52204788E-04   5.04474862E-04   8.45810253E-108  9.05314989E-06   5.36852930E-05   2.29825922E-05  
  2                3.04315272E-05   1.15340380E+02   8.38159156E-01   1.60480162E-01   7.52204787E-04   5.04474862E-04   2.03033990E-94   9.05314988E-06   5.36852930E-05   2.29825922E-05  
  3                5.46362782E-05   1.25721793E+02   8.38159147E-01   1.60480160E-01   7.52204748E-04   5.04474836E-04   1.92815172E-86   9.05314941E-06   5.36852902E-05   2.29825919E-05  
  4                8.36457629E-05   1.36146538E+02   8.38158930E-01   1.60480119E-01   7.52204176E-04   5.04474452E-04   1.23041214E-79   9.05314253E-06   5.36852494E-05   2.29825860E-05  
  5                1.18469594E-04   1.47860343E+02   8.38156992E-01   1.60479747E-01   7.52199200E-04   5.04471115E-04   4.04533697E-73   9.05308264E-06   5.36848942E-05   2.29825328E-05  
  6                1.60409563E-04   1.57879333E+02   8.38146471E-01   1.60477733E-01   7.52177640E-04   5.04456655E-04   2.54377093E-68   9.05282316E-06   5.36833555E-05   2.29822443E-05  
  7                2.11197233E-04   1.66974181E+02   8.38127837E-01   1.60474165E-01   7.52132064E-04   5.04426089E-04   1.80813207E-64   9.05227462E-06   5.36801026E-05   2.29817334E-05  
  8                2.73019286E-04   1.73504786E+02   8.38074747E-01   1.60464000E-01   7.51787275E-04   5.04194852E-04   5.72618920E-62   9.04812492E-06   5.36554949E-05   2.29802776E-05  
  9                3.48546667E-04   1.80038535E+02   8.37634724E-01   1.60379750E-01   7.52323456E-04   5.04554448E-04   1.19451900E-59   9.05457813E-06   5.36937624E-05   2.29682121E-05  
  10               4.40971034E-04   1.85069046E+02   8.38158274E-01   1.60479993E-01   7.52797838E-04   5.04872598E-04   5.48803619E-58   9.06028754E-06   5.37276193E-05   2.29825680E-05  
  11               5.54125095E-04   1.90957554E+02   8.38158274E-01   1.60479993E-01   7.52797858E-04   5.04872611E-04   3.80670962E-56   9.06028778E-06   5.37276207E-05   2.29825680E-05  
