# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  34               7.12914180E-02   5.87730931E+02   8.38369850E-01   1.60491182E-01   6.29612387E-17   5.36056483E-04   2.10333964E-04   2.98495341E-04   5.87503763E-05   2.29862449E-05  
  35               8.68241061E-02   6.00429581E+02   8.38369957E-01   1.60491076E-01   1.47713963E-16   5.36056448E-04   2.10333950E-04   2.98495321E-04   5.87503763E-05   2.29862297E-05  
  36               1.05611499E-01   6.13430670E+02   8.38370052E-01   1.60490981E-01   3.40643791E-16   5.36056426E-04   2.10333941E-04   2.98495309E-04   5.87503778E-05   2.29862161E-05  
  37               1.28290550E-01   6.28134549E+02   8.38370225E-01   1.60490807E-01   8.48238132E-16   5.36056281E-04   2.10333884E-04   2.98495228E-04   5.87503661E-05   2.29861912E-05  
  38               1.55630088E-01   6.43185764E+02   8.38370379E-01   1.60490652E-01   2.06442775E-15   5.36056181E-04   2.10333845E-04   2.98495172E-04   5.87503594E-05   2.29861690E-05  
  39               1.88537018E-01   6.60106307E+02   8.38370593E-01   1.60490432E-01   5.38830681E-15   5.36055976E-04   2.10333765E-04   2.98495058E-04   5.87503413E-05   2.29861375E-05  
  40               2.28064433E-01   6.77649302E+02   8.38370792E-01   1.60490228E-01   1.38463951E-14   5.36055884E-04   2.10333728E-04   2.98495006E-04   5.87503357E-05   2.29861083E-05  
  41               2.75446470E-01   6.97339311E+02   8.38371015E-01   1.60489968E-01   3.80182444E-14   5.36055663E-04   2.10333641E-04   2.98494883E-04   5.87503163E-05   2.29860710E-05  
  42               3.32093032E-01   7.17898433E+02   8.38371221E-01   1.60489726E-01   1.02892320E-13   5.36056007E-04   2.10333776E-04   2.98495075E-04   5.87503589E-05   2.29860364E-05  
  43               3.99595005E-01   7.40800695E+02   8.38371346E-01   1.60489430E-01   2.94102113E-13   5.36056056E-04   2.10333795E-04   2.98495102E-04   5.87503694E-05   2.29859939E-05  
  44               4.79737714E-01   7.64836184E+02   8.38371530E-01   1.60489168E-01   8.27960701E-13   5.36058719E-04   2.10334840E-04   2.98496584E-04   5.87506666E-05   2.29859562E-05  
  45               5.74700411E-01   7.91564682E+02   8.38371631E-01   1.60488862E-01   2.44495335E-12   5.36059185E-04   2.10335023E-04   2.98496844E-04   5.87507233E-05   2.29859119E-05  
  46               6.87018853E-01   8.19764814E+02   8.38371879E-01   1.60488597E-01   7.10221776E-12   5.36061703E-04   2.10336011E-04   2.98498246E-04   5.87510052E-05   2.29866527E-05  
  47               8.19460114E-01   8.50887134E+02   8.38372149E-01   1.60488288E-01   2.13207373E-11   5.36061417E-04   2.10335899E-04   2.98498086E-04   5.87509798E-05   2.29949978E-05  
  48               9.75032892E-01   8.83640718E+02   8.38372391E-01   1.60487910E-01   6.23691698E-11   5.36061232E-04   2.10335829E-04   2.98497984E-04   5.87509659E-05   2.30213692E-05  
  49               1.15704830E+00   9.19341082E+02   8.38372562E-01   1.60487293E-01   1.84762486E-10   5.36061511E-04   2.10335953E-04   2.98498138E-04   5.87510030E-05   2.31111076E-05  
  50               1.36901372E+00   9.56551018E+02   8.38372269E-01   1.60486155E-01   5.25354478E-10   5.36063725E-04   2.10336918E-04   2.98499371E-04   5.87512525E-05   2.33927378E-05  
  51               1.61526719E+00   9.96454756E+02   8.38372509E-01   1.60484134E-01   1.47974778E-09   5.36076239E-04   2.10342402E-04   2.98506337E-04   5.87526314E-05   2.42893101E-05  
  52               1.90070486E+00   1.03737166E+03   8.38376037E-01   1.60480640E-01   3.93110952E-09   5.36070095E-04   2.10343300E-04   2.98502891E-04   5.87519686E-05   2.42886881E-05  
  53               2.23127568E+00   1.08028089E+03   8.38382506E-01   1.60474190E-01   1.01112590E-08   5.36058852E-04   2.10356565E-04   2.98496350E-04   5.87507801E-05   2.42875308E-05  
  54               2.61354388E+00   1.12354144E+03   8.38392769E-01   1.60463881E-01   2.42798021E-08   5.36038785E-04   2.10436924E-04   2.98482366E-04   5.87489487E-05   2.42856463E-05  
  55               3.05509189E+00   1.16812967E+03   8.38407728E-01   1.60448621E-01   5.58632308E-08   5.35988309E-04   2.10813041E-04   2.98430728E-04   5.87464042E-05   2.42827651E-05  
  56               3.56536209E+00   1.21263290E+03   8.38425750E-01   1.60429516E-01   1.20219553E-07   5.35773240E-04   2.12324255E-04   2.98143452E-04   5.87437348E-05   2.42789398E-05  
  57               4.15648629E+00   1.25835472E+03   8.38445489E-01   1.60407155E-01   2.49150610E-07   5.34691080E-04   2.17420897E-04   2.96593539E-04   5.87419678E-05   2.42740318E-05  
