# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  34               9.10426705E-02   5.78908936E+02   8.38500377E-01   1.60518641E-01   2.80824514E-17   4.42610721E-04   3.40482444E-04   1.04791953E-04   5.99940651E-05   2.29906136E-05  
  35               1.05489990E-01   5.96420969E+02   8.38501297E-01   1.60517722E-01   9.96941180E-17   4.42609926E-04   3.40481831E-04   1.04791765E-04   5.99939048E-05   2.29904821E-05  
  36               1.22054907E-01   6.15363872E+02   8.38502147E-01   1.60516874E-01   3.62894081E-16   4.42609125E-04   3.40481214E-04   1.04791576E-04   5.99937407E-05   2.29903605E-05  
  37               1.40996668E-01   6.35994357E+02   8.38502926E-01   1.60516096E-01   1.36210231E-15   4.42608546E-04   3.40480769E-04   1.04791439E-04   5.99936039E-05   2.29902491E-05  
  38               1.62618457E-01   6.58396471E+02   8.38503618E-01   1.60515400E-01   5.22856521E-15   4.42608082E-04   3.40480412E-04   1.04791329E-04   5.99934794E-05   2.29901495E-05  
  39               1.87241494E-01   6.82871978E+02   8.38504219E-01   1.60514782E-01   2.06122795E-14   4.42607924E-04   3.40480289E-04   1.04791292E-04   5.99933932E-05   2.29900609E-05  
  40               2.15189620E-01   7.09548267E+02   8.38504690E-01   1.60514236E-01   8.27622477E-14   4.42610567E-04   3.40482322E-04   1.04791918E-04   5.99936837E-05   2.29899826E-05  
  41               2.46768983E-01   7.39585379E+02   8.38504997E-01   1.60513721E-01   3.52906629E-13   4.42611043E-04   3.40482687E-04   1.04792031E-04   5.99936770E-05   2.29899087E-05  
  42               2.82328520E-01   7.69177643E+02   8.38505160E-01   1.60513320E-01   1.31322591E-12   4.42613390E-04   3.40484492E-04   1.04792587E-04   5.99939208E-05   2.29898510E-05  
  43               3.22366397E-01   8.00593070E+02   8.38505499E-01   1.60512970E-01   4.76839256E-12   4.42613442E-04   3.40484531E-04   1.04792599E-04   5.99938502E-05   2.29897999E-05  
  44               3.67456580E-01   8.31597878E+02   8.38505846E-01   1.60512581E-01   1.54138542E-11   4.42613580E-04   3.40484637E-04   1.04792632E-04   5.99937883E-05   2.29977369E-05  
  45               4.18169432E-01   8.64537013E+02   8.38506364E-01   1.60511919E-01   4.89270177E-11   4.42613879E-04   3.40484867E-04   1.04792703E-04   5.99937454E-05   2.30259588E-05  
  46               4.75092582E-01   8.96990015E+02   8.38507141E-01   1.60510684E-01   1.39991201E-10   4.42614913E-04   3.40485661E-04   1.04792948E-04   5.99937992E-05   2.31151353E-05  
  47               5.38812858E-01   9.31356415E+02   8.38508374E-01   1.60507980E-01   3.93742290E-10   4.42625821E-04   3.40494047E-04   1.04795530E-04   5.99951880E-05   2.34008920E-05  
  48               6.10040837E-01   9.65142088E+02   8.38511470E-01   1.60503152E-01   1.00914161E-09   4.42619142E-04   3.40488890E-04   1.04793943E-04   5.99941876E-05   2.42922010E-05  
  49               6.89670992E-01   1.00091597E+03   8.38520509E-01   1.60494176E-01   2.55254793E-09   4.42607506E-04   3.40479852E-04   1.04791159E-04   5.99925004E-05   2.42907670E-05  
  50               7.78610286E-01   1.03613023E+03   8.38534571E-01   1.60480185E-01   5.95603209E-09   4.42589212E-04   3.40465398E-04   1.04786688E-04   5.99898584E-05   2.42885185E-05  
  51               8.77811372E-01   1.07334651E+03   8.38555721E-01   1.60459112E-01   1.37369073E-08   4.42564576E-04   3.40444877E-04   1.04780200E-04   5.99861642E-05   2.42850901E-05  
  52               9.88344704E-01   1.10997361E+03   8.38580838E-01   1.60434067E-01   2.94991446E-08   4.42538946E-04   3.40418792E-04   1.04770982E-04   5.99816294E-05   2.42809097E-05  
  53               1.11137100E+00   1.14858850E+03   8.38609624E-01   1.60405325E-01   6.26672177E-08   4.42528548E-04   3.40385790E-04   1.04753634E-04   5.99766861E-05   2.42758921E-05  
  54               1.24837401E+00   1.18666857E+03   8.38636610E-01   1.60378342E-01   1.25152327E-07   4.42582144E-04   3.40329016E-04   1.04695266E-04   5.99718442E-05   2.42707756E-05  
  55               1.40108994E+00   1.22641632E+03   8.38661941E-01   1.60353032E-01   2.46038678E-07   4.42838842E-04   3.40168266E-04   1.04444807E-04   5.99675266E-05   2.42652815E-05  
  56               1.57195559E+00   1.26240202E+03   8.38680624E-01   1.60334847E-01   4.33928366E-07   4.43622056E-04   3.39640208E-04   1.03473663E-04   5.99641032E-05   2.42603259E-05  
  57               1.76427784E+00   1.30109497E+03   8.38698976E-01   1.60318603E-01   7.72076395E-07   4.45488767E-04   3.38168403E-04   1.00585581E-04   5.99608866E-05   2.42543188E-05  
  58               1.98331848E+00   1.33623449E+03   8.38714857E-01   1.60308323E-01   1.25502815E-06   4.49120096E-04   3.34872884E-04   9.40866954E-05   5.99575263E-05   2.42478907E-05  
  59               2.23648612E+00   1.37429869E+03   8.38733195E-01   1.60299990E-01   2.06636071E-06   4.55071290E-04   3.28955003E-04   8.30921845E-05   5.99538600E-05   2.42375717E-05  
  60               2.53268258E+00   1.40897260E+03   8.38748264E-01   1.60295341E-01   3.14762851E-06   4.62911917E-04   3.20932436E-04   7.09342156E-05   5.99504966E-05   2.42214535E-05  
  61               2.87941098E+00   1.44725124E+03   8.38762540E-01   1.60291196E-01   4.90019518E-06   4.72080487E-04   3.11785966E-04   5.88776406E-05   5.99487844E-05   2.41192781E-05  
  62               3.28163654E+00   1.48277087E+03   8.38766203E-01   1.60287491E-01   7.17843973E-06   4.80411976E-04   3.04160532E-04   5.05097917E-05   5.99501459E-05   2.41063595E-05  
  63               3.74169359E+00   1.52288527E+03   8.38769794E-01   1.60284406E-01   1.08679100E-05   4.88827884E-04   3.00392629E-04   4.16044625E-05   5.99493699E-05   2.34872284E-05  
  64               4.25890659E+00   1.56095047E+03   8.38758733E-01   1.60279522E-01   1.57110922E-05   4.94920869E-04   2.95641358E-04   3.57876885E-05   5.99546899E-05   2.34657463E-05  
