# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              H               
  34               5.35571435E-02   2.30146382E+02   8.38156571E-01   1.60479667E-01   7.55478156E-04   5.07790929E-04   5.43294015E-05   5.87394177E-06   2.29825626E-05   5.16921152E-47  
  35               6.22097786E-02   2.38232656E+02   8.38156720E-01   1.60479695E-01   7.55377930E-04   5.07723563E-04   5.43221939E-05   5.87316251E-06   2.29825666E-05   2.27464765E-45  
  36               7.22487013E-02   2.46833361E+02   8.38157065E-01   1.60479761E-01   7.55145142E-04   5.07567096E-04   5.43054531E-05   5.87135255E-06   2.29825761E-05   9.70456922E-44  
  37               8.38967882E-02   2.55023379E+02   8.38156499E-01   1.60479653E-01   7.55526582E-04   5.07823479E-04   5.43328839E-05   5.87431829E-06   2.29825606E-05   2.71532982E-42  
  38               9.74134958E-02   2.64195057E+02   8.38156504E-01   1.60479654E-01   7.55523118E-04   5.07821151E-04   5.43326348E-05   5.87429136E-06   2.29825607E-05   8.90309613E-41  
  39               1.13084361E-01   2.73306508E+02   8.38156498E-01   1.60479653E-01   7.55526991E-04   5.07823754E-04   5.43329133E-05   5.87432147E-06   2.29825606E-05   2.25240555E-39  
  40               1.31231624E-01   2.83539112E+02   8.38156498E-01   1.60479653E-01   7.55527181E-04   5.07823882E-04   5.43329269E-05   5.87432295E-06   2.29825606E-05   6.65132983E-38  
  41               1.52235118E-01   2.93896411E+02   8.38156498E-01   1.60479653E-01   7.55527389E-04   5.07824021E-04   5.43329418E-05   5.87432456E-06   2.29825605E-05   1.60486874E-36  
  42               1.76524522E-01   3.05948257E+02   8.38156497E-01   1.60479653E-01   7.55527616E-04   5.07824174E-04   5.43329581E-05   5.87432633E-06   2.29825605E-05   5.00557562E-35  
  43               2.04548866E-01   3.20126061E+02   8.38156497E-01   1.60479653E-01   7.55527865E-04   5.07824341E-04   5.43329760E-05   5.87432827E-06   2.29825605E-05   2.07183888E-33  
  44               2.36837004E-01   3.34517091E+02   8.38156496E-01   1.60479652E-01   7.55528140E-04   5.07824526E-04   5.43329957E-05   5.87433041E-06   2.29825605E-05   6.54512663E-32  
  45               2.74008077E-01   3.49761942E+02   8.38156493E-01   1.60479652E-01   7.55528444E-04   5.07824730E-04   5.43330175E-05   5.87433277E-06   2.29825604E-05   1.86072165E-30  
  46               3.16774566E-01   3.65254185E+02   8.38156493E-01   1.60479651E-01   7.55528778E-04   5.07824955E-04   5.43330415E-05   5.87433537E-06   2.29825603E-05   4.18107687E-29  
  47               3.65943240E-01   3.81659821E+02   8.38156218E-01   1.60479598E-01   7.55529151E-04   5.07825206E-04   5.43330682E-05   5.87433827E-06   2.29825527E-05   8.56638402E-28  
  48               4.22405026E-01   3.98324966E+02   8.38156245E-01   1.60479571E-01   7.55529318E-04   5.07825318E-04   5.43330802E-05   5.87433957E-06   2.29825488E-05   1.42250553E-26  
  49               4.87162295E-01   4.15955711E+02   8.38156247E-01   1.60479568E-01   7.55529602E-04   5.07825509E-04   5.43331006E-05   5.87434178E-06   2.29825484E-05   2.17486131E-25  
  50               5.61337822E-01   4.33858493E+02   8.38156244E-01   1.60479560E-01   7.55534522E-04   5.07828816E-04   5.43334543E-05   5.87438003E-06   2.29825472E-05   2.75581016E-24  
  51               6.46230715E-01   4.52790444E+02   8.38156215E-01   1.60479538E-01   7.55535078E-04   5.07829190E-04   5.43334942E-05   5.87438435E-06   2.29825442E-05   3.24694921E-23  
  52               7.43273510E-01   4.71994642E+02   8.38155849E-01   1.60479471E-01   7.55535775E-04   5.07829658E-04   5.43335442E-05   5.87438978E-06   2.29825345E-05   3.22843326E-22  
