# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  34               2.17624485E-01   6.14037213E+02   8.38257151E-01   1.60474070E-01   2.47596676E-16   6.79164052E-04   4.35933047E-04   5.80535840E-05   5.69557283E-05   2.29820733E-05  
  35               2.62762645E-01   6.32953576E+02   8.38257930E-01   1.60473294E-01   8.16739100E-16   6.79162509E-04   4.35932057E-04   5.80534521E-05   5.69556073E-05   2.29819622E-05  
  36               3.16840637E-01   6.44522258E+02   8.38257861E-01   1.60473361E-01   1.57556890E-15   6.79162656E-04   4.35932151E-04   5.80534647E-05   5.69556284E-05   2.29819718E-05  
  37               3.81550264E-01   6.65584269E+02   8.38258633E-01   1.60472591E-01   5.26920505E-15   6.79161143E-04   4.35931180E-04   5.80533353E-05   5.69555108E-05   2.29818615E-05  
  38               4.58833493E-01   6.79517146E+02   8.38258681E-01   1.60472533E-01   1.08683693E-14   6.79161030E-04   4.35931107E-04   5.80533257E-05   5.69555110E-05   2.29818532E-05  
  39               5.50998461E-01   7.02985466E+02   8.38259415E-01   1.60471801E-01   3.64761374E-14   6.79159732E-04   4.35930274E-04   5.80532147E-05   5.69554123E-05   2.29817484E-05  
  40               6.60632750E-01   7.19658708E+02   8.38259509E-01   1.60471641E-01   7.98420328E-14   6.79159391E-04   4.35930055E-04   5.80531856E-05   5.69553944E-05   2.29817253E-05  
  41               7.90694365E-01   7.45817420E+02   8.38260179E-01   1.60470971E-01   2.66030906E-13   6.79159157E-04   4.35929905E-04   5.80531656E-05   5.69553858E-05   2.29816294E-05  
  42               9.44450927E-01   7.65591090E+02   8.38260220E-01   1.60470728E-01   6.10574148E-13   6.79158582E-04   4.35929536E-04   5.80531165E-05   5.69553493E-05   2.29815944E-05  
  43               1.12606968E+00   7.94955365E+02   8.38260611E-01   1.60470087E-01   2.01539626E-12   6.79161443E-04   4.35931372E-04   5.80533611E-05   5.69556013E-05   2.29815023E-05  
  44               1.34022579E+00   8.18433477E+02   8.38260846E-01   1.60469838E-01   4.82290276E-12   6.79165197E-04   4.35933781E-04   5.80536821E-05   5.69559287E-05   2.29814660E-05  
  45               1.59209674E+00   8.51423858E+02   8.38261361E-01   1.60469306E-01   1.55988170E-11   6.79164175E-04   4.35933125E-04   5.80535953E-05   5.69558562E-05   2.29866483E-05  
  46               1.88717166E+00   8.78834422E+02   8.38261576E-01   1.60469032E-01   3.80099843E-11   6.79163701E-04   4.35932822E-04   5.80535587E-05   5.69558301E-05   2.29972167E-05  
  47               2.23193672E+00   9.15561993E+02   8.38261929E-01   1.60468506E-01   1.18001639E-10   6.79163182E-04   4.35932488E-04   5.80535342E-05   5.69558007E-05   2.30396408E-05  
  48               2.63311140E+00   9.46866648E+02   8.38261804E-01   1.60468089E-01   2.84712702E-10   6.79163780E-04   4.35932872E-04   5.80537094E-05   5.69558653E-05   2.31369562E-05  
  49               3.09888840E+00   9.87165541E+02   8.38261192E-01   1.60467202E-01   8.29961557E-10   6.79168095E-04   4.35935641E-04   5.80547026E-05   5.69562422E-05   2.34944272E-05  
  50               3.63809119E+00   1.02191636E+03   8.38260445E-01   1.60466340E-01   1.92364370E-09   6.79185269E-04   4.35946657E-04   5.80597406E-05   5.69576986E-05   2.42866087E-05  
  51               4.26181680E+00   1.06509673E+03   8.38262066E-01   1.60464712E-01   5.13766835E-09   6.79181181E-04   4.35943968E-04   5.80759999E-05   5.69573788E-05   2.42862593E-05  
  52               4.98267362E+00   1.10233524E+03   8.38263996E-01   1.60462705E-01   1.11112997E-08   6.79175892E-04   4.35939876E-04   5.81575497E-05   5.69570297E-05   2.42858051E-05  
  53               5.81442850E+00   1.14756818E+03   8.38267940E-01   1.60458441E-01   2.68281968E-08   6.79161379E-04   4.35925576E-04   5.84880015E-05   5.69563928E-05   2.42848435E-05  
  54               6.77301839E+00   1.18650471E+03   8.38271788E-01   1.60453397E-01   5.35501065E-08   6.79104025E-04   4.35849272E-04   5.97820257E-05   5.69560998E-05   2.42836485E-05  
  55               7.87745011E+00   1.23333863E+03   8.38277860E-01   1.60443822E-01   1.17317631E-07   6.78809282E-04   4.35443382E-04   6.38976607E-05   5.69563738E-05   2.42813574E-05  
  56               9.15264246E+00   1.27385936E+03   8.38281129E-01   1.60433654E-01   2.17771579E-07   6.77240722E-04   4.33309956E-04   7.43593824E-05   5.69593158E-05   2.42787302E-05  
  57               1.06298162E+01   1.32251341E+03   8.38288811E-01   1.60417741E-01   4.39685910E-07   6.71192598E-04   4.25368930E-04   9.62893986E-05   5.69649751E-05   2.42742996E-05  
  58               1.23524414E+01   1.36468721E+03   8.38308537E-01   1.60406714E-01   7.65588839E-07   6.55236919E-04   4.06677076E-04   1.21829868E-04   5.69673413E-05   2.42700896E-05  
  59               1.43856021E+01   1.41491397E+03   8.38348400E-01   1.60393744E-01   1.43098831E-06   6.25009594E-04   3.74123161E-04   1.56931686E-04   5.69657367E-05   2.42633356E-05  
  60               1.67953514E+01   1.45819586E+03   8.38381569E-01   1.60385461E-01   2.33349597E-06   5.99137871E-04   3.48062134E-04   1.82828731E-04   5.69626903E-05   2.42554242E-05  
  61               1.96521134E+01   1.50938314E+03   8.38422775E-01   1.60374566E-01   4.04474241E-06   5.66645474E-04   3.15037952E-04   2.15836913E-04   5.69588540E-05   2.42376983E-05  
  62               2.30000277E+01   1.55316564E+03   8.38444325E-01   1.60367121E-01   6.19677304E-06   5.46378903E-04   2.94153890E-04   2.36641824E-04   5.69548945E-05   2.42066301E-05  
  63               2.68583737E+01   1.60509759E+03   8.38473571E-01   1.60357594E-01   1.00805531E-05   5.22300742E-04   2.65727549E-04   2.64972337E-04   5.69506703E-05   2.39330139E-05  
  64               3.12187870E+01   1.64978854E+03   8.38476848E-01   1.60349054E-01   1.47734222E-05   5.05631824E-04   2.48677678E-04   2.81923590E-04   5.69258488E-05   2.39137454E-05  
  65               3.60537802E+01   1.70331608E+03   8.38488129E-01   1.60339313E-01   2.30493640E-05   4.95860895E-04   2.20750402E-04   3.09718955E-04   5.69000405E-05   2.28634364E-05  
  66               4.13242947E+01   1.75056046E+03   8.38494109E-01   1.60332378E-01   3.31054061E-05   4.81354303E-04   2.04132726E-04   3.26204691E-04   5.68111239E-05   2.28082848E-05  
  67               4.69265506E+01   1.80803288E+03   8.38489170E-01   1.60320427E-01   5.08920516E-05   4.65420269E-04   1.78716164E-04   3.51430837E-04   5.67468751E-05   2.26031738E-05  
  68               5.25431419E+01   1.86349657E+03   8.38437749E-01   1.60303551E-01   7.52681067E-05   4.67629147E-04   1.52797070E-04   3.77145662E-04   5.66952117E-05   2.21150513E-05  
  69               5.78346701E+01   1.90914356E+03   8.38349946E-01   1.60287481E-01   1.01743862E-04   5.05192845E-04   1.28538826E-04   4.01262016E-04   5.66367824E-05   2.12960049E-05  
  70               6.26077238E+01   1.94980700E+03   8.38336776E-01   1.60281603E-01   1.31697981E-04   4.94304995E-04   1.17497998E-04   4.12145170E-04   5.65781330E-05   2.12647178E-05  
  71               6.79875892E+01   1.99027838E+03   8.38304103E-01   1.60273817E-01   1.67953070E-04   4.85499993E-04   1.08539623E-04   4.20923395E-04   5.64924540E-05   2.12359277E-05  
  72               7.25136796E+01   2.02438578E+03   8.38279503E-01   1.60268602E-01   2.04886469E-04   4.78378770E-04   1.01276304E-04   4.28030670E-04   5.64297695E-05   2.12069949E-05  
  73               7.60346685E+01   2.04782044E+03   8.38258390E-01   1.60265060E-01   2.33473276E-04   4.74421219E-04   9.72146477E-05   4.31975723E-04   5.63685023E-05   2.11890453E-05  
  74               8.01392443E+01   2.07628016E+03   8.38228564E-01   1.60260303E-01   2.73028687E-04   4.69431208E-04   9.20916765E-05   4.36952346E-04   5.63080066E-05   2.11622690E-05  
  75               8.48966477E+01   2.10564318E+03   8.38191995E-01   1.60255325E-01   3.18697327E-04   4.65260323E-04   8.77704992E-05   4.41109074E-04   5.62246751E-05   2.11361675E-05  
