# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  34               6.18951852E-02   7.15088509E+02   8.38569413E-01   1.60524464E-01   2.06170458E-13   5.26288647E-04   2.74270979E-04   6.03918415E-05   0.00000000E+00   2.29899770E-05  
  35               7.12878818E-02   7.36986078E+02   8.38569357E-01   1.60524279E-01   5.78571848E-13   5.26289577E-04   2.74271289E-04   6.03922913E-05   0.00000000E+00   2.29899503E-05  
  36               8.19652184E-02   7.58055857E+02   8.38569537E-01   1.60524089E-01   1.46860175E-12   5.26293393E-04   2.74273095E-04   6.03930888E-05   0.00000000E+00   2.29899227E-05  
  37               9.40692057E-02   7.83402755E+02   8.38569944E-01   1.60523669E-01   4.26029617E-12   5.26294117E-04   2.74273279E-04   6.03935549E-05   0.00000000E+00   2.29928880E-05  
  38               1.07769441E-01   8.08194677E+02   8.38570666E-01   1.60522906E-01   1.12720993E-11   5.26294426E-04   2.74273232E-04   6.03940043E-05   0.00000000E+00   2.30003828E-05  
  39               1.23244867E-01   8.37277013E+02   8.38572443E-01   1.60521002E-01   3.30697219E-11   5.26293338E-04   2.74272435E-04   6.03943384E-05   0.00000000E+00   2.30270016E-05  
  40               1.40667508E-01   8.65815680E+02   8.38575769E-01   1.60517255E-01   8.82914271E-11   5.26290455E-04   2.74270674E-04   6.03945264E-05   0.00000000E+00   2.31050141E-05  
  41               1.60196764E-01   8.98656593E+02   8.38583181E-01   1.60508405E-01   2.54758043E-10   5.26283365E-04   2.74266680E-04   6.03943136E-05   0.00000000E+00   2.33782287E-05  
  42               1.81956196E-01   9.31568311E+02   8.38597093E-01   1.60492707E-01   6.82031967E-10   5.26273686E-04   2.74261289E-04   6.03939058E-05   0.00000000E+00   2.42906268E-05  
  43               2.06137650E-01   9.67461010E+02   8.38623890E-01   1.60466022E-01   1.85514827E-09   5.26232391E-04   2.74239360E-04   6.03899937E-05   0.00000000E+00   2.42865118E-05  
  44               2.33036765E-01   1.00128051E+03   8.38654934E-01   1.60435102E-01   4.43428889E-09   5.26186027E-04   2.74214718E-04   6.03856356E-05   4.65378950E-16   2.42817023E-05  
  45               2.62933018E-01   1.03833049E+03   8.38691533E-01   1.60398635E-01   1.08260775E-08   5.26131113E-04   2.74185516E-04   6.03804267E-05   4.49539472E-15   2.42759303E-05  
  46               2.96089205E-01   1.07315734E+03   8.38722092E-01   1.60368169E-01   2.35494887E-08   5.26087456E-04   2.74161954E-04   6.03766108E-05   3.26747919E-14   2.42709197E-05  
  47               3.32758838E-01   1.11126883E+03   8.38750496E-01   1.60339828E-01   5.22918056E-08   5.26047462E-04   2.74139681E-04   6.03732488E-05   2.50009923E-13   2.42659034E-05  
  48               3.73204712E-01   1.14691594E+03   8.38770314E-01   1.60320013E-01   1.04524606E-07   5.26022993E-04   2.74123751E-04   6.03715794E-05   1.44463575E-12   2.42618299E-05  
