# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              H2O(s)          
  1                1.00000000E-05   3.30816191E+01   8.38112897E-01   1.60471309E-01   7.78199242E-04   5.28950358E-04   4.05710357E-05   4.06561376E-05   2.29810126E-05   0.00000000E+00  
  2                1.11946409E-04   4.09026222E+01   8.38112898E-01   1.60471309E-01   7.78198489E-04   5.28949846E-04   4.05709965E-05   4.06560983E-05   2.29810127E-05   0.00000000E+00  
  3                2.32380600E-04   4.56885905E+01   8.38112899E-01   1.60471309E-01   7.78198211E-04   5.28949657E-04   4.05709820E-05   4.06560838E-05   2.29810127E-05   0.00000000E+00  
  4                3.74598624E-04   4.87544171E+01   8.38112899E-01   1.60471309E-01   7.78198054E-04   5.28949550E-04   4.05709738E-05   4.06560756E-05   2.29810127E-05   0.00000000E+00  
  5                5.42489555E-04   5.15242901E+01   8.38112899E-01   1.60471309E-01   7.78197940E-04   5.28949473E-04   4.05709679E-05   4.06560696E-05   2.29810127E-05   0.00000000E+00  
  6                7.40623029E-04   5.37786367E+01   8.38112899E-01   1.60471309E-01   7.78197846E-04   5.28949409E-04   4.05709630E-05   4.06560647E-05   2.29810127E-05   0.00000000E+00  
  7                9.74391203E-04   5.61261655E+01   8.38112899E-01   1.60471309E-01   7.78197764E-04   5.28949353E-04   4.05709587E-05   4.06560604E-05   2.29810127E-05   0.00000000E+00  
  8                1.25011707E-03   5.81484447E+01   8.38112900E-01   1.60471309E-01   7.78197689E-04   5.28949302E-04   4.05709548E-05   4.06560565E-05   2.29810127E-05   0.00000000E+00  
  9                1.57516695E-03   6.04077828E+01   8.38112900E-01   1.60471309E-01   7.78197619E-04   5.28949254E-04   4.05709512E-05   4.06560528E-05   2.29810127E-05   0.00000000E+00  
  10               1.95827661E-03   6.23785061E+01   8.38112900E-01   1.60471309E-01   7.78197551E-04   5.28949208E-04   4.05709476E-05   4.06560493E-05   2.29810127E-05   0.00000000E+00  
  11               2.40960287E-03   6.46585177E+01   8.38112900E-01   1.60471309E-01   7.78197484E-04   5.28949162E-04   4.05709441E-05   4.06560458E-05   2.29810127E-05   0.00000000E+00  
  12               2.94089910E-03   6.67239103E+01   8.38112900E-01   1.60471309E-01   7.78197416E-04   5.28949116E-04   4.05709406E-05   4.06560422E-05   2.29810127E-05   0.00000000E+00  
  13               3.56605941E-03   6.91693437E+01   8.38112900E-01   1.60471309E-01   7.78197346E-04   5.28949069E-04   4.05709369E-05   4.06560386E-05   2.29810127E-05   0.00000000E+00  
  14               4.30127576E-03   7.13993023E+01   8.38112900E-01   1.60471309E-01   7.78197273E-04   5.28949019E-04   4.05709332E-05   4.06560348E-05   2.29810127E-05   0.00000000E+00  
  15               5.16286052E-03   7.41119479E+01   8.38112900E-01   1.60471309E-01   7.78197198E-04   5.28948968E-04   4.05709293E-05   4.06560309E-05   2.29810127E-05   0.00000000E+00  
  16               6.16766754E-03   7.66841506E+01   8.38112900E-01   1.60471309E-01   7.78197128E-04   5.28948921E-04   4.05709256E-05   4.06560272E-05   2.29810127E-05   0.00000000E+00  
  17               7.33558415E-03   7.98007327E+01   8.38112900E-01   1.60471309E-01   7.78197078E-04   5.28948887E-04   4.05709230E-05   4.06560246E-05   2.29810127E-05   0.00000000E+00  
  18               8.68997228E-03   8.28048531E+01   8.38112901E-01   1.60471309E-01   7.78197043E-04   5.28948863E-04   4.05709212E-05   4.06560228E-05   2.29810127E-05   0.00000000E+00  
  19               1.02584360E-02   8.64764543E+01   8.38112901E-01   1.60471309E-01   7.78197019E-04   5.28948846E-04   4.05709199E-05   4.06560215E-05   2.29810127E-05   0.00000000E+00  
  20               1.20740299E-02   9.02624972E+01   8.38112901E-01   1.60471309E-01   7.78197003E-04   5.28948835E-04   4.05709191E-05   4.06560206E-05   2.29810127E-05   0.00000000E+00  
  21               1.41760267E-02   9.47049243E+01   8.38112901E-01   1.60471309E-01   7.78196985E-04   5.28948824E-04   4.05709182E-05   4.06560197E-05   2.29810127E-05   0.00000000E+00  
  22               1.66091438E-02   9.98012730E+01   8.38112809E-01   1.60471292E-01   7.78196967E-04   5.28948811E-04   4.05709172E-05   4.06560188E-05   2.29810102E-05   6.56024395E-17  
  23               1.94288986E-02   1.04592001E+02   8.38112380E-01   1.60471209E-01   7.78197032E-04   5.28948856E-04   4.05709206E-05   4.06560222E-05   2.29809984E-05   1.05416445E-15  
  24               2.26995790E-02   1.10122961E+02   8.38110892E-01   1.60470925E-01   7.78197494E-04   5.28949169E-04   4.05709447E-05   4.06560463E-05   2.29809577E-05   1.04121017E-14  
  25               2.64955569E-02   1.15330459E+02   8.38103484E-01   1.60469506E-01   7.78199265E-04   5.28950373E-04   4.05710370E-05   4.06561388E-05   2.29807545E-05   1.27956246E-13  
