# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  1                1.00000000E-05   3.89972907E+01   8.38111007E-01   1.60470947E-01   7.78509224E-04   5.29279823E-04   4.39870047E-05   3.88997701E-05   2.29816790E-05   3.16310777E-109 
  2                3.59817424E-04   5.11159518E+01   8.38111007E-01   1.60470947E-01   7.78509087E-04   5.29279730E-04   4.39869969E-05   3.88997633E-05   2.29816790E-05   5.27318361E-110 
  3                7.70895841E-04   5.78726745E+01   8.38111007E-01   1.60470947E-01   7.78509049E-04   5.29279704E-04   4.39869948E-05   3.88997614E-05   2.29816790E-05   3.60260077E-110 
  4                1.25450810E-03   6.32069212E+01   8.38111007E-01   1.60470947E-01   7.78509031E-04   5.29279692E-04   4.39869938E-05   3.88997605E-05   2.29816790E-05   2.82408168E-110 
  5                1.82316126E-03   6.67165327E+01   8.38111007E-01   1.60470947E-01   7.78509019E-04   5.29279684E-04   4.39869932E-05   3.88997600E-05   2.29816790E-05   2.34261784E-110 
  6                2.49162968E-03   7.08322342E+01   8.38111007E-01   1.60470947E-01   7.78509010E-04   5.29279678E-04   4.39869927E-05   3.88997596E-05   2.29816790E-05   2.00388244E-110 
  7                3.27498955E-03   7.38077935E+01   8.38111007E-01   1.60470947E-01   7.78509004E-04   5.29279673E-04   4.39869923E-05   3.88997592E-05   2.29816790E-05   1.74786960E-110 
  8                4.18617023E-03   7.77509611E+01   8.38111007E-01   1.60470947E-01   7.78508998E-04   5.29279670E-04   4.39869920E-05   3.88997590E-05   2.29816790E-05   1.54598596E-110 
  9                5.24117619E-03   8.06562739E+01   8.38111007E-01   1.60470947E-01   7.78508995E-04   5.29279667E-04   4.39869918E-05   3.88997588E-05   2.29816790E-05   1.38165499E-110 
  10               6.45999960E-03   8.47551353E+01   8.38111007E-01   1.60470947E-01   7.78508993E-04   5.29279666E-04   4.39869917E-05   3.88997587E-05   2.29816790E-05   1.24450814E-110 
  11               7.86876344E-03   8.77950734E+01   8.38111007E-01   1.60470947E-01   7.78508992E-04   5.29279665E-04   4.39869917E-05   3.88997586E-05   2.29816790E-05   1.12761474E-110 
  12               9.49941641E-03   9.21969954E+01   8.38111007E-01   1.60470947E-01   7.78508991E-04   5.29279665E-04   4.39869916E-05   3.88997586E-05   2.29816790E-05   1.02627920E-110 
  13               1.13878674E-02   9.55424959E+01   8.38111007E-01   1.60470947E-01   7.78508990E-04   5.29279664E-04   4.39869916E-05   3.88997586E-05   2.29816790E-05   9.37330585E-111 
  14               1.35758964E-02   1.00426732E+02   8.38110919E-01   1.60470931E-01   7.78508989E-04   5.29279663E-04   4.39869915E-05   3.88997585E-05   2.29816766E-05   2.59653436E-110 
  15               1.61129224E-02   1.04227009E+02   8.38110469E-01   1.60470844E-01   7.78509070E-04   5.29279718E-04   4.39869961E-05   3.88997626E-05   2.29816642E-05   3.05137309E-106 
  16               1.90566595E-02   1.09688059E+02   8.38109517E-01   1.60470662E-01   7.78509569E-04   5.29280058E-04   4.39870243E-05   3.88997875E-05   2.29816382E-05   7.12732982E-101 
  17               2.24736898E-02   1.14061964E+02   8.38102534E-01   1.60469325E-01   7.78510709E-04   5.29280833E-04   4.39870887E-05   3.88998445E-05   2.29814467E-05   5.93613288E-97  
  18               2.64405470E-02   1.20335847E+02   8.38087947E-01   1.60466532E-01   7.78517779E-04   5.29285639E-04   4.39874882E-05   3.89001977E-05   2.29810467E-05   8.16767257E-92  
  19               3.10459960E-02   1.25500837E+02   8.38042577E-01   1.60457845E-01   7.78536397E-04   5.29298297E-04   4.39885401E-05   3.89011280E-05   2.29798026E-05   5.61355332E-88  
  20               3.63938838E-02   1.32613510E+02   8.38110889E-01   1.60470925E-01   7.78587912E-04   5.29333321E-04   4.39914508E-05   3.89037021E-05   2.29816758E-05   3.58381838E-83  
  21               4.26049168E-02   1.38450388E+02   8.38110975E-01   1.60470941E-01   7.78530311E-04   5.29294160E-04   4.39881963E-05   3.89008239E-05   2.29816781E-05   1.32134418E-79  
  22               4.98195155E-02   1.46276574E+02   8.38110862E-01   1.60470920E-01   7.78604515E-04   5.29344608E-04   4.39923889E-05   3.89045317E-05   2.29816750E-05   2.91922968E-75  
  23               5.82001779E-02   1.52761863E+02   8.38110853E-01   1.60470918E-01   7.78604514E-04   5.29344607E-04   4.39923888E-05   3.89045316E-05   2.29816748E-05   5.25444373E-72  
  24               6.79379891E-02   1.61167287E+02   8.38110825E-01   1.60470913E-01   7.78604521E-04   5.29344612E-04   4.39923892E-05   3.89045320E-05   2.29816740E-05   3.60494637E-68  
  25               7.92556618E-02   1.68057503E+02   8.38110648E-01   1.60470879E-01   7.78604551E-04   5.29344632E-04   4.39923909E-05   3.89045335E-05   2.29816692E-05   2.55751771E-65  
  26               9.24117864E-02   1.76823310E+02   8.38110234E-01   1.60470800E-01   7.78604735E-04   5.29344757E-04   4.39924013E-05   3.89045427E-05   2.29816578E-05   5.24796219E-62  
  27               1.07703603E-01   1.84073126E+02   8.38108006E-01   1.60470373E-01   7.78605268E-04   5.29345120E-04   4.39924315E-05   3.89045693E-05   2.29815967E-05   1.63534846E-59  
  28               1.25471824E-01   1.93257672E+02   8.38103041E-01   1.60469422E-01   7.78607732E-04   5.29346795E-04   4.39925707E-05   3.89046925E-05   2.29814606E-05   1.28892190E-56  
  29               1.46089091E-01   2.01384526E+02   8.38024425E-01   1.60454370E-01   7.78614436E-04   5.29351353E-04   4.39929495E-05   3.89050275E-05   2.29793049E-05   2.80130371E-54  
  30               1.70002243E-01   2.10839687E+02   8.38110732E-01   1.60470895E-01   7.78692668E-04   5.29404540E-04   4.39973698E-05   3.89089365E-05   2.29816715E-05   8.76750937E-52  
  31               1.97738693E-01   2.18830199E+02   8.37552921E-01   1.60364092E-01   7.78686555E-04   5.29400384E-04   4.39970243E-05   3.89086310E-05   2.29663758E-05   7.52807794E-50  
  32               2.29922988E-01   2.27868912E+02   8.38110077E-01   1.60470770E-01   7.79128879E-04   5.29701104E-04   4.40220164E-05   3.89307327E-05   2.29816535E-05   8.00912384E-48  
  33               2.67295062E-01   2.35453886E+02   8.38109952E-01   1.60470746E-01   7.79212531E-04   5.29757976E-04   4.40267429E-05   3.89349125E-05   2.29816501E-05   3.00133701E-46  
  34               3.10712272E-01   2.44380941E+02   8.38110709E-01   1.60470890E-01   7.78707506E-04   5.29414628E-04   4.39982081E-05   3.89096779E-05   2.29816708E-05   1.61439157E-44  
  35               3.61188552E-01   2.52316022E+02   8.38109949E-01   1.60470745E-01   7.79214362E-04   5.29759221E-04   4.40268464E-05   3.89350041E-05   2.29816500E-05   4.34889719E-43  
  36               4.19891054E-01   2.61948671E+02   8.38109943E-01   1.60470744E-01   7.79218373E-04   5.29761948E-04   4.40270730E-05   3.89352045E-05   2.29816498E-05   1.83256640E-41  
  37               4.88129404E-01   2.70886252E+02   8.38109943E-01   1.60470744E-01   7.79218366E-04   5.29761943E-04   4.40270726E-05   3.89352041E-05   2.29816498E-05   4.60393572E-40  
  38               5.67411204E-01   2.81853215E+02   8.38109943E-01   1.60470744E-01   7.79218358E-04   5.29761938E-04   4.40270722E-05   3.89352038E-05   2.29816498E-05   1.84021983E-38  
  39               6.59374142E-01   2.92791135E+02   8.38109943E-01   1.60470744E-01   7.79218350E-04   5.29761932E-04   4.40270717E-05   3.89352034E-05   2.29816498E-05   5.50656633E-37  
  40               7.65844330E-01   3.07056842E+02   8.38109943E-01   1.60470744E-01   7.79218341E-04   5.29761926E-04   4.40270712E-05   3.89352029E-05   2.29816498E-05   3.27457296E-35  
  41               8.88833000E-01   3.21703099E+02   8.38109943E-01   1.60470744E-01   7.79218331E-04   5.29761919E-04   4.40270707E-05   3.89352025E-05   2.29816498E-05   1.48521725E-33  
  42               1.03083502E+00   3.37072438E+02   8.38109943E-01   1.60470744E-01   7.79218320E-04   5.29761911E-04   4.40270701E-05   3.89352019E-05   2.29816498E-05   5.68640968E-32  
  43               1.19468257E+00   3.52767836E+02   8.38109943E-01   1.60470744E-01   7.79218308E-04   5.29761903E-04   4.40270694E-05   3.89352013E-05   2.29816498E-05   1.68935125E-30  
  44               1.38361895E+00   3.69287782E+02   8.38109939E-01   1.60470743E-01   7.79218295E-04   5.29761895E-04   4.40270687E-05   3.89352008E-05   2.29816497E-05   4.38826910E-29  
  45               1.60122888E+00   3.86113233E+02   8.38109939E-01   1.60470742E-01   7.79218280E-04   5.29761884E-04   4.40270679E-05   3.89352000E-05   2.29816496E-05   9.06121345E-28  
  46               1.85144611E+00   4.03835880E+02   8.38109620E-01   1.60470681E-01   7.79218270E-04   5.29761877E-04   4.40270673E-05   3.89351996E-05   2.29816409E-05   1.67248181E-26  
  47               2.13889414E+00   4.21842725E+02   8.38109651E-01   1.60470651E-01   7.79218029E-04   5.29761714E-04   4.40270538E-05   3.89351876E-05   2.29816365E-05   2.50880003E-25  
  48               2.46857394E+00   4.40807546E+02   8.38109650E-01   1.60470650E-01   7.79217674E-04   5.29761472E-04   4.40270338E-05   3.89351699E-05   2.29816364E-05   3.41950310E-24  
  49               2.84587315E+00   4.60034953E+02   8.38109604E-01   1.60470641E-01   7.79225881E-04   5.29767052E-04   4.40274975E-05   3.89355800E-05   2.29816351E-05   3.86644880E-23  
  50               3.27644587E+00   4.80240586E+02   8.38109209E-01   1.60470593E-01   7.79225983E-04   5.29767121E-04   4.40275033E-05   3.89355852E-05   2.29816283E-05   4.00991068E-22  
  51               3.76646884E+00   5.00668666E+02   8.38108928E-01   1.60470873E-01   7.79227321E-04   5.29768031E-04   4.40275790E-05   3.89356521E-05   2.29816683E-05   3.51154278E-21  
  52               4.32406065E+00   5.22121704E+02   8.38106176E-01   1.60470334E-01   7.79227363E-04   5.29768059E-04   4.40275814E-05   3.89356542E-05   2.29815912E-05   2.85473322E-20  
  53               4.95837569E+00   5.43860388E+02   8.38106454E-01   1.60470052E-01   7.79230012E-04   5.29769861E-04   4.40277312E-05   3.89357867E-05   2.29815507E-05   2.01042114E-19  
  54               5.67882101E+00   5.66697580E+02   8.38106490E-01   1.60470021E-01   7.79227414E-04   5.29768094E-04   4.40275844E-05   3.89356569E-05   2.29815463E-05   1.32933979E-18  
  55               6.49485509E+00   5.89799426E+02   8.38106451E-01   1.60469950E-01   7.79288666E-04   5.29809738E-04   4.40310454E-05   3.89387176E-05   2.29815362E-05   7.72128078E-18  
  56               7.41597631E+00   6.13965258E+02   8.38106541E-01   1.60469861E-01   7.79288472E-04   5.29809605E-04   4.40310344E-05   3.89387080E-05   2.29815234E-05   4.21947728E-17  
  57               8.45504376E+00   6.38364929E+02   8.38106679E-01   1.60469723E-01   7.79288175E-04   5.29809404E-04   4.40310178E-05   3.89386933E-05   2.29815037E-05   2.05204872E-16  
  58               9.62714655E+00   6.63926000E+02   8.38106894E-01   1.60469508E-01   7.79287710E-04   5.29809087E-04   4.40309916E-05   3.89386701E-05   2.29814729E-05   9.49596491E-16  
  59               1.09472344E+01   6.89746797E+02   8.38107198E-01   1.60469205E-01   7.79287041E-04   5.29808633E-04   4.40309539E-05   3.89386369E-05   2.29814294E-05   3.96734676E-15  
  60               1.24299544E+01   7.16731673E+02   8.38107633E-01   1.60468770E-01   7.79286081E-04   5.29807980E-04   4.40308998E-05   3.89385890E-05   2.29813672E-05   1.58319633E-14  
  61               1.40899851E+01   7.43879657E+02   8.38108191E-01   1.60468210E-01   7.79284797E-04   5.29807107E-04   4.40308273E-05   3.89385249E-05   2.29812870E-05   5.74312731E-14  
  62               1.59458742E+01   7.72187493E+02   8.38108910E-01   1.60467482E-01   7.79283120E-04   5.29805967E-04   4.40307327E-05   3.89384413E-05   2.29811826E-05   1.99835607E-13  
