# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  34               2.09330511E-02   8.53005406E+02   8.38633857E-01   1.60423310E-01   1.44199450E-10   5.29292813E-04   3.15161458E-04   6.04919023E-05   0.00000000E+00   0.00000000E+00  
  35               2.52638315E-02   8.66416580E+02   8.38638860E-01   1.60417649E-01   2.12812911E-10   5.29284981E-04   3.15156791E-04   6.04910224E-05   0.00000000E+00   0.00000000E+00  
  36               3.04586644E-02   8.86018499E+02   8.38653527E-01   1.60401683E-01   3.82679384E-10   5.29266488E-04   3.15145775E-04   6.04889241E-05   0.00000000E+00   0.00000000E+00  
  37               3.66747510E-02   9.01509445E+02   8.38661279E-01   1.60393957E-01   5.84796355E-10   5.29255284E-04   3.15139101E-04   6.04876589E-05   0.00000000E+00   0.00000000E+00  
  38               4.40921843E-02   9.23458777E+02   8.38678684E-01   1.60376608E-01   1.07733921E-09   5.29234194E-04   3.15126540E-04   6.04852637E-05   0.00000000E+00   0.00000000E+00  
  39               5.29200873E-02   9.41583639E+02   8.38688495E-01   1.60366843E-01   1.71498362E-09   5.29219941E-04   3.15118049E-04   6.04836499E-05   0.00000000E+00   0.00000000E+00  
  40               6.34116107E-02   9.66695514E+02   8.38706587E-01   1.60348825E-01   3.27222804E-09   5.29197227E-04   3.15104521E-04   6.04810692E-05   0.00000000E+00   1.31056273E-15  
  41               7.58529552E-02   9.88127891E+02   8.38717492E-01   1.60337977E-01   5.44791860E-09   5.29181261E-04   3.15095011E-04   6.04792598E-05   9.03214254E-16   5.15536143E-15  
  42               9.05631426E-02   1.01699378E+03   8.38734200E-01   1.60321339E-01   1.07444314E-08   5.29159581E-04   3.15082097E-04   6.04767972E-05   5.08687260E-15   3.19170638E-14  
  43               1.07884457E-01   1.04266812E+03   8.38744740E-01   1.60310843E-01   1.88121350E-08   5.29144018E-04   3.15072824E-04   6.04750335E-05   2.09440379E-14   1.42312367E-13  
  44               1.28187370E-01   1.07622754E+03   8.38758193E-01   1.60297427E-01   3.84288268E-08   5.29126016E-04   3.15062093E-04   6.04729904E-05   1.26410233E-13   9.47693689E-13  
  45               1.51852178E-01   1.10670077E+03   8.38766424E-01   1.60289197E-01   7.00698946E-08   5.29113702E-04   3.15054736E-04   6.04715955E-05   5.65168653E-13   4.60848059E-12  
  46               1.79271586E-01   1.14525770E+03   8.38775197E-01   1.60280371E-01   1.45783164E-07   5.29101611E-04   3.15047499E-04   6.04702211E-05   3.45525715E-12   3.11319790E-11  
