# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   4.42363919E+02   8.38494773E-01   1.60509288E-01   2.09706801E-21   5.29350813E-04   3.73946411E-04   6.06101397E-05   0.00000000E+00   0.00000000E+00  
  2                1.62093048E-05   5.05728633E+02   8.38495177E-01   1.60509005E-01   2.86826372E-18   5.29341080E-04   3.73939532E-04   6.06090218E-05   0.00000000E+00   0.00000000E+00  
  3                2.32283447E-05   5.39183768E+02   8.38497606E-01   1.60506655E-01   6.09947162E-17   5.29322895E-04   3.73926680E-04   6.06069337E-05   0.00000000E+00   0.00000000E+00  
  4                3.14583006E-05   5.57771407E+02   8.38501718E-01   1.60502549E-01   2.68002504E-16   5.29294313E-04   3.73906485E-04   6.06036544E-05   0.00000000E+00   0.00000000E+00  
  5                4.11988716E-05   5.79121819E+02   8.38514709E-01   1.60489615E-01   1.34242594E-15   5.29272555E-04   3.73891109E-04   6.06011561E-05   0.00000000E+00   0.00000000E+00  
  6                5.27681293E-05   5.92364860E+02   8.38525122E-01   1.60479039E-01   3.29049484E-15   5.29243421E-04   3.73870524E-04   6.05978133E-05   0.00000000E+00   0.00000000E+00  
  7                6.65423186E-05   6.10132009E+02   8.38550892E-01   1.60453341E-01   1.07502023E-14   5.29210341E-04   3.73847151E-04   6.05940186E-05   0.00000000E+00   0.00000000E+00  
  8                8.29575420E-05   6.21432745E+02   8.38564566E-01   1.60439477E-01   2.11808135E-14   5.29184324E-04   3.73828769E-04   6.05910329E-05   0.00000000E+00   0.00000000E+00  
  9                1.02544092E-04   6.37851813E+02   8.38595767E-01   1.60408352E-01   5.70117743E-14   5.29147537E-04   3.73802778E-04   6.05868141E-05   0.00000000E+00   0.00000000E+00  
  10               1.25936244E-04   6.48497957E+02   8.38609172E-01   1.60394988E-01   1.01682554E-13   5.29125922E-04   3.73787506E-04   6.05843325E-05   0.00000000E+00   0.00000000E+00  
  11               1.53892115E-04   6.64496667E+02   8.38638344E-01   1.60365883E-01   2.45873902E-13   5.29092420E-04   3.73763837E-04   6.05804900E-05   0.00000000E+00   0.00000000E+00  
  12               1.87306392E-04   6.74979743E+02   8.38649270E-01   1.60354982E-01   4.13958769E-13   5.29076312E-04   3.73752455E-04   6.05786392E-05   0.00000000E+00   0.00000000E+00  
  13               2.27249853E-04   6.90835926E+02   8.38672571E-01   1.60331724E-01   9.25464198E-13   5.29049804E-04   3.73733726E-04   6.05755977E-05   0.00000000E+00   0.00000000E+00  
  14               2.74988420E-04   7.01257424E+02   8.38680373E-01   1.60323919E-01   1.48812987E-12   5.29039715E-04   3.73726597E-04   6.05744363E-05   0.00000000E+00   0.00000000E+00  
  15               3.32033093E-04   7.17096926E+02   8.38697404E-01   1.60306885E-01   3.12253578E-12   5.29020290E-04   3.73712872E-04   6.05722060E-05   0.00000000E+00   0.00000000E+00  
  16               4.00164611E-04   7.27577439E+02   8.38702618E-01   1.60301604E-01   4.84656449E-12   5.29016694E-04   3.73710330E-04   6.05717882E-05   0.00000000E+00   0.00000000E+00  
  17               4.81503565E-04   7.43551773E+02   8.38714484E-01   1.60289623E-01   9.67403348E-12   5.29002740E-04   3.73700471E-04   6.05701845E-05   0.00000000E+00   0.00000000E+00  
  18               5.78536255E-04   7.54213407E+02   8.38717773E-01   1.60286105E-01   1.46204514E-11   5.29010318E-04   3.73705822E-04   6.05710463E-05   0.00000000E+00   0.00000000E+00  
  19               6.94272966E-04   7.70374738E+02   8.38725552E-01   1.60277920E-01   2.79388467E-11   5.29001065E-04   3.73699283E-04   6.05699811E-05   0.00000000E+00   0.00000000E+00  
  20               8.32398334E-04   7.81117188E+02   8.38727420E-01   1.60275759E-01   4.10021282E-11   5.28996796E-04   3.73696266E-04   6.05694867E-05   0.00000000E+00   0.00000000E+00  
  21               9.97287252E-04   7.97466411E+02   8.38731756E-01   1.60270154E-01   7.52551580E-11   5.28990553E-04   3.73691854E-04   6.05687664E-05   0.00000000E+00   0.00000000E+00  
  22               1.19411767E-03   8.08370093E+02   8.38731774E-01   1.60268777E-01   1.07831132E-10   5.28987483E-04   3.73689683E-04   6.05684093E-05   0.00000000E+00   0.00000000E+00  
  23               1.42903548E-03   8.25035632E+02   8.38735460E-01   1.60265098E-01   1.91607607E-10   5.28983184E-04   3.73686645E-04   6.05679119E-05   0.00000000E+00   0.00000000E+00  
  24               1.70928063E-03   8.36279582E+02   8.38736264E-01   1.60264297E-01   2.70306881E-10   5.28980838E-04   3.73684985E-04   6.05676381E-05   0.00000000E+00   5.62570567E-16  
  25               2.04340791E-03   8.53448492E+02   8.38738810E-01   1.60261756E-01   4.69014954E-10   5.28977777E-04   3.73682821E-04   6.05672825E-05   0.00000000E+00   2.84272828E-15  
  26               2.44145238E-03   8.65173162E+02   8.38739345E-01   1.60261224E-01   6.54913076E-10   5.28975896E-04   3.73681490E-04   6.05670622E-05   0.00000000E+00   2.84271717E-15  
  27               2.91521290E-03   8.82988280E+02   8.38741134E-01   1.60259439E-01   1.11552896E-09   5.28973620E-04   3.73679881E-04   6.05667969E-05   0.00000000E+00   1.37259909E-14  
  28               3.47843545E-03   8.95395647E+02   8.38741524E-01   1.60259053E-01   1.55153791E-09   5.28972018E-04   3.73678747E-04   6.05666088E-05   0.00000000E+00   1.37259466E-14  
  29               4.14718126E-03   9.14073693E+02   8.38742809E-01   1.60257775E-01   2.61110555E-09   5.28970230E-04   3.73677483E-04   6.05663995E-05   0.00000000E+00   6.45452149E-14  
  30               4.94009965E-03   9.27338970E+02   8.38743114E-01   1.60257479E-01   3.63173414E-09   5.28968792E-04   3.73676466E-04   6.05662306E-05   0.00000000E+00   6.45450213E-14  
  31               5.87999002E-03   9.46978832E+02   8.38744040E-01   1.60256566E-01   6.04606493E-09   5.28967318E-04   3.73675422E-04   6.05660575E-05   7.55919372E-16   2.98130498E-13  
  32               6.99370983E-03   9.61313541E+02   8.38744291E-01   1.60256331E-01   8.44056231E-09   5.28965998E-04   3.73674488E-04   6.05659022E-05   2.60203837E-15   2.98129580E-13  
  33               8.31257855E-03   9.82293052E+02   8.38744973E-01   1.60255667E-01   1.40139141E-08   5.28964774E-04   3.73673622E-04   6.05657581E-05   5.89473731E-15   1.38584504E-12  
  34               9.87267707E-03   9.98027157E+02   8.38745183E-01   1.60255473E-01   1.97450567E-08   5.28963598E-04   3.73672790E-04   6.05656196E-05   2.09386441E-14   1.38584021E-12  
  35               1.17155389E-02   1.02071312E+03   8.38745677E-01   1.60254988E-01   3.28740463E-08   5.28962587E-04   3.73672074E-04   6.05655002E-05   4.63420179E-14   6.66308305E-12  
  36               1.38879991E-02   1.03844914E+03   8.38745850E-01   1.60254816E-01   4.72376889E-08   5.28961548E-04   3.73671338E-04   6.05653777E-05   1.76216172E-13   6.66305424E-12  
  37               1.64429891E-02   1.06348732E+03   8.38746185E-01   1.60254459E-01   7.96386632E-08   5.28960701E-04   3.73670739E-04   6.05652773E-05   3.88312959E-13   3.38046669E-11  
  38               1.94390954E-02   1.08369283E+03   8.38746298E-01   1.60254313E-01   1.17127722E-07   5.28959808E-04   3.73670107E-04   6.05651719E-05   1.59921440E-12   3.38044790E-11  
  39               2.29412271E-02   1.11148356E+03   8.38746462E-01   1.60254058E-01   2.00060338E-07   5.28959097E-04   3.73669603E-04   6.05650873E-05   5.81328342E-12   1.82551615E-10  
  40               2.70194536E-02   1.13472559E+03   8.38746469E-01   1.60253936E-01   3.02131554E-07   5.28958342E-04   3.73669071E-04   6.05649979E-05   1.57655241E-11   1.82550263E-10  
  41               3.17608760E-02   1.16577760E+03   8.38746402E-01   1.60253752E-01   5.23095426E-07   5.28957730E-04   3.73668646E-04   6.05649251E-05   5.87893705E-11   1.04565036E-09  
  42               3.72642491E-02   1.19245183E+03   8.38746181E-01   1.60253646E-01   8.08345734E-07   5.28957108E-04   3.73668231E-04   6.05648512E-05   1.67393199E-10   1.04563975E-09  
  43               4.36372555E-02   1.22733356E+03   8.38745663E-01   1.60253491E-01   1.41708201E-06   5.28956607E-04   3.73667952E-04   6.05647914E-05   6.38297999E-10   6.35241065E-09  
  44               5.09912928E-02   1.25830336E+03   8.38744795E-01   1.60253350E-01   2.24764537E-06   5.28956668E-04   3.73668235E-04   6.05647961E-05   1.91990279E-09   6.35231885E-09  
  45               5.94416142E-02   1.29801042E+03   8.38742891E-01   1.60253114E-01   4.00427618E-06   5.28957367E-04   3.73669437E-04   6.05648743E-05   7.53885367E-09   4.13307869E-08  
  46               6.90981731E-02   1.33419036E+03   8.38738974E-01   1.60252658E-01   6.51895643E-06   5.28966544E-04   3.73678143E-04   6.05659243E-05   2.38801550E-08   4.13298685E-08  
  47               8.00591406E-02   1.37946996E+03   8.38730258E-01   1.60251867E-01   1.17544517E-05   5.28979065E-04   3.73693160E-04   6.05673597E-05   9.47587533E-08   2.85702825E-07  
  48               9.24025940E-02   1.42204500E+03   8.38707284E-01   1.60249023E-01   1.96501701E-05   5.29169681E-04   3.73845214E-04   6.05891945E-05   3.11237801E-07   2.85689912E-07  
  49               1.06095660E-01   1.47637594E+03   8.38686165E-01   1.60249836E-01   3.68892190E-05   5.29195413E-04   3.73907671E-04   6.05921670E-05   1.34515096E-06   2.30639902E-06  
  50               1.20901116E-01   1.52912312E+03   8.38633948E-01   1.60244648E-01   6.49944941E-05   5.29356032E-04   3.74115413E-04   6.06106260E-05   8.72943389E-06   2.30623404E-06  
  51               1.36251318E-01   1.57869034E+03   8.38554495E-01   1.60240696E-01   1.06725777E-04   5.29621802E-04   3.74492676E-04   6.06412061E-05   3.39448273E-05   1.13459807E-05  
  52               1.51530267E-01   1.62381373E+03   8.38429875E-01   1.60231635E-01   1.63028787E-04   5.30052096E-04   3.75067786E-04   6.06907490E-05   6.65177965E-05   1.13448744E-05  
  53               1.66095598E-01   1.66359889E+03   8.38366082E-01   1.60226034E-01   2.32141198E-04   5.30020175E-04   3.75263481E-04   6.06874589E-05   6.64919606E-05   5.55348402E-05  
  54               1.79760288E-01   1.69846046E+03   8.38291869E-01   1.60219453E-01   3.11854376E-04   5.30464318E-04   3.75740404E-04   6.07388115E-05   6.64676644E-05   5.55305185E-05  
