# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H                H2S             
  34               4.49817000E-02   1.83329839E+02   8.38107280E-01   1.60470235E-01   7.78153817E-04   5.28894677E-04   4.07859385E-05   4.05053018E-05   1.42333457E-59   2.29839873E-05  
  35               5.47684638E-02   1.92433647E+02   8.38096439E-01   1.60468159E-01   7.78152900E-04   5.28894054E-04   4.07858904E-05   4.05052541E-05   1.09335562E-56   2.29836900E-05  
  36               6.66544445E-02   2.01007850E+02   8.37922741E-01   1.60434902E-01   7.78174644E-04   5.28908832E-04   4.07870300E-05   4.05063859E-05   3.25139200E-54   2.29789266E-05  
  37               8.10825175E-02   2.10625880E+02   8.38112706E-01   1.60471274E-01   7.78288526E-04   5.28986236E-04   4.07929990E-05   4.05123140E-05   1.11943289E-51   2.29841361E-05  
  38               9.85891794E-02   2.19497393E+02   8.37670858E-01   1.60386675E-01   7.78351578E-04   5.29029091E-04   4.07963038E-05   4.05155961E-05   1.53350291E-49   2.29720190E-05  
  39               1.19820369E-01   2.29300918E+02   8.38112798E-01   1.60471292E-01   7.78227068E-04   5.28944464E-04   4.07897777E-05   4.05091150E-05   2.27252214E-47   2.29841387E-05  
  40               1.45571330E-01   2.38284962E+02   8.38111995E-01   1.60471138E-01   7.78763195E-04   5.29308858E-04   4.08178781E-05   4.05370222E-05   1.52319237E-45   2.29841166E-05  
  41               1.76818741E-01   2.48197816E+02   8.38111990E-01   1.60471137E-01   7.78766945E-04   5.29311407E-04   4.08180747E-05   4.05372174E-05   1.11123795E-43   2.29841165E-05  
  42               2.14751542E-01   2.57479609E+02   8.38111989E-01   1.60471137E-01   7.78767170E-04   5.29311560E-04   4.08180864E-05   4.05372292E-05   4.51939599E-42   2.29841165E-05  
  43               2.60830502E-01   2.67897242E+02   8.38111989E-01   1.60471137E-01   7.78767406E-04   5.29311721E-04   4.08180988E-05   4.05372416E-05   2.14117746E-40   2.29841165E-05  
  44               3.16809223E-01   2.77973374E+02   8.38111989E-01   1.60471137E-01   7.78767664E-04   5.29311896E-04   4.08181123E-05   4.05372551E-05   6.72797570E-39   2.29841165E-05  
