# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   3.11414197E+02   8.38551877E-01   1.60525189E-01   2.99531620E-32   5.05767504E-04   2.82835834E-04   6.02970259E-05   0.00000000E+00   4.20801245E-05  
  2                1.30419163E-04   3.67042603E+02   8.38552512E-01   1.60524554E-01   2.92660771E-27   5.05767543E-04   2.82835859E-04   6.02969940E-05   0.00000000E+00   4.20801293E-05  
  3                2.62447427E-04   3.89334609E+02   8.38553136E-01   1.60523934E-01   1.24370621E-25   5.05765829E-04   2.82834907E-04   6.02967146E-05   0.00000000E+00   4.20799897E-05  
  4                4.13492911E-04   4.04915968E+02   8.38553458E-01   1.60523610E-01   1.33207525E-24   5.05764883E-04   2.82834383E-04   6.02965398E-05   0.00000000E+00   4.20799136E-05  
  5                5.87967027E-04   4.17082670E+02   8.38553606E-01   1.60523439E-01   7.43001948E-24   5.05764134E-04   2.82833968E-04   6.02963960E-05   0.00000000E+00   4.20798534E-05  
  6                7.90196463E-04   4.29020003E+02   8.38553717E-01   1.60523212E-01   3.70752763E-23   5.05766872E-04   2.82835503E-04   6.02966726E-05   0.00000000E+00   4.20800833E-05  
  7                1.02511974E-03   4.38911050E+02   8.38553462E-01   1.60523122E-01   1.29703516E-22   5.05766557E-04   2.82835331E-04   6.02965881E-05   0.00000000E+00   4.20800589E-05  
  8                1.29906292E-03   4.47222756E+02   8.38553266E-01   1.60523318E-01   3.51264285E-22   5.05766858E-04   2.82835503E-04   6.02965791E-05   0.00000000E+00   4.20800857E-05  
  9                1.61896412E-03   4.55557339E+02   8.38553312E-01   1.60523273E-01   9.23939277E-22   5.05766436E-04   2.82835270E-04   6.02964855E-05   0.00000000E+00   4.20800524E-05  
  10               1.99286327E-03   4.62882132E+02   8.38553307E-01   1.60523278E-01   2.07891122E-21   5.05766105E-04   2.82835089E-04   6.02964036E-05   0.00000000E+00   4.20800266E-05  
  11               2.43015028E-03   4.70472786E+02   8.38553325E-01   1.60523261E-01   4.71543409E-21   5.05765737E-04   2.82834886E-04   6.02963179E-05   0.00000000E+00   4.20799976E-05  
  12               2.94175172E-03   4.77324147E+02   8.38553305E-01   1.60523281E-01   9.57506553E-21   5.05765438E-04   2.82834722E-04   6.02962408E-05   0.00000000E+00   4.20799744E-05  
  13               3.54037937E-03   4.84741928E+02   8.38553318E-01   1.60523269E-01   2.03158534E-20   5.05765086E-04   2.82834528E-04   6.02961576E-05   0.00000000E+00   4.20799467E-05  
  14               4.24082710E-03   4.91565824E+02   8.38553298E-01   1.60523289E-01   3.94875282E-20   5.05764788E-04   2.82834365E-04   6.02960809E-05   0.00000000E+00   4.20799236E-05  
  15               5.06033270E-03   4.99024343E+02   8.38553310E-01   1.60523278E-01   8.05792353E-20   5.05764436E-04   2.82834171E-04   6.02959975E-05   0.00000000E+00   4.20798959E-05  
  16               6.01892781E-03   5.05975870E+02   8.38553293E-01   1.60523296E-01   1.52700219E-19   5.05764132E-04   2.82834005E-04   6.02959198E-05   0.00000000E+00   4.20798723E-05  
  17               7.13992570E-03   5.13739368E+02   8.38553312E-01   1.60523277E-01   3.08212783E-19   5.05763769E-04   2.82833805E-04   6.02958345E-05   0.00000000E+00   4.20798437E-05  
  18               8.45068973E-03   5.21023581E+02   8.38553303E-01   1.60523287E-01   5.80798594E-19   5.05763448E-04   2.82833629E-04   6.02957540E-05   0.00000000E+00   4.20798186E-05  
  19               9.98302817E-03   5.29204488E+02   8.38553331E-01   1.60523260E-01   1.16905579E-18   5.05763069E-04   2.82833420E-04   6.02956659E-05   0.00000000E+00   4.20797887E-05  
  20               1.17737237E-02   5.37026343E+02   8.38553335E-01   1.60523256E-01   2.22569736E-18   5.05762724E-04   2.82833230E-04   6.02955813E-05   0.00000000E+00   4.20797617E-05  
  21               1.38653436E-02   5.45932634E+02   8.38553380E-01   1.60523212E-01   4.57325294E-18   5.05762318E-04   2.82833006E-04   6.02954888E-05   0.00000000E+00   4.20797296E-05  
  22               1.63071120E-02   5.54557347E+02   8.38553404E-01   1.60523189E-01   8.94700152E-18   5.05761938E-04   2.82832797E-04   6.02953987E-05   0.00000000E+00   4.20796997E-05  
  23               1.91557888E-02   5.64293276E+02   8.38553463E-01   1.60523130E-01   1.87747330E-17   5.05761510E-04   2.82832562E-04   6.02953021E-05   0.00000000E+00   4.20796659E-05  
  24               2.24763704E-02   5.73860771E+02   8.38553505E-01   1.60523088E-01   3.78303333E-17   5.05761096E-04   2.82832334E-04   6.02952063E-05   0.00000000E+00   4.20796333E-05  
  25               2.63430257E-02   5.84756073E+02   8.38553584E-01   1.60523010E-01   8.24124617E-17   5.05760630E-04   2.82832076E-04   6.02951032E-05   0.00000000E+00   4.20795962E-05  
  26               3.08406685E-02   5.95630790E+02   8.38553649E-01   1.60522946E-01   1.73859380E-16   5.05760176E-04   2.82831826E-04   6.02950006E-05   0.00000000E+00   4.20795603E-05  
  27               3.60658255E-02   6.07873280E+02   8.38553743E-01   1.60522852E-01   3.93105122E-16   5.05759699E-04   2.82831563E-04   6.02948942E-05   0.00000000E+00   4.20795225E-05  
  28               4.21271718E-02   6.20209188E+02   8.38553824E-01   1.60522771E-01   8.64289243E-16   5.05759208E-04   2.82831292E-04   6.02947850E-05   0.00000000E+00   4.20794836E-05  
  29               4.91480912E-02   6.34172122E+02   8.38553931E-01   1.60522663E-01   2.04716794E-15   5.05758798E-04   2.82831067E-04   6.02946840E-05   0.00000000E+00   4.20794514E-05  
  30               5.72723905E-02   6.48477978E+02   8.38554022E-01   1.60522564E-01   4.76274251E-15   5.05758256E-04   2.82830768E-04   6.02945661E-05   0.00000000E+00   4.20794083E-05  
  31               6.66626064E-02   6.64550107E+02   8.38554134E-01   1.60522446E-01   1.18530855E-14   5.05758321E-04   2.82830808E-04   6.02945188E-05   0.00000000E+00   4.20794157E-05  
  32               7.74984830E-02   6.81119387E+02   8.38554199E-01   1.60522332E-01   2.89958905E-14   5.05757647E-04   2.82830436E-04   6.02943819E-05   0.00000000E+00   4.20793618E-05  
  33               8.99763633E-02   6.99702837E+02   8.38554281E-01   1.60522201E-01   7.56514591E-14   5.05760675E-04   2.82832133E-04   6.02946844E-05   0.00000000E+00   4.20796158E-05  
  34               1.04306930E-01   7.19107441E+02   8.38554269E-01   1.60522059E-01   1.95402985E-13   5.05759950E-04   2.82831732E-04   6.02945376E-05   0.00000000E+00   4.20795577E-05  
  35               1.20719076E-01   7.40836601E+02   8.38554189E-01   1.60521876E-01   5.36126973E-13   5.05762308E-04   2.82833055E-04   6.02947562E-05   0.00000000E+00   4.20797561E-05  
  36               1.39452793E-01   7.63519132E+02   8.38554347E-01   1.60521715E-01   1.44668606E-12   5.05761606E-04   2.82832667E-04   6.02946077E-05   0.00000000E+00   4.20797000E-05  
  37               1.60788303E-01   7.88710213E+02   8.38554587E-01   1.60521466E-01   4.09427690E-12   5.05760762E-04   2.82832200E-04   6.02944399E-05   0.00000000E+00   4.20796322E-05  
  38               1.85044650E-01   8.15103926E+02   8.38554977E-01   1.60521045E-01   1.13697677E-11   5.05759755E-04   2.82831642E-04   6.02942500E-05   0.00000000E+00   4.20795510E-05  
  39               2.12547313E-01   8.44141134E+02   8.38555763E-01   1.60520154E-01   3.26095034E-11   5.05758613E-04   2.82831008E-04   6.02940409E-05   0.00000000E+00   4.20794585E-05  
  40               2.43631089E-01   8.74376228E+02   8.38557289E-01   1.60518283E-01   9.06686643E-11   5.05757707E-04   2.82830507E-04   6.02938564E-05   0.00000000E+00   4.20793858E-05  
  41               2.78619104E-01   9.06984996E+02   8.38560077E-01   1.60514067E-01   2.53660736E-10   5.05764189E-04   2.82834138E-04   6.02945482E-05   0.00000000E+00   4.20799279E-05  
  42               3.17822706E-01   9.40430292E+02   8.38566187E-01   1.60506029E-01   6.75951440E-10   5.05748508E-04   2.82825374E-04   6.02925920E-05   0.00000000E+00   4.20786260E-05  
  43               3.61685194E-01   9.75871633E+02   8.38580945E-01   1.60491350E-01   1.77672645E-09   5.05722961E-04   2.82811087E-04   6.02894504E-05   0.00000000E+00   4.20765023E-05  
  44               4.10696817E-01   1.01195190E+03   8.38603558E-01   1.60468843E-01   4.42635054E-09   5.05686044E-04   2.82790418E-04   6.02849372E-05   4.56370917E-16   4.20734247E-05  
  45               4.65388782E-01   1.04914556E+03   8.38633241E-01   1.60439272E-01   1.06133954E-08   5.05640958E-04   2.82765046E-04   6.02794102E-05   4.05633591E-15   4.20696059E-05  
  46               5.26330680E-01   1.08638998E+03   8.38665063E-01   1.60407551E-01   2.39373675E-08   5.05593712E-04   2.82737786E-04   6.02735042E-05   3.15995057E-14   4.20651756E-05  
  47               5.94096325E-01   1.12475532E+03   8.38696174E-01   1.60376512E-01   5.22620762E-08   5.05552102E-04   2.82710574E-04   6.02678608E-05   2.29468583E-13   4.20585932E-05  
  48               6.69385207E-01   1.16273989E+03   8.38722359E-01   1.60350356E-01   1.07304463E-07   5.05527376E-04   2.82680420E-04   6.02629225E-05   1.42663014E-12   4.20398483E-05  
  49               7.53201490E-01   1.20131604E+03   8.38743793E-01   1.60328919E-01   2.12327708E-07   5.05539798E-04   2.82630509E-04   6.02588076E-05   8.01872470E-12   4.19682202E-05  
  50               8.46635397E-01   1.23963590E+03   8.38760137E-01   1.60312644E-01   3.99862797E-07   5.05629563E-04   2.82513847E-04   6.02553925E-05   3.92875341E-11   4.17141368E-05  
  51               9.51019761E-01   1.27857735E+03   8.38772903E-01   1.60300293E-01   7.30547119E-07   5.05868478E-04   2.82233662E-04   6.02524695E-05   1.75871189E-10   4.09586245E-05  
  52               1.06806465E+00   1.31717116E+03   8.38782931E-01   1.60291604E-01   1.27749680E-06   5.06367146E-04   2.81630631E-04   6.02496973E-05   6.96017346E-10   3.90951049E-05  
  53               1.19996718E+00   1.35622239E+03   8.38791778E-01   1.60285567E-01   2.17203488E-06   5.07268449E-04   2.80516995E-04   6.02468860E-05   2.53747254E-09   3.54071438E-05  
  54               1.34933694E+00   1.39473999E+03   8.38799598E-01   1.60281750E-01   3.54699540E-06   5.08715493E-04   2.78793666E-04   6.02442351E-05   8.29311192E-09   2.98609419E-05  
  55               1.51879262E+00   1.43379869E+03   8.38805254E-01   1.60279093E-01   5.66367233E-06   5.10793779E-04   2.76661675E-04   6.02426772E-05   2.54218089E-08   2.37116375E-05  
