# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  1                1.00000000E-05   5.11161302E+01   8.38316689E-01   1.60510278E-01   5.92961017E-04   3.55650396E-04   1.34444098E-04   5.87177736E-05   3.16388500E-109  2.29871948E-05  
  2                9.56670772E-05   6.62624097E+01   8.38316689E-01   1.60510278E-01   5.92961032E-04   3.55650405E-04   1.34444101E-04   5.87177747E-05   1.02291474E-109  2.29871948E-05  
  3                1.94536562E-04   7.50909276E+01   8.38316689E-01   1.60510278E-01   5.92961043E-04   3.55650412E-04   1.34444103E-04   5.87177755E-05   7.17331780E-110  2.29871948E-05  
  4                3.04359642E-04   8.26770208E+01   8.38316689E-01   1.60510278E-01   5.92961049E-04   3.55650416E-04   1.34444105E-04   5.87177760E-05   5.73491728E-110  2.29871948E-05  
  5                4.25054096E-04   8.81061845E+01   8.38316689E-01   1.60510278E-01   5.92961055E-04   3.55650419E-04   1.34444106E-04   5.87177764E-05   4.85286921E-110  2.29871948E-05  
  6                5.59108152E-04   9.43513396E+01   8.38316689E-01   1.60510278E-01   5.92961060E-04   3.55650422E-04   1.34444107E-04   5.87177767E-05   4.23128986E-110  2.29871948E-05  
  7                7.08946713E-04   9.91363915E+01   8.38314085E-01   1.60509779E-01   5.92957200E-04   3.55648107E-04   1.34443232E-04   5.87173945E-05   3.75761729E-110  2.29871234E-05  
  8                8.77137867E-04   1.05183055E+02   8.38307800E-01   1.60508576E-01   5.92944362E-04   3.55640407E-04   1.34440321E-04   5.87161231E-05   1.26854067E-104  2.29869510E-05  
  9                1.06653495E-03   1.09773981E+02   8.38226792E-01   1.60493065E-01   5.92921305E-04   3.55626578E-04   1.34435093E-04   5.87138399E-05   3.62891052E-100  2.29847297E-05  
  10               1.28040349E-03   1.15815462E+02   8.38316572E-01   1.60510255E-01   5.93033339E-04   3.55693774E-04   1.34460495E-04   5.87249340E-05   7.91010557E-95   2.29871915E-05  
  11               1.52230885E-03   1.20469377E+02   8.38316573E-01   1.60510255E-01   5.93032869E-04   3.55693492E-04   1.34460389E-04   5.87248874E-05   4.32910603E-91   2.29871916E-05  
  12               1.79622719E-03   1.26692344E+02   8.38316572E-01   1.60510255E-01   5.93033391E-04   3.55693805E-04   1.34460507E-04   5.87249391E-05   1.64716928E-86   2.29871915E-05  
  13               2.10659392E-03   1.31428380E+02   8.38316572E-01   1.60510255E-01   5.93033392E-04   3.55693806E-04   1.34460507E-04   5.87249391E-05   2.52976337E-83   2.29871915E-05  
  14               2.45853572E-03   1.37911647E+02   8.38316570E-01   1.60510255E-01   5.93033390E-04   3.55693805E-04   1.34460507E-04   5.87249389E-05   2.63567240E-79   2.29871915E-05  
  15               2.85773792E-03   1.43032893E+02   8.38316559E-01   1.60510253E-01   5.93033378E-04   3.55693797E-04   1.34460504E-04   5.87249377E-05   2.13517316E-76   2.29871912E-05  
  16               3.31062286E-03   1.50133347E+02   8.38316528E-01   1.60510247E-01   5.93033337E-04   3.55693773E-04   1.34460495E-04   5.87249336E-05   1.10723806E-72   2.29871903E-05  
  17               3.82444344E-03   1.55805303E+02   8.38316305E-01   1.60510204E-01   5.93033189E-04   3.55693684E-04   1.34460461E-04   5.87249189E-05   5.76955217E-70   2.29871842E-05  
  18               4.40766353E-03   1.63426863E+02   8.38315811E-01   1.60510109E-01   5.93032610E-04   3.55693337E-04   1.34460330E-04   5.87248615E-05   1.32918647E-66   2.29871707E-05  
  19               5.07002757E-03   1.69508665E+02   8.38312751E-01   1.60509524E-01   5.93030934E-04   3.55692332E-04   1.34459950E-04   5.87246955E-05   3.82478829E-64   2.29870868E-05  
  20               5.82248926E-03   1.77586465E+02   8.38306879E-01   1.60508399E-01   5.93025280E-04   3.55688941E-04   1.34458668E-04   5.87241355E-05   3.94531679E-61   2.29869258E-05  
  21               6.67710466E-03   1.84135784E+02   8.38274527E-01   1.60502205E-01   5.93009818E-04   3.55679666E-04   1.34455162E-04   5.87226042E-05   6.89438771E-59   2.29860386E-05  
  22               7.64724463E-03   1.92754507E+02   8.38202514E-01   1.60488417E-01   5.92956317E-04   3.55647577E-04   1.34443032E-04   5.87173063E-05   3.66872089E-56   2.29840640E-05  
  23               8.74694777E-03   2.00534378E+02   8.37831951E-01   1.60417466E-01   5.92863919E-04   3.55592158E-04   1.34422082E-04   5.87081565E-05   6.60243411E-54   2.29739029E-05  
  24               9.99342556E-03   2.09774210E+02   8.38315815E-01   1.60510110E-01   5.93500446E-04   3.55973939E-04   1.34566404E-04   5.87711883E-05   1.92725649E-51   2.29871708E-05  
  25               1.14065256E-02   2.17669661E+02   8.38315815E-01   1.60510110E-01   5.93500156E-04   3.55973765E-04   1.34566338E-04   5.87711594E-05   1.65940650E-49   2.29871708E-05  
  26               1.30095886E-02   2.26479089E+02   8.38315820E-01   1.60510111E-01   5.93497421E-04   3.55972124E-04   1.34565718E-04   5.87708884E-05   1.66485266E-47   2.29871709E-05  
  27               1.48284697E-02   2.33682807E+02   8.38315814E-01   1.60510110E-01   5.93500603E-04   3.55974033E-04   1.34566440E-04   5.87712034E-05   5.48994327E-46   2.29871708E-05  
  28               1.68933226E-02   2.41758357E+02   8.38315814E-01   1.60510110E-01   5.93500609E-04   3.55974037E-04   1.34566441E-04   5.87712038E-05   2.16696927E-44   2.29871708E-05  
  29               1.92393493E-02   2.48518305E+02   8.38315814E-01   1.60510110E-01   5.93500611E-04   3.55974038E-04   1.34566441E-04   5.87712038E-05   3.86058683E-43   2.29871708E-05  
  30               2.19055856E-02   2.56408086E+02   8.38315814E-01   1.60510110E-01   5.93500621E-04   3.55974044E-04   1.34566444E-04   5.87712047E-05   9.25349291E-42   2.29871708E-05  
  31               2.49354598E-02   2.63268738E+02   8.38315814E-01   1.60510110E-01   5.93500603E-04   3.55974033E-04   1.34566439E-04   5.87712027E-05   1.24177284E-40   2.29871708E-05  
  32               2.83780508E-02   2.71466619E+02   8.38315814E-01   1.60510110E-01   5.93500635E-04   3.55974052E-04   1.34566447E-04   5.87712056E-05   2.34855422E-39   2.29871708E-05  
  33               3.22879736E-02   2.78809567E+02   8.38315814E-01   1.60510110E-01   5.93500642E-04   3.55974057E-04   1.34566448E-04   5.87712061E-05   2.79668460E-38   2.29871708E-05  
  34               3.67261451E-02   2.87685784E+02   8.38315814E-01   1.60510110E-01   5.93500649E-04   3.55974061E-04   1.34566450E-04   5.87712066E-05   4.76561452E-37   2.29871708E-05  
  35               4.17605386E-02   2.95855725E+02   8.38315814E-01   1.60510110E-01   5.93500657E-04   3.55974066E-04   1.34566452E-04   5.87712072E-05   5.53269389E-36   2.29871708E-05  
  36               4.74665607E-02   3.05775438E+02   8.38315814E-01   1.60510110E-01   5.93500665E-04   3.55974070E-04   1.34566453E-04   5.87712077E-05   9.19828960E-35   2.29871708E-05  
  37               5.39259994E-02   3.15375439E+02   8.38315814E-01   1.60510110E-01   5.93500678E-04   3.55974078E-04   1.34566456E-04   5.87712087E-05   1.17455910E-33   2.29871708E-05  
  38               6.12254759E-02   3.27510987E+02   8.38315813E-01   1.60510110E-01   5.93500687E-04   3.55974084E-04   1.34566458E-04   5.87712093E-05   2.40410045E-32   2.29871707E-05  
  39               6.94504895E-02   3.40541649E+02   8.38315814E-01   1.60510109E-01   5.93500718E-04   3.55974102E-04   1.34566465E-04   5.87712120E-05   4.84419417E-31   2.29871706E-05  
  40               7.87154540E-02   3.53419447E+02   8.38315803E-01   1.60510106E-01   5.93500718E-04   3.55974103E-04   1.34566465E-04   5.87712117E-05   7.55135856E-30   2.29871702E-05  
  41               8.91532582E-02   3.67240172E+02   8.38315806E-01   1.60510103E-01   5.93500954E-04   3.55974244E-04   1.34566519E-04   5.87712346E-05   1.16301139E-28   2.29871698E-05  
  42               1.00909961E-01   3.80933267E+02   8.38315811E-01   1.60510098E-01   5.93500959E-04   3.55974247E-04   1.34566520E-04   5.87712347E-05   1.43081934E-27   2.29871691E-05  
  43               1.14146002E-01   3.95625750E+02   8.38315313E-01   1.60509989E-01   5.93500710E-04   3.55974097E-04   1.34566463E-04   5.87712096E-05   1.74460769E-26   2.29871535E-05  
  44               1.29035587E-01   4.10188979E+02   8.38315377E-01   1.60509915E-01   5.93506222E-04   3.55977403E-04   1.34567713E-04   5.87717549E-05   1.73742773E-25   2.29871428E-05  
  45               1.45766982E-01   4.25799422E+02   8.38315429E-01   1.60509862E-01   5.93506140E-04   3.55977354E-04   1.34567694E-04   5.87717462E-05   1.71611240E-24   2.29871352E-05  
  46               1.64557228E-01   4.41270791E+02   8.38315512E-01   1.60509759E-01   5.93505968E-04   3.55977251E-04   1.34567655E-04   5.87717285E-05   1.41045800E-23   2.29871205E-05  
