# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  34               3.06498665E-02   1.73871915E+02   8.38153210E-01   1.60479021E-01   7.57022893E-04   5.09363755E-04   5.39955753E-05   2.29836453E-05   1.35852057E-05   5.09620800E-06  
  35               3.48750453E-02   1.81241275E+02   8.38150238E-01   1.60478452E-01   7.57023926E-04   5.09364450E-04   5.39956490E-05   2.29835637E-05   1.35852242E-05   5.09621496E-06  
  36               3.96757200E-02   1.89012595E+02   8.38141320E-01   1.60476745E-01   7.57027501E-04   5.09366855E-04   5.39959040E-05   2.29833192E-05   1.35852883E-05   5.09623902E-06  
  37               4.51257680E-02   1.96938965E+02   8.38114426E-01   1.60471595E-01   7.57038610E-04   5.09374330E-04   5.39966963E-05   2.29825817E-05   1.35854877E-05   5.09631381E-06  
  38               5.13083820E-02   2.05256749E+02   8.38043306E-01   1.60457978E-01   7.57072225E-04   5.09396948E-04   5.39990939E-05   2.29806315E-05   1.35860909E-05   5.09654010E-06  
  39               5.83166936E-02   2.13725869E+02   8.37668230E-01   1.60386163E-01   7.57164149E-04   5.09458799E-04   5.40056505E-05   2.29703462E-05   1.35877405E-05   5.09715892E-06  
  40               6.62550287E-02   2.22586849E+02   8.38153583E-01   1.60479093E-01   7.57578821E-04   5.09737812E-04   5.40352275E-05   2.29836555E-05   1.35951821E-05   5.09995046E-06  
  41               7.52408236E-02   2.31611318E+02   8.38153684E-01   1.60479112E-01   7.57510481E-04   5.09691829E-04   5.40303530E-05   2.29836583E-05   1.35939556E-05   5.09949040E-06  
  42               8.54067285E-02   2.41032052E+02   8.38154168E-01   1.60479205E-01   7.57184552E-04   5.09472528E-04   5.40071057E-05   2.29836715E-05   1.35881067E-05   5.09729628E-06  
  43               9.69075212E-02   2.50640357E+02   8.38153523E-01   1.60479081E-01   7.57618916E-04   5.09764790E-04   5.40380873E-05   2.29836538E-05   1.35959016E-05   5.10022038E-06  
  44               1.09919916E-01   2.60667487E+02   8.38153524E-01   1.60479081E-01   7.57618439E-04   5.09764469E-04   5.40380532E-05   2.29836539E-05   1.35958930E-05   5.10021717E-06  
  45               1.24640852E-01   2.70916166E+02   8.38153529E-01   1.60479082E-01   7.57615130E-04   5.09762242E-04   5.40378172E-05   2.29836540E-05   1.35958336E-05   5.10019489E-06  
  46               1.41281735E-01   2.81598855E+02   8.38153523E-01   1.60479081E-01   7.57619138E-04   5.09764939E-04   5.40381030E-05   2.29836538E-05   1.35959055E-05   5.10022188E-06  
  47               1.60080664E-01   2.92520442E+02   8.38153523E-01   1.60479081E-01   7.57619171E-04   5.09764962E-04   5.40381054E-05   2.29836538E-05   1.35959061E-05   5.10022210E-06  
  48               1.81323675E-01   3.03898236E+02   8.38153523E-01   1.60479081E-01   7.57619164E-04   5.09764957E-04   5.40381048E-05   2.29836538E-05   1.35959059E-05   5.10022205E-06  
  49               2.05324419E-01   3.15551674E+02   8.38153523E-01   1.60479081E-01   7.57619155E-04   5.09764951E-04   5.40381042E-05   2.29836538E-05   1.35959057E-05   5.10022200E-06  
  50               2.32432449E-01   3.27692088E+02   8.38153523E-01   1.60479081E-01   7.57619146E-04   5.09764944E-04   5.40381035E-05   2.29836538E-05   1.35959055E-05   5.10022193E-06  
  51               2.63031927E-01   3.40139390E+02   8.38153522E-01   1.60479081E-01   7.57619135E-04   5.09764937E-04   5.40381027E-05   2.29836538E-05   1.35959053E-05   5.10022186E-06  
  52               2.97545123E-01   3.53097310E+02   8.38153522E-01   1.60479081E-01   7.57619125E-04   5.09764931E-04   5.40381019E-05   2.29836538E-05   1.35959051E-05   5.10022180E-06  
  53               3.36454545E-01   3.66382702E+02   8.38153500E-01   1.60479076E-01   7.57619111E-04   5.09764921E-04   5.40381009E-05   2.29836531E-05   1.35959048E-05   5.10022171E-06  
  54               3.80289193E-01   3.80200224E+02   8.38153503E-01   1.60479074E-01   7.57619093E-04   5.09764909E-04   5.40380995E-05   2.29836528E-05   1.35959045E-05   5.10022158E-06  
  55               4.29625552E-01   3.94359706E+02   8.38153504E-01   1.60479073E-01   7.57619060E-04   5.09764887E-04   5.40380971E-05   2.29836527E-05   1.35959038E-05   5.10022137E-06  
  56               4.85106195E-01   4.09073864E+02   8.38153505E-01   1.60479072E-01   7.57619424E-04   5.09765132E-04   5.40381230E-05   2.29836525E-05   1.35959103E-05   5.10022382E-06  
  57               5.47428714E-01   4.24145496E+02   8.38153110E-01   1.60478992E-01   7.57619399E-04   5.09765115E-04   5.40381212E-05   2.29836411E-05   1.35959099E-05   5.10022366E-06  
  58               6.17379016E-01   4.39793613E+02   8.38153152E-01   1.60478947E-01   7.57619009E-04   5.09764852E-04   5.40380933E-05   2.29836346E-05   1.35959028E-05   5.10022103E-06  
  59               6.95830305E-01   4.55810620E+02   8.38153122E-01   1.60478928E-01   7.57618613E-04   5.09764586E-04   5.40380649E-05   2.29836319E-05   1.35958956E-05   5.10021837E-06  
  60               7.83724844E-01   4.72423268E+02   8.38152740E-01   1.60478863E-01   7.57627534E-04   5.09770589E-04   5.40387011E-05   2.29836226E-05   1.35960557E-05   5.10027843E-06  
  61               8.82092134E-01   4.89409651E+02   8.38152506E-01   1.60479094E-01   7.57628728E-04   5.09771392E-04   5.40387862E-05   2.29836557E-05   1.35960770E-05   5.10028647E-06  
  62               9.92118269E-01   5.07019628E+02   8.38149924E-01   1.60478503E-01   7.57628572E-04   5.09771287E-04   5.40387750E-05   2.29835710E-05   1.35960742E-05   5.10028542E-06  
  63               1.11512147E+00   5.25026131E+02   8.38150313E-01   1.60478110E-01   7.57631047E-04   5.09772953E-04   5.40389515E-05   2.29835147E-05   1.35961185E-05   5.10030209E-06  
  64               1.25261196E+00   5.43697406E+02   8.38150545E-01   1.60477882E-01   7.57628199E-04   5.09771037E-04   5.40387482E-05   2.29834821E-05   1.35960673E-05   5.10028293E-06  
  65               1.40622802E+00   5.62791098E+02   8.38150818E-01   1.60477509E-01   7.57685397E-04   5.09809522E-04   5.40428277E-05   2.29834286E-05   1.35970937E-05   5.10066798E-06  
  66               1.57767249E+00   5.82572200E+02   8.38151362E-01   1.60476967E-01   7.57684295E-04   5.09808781E-04   5.40427491E-05   2.29833510E-05   1.35970738E-05   5.10066057E-06  
  67               1.76871231E+00   6.02764199E+02   8.38152128E-01   1.60476202E-01   7.57683209E-04   5.09808051E-04   5.40426715E-05   2.29832415E-05   1.35970542E-05   5.10065327E-06  
  68               1.98143355E+00   6.23654656E+02   8.38153165E-01   1.60475169E-01   7.57680988E-04   5.09806556E-04   5.40425128E-05   2.29830935E-05   1.35970142E-05   5.10063832E-06  
  69               2.21820099E+00   6.44975570E+02   8.38154455E-01   1.60473884E-01   7.57678141E-04   5.09804641E-04   5.40423096E-05   2.29829095E-05   1.35969630E-05   5.10061916E-06  
  70               2.48168862E+00   6.67038274E+02   8.38155989E-01   1.60472356E-01   7.57674682E-04   5.09802313E-04   5.40420627E-05   2.29826906E-05   1.35969008E-05   5.10059588E-06  
  71               2.77461880E+00   6.89542792E+02   8.38157668E-01   1.60470683E-01   7.57670814E-04   5.09799711E-04   5.40417866E-05   2.29824511E-05   1.35968312E-05   5.10056985E-06  
  72               3.09976600E+00   7.12782389E+02   8.38159440E-01   1.60468915E-01   7.57666650E-04   5.09796910E-04   5.40414894E-05   2.29821978E-05   1.35967564E-05   5.10054183E-06  
  73               3.45997849E+00   7.36422791E+02   8.38161178E-01   1.60467167E-01   7.57662490E-04   5.09794110E-04   5.40411924E-05   2.29819475E-05   1.35966815E-05   5.10051383E-06  
  74               3.85863535E+00   7.60785915E+02   8.38162827E-01   1.60465460E-01   7.57658474E-04   5.09791408E-04   5.40409057E-05   2.29817029E-05   1.35966093E-05   5.10048681E-06  
  75               4.30012279E+00   7.85584520E+02   8.38164351E-01   1.60463880E-01   7.57654880E-04   5.09788990E-04   5.40406490E-05   2.29814765E-05   1.35965446E-05   5.10046265E-06  
  76               4.78948890E+00   8.11194427E+02   8.38165693E-01   1.60462401E-01   7.57651893E-04   5.09786981E-04   5.40404357E-05   2.29812644E-05   1.35964907E-05   5.10044262E-06  
  77               5.33173262E+00   8.37290692E+02   8.38166793E-01   1.60461061E-01   7.57653456E-04   5.09788033E-04   5.40405468E-05   2.29810720E-05   1.35965185E-05   5.10045348E-06  
  78               5.93175359E+00   8.64195112E+02   8.38167961E-01   1.60459887E-01   7.57651662E-04   5.09786826E-04   5.40404184E-05   2.29809028E-05   1.35964861E-05   5.10044297E-06  
  79               6.59428837E+00   8.91530349E+02   8.38168965E-01   1.60458857E-01   7.57653053E-04   5.09787762E-04   5.40405172E-05   2.29867727E-05   1.35965107E-05   5.10045945E-06  
  80               7.32397159E+00   9.19584791E+02   8.38169830E-01   1.60457936E-01   7.57650962E-04   5.09786355E-04   5.40403676E-05   2.30007422E-05   1.35964729E-05   5.10047630E-06  
  81               8.12703661E+00   9.48012791E+02   8.38170503E-01   1.60457122E-01   7.57649431E-04   5.09785326E-04   5.40402579E-05   2.30341766E-05   1.35964450E-05   5.10059363E-06  
  82               9.01118690E+00   9.77204966E+02   8.38170930E-01   1.60456363E-01   7.57649064E-04   5.09785079E-04   5.40402311E-05   2.31132741E-05   1.35964381E-05   5.10108510E-06  
  83               9.98410690E+00   1.00679716E+03   8.38170925E-01   1.60455628E-01   7.57651354E-04   5.09786619E-04   5.40403939E-05   2.32899899E-05   1.35964788E-05   5.10290131E-06  
  84               1.10532966E+01   1.03714521E+03   8.38170302E-01   1.60454854E-01   7.57659846E-04   5.09792329E-04   5.40409996E-05   2.36722479E-05   1.35966309E-05   5.10910219E-06  
  85               1.22260959E+01   1.06782654E+03   8.38169735E-01   1.60454155E-01   7.57671761E-04   5.09800315E-04   5.40418518E-05   2.42847384E-05   1.35968450E-05   5.12896664E-06  
  86               1.35101868E+01   1.09920479E+03   8.38170315E-01   1.60453513E-01   7.57669837E-04   5.09798857E-04   5.40417301E-05   2.42845634E-05   1.35968142E-05   5.18838065E-06  
  87               1.49140397E+01   1.13084301E+03   8.38170880E-01   1.60452777E-01   7.57667662E-04   5.09796574E-04   5.40416565E-05   2.42843332E-05   1.35967953E-05   5.35376933E-06  
  88               1.64507349E+01   1.16322026E+03   8.38171399E-01   1.60451834E-01   7.57663877E-04   5.09790295E-04   5.40417648E-05   2.42840102E-05   1.35968222E-05   5.77187426E-06  
  89               1.81351275E+01   1.19595827E+03   8.38171727E-01   1.60450574E-01   7.57649028E-04   5.09764626E-04   5.40423252E-05   2.42835545E-05   1.35969625E-05   6.71616660E-06  
  90               1.99816764E+01   1.22953596E+03   8.38171749E-01   1.60448810E-01   7.57579408E-04   5.09657906E-04   5.40437052E-05   2.42828979E-05   1.35973079E-05   8.58900839E-06  
  91               2.20047944E+01   1.26347183E+03   8.38171529E-01   1.60446442E-01   7.57293732E-04   5.09259574E-04   5.40460378E-05   2.42819849E-05   1.35978884E-05   1.17894997E-05  
