# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              N2               H2S             
  34               1.88761444E-01   2.77413287E+02   8.38108237E-01   1.60470418E-01   7.79392814E-04   5.29935513E-04   7.20571320E-39   4.74356203E-05   3.72026208E-05   2.29817833E-05  
  35               2.28521947E-01   2.86221584E+02   8.38108237E-01   1.60470418E-01   7.79392816E-04   5.29935514E-04   1.19850024E-37   4.74356204E-05   3.72026208E-05   2.29817833E-05  
  36               2.76598495E-01   2.95515946E+02   8.38108237E-01   1.60470418E-01   7.79392819E-04   5.29935516E-04   1.94107157E-36   4.74356204E-05   3.72026209E-05   2.29817833E-05  
  37               3.34718201E-01   3.05102059E+02   8.38108237E-01   1.60470418E-01   7.79392823E-04   5.29935519E-04   2.86585316E-35   4.74356205E-05   3.72026210E-05   2.29817833E-05  
  38               4.04940248E-01   3.15248044E+02   8.38108237E-01   1.60470418E-01   7.79392827E-04   5.29935521E-04   4.14356565E-34   4.74356207E-05   3.72026211E-05   2.29817833E-05  
  39               4.89717562E-01   3.25830813E+02   8.38108237E-01   1.60470418E-01   7.79392832E-04   5.29935525E-04   5.62240257E-33   4.74356209E-05   3.72026212E-05   2.29817833E-05  
  40               5.91977258E-01   3.37147519E+02   8.38108236E-01   1.60470417E-01   7.79392840E-04   5.29935531E-04   7.63501915E-32   4.74356213E-05   3.72026215E-05   2.29817833E-05  
  41               7.15177296E-01   3.49143478E+02   8.38108236E-01   1.60470417E-01   7.79392848E-04   5.29935536E-04   1.00828167E-30   4.74356216E-05   3.72026217E-05   2.29817833E-05  
  42               8.63438742E-01   3.62168458E+02   8.38108234E-01   1.60470417E-01   7.79392866E-04   5.29935548E-04   1.37223231E-29   4.74356225E-05   3.72026225E-05   2.29817832E-05  
  43               1.04172654E+00   3.76161821E+02   8.38108234E-01   1.60470417E-01   7.79392874E-04   5.29935554E-04   1.85591813E-28   4.74356229E-05   3.72026227E-05   2.29817832E-05  
  44               1.25587236E+00   3.91439665E+02   8.38108090E-01   1.60470389E-01   7.79392929E-04   5.29935591E-04   2.58367963E-27   4.74356261E-05   3.72026252E-05   2.29817792E-05  
  45               1.51244350E+00   4.08060560E+02   8.38108105E-01   1.60470375E-01   7.79392692E-04   5.29935430E-04   3.63139513E-26   4.74356115E-05   3.72026137E-05   2.29817772E-05  
  46               1.81869355E+00   4.26475332E+02   8.38108100E-01   1.60470374E-01   7.79395653E-04   5.29937443E-04   5.35701035E-25   4.74357915E-05   3.72027549E-05   2.29817770E-05  
  47               2.18335773E+00   4.46648635E+02   8.38108094E-01   1.60470372E-01   7.79395677E-04   5.29937460E-04   7.93983083E-24   4.74357927E-05   3.72027558E-05   2.29817767E-05  
  48               2.61635192E+00   4.68727505E+02   8.38107691E-01   1.60470299E-01   7.79395727E-04   5.29937494E-04   1.16608010E-22   4.74357955E-05   3.72027580E-05   2.29817663E-05  
  49               3.12820040E+00   4.92558058E+02   8.38104450E-01   1.60470036E-01   7.79397171E-04   5.29938476E-04   1.61897939E-21   4.74358832E-05   3.72028267E-05   2.29817287E-05  
  50               3.73016711E+00   5.18331921E+02   8.38104750E-01   1.60469744E-01   7.79393167E-04   5.29935753E-04   2.12422818E-20   4.74356392E-05   3.72026353E-05   2.29816868E-05  
  51               4.43726087E+00   5.45945031E+02   8.38104671E-01   1.60469696E-01   7.79463819E-04   5.29983792E-04   2.55797841E-19   4.74399389E-05   3.72060075E-05   2.29816799E-05  
  52               5.26718924E+00   5.74005488E+02   8.38104726E-01   1.60469641E-01   7.79463770E-04   5.29983759E-04   2.49886067E-18   4.74399356E-05   3.72060048E-05   2.29816721E-05  
  53               6.23819884E+00   6.02713907E+02   8.38104827E-01   1.60469540E-01   7.79463629E-04   5.29983663E-04   2.05863994E-17   4.74399267E-05   3.72059978E-05   2.29816577E-05  
  54               7.36859428E+00   6.31518190E+02   8.38104993E-01   1.60469374E-01   7.79463361E-04   5.29983481E-04   1.40228336E-16   4.74399099E-05   3.72059846E-05   2.29816339E-05  
  55               8.68338786E+00   6.60786074E+02   8.38105253E-01   1.60469115E-01   7.79462885E-04   5.29983157E-04   8.27203143E-16   4.74398805E-05   3.72059615E-05   2.29815968E-05  
  56               1.02129299E+01   6.90413107E+02   8.38105628E-01   1.60468741E-01   7.79462186E-04   5.29982682E-04   4.26269220E-15   4.74398375E-05   3.72059277E-05   2.29815432E-05  
  57               1.19867315E+01   7.21192027E+02   8.38106159E-01   1.60468209E-01   7.79461136E-04   5.29981969E-04   2.02691831E-14   4.74397731E-05   3.72058772E-05   2.29814670E-05  
  58               1.40335233E+01   7.53337698E+02   8.38106878E-01   1.60467484E-01   7.79459711E-04   5.29981000E-04   9.00803262E-14   4.74396858E-05   3.72058087E-05   2.29813631E-05  
  59               1.63883268E+01   7.87968148E+02   8.38107844E-01   1.60466487E-01   7.79457722E-04   5.29979648E-04   3.92681842E-13   4.74395642E-05   3.72057132E-05   2.29812203E-05  
  60               1.91088955E+01   8.25609945E+02   8.38108970E-01   1.60465149E-01   7.79455326E-04   5.29978019E-04   1.69404288E-12   4.74394177E-05   3.72055983E-05   2.29810283E-05  
  61               2.22520516E+01   8.62649155E+02   8.38110097E-01   1.60463759E-01   7.79453513E-04   5.29976786E-04   6.26717734E-12   4.74393066E-05   3.72055111E-05   2.29808287E-05  
  62               2.58660596E+01   9.02795667E+02   8.38111641E-01   1.60462197E-01   7.79455127E-04   5.29977884E-04   2.29582650E-11   4.74394041E-05   3.72055875E-05   2.29806033E-05  
  63               2.99876756E+01   9.41781863E+02   8.38113003E-01   1.60460780E-01   7.79456341E-04   5.29978710E-04   7.24456867E-11   4.74394772E-05   3.72056447E-05   2.29910363E-05  
  64               3.46757147E+01   9.83765784E+02   8.38114361E-01   1.60459265E-01   7.79453579E-04   5.29976832E-04   2.25924395E-10   4.74393083E-05   3.72055121E-05   2.30250508E-05  
  65               4.00141596E+01   1.02446762E+03   8.38115188E-01   1.60457959E-01   7.79452622E-04   5.29976181E-04   6.19004695E-10   4.74392492E-05   3.72054657E-05   2.31213171E-05  
  66               4.60747724E+01   1.06840041E+03   8.38115189E-01   1.60456496E-01   7.79455539E-04   5.29978162E-04   1.68858630E-09   4.74394258E-05   3.72056042E-05   2.34095289E-05  
  67               5.29159609E+01   1.11060361E+03   8.38114532E-01   1.60455339E-01   7.79477114E-04   5.29992804E-04   4.08547922E-09   4.74407390E-05   3.72066339E-05   2.42849187E-05  
  68               6.05949469E+01   1.15589618E+03   8.38115488E-01   1.60454300E-01   7.79474974E-04   5.29991107E-04   9.83363624E-09   4.74406154E-05   3.72065374E-05   2.42846507E-05  
  69               6.92341757E+01   1.19925156E+03   8.38116150E-01   1.60453470E-01   7.79472958E-04   5.29987914E-04   2.13013399E-08   4.74405582E-05   3.72064950E-05   2.42843487E-05  
  70               7.90013087E+01   1.24101433E+03   8.38116578E-01   1.60452794E-01   7.79465648E-04   5.29972554E-04   4.23864502E-08   4.74405478E-05   3.72065016E-05   2.42839811E-05  
  71               9.00341084E+01   1.28213058E+03   8.38116883E-01   1.60452197E-01   7.79429857E-04   5.29904110E-04   7.95601151E-08   4.74405215E-05   3.72065543E-05   2.42835015E-05  
  72               1.02442622E+02   1.32294916E+03   8.38117227E-01   1.60451658E-01   7.79296182E-04   5.29679071E-04   1.42570331E-07   4.74402905E-05   3.72066945E-05   2.42828624E-05  
  73               1.16312797E+02   1.36434322E+03   8.38117836E-01   1.60451136E-01   7.78942533E-04   5.29165889E-04   2.48224332E-07   4.74391705E-05   3.72070970E-05   2.42819831E-05  
  74               1.31744536E+02   1.40659724E+03   8.38118783E-01   1.60450599E-01   7.78284679E-04   5.28328141E-04   4.22375808E-07   4.74350268E-05   3.72085577E-05   2.42807547E-05  
  75               1.49017803E+02   1.45062959E+03   8.38120076E-01   1.60449973E-01   7.77275495E-04   5.27133756E-04   7.11139453E-07   4.74208410E-05   3.72136578E-05   2.42789654E-05  
  76               1.68363443E+02   1.49654150E+03   8.38121737E-01   1.60449215E-01   7.75844492E-04   5.25503391E-04   1.18477795E-06   4.73757378E-05   3.72300231E-05   2.42762617E-05  
  77               1.89921316E+02   1.54475054E+03   8.38123839E-01   1.60448251E-01   7.73868006E-04   5.23284549E-04   1.96081505E-06   4.72486460E-05   3.72768294E-05   2.42718219E-05  
