# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.65196700E+02   8.37759845E-01   1.60403704E-01   7.18522663E-04   4.72933294E-04   1.54436119E-64   2.81269999E-05   5.57663321E-05   2.29718754E-05  
  2                2.87817326E-05   2.03517363E+02   8.38199213E-01   1.60487829E-01   7.18903238E-04   4.73183790E-04   7.78311807E-52   2.81418978E-05   5.57958695E-05   2.29839232E-05  
  3                5.10551988E-05   2.04354031E+02   8.38199213E-01   1.60487829E-01   7.18903240E-04   4.73183791E-04   9.88753930E-52   2.81418978E-05   5.57958697E-05   2.29839232E-05  
  4                7.83199533E-05   2.15456212E+02   8.38199213E-01   1.60487829E-01   7.18903243E-04   4.73183793E-04   5.82746797E-49   2.81418979E-05   5.57958699E-05   2.29839232E-05  
  5                1.11732777E-04   2.14896420E+02   8.38199212E-01   1.60487829E-01   7.18903246E-04   4.73183795E-04   3.55641065E-49   2.81418981E-05   5.57958702E-05   2.29839232E-05  
  6                1.52725480E-04   2.25129264E+02   8.38199212E-01   1.60487829E-01   7.18903251E-04   4.73183799E-04   7.68632397E-47   2.81418983E-05   5.57958707E-05   2.29839232E-05  
  7                2.02967503E-04   2.25243963E+02   8.38199212E-01   1.60487829E-01   7.18903258E-04   4.73183803E-04   7.07389095E-47   2.81418985E-05   5.57958713E-05   2.29839232E-05  
  8                2.64595573E-04   2.34801385E+02   8.38199212E-01   1.60487829E-01   7.18903266E-04   4.73183808E-04   7.00545909E-45   2.81418988E-05   5.57958720E-05   2.29839232E-05  
  9                3.40156102E-04   2.35137353E+02   8.38199212E-01   1.60487829E-01   7.18903277E-04   4.73183815E-04   7.24507926E-45   2.81418992E-05   5.57958729E-05   2.29839232E-05  
  10               4.32864530E-04   2.44224014E+02   8.38199212E-01   1.60487829E-01   7.18903289E-04   4.73183823E-04   4.03802434E-43   2.81418997E-05   5.57958740E-05   2.29839232E-05  
  11               5.46558071E-04   2.44898031E+02   8.38199212E-01   1.60487829E-01   7.18903304E-04   4.73183833E-04   4.82650834E-43   2.81419003E-05   5.57958754E-05   2.29839232E-05  
  12               6.86013206E-04   2.53982795E+02   8.38199212E-01   1.60487829E-01   7.18903322E-04   4.73183845E-04   1.97182652E-41   2.81419010E-05   5.57958770E-05   2.29839232E-05  
  13               8.56975519E-04   2.55054369E+02   8.38199212E-01   1.60487829E-01   7.18903343E-04   4.73183859E-04   2.72051339E-41   2.81419019E-05   5.57958788E-05   2.29839232E-05  
  14               1.06657275E-03   2.64288176E+02   8.38199212E-01   1.60487829E-01   7.18903368E-04   4.73183875E-04   8.81143920E-40   2.81419028E-05   5.57958809E-05   2.29839231E-05  
  15               1.32345298E-03   2.65529852E+02   8.38199212E-01   1.60487829E-01   7.18903396E-04   4.73183894E-04   1.25732570E-39   2.81419039E-05   5.57958834E-05   2.29839231E-05  
  16               1.63832305E-03   2.74793416E+02   8.38199213E-01   1.60487829E-01   7.18903428E-04   4.73183915E-04   3.14363141E-38   2.81419052E-05   5.57958861E-05   2.29839231E-05  
  17               2.02417566E-03   2.76161453E+02   8.38199212E-01   1.60487829E-01   7.18903464E-04   4.73183939E-04   4.53551021E-38   2.81419066E-05   5.57958892E-05   2.29839231E-05  
  18               2.49698299E-03   2.85634327E+02   8.38199213E-01   1.60487828E-01   7.18903504E-04   4.73183964E-04   9.49913365E-37   2.81419081E-05   5.57958926E-05   2.29839231E-05  
  19               3.07615677E-03   2.87195024E+02   8.38199213E-01   1.60487828E-01   7.18903548E-04   4.73183994E-04   1.40907141E-36   2.81419099E-05   5.57958964E-05   2.29839231E-05  
  20               3.78551959E-03   2.97071151E+02   8.38199213E-01   1.60487828E-01   7.18903595E-04   4.73184025E-04   2.64023978E-35   2.81419117E-05   5.57959004E-05   2.29839230E-05  
  21               4.65397370E-03   2.98959027E+02   8.38199213E-01   1.60487828E-01   7.18903649E-04   4.73184060E-04   4.15740962E-35   2.81419138E-05   5.57959049E-05   2.29839230E-05  
  22               5.71690413E-03   3.09281223E+02   8.38199214E-01   1.60487826E-01   7.18903703E-04   4.73184095E-04   7.00578736E-34   2.81419159E-05   5.57959095E-05   2.29839228E-05  
  23               7.01700757E-03   3.11713809E+02   8.38199214E-01   1.60487827E-01   7.18903764E-04   4.73184136E-04   1.22562636E-33   2.81419183E-05   5.57959147E-05   2.29839228E-05  
  24               8.60667514E-03   3.22609818E+02   8.38199217E-01   1.60487824E-01   7.18903823E-04   4.73184175E-04   1.89832841E-32   2.81419206E-05   5.57959198E-05   2.29839224E-05  
  25               1.05491101E-02   3.25540252E+02   8.38199214E-01   1.60487824E-01   7.18903904E-04   4.73184228E-04   3.56549347E-32   2.81419238E-05   5.57959265E-05   2.29839224E-05  
  26               1.29216868E-02   3.36911944E+02   8.38199220E-01   1.60487818E-01   7.18903965E-04   4.73184268E-04   4.89452094E-31   2.81419262E-05   5.57959317E-05   2.29839216E-05  
  27               1.58178982E-02   3.40324941E+02   8.38199219E-01   1.60487819E-01   7.18904040E-04   4.73184318E-04   9.66291930E-31   2.81419291E-05   5.57959381E-05   2.29839217E-05  
  28               1.93524706E-02   3.52145083E+02   8.38199219E-01   1.60487807E-01   7.18904161E-04   4.73184397E-04   1.16374134E-29   2.81419339E-05   5.57959480E-05   2.29839200E-05  
  29               2.36644366E-02   3.55891217E+02   8.38199218E-01   1.60487807E-01   7.18904240E-04   4.73184449E-04   2.30708184E-29   2.81419369E-05   5.57959546E-05   2.29839200E-05  
  30               2.89227212E-02   3.68381722E+02   8.38199236E-01   1.60487789E-01   7.18904280E-04   4.73184475E-04   2.54824212E-28   2.81419385E-05   5.57959583E-05   2.29839175E-05  
  31               3.53307531E-02   3.72791118E+02   8.38199234E-01   1.60487790E-01   7.18904705E-04   4.73184755E-04   5.35949979E-28   2.81419551E-05   5.57959919E-05   2.29839176E-05  
  32               4.31344173E-02   3.86221009E+02   8.38199212E-01   1.60487747E-01   7.18904738E-04   4.73184777E-04   5.62725882E-27   2.81419564E-05   5.57959951E-05   2.29839114E-05  
  33               5.26264198E-02   3.91594875E+02   8.38199218E-01   1.60487741E-01   7.18904788E-04   4.73184810E-04   1.29633195E-26   2.81419584E-05   5.57959996E-05   2.29839105E-05  
