# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                N2               NH3              CO              
  1                1.00000000E-05   4.12692650E+01   8.38118686E-01   1.60472410E-01   7.76576665E-04   5.27427056E-04   3.16313735E-109  4.45931066E-05   3.26210336E-05   4.20830390E-07  
  2                2.72908703E-05   5.56244903E+01   8.38118686E-01   1.60472410E-01   7.76576687E-04   5.27427071E-04   1.91473801E-109  4.45931079E-05   3.26210345E-05   4.20830402E-07  
  3                4.87031061E-05   6.08916399E+01   8.38118686E-01   1.60472410E-01   7.76576702E-04   5.27427081E-04   1.43330865E-109  4.45931087E-05   3.26210351E-05   4.20830410E-07  
  4                7.52171475E-05   6.39057209E+01   8.38118686E-01   1.60472410E-01   7.76576713E-04   5.27427088E-04   1.15334602E-109  4.45931094E-05   3.26210356E-05   4.20830416E-07  
  5                1.08045071E-04   6.70247022E+01   8.38118686E-01   1.60472410E-01   7.76576723E-04   5.27427095E-04   9.62311268E-110  4.45931100E-05   3.26210361E-05   4.20830422E-07  
  6                1.48687181E-04   6.88339717E+01   8.38118686E-01   1.60472410E-01   7.76576733E-04   5.27427102E-04   8.20316198E-110  4.45931106E-05   3.26210365E-05   4.20830427E-07  
  7                1.98990964E-04   7.20330790E+01   8.38118686E-01   1.60472410E-01   7.76576742E-04   5.27427108E-04   7.09090019E-110  4.45931111E-05   3.26210369E-05   4.20830432E-07  
  8                2.60950828E-04   7.44548127E+01   8.38118686E-01   1.60472410E-01   7.76576751E-04   5.27427114E-04   6.19211068E-110  4.45931117E-05   3.26210372E-05   4.20830437E-07  
  9                3.36713745E-04   7.83543050E+01   8.38118686E-01   1.60472410E-01   7.76576760E-04   5.27427120E-04   5.45114366E-110  4.45931122E-05   3.26210376E-05   4.20830442E-07  
  10               4.28848104E-04   8.11788497E+01   8.38118686E-01   1.60472410E-01   7.76576766E-04   5.27427124E-04   4.83021323E-110  4.45931125E-05   3.26210379E-05   4.20830445E-07  
  11               5.40617447E-04   8.52837136E+01   8.38118686E-01   1.60472410E-01   7.76576768E-04   5.27427126E-04   4.30202591E-110  4.45931127E-05   3.26210380E-05   4.20830446E-07  
  12               6.76213459E-04   8.82252539E+01   8.38118686E-01   1.60472410E-01   7.76576770E-04   5.27427127E-04   3.84659219E-110  4.45931128E-05   3.26210380E-05   4.20830447E-07  
  13               8.41007683E-04   9.25265423E+01   8.38118686E-01   1.60472410E-01   7.76576772E-04   5.27427129E-04   3.44919755E-110  4.45931129E-05   3.26210381E-05   4.20830448E-07  
  14               1.04150692E-03   9.55642551E+01   8.38118686E-01   1.60472410E-01   7.76576775E-04   5.27427130E-04   3.09946667E-110  4.45931130E-05   3.26210382E-05   4.20830450E-07  
  15               1.28555295E-03   1.00270233E+02   8.38117964E-01   1.60472272E-01   7.76576778E-04   5.27427132E-04   5.62902199E-110  4.45931132E-05   3.26210384E-05   4.20830451E-07  
  16               1.58260874E-03   1.03790989E+02   8.38114472E-01   1.60471603E-01   7.76577450E-04   5.27427589E-04   3.40719644E-106  4.45931518E-05   3.26210666E-05   4.20830816E-07  
  17               1.94431213E-03   1.09053056E+02   8.38109493E-01   1.60470650E-01   7.76577049E-04   5.27427316E-04   5.59568801E-101  4.45931288E-05   3.26210498E-05   4.20830598E-07  
  18               2.38499001E-03   1.12940446E+02   8.38031099E-01   1.60455640E-01   7.76589917E-04   5.27436056E-04   1.88474582E-97   4.45938677E-05   3.26215903E-05   4.20837572E-07  
  19               2.92202250E-03   1.18734335E+02   8.38118577E-01   1.60472389E-01   7.76649500E-04   5.27476523E-04   1.32302330E-92   4.45972891E-05   3.26240931E-05   4.20869860E-07  
  20               3.57655137E-03   1.23047393E+02   8.38118646E-01   1.60472402E-01   7.76603066E-04   5.27444986E-04   2.62867569E-89   4.45946228E-05   3.26221426E-05   4.20844697E-07  
  21               4.37419189E-03   1.29423162E+02   8.38118544E-01   1.60472383E-01   7.76671795E-04   5.27491665E-04   8.11499388E-85   4.45985694E-05   3.26250297E-05   4.20881941E-07  
  22               5.34604083E-03   1.34224322E+02   8.38118543E-01   1.60472383E-01   7.76671803E-04   5.27491670E-04   9.90377724E-82   4.45985699E-05   3.26250300E-05   4.20881946E-07  
  23               6.53019764E-03   1.41216122E+02   8.38118542E-01   1.60472382E-01   7.76671812E-04   5.27491677E-04   1.35154897E-77   4.45985704E-05   3.26250304E-05   4.20881951E-07  
  24               7.97315136E-03   1.46428296E+02   8.38118531E-01   1.60472380E-01   7.76671824E-04   5.27491685E-04   8.77854218E-75   4.45985711E-05   3.26250309E-05   4.20881958E-07  
  25               9.73133684E-03   1.53988650E+02   8.38118508E-01   1.60472376E-01   7.76671839E-04   5.27491695E-04   5.01180558E-71   4.45985720E-05   3.26250316E-05   4.20881966E-07  
  26               1.18730294E-02   1.59734193E+02   8.38118324E-01   1.60472341E-01   7.76671896E-04   5.27491734E-04   2.01644400E-68   4.45985753E-05   3.26250340E-05   4.20881997E-07  
  27               1.44823393E-02   1.67903680E+02   8.38118002E-01   1.60472279E-01   7.76671954E-04   5.27491773E-04   5.18920726E-65   4.45985787E-05   3.26250364E-05   4.20882028E-07  
  28               1.76612937E-02   1.74142000E+02   8.38109744E-01   1.60470698E-01   7.76672637E-04   5.27492237E-04   1.23497286E-62   4.45986179E-05   3.26250651E-05   4.20882398E-07  
  29               2.15331721E-02   1.82819531E+02   8.38118533E-01   1.60472381E-01   7.76678799E-04   5.27496422E-04   1.38208752E-59   4.45989718E-05   3.26253240E-05   4.20885738E-07  
  30               2.62456055E-02   1.89561593E+02   8.38040013E-01   1.60457347E-01   7.76680841E-04   5.27497809E-04   2.01817922E-57   4.45990891E-05   3.26254097E-05   4.20886844E-07  
  31               3.19767917E-02   1.98841330E+02   8.38118449E-01   1.60472365E-01   7.76735045E-04   5.27534623E-04   1.13855911E-54   4.46022017E-05   3.26276866E-05   4.20916218E-07  
  32               3.89426343E-02   2.06128978E+02   8.37550770E-01   1.60363673E-01   7.76753332E-04   5.27547043E-04   1.07602946E-52   4.46032518E-05   3.26284548E-05   4.20926128E-07  
  33               4.74039774E-02   2.15831179E+02   8.38117839E-01   1.60472248E-01   7.77143626E-04   5.27812118E-04   2.92446802E-50   4.46256635E-05   3.26448496E-05   4.21137630E-07  
  34               5.76724619E-02   2.23543734E+02   8.38117635E-01   1.60472209E-01   7.77280324E-04   5.27904959E-04   1.73472954E-48   4.46335132E-05   3.26505917E-05   4.21211708E-07  
  35               7.01290325E-02   2.33416260E+02   8.38118308E-01   1.60472338E-01   7.76829966E-04   5.27599091E-04   2.22092087E-46   4.46076525E-05   3.26316740E-05   4.20967657E-07  
  36               8.52332194E-02   2.41216829E+02   8.38117629E-01   1.60472208E-01   7.77284433E-04   5.27907750E-04   7.56400605E-45   4.46337492E-05   3.26507644E-05   4.21213935E-07  
  37               1.03549616E-01   2.51199179E+02   8.38117629E-01   1.60472208E-01   7.77284466E-04   5.27907772E-04   5.12061649E-43   4.46337512E-05   3.26507658E-05   4.21213953E-07  
  38               1.25761302E-01   2.59382439E+02   8.38117629E-01   1.60472208E-01   7.77284498E-04   5.27907794E-04   1.24536962E-41   4.46337531E-05   3.26507671E-05   4.21213970E-07  
  39               1.52689288E-01   2.69863866E+02   8.38117629E-01   1.60472208E-01   7.77284533E-04   5.27907818E-04   5.70673235E-40   4.46337552E-05   3.26507686E-05   4.21213990E-07  
  40               1.85326714E-01   2.78682350E+02   8.38117629E-01   1.60472208E-01   7.77284572E-04   5.27907845E-04   1.11804889E-38   4.46337575E-05   3.26507703E-05   4.21214011E-07  
  41               2.24881348E-01   2.89868861E+02   8.38117629E-01   1.60472208E-01   7.77284614E-04   5.27907874E-04   3.82396547E-37   4.46337600E-05   3.26507721E-05   4.21214034E-07  
  42               2.72818703E-01   2.99527364E+02   8.38117629E-01   1.60472208E-01   7.77284661E-04   5.27907905E-04   6.41242417E-36   4.46337627E-05   3.26507740E-05   4.21214060E-07  
  43               3.30894918E-01   3.11652564E+02   8.38117629E-01   1.60472208E-01   7.77284712E-04   5.27907940E-04   1.75535842E-34   4.46337658E-05   3.26507762E-05   4.21214088E-07  
  44               4.01178241E-01   3.22568511E+02   8.38117628E-01   1.60472207E-01   7.77284769E-04   5.27907979E-04   2.75141016E-33   4.46337691E-05   3.26507786E-05   4.21214119E-07  
  45               4.86109953E-01   3.36366352E+02   8.38117628E-01   1.60472207E-01   7.77284830E-04   5.27908020E-04   7.03207340E-32   4.46337727E-05   3.26507812E-05   4.21214153E-07  
  46               5.88578536E-01   3.49257748E+02   8.38117626E-01   1.60472207E-01   7.77284901E-04   5.27908068E-04   1.13913894E-30   4.46337769E-05   3.26507842E-05   4.21214191E-07  
  47               7.12037800E-01   3.65185621E+02   8.38117627E-01   1.60472207E-01   7.77284974E-04   5.27908118E-04   2.75123480E-29   4.46337812E-05   3.26507873E-05   4.21214231E-07  
