# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  34               4.07517203E-02   8.38239121E+02   8.38571750E-01   1.60493824E-01   5.96445238E-11   4.94277097E-04   2.92655397E-04   6.01807647E-05   5.36864620E-05   0.00000000E+00  
  35               5.03647932E-02   8.49253528E+02   8.38571391E-01   1.60493975E-01   8.09930214E-11   4.94284526E-04   2.92659798E-04   6.01816369E-05   5.36872701E-05   0.00000000E+00  
  36               6.21896213E-02   8.64820866E+02   8.38574383E-01   1.60490597E-01   1.28165814E-10   4.94288568E-04   2.92662193E-04   6.01820963E-05   5.36877103E-05   0.00000000E+00  
  37               7.67066110E-02   8.77773959E+02   8.38575126E-01   1.60489613E-01   1.81810678E-10   4.94294334E-04   2.92665610E-04   6.01827651E-05   5.36883378E-05   0.00000000E+00  
  38               9.44839726E-02   8.95606909E+02   8.38579140E-01   1.60484405E-01   2.99842639E-10   4.94300626E-04   2.92669337E-04   6.01834973E-05   5.36890224E-05   0.00000000E+00  
  39               1.16190825E-01   9.11049321E+02   8.38580561E-01   1.60481538E-01   4.47839340E-10   4.94303818E-04   2.92671230E-04   6.01838514E-05   5.36893702E-05   0.00000000E+00  
  40               1.42618839E-01   9.31755064E+02   8.38588392E-01   1.60473721E-01   7.74779087E-10   4.94306935E-04   2.92673077E-04   6.01841955E-05   5.36897098E-05   0.00000000E+00  
  41               1.74714334E-01   9.50340344E+02   8.38594054E-01   1.60468084E-01   1.22563777E-09   4.94306320E-04   2.92672714E-04   6.01840841E-05   5.36896437E-05   0.00000000E+00  
  42               2.13590116E-01   9.74605202E+02   8.38606036E-01   1.60456154E-01   2.23119769E-09   4.94294410E-04   2.92665660E-04   6.01825957E-05   5.36883492E-05   0.00000000E+00  
  43               2.60537700E-01   9.97277986E+02   8.38616155E-01   1.60446072E-01   3.76760588E-09   4.94287485E-04   2.92661545E-04   6.01817110E-05   5.36875893E-05   0.00000000E+00  
  44               3.17030337E-01   1.02615506E+03   8.38633651E-01   1.60428640E-01   7.26251628E-09   4.94267335E-04   2.92649551E-04   6.01792073E-05   5.36853642E-05   1.59306920E-15  
  45               3.84680516E-01   1.05389113E+03   8.38649085E-01   1.60413249E-01   1.30944734E-08   4.94252991E-04   2.92640791E-04   6.01773815E-05   5.36836280E-05   7.01429786E-15  
  46               4.65264678E-01   1.08809392E+03   8.38671086E-01   1.60391307E-01   2.64616660E-08   4.94227234E-04   2.92624491E-04   6.01740665E-05   5.36800301E-05   4.14441691E-14  
  47               5.60769949E-01   1.12145192E+03   8.38689739E-01   1.60372679E-01   5.01446569E-08   4.94211932E-04   2.92611123E-04   6.01716607E-05   5.36744716E-05   2.08111318E-13  
  48               6.73418002E-01   1.16137980E+03   8.38711955E-01   1.60350471E-01   1.04128889E-07   4.94199291E-04   2.92587104E-04   6.01683501E-05   5.36556997E-05   1.31991961E-12  
  49               8.05862200E-01   1.20075966E+03   8.38729455E-01   1.60332952E-01   2.03155772E-07   4.94229208E-04   2.92541964E-04   6.01661300E-05   5.35798333E-05   7.09855020E-12  
  50               9.61120556E-01   1.24675070E+03   8.38747337E-01   1.60315134E-01   4.24736453E-07   4.94358296E-04   2.92400201E-04   6.01636182E-05   5.32718815E-05   4.50833690E-11  
  51               1.14294527E+00   1.29196468E+03   8.38760639E-01   1.60302549E-01   8.28795920E-07   4.94773070E-04   2.91952890E-04   6.01619133E-05   5.21118988E-05   2.37179041E-10  
  52               1.35637030E+00   1.34291401E+03   8.38773987E-01   1.60291919E-01   1.67777215E-06   4.95846134E-04   2.90693422E-04   6.01596314E-05   4.85585983E-05   1.34503439E-09  
  53               1.60845598E+00   1.39188519E+03   8.38785894E-01   1.60285914E-01   3.12237226E-06   4.98148382E-04   2.87910550E-04   6.01572167E-05   4.10640955E-05   6.09582359E-09  
  54               1.90917654E+00   1.44508854E+03   8.38796372E-01   1.60281632E-01   5.85223271E-06   5.02214772E-04   2.83323786E-04   6.01551549E-05   3.10109613E-05   2.76454179E-08  
  55               2.26609834E+00   1.49581205E+03   8.38795314E-01   1.60278017E-01   1.01267051E-05   5.07422763E-04   2.79198702E-04   6.01557688E-05   2.36630142E-05   1.01904026E-07  
  56               2.67596868E+00   1.55044263E+03   8.38779279E-01   1.60273317E-01   1.76231018E-05   5.13080864E-04   2.79793717E-04   6.01827806E-05   1.74770429E-05   3.70298218E-07  
  57               3.13310017E+00   1.60248142E+03   8.38757135E-01   1.60270385E-01   2.87171971E-05   5.17463731E-04   2.90042674E-04   6.01842434E-05   1.30835977E-05   1.20024837E-06  
  58               3.62425913E+00   1.65800793E+03   8.38724084E-01   1.60265449E-01   4.70473777E-05   5.20765528E-04   2.95315629E-04   6.01949421E-05   9.78602188E-06   6.33350528E-06  
  59               4.09815377E+00   1.71315366E+03   8.38638195E-01   1.60255323E-01   7.49239153E-05   5.23682500E-04   3.20634626E-04   6.02243519E-05   6.81733123E-06   2.43503898E-05  
  60               4.52802374E+00   1.75904130E+03   8.38513696E-01   1.60245515E-01   1.07783406E-04   5.25843409E-04   3.81002004E-04   6.02937851E-05   4.62393508E-06   6.51427493E-05  
  61               4.91511977E+00   1.79727328E+03   8.38472136E-01   1.60240618E-01   1.43708631E-04   5.26521355E-04   3.80769570E-04   6.02873636E-05   3.92950021E-06   6.50227687E-05  
  62               5.27311757E+00   1.83067131E+03   8.38436749E-01   1.60237324E-01   1.82857926E-04   5.27001174E-04   3.80224554E-04   6.02944823E-05   3.43705281E-06   6.49147857E-05  
  63               5.58435998E+00   1.85804678E+03   8.38401931E-01   1.60234148E-01   2.21192591E-04   5.27321675E-04   3.79839789E-04   6.02857912E-05   3.10051938E-06   6.48229900E-05  
  64               5.95043190E+00   1.88890000E+03   8.38322726E-01   1.60223708E-01   2.72210241E-04   5.27603510E-04   3.79444701E-04   6.02683782E-05   2.77494826E-06   6.47142169E-05  
  65               6.22834654E+00   1.91107410E+03   8.38283999E-01   1.60220256E-01   3.14528235E-04   5.27795633E-04   3.79216087E-04   6.03032538E-05   2.57430051E-06   6.46353046E-05  
  66               6.42993737E+00   1.92688902E+03   8.38253413E-01   1.60217536E-01   3.47982924E-04   5.27911280E-04   3.79052026E-04   6.02927573E-05   2.44260668E-06   6.45783887E-05  
  67               6.67326848E+00   1.94516416E+03   8.38214825E-01   1.60214116E-01   3.90120431E-04   5.28032799E-04   3.78887586E-04   6.02836045E-05   2.30568823E-06   6.45108657E-05  
  68               6.96469283E+00   1.96661200E+03   8.38164580E-01   1.60209675E-01   4.44932869E-04   5.28160855E-04   3.78711108E-04   6.02753346E-05   2.15785937E-06   6.44306189E-05  
  69               7.31093413E+00   1.99086061E+03   8.38101046E-01   1.60204076E-01   5.14170916E-04   5.28283293E-04   3.78538800E-04   6.02668699E-05   2.01075469E-06   6.43371369E-05  
  70               7.71870237E+00   2.01848035E+03   8.38018939E-01   1.60196859E-01   6.03603898E-04   5.28401855E-04   3.78367548E-04   6.02571883E-05   1.86085626E-06   6.42284842E-05  
  71               8.19703218E+00   2.04906506E+03   8.37915123E-01   1.60187754E-01   7.16709725E-04   5.28505356E-04   3.78158011E-04   6.02452629E-05   1.71822475E-06   6.41039364E-05  
  72               8.75742092E+00   2.08328415E+03   8.37780741E-01   1.60175986E-01   8.63055881E-04   5.28594735E-04   3.77940240E-04   6.02307067E-05   1.57905145E-06   6.39607046E-05  
  73               9.41020889E+00   2.12055931E+03   8.37610482E-01   1.60161096E-01   1.04840612E-03   5.28660037E-04   3.77722352E-04   6.02127507E-05   1.45145669E-06   6.37983273E-05  
  74               1.01667100E+01   2.16129583E+03   8.37392179E-01   1.60142023E-01   1.28599977E-03   5.28700284E-04   3.77498020E-04   6.01910284E-05   1.33255314E-06   6.36146363E-05  
  75               1.10393796E+01   2.20483278E+03   8.37117968E-01   1.60118084E-01   1.58438094E-03   5.28707519E-04   3.77272076E-04   6.01646517E-05   1.22762770E-06   6.34093048E-05  
  76               1.20420675E+01   2.25147438E+03   8.36771214E-01   1.60087827E-01   1.96164851E-03   5.28679615E-04   3.77037049E-04   6.01330515E-05   1.13354489E-06   6.31802304E-05  
  77               1.31902792E+01   2.30046694E+03   8.36340330E-01   1.60050038E-01   2.42824488E-03   5.28608659E-04   3.76795016E-04   6.00950609E-05   1.05365700E-06   6.29271471E-05  
  78               1.45008490E+01   2.35206476E+03   8.35799757E-01   1.60003419E-01   3.00703935E-03   5.28513676E-04   3.82907198E-04   6.00517750E-05   9.68232226E-07   6.26482729E-05  
  79               1.59935755E+01   2.40552350E+03   8.35154027E-01   1.59947125E-01   3.70928228E-03   5.28348188E-04   3.82762588E-04   5.99989594E-05   9.12549705E-07   6.23435610E-05  
  80               1.76914770E+01   2.46112301E+03   8.34369790E-01   1.59878763E-01   4.56218260E-03   5.28127157E-04   3.82570931E-04   5.99369424E-05   8.66463459E-07   6.20106769E-05  
  81               1.96200419E+01   2.51815776E+03   8.33437979E-01   1.59797546E-01   5.57559114E-03   5.27845850E-04   3.82337099E-04   5.98645331E-05   8.31126909E-07   6.16497058E-05  
  82               2.18086288E+01   2.57692936E+03   8.32330910E-01   1.59701061E-01   6.77960889E-03   5.27497733E-04   3.82058079E-04   5.97803701E-05   8.03933579E-07   6.12583903E-05  
  83               2.42907082E+01   2.63669868E+03   8.31045973E-01   1.59589083E-01   8.17705833E-03   5.27079478E-04   3.81742666E-04   5.96831893E-05   7.86123067E-07   6.08371852E-05  
  84               2.71043479E+01   2.69788780E+03   8.29552418E-01   1.59458931E-01   9.80137249E-03   5.26582999E-04   3.81388165E-04   5.95712163E-05   7.75301901E-07   6.03836346E-05  
  85               3.02924870E+01   2.75975858E+03   8.27856846E-01   1.59311186E-01   1.16453512E-02   5.26007008E-04   3.81007858E-04   5.94430365E-05   7.72826936E-07   5.98986852E-05  
  86               3.39030803E+01   2.82268319E+03   8.25932024E-01   1.59143474E-01   1.37385991E-02   5.25343190E-04   3.80602323E-04   5.92962933E-05   7.76955073E-07   5.93803442E-05  
  87               3.79891152E+01   2.88612115E+03   8.23788744E-01   1.58956739E-01   1.60693515E-02   5.24591213E-04   3.80187354E-04   5.91289304E-05   7.88641511E-07   5.88296978E-05  
