# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  1                1.00000000E-05   2.06601357E+02   8.38251136E-01   1.60497771E-01   6.66418299E-04   8.98440376E-51   4.23765210E-04   6.96207672E-05   5.71450833E-05   2.29873082E-05  
  2                2.88577035E-05   2.49459254E+02   8.38251158E-01   1.60497749E-01   6.66418276E-04   1.48300960E-41   4.23765195E-04   6.96207648E-05   5.71450814E-05   2.29873051E-05  
  3                5.11465952E-05   2.50948807E+02   8.38251145E-01   1.60497762E-01   6.66418342E-04   2.07681920E-41   4.23765237E-04   6.96207717E-05   5.71450871E-05   2.29873069E-05  
  4                7.83224338E-05   2.65602073E+02   8.38251177E-01   1.60497730E-01   6.66418354E-04   5.30926449E-39   4.23765245E-04   6.96207729E-05   5.71450882E-05   2.29873022E-05  
  5                1.11480946E-04   2.66053175E+02   8.38251157E-01   1.60497749E-01   6.66418498E-04   5.26007764E-39   4.23765337E-04   6.96207880E-05   5.71451007E-05   2.29873050E-05  
  6                1.52045353E-04   2.78485747E+02   8.38251209E-01   1.60497697E-01   6.66418548E-04   3.65330290E-37   4.23765368E-04   6.96207932E-05   5.71451052E-05   2.29872976E-05  
  7                2.01674304E-04   2.78624160E+02   8.38251178E-01   1.60497728E-01   6.66418792E-04   3.32388457E-37   4.23765523E-04   6.96208186E-05   5.71451263E-05   2.29873021E-05  
  8                2.62501077E-04   2.89574326E+02   8.38251246E-01   1.60497659E-01   6.66418904E-04   1.02106143E-35   4.23765595E-04   6.96208304E-05   5.71451363E-05   2.29872922E-05  
  9                3.37064517E-04   2.89445033E+02   8.38251201E-01   1.60497704E-01   6.66419278E-04   8.65369578E-36   4.23765833E-04   6.96208695E-05   5.71451688E-05   2.29872986E-05  
  10               4.28545433E-04   2.99788129E+02   8.38251287E-01   1.60497618E-01   6.66419481E-04   1.74620900E-34   4.23765962E-04   6.96208907E-05   5.71451867E-05   2.29872863E-05  
  11               5.40761840E-04   2.99753463E+02   8.38251229E-01   1.60497675E-01   6.66420016E-04   1.53886041E-34   4.23766302E-04   6.96209465E-05   5.71452331E-05   2.29872944E-05  
  12               6.78459388E-04   3.09982203E+02   8.38251338E-01   1.60497566E-01   6.66420332E-04   2.46365434E-33   4.23766503E-04   6.96209796E-05   5.71452608E-05   2.29872788E-05  
  13               8.47385780E-04   3.10080320E+02   8.38251264E-01   1.60497637E-01   6.66421061E-04   2.26426757E-33   4.23766966E-04   6.96210558E-05   5.71453241E-05   2.29872889E-05  
  14               1.05466542E-03   3.20318952E+02   8.38251399E-01   1.60497501E-01   6.66421512E-04   3.03164001E-32   4.23767253E-04   6.96211029E-05   5.71453636E-05   2.29872695E-05  
  15               1.30895326E-03   3.20510510E+02   8.38251308E-01   1.60497590E-01   6.66422469E-04   2.85779442E-32   4.23767862E-04   6.96212029E-05   5.71454465E-05   2.29872823E-05  
  16               1.62091179E-03   3.30936321E+02   8.38251475E-01   1.60497422E-01   6.66423096E-04   3.38579989E-31   4.23768260E-04   6.96212684E-05   5.71455013E-05   2.29872582E-05  
  17               2.00349235E-03   3.31375935E+02   8.38251361E-01   1.60497528E-01   6.66424305E-04   3.38324731E-31   4.23769029E-04   6.96213947E-05   5.71456060E-05   2.29872734E-05  
  18               2.47261100E-03   3.42155132E+02   8.38251573E-01   1.60497316E-01   6.66425053E-04   3.69241485E-30   4.23769505E-04   6.96214728E-05   5.71456713E-05   2.29872429E-05  
  19               3.04763588E-03   3.42819142E+02   8.38251438E-01   1.60497447E-01   6.66426528E-04   3.85872592E-30   4.23770443E-04   6.96216269E-05   5.71457990E-05   2.29872618E-05  
  20               3.75239884E-03   3.54053318E+02   8.38251693E-01   1.60497174E-01   6.66427486E-04   3.95036487E-29   4.23771052E-04   6.96217270E-05   5.71458825E-05   2.29872227E-05  
