# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  1                1.00000000E-05   5.52964734E+01   8.38130611E-01   1.60474688E-01   7.71490031E-04   5.22672198E-04   1.39262521E-06   3.16318216E-109  4.98827992E-05   2.29820628E-05  
  2                4.89154417E-04   7.51201816E+01   8.38130610E-01   1.60474688E-01   7.71490646E-04   5.22672614E-04   1.39262632E-06   4.52273573E-110  4.98828400E-05   2.29820627E-05  
  3                1.02598155E-03   8.82416632E+01   8.38130609E-01   1.60474688E-01   7.71490920E-04   5.22672800E-04   1.39262682E-06   3.12287374E-110  4.98828585E-05   2.29820627E-05  
  4                1.61903496E-03   9.84079800E+01   8.38129585E-01   1.60474492E-01   7.71491010E-04   5.22672861E-04   1.39262698E-06   2.48596813E-110  4.98828646E-05   2.29820346E-05  
  5                2.29277372E-03   1.05339126E+02   8.38119155E-01   1.60472495E-01   7.71492008E-04   5.22673538E-04   1.39262878E-06   1.13221767E-104  4.98829293E-05   2.29817486E-05  
  6                3.06592323E-03   1.13350101E+02   8.38041272E-01   1.60457583E-01   7.71501065E-04   5.22679674E-04   1.39264513E-06   3.82717465E-97   4.98835150E-05   2.29796130E-05  
  7                3.95786647E-03   1.19202235E+02   8.38130484E-01   1.60474664E-01   7.71575272E-04   5.22729947E-04   1.39277908E-06   2.69100907E-92   4.98883131E-05   2.29820593E-05  
  8                4.98982766E-03   1.26731958E+02   8.38130591E-01   1.60474684E-01   7.71503361E-04   5.22681229E-04   1.39264928E-06   1.05369940E-86   4.98836637E-05   2.29820622E-05  
  9                6.18538340E-03   1.32389338E+02   8.38130469E-01   1.60474661E-01   7.71584926E-04   5.22736488E-04   1.39279651E-06   6.23124454E-83   4.98889376E-05   2.29820589E-05  
  10               7.57249815E-03   1.39909903E+02   8.38130467E-01   1.60474661E-01   7.71585703E-04   5.22737014E-04   1.39279791E-06   2.23715889E-78   4.98889879E-05   2.29820588E-05  
  11               9.18336280E-03   1.45540536E+02   8.38130459E-01   1.60474659E-01   7.71585746E-04   5.22737043E-04   1.39279799E-06   2.75881601E-75   4.98889908E-05   2.29820586E-05  
  12               1.10554067E-02   1.53231360E+02   8.38130440E-01   1.60474656E-01   7.71585799E-04   5.22737079E-04   1.39279809E-06   2.03487942E-71   4.98889944E-05   2.29820581E-05  
  13               1.32317364E-02   1.59081486E+02   8.38130304E-01   1.60474630E-01   7.71585871E-04   5.22737128E-04   1.39279822E-06   9.76953058E-69   4.98889991E-05   2.29820544E-05  
  14               1.57639620E-02   1.66982553E+02   8.38130066E-01   1.60474584E-01   7.71586068E-04   5.22737262E-04   1.39279857E-06   2.10932537E-65   4.98890121E-05   2.29820478E-05  
  15               1.87116298E-02   1.72976872E+02   8.38124362E-01   1.60473492E-01   7.71586464E-04   5.22737530E-04   1.39279929E-06   4.36937025E-63   4.98890378E-05   2.29818914E-05  
  16               2.21433176E-02   1.81114316E+02   8.38130459E-01   1.60474659E-01   7.71592075E-04   5.22741332E-04   1.39280942E-06   3.54980836E-60   4.98894008E-05   2.29820586E-05  
  17               2.61369889E-02   1.87457890E+02   8.38077419E-01   1.60464504E-01   7.71590777E-04   5.22740452E-04   1.39280707E-06   4.30615479E-58   4.98893170E-05   2.29806042E-05  
  18               3.07822495E-02   1.96108350E+02   8.38130386E-01   1.60474645E-01   7.71641096E-04   5.22774542E-04   1.39289791E-06   1.85814251E-55   4.98925707E-05   2.29820566E-05  
  19               3.61826040E-02   2.02991710E+02   8.38009369E-01   1.60451474E-01   7.71628661E-04   5.22766118E-04   1.39287546E-06   1.57309523E-53   4.98917669E-05   2.29787382E-05  
  20               4.24595486E-02   2.11847010E+02   8.37655199E-01   1.60383662E-01   7.71752276E-04   5.22849865E-04   1.39309860E-06   3.16232097E-51   4.98997598E-05   2.29690267E-05  
  21               4.97522057E-02   2.18843977E+02   8.38129699E-01   1.60474514E-01   7.72103041E-04   5.23087503E-04   1.39373177E-06   1.51368345E-49   4.99224397E-05   2.29820378E-05  
  22               5.82233224E-02   2.27616918E+02   8.38129569E-01   1.60474489E-01   7.72190269E-04   5.23146598E-04   1.39388922E-06   1.40164044E-47   4.99280799E-05   2.29820342E-05  
  23               6.80604660E-02   2.34494891E+02   8.38130310E-01   1.60474631E-01   7.71691993E-04   5.22809024E-04   1.39298978E-06   3.77558972E-46   4.98958627E-05   2.29820545E-05  
  24               7.94860738E-02   2.43106254E+02   8.38129562E-01   1.60474488E-01   7.72194893E-04   5.23149731E-04   1.39389757E-06   1.82036248E-44   4.99283794E-05   2.29820340E-05  
  25               9.27642828E-02   2.50017236E+02   8.38129567E-01   1.60474489E-01   7.72191340E-04   5.23147324E-04   1.39389116E-06   3.30550842E-43   4.99281499E-05   2.29820342E-05  
  26               1.08193714E-01   2.58756951E+02   8.38129562E-01   1.60474487E-01   7.72195139E-04   5.23149898E-04   1.39389802E-06   1.05193878E-41   4.99283959E-05   2.29820340E-05  
  27               1.26114037E-01   2.65911204E+02   8.38129562E-01   1.60474487E-01   7.72195250E-04   5.23149973E-04   1.39389822E-06   1.48361376E-40   4.99284033E-05   2.29820340E-05  
  28               1.46929953E-01   2.74929470E+02   8.38129561E-01   1.60474487E-01   7.72195365E-04   5.23150051E-04   1.39389843E-06   3.47960990E-39   4.99284110E-05   2.29820340E-05  
  29               1.71102667E-01   2.82536173E+02   8.38129561E-01   1.60474487E-01   7.72195486E-04   5.23150133E-04   1.39389864E-06   4.19568425E-38   4.99284192E-05   2.29820340E-05  
  30               1.99169985E-01   2.92148204E+02   8.38129561E-01   1.60474487E-01   7.72195618E-04   5.23150222E-04   1.39389888E-06   8.22772237E-37   4.99284280E-05   2.29820340E-05  
  31               2.31756181E-01   3.00556335E+02   8.38129561E-01   1.60474487E-01   7.72195760E-04   5.23150318E-04   1.39389914E-06   9.38849975E-36   4.99284375E-05   2.29820340E-05  
  32               2.69577230E-01   3.11137576E+02   8.38129561E-01   1.60474487E-01   7.72195913E-04   5.23150422E-04   1.39389942E-06   1.69192845E-34   4.99284479E-05   2.29820340E-05  
  33               3.13440169E-01   3.20679168E+02   8.38129560E-01   1.60474487E-01   7.72196079E-04   5.23150534E-04   1.39389972E-06   1.92774076E-33   4.99284590E-05   2.29820340E-05  
  34               3.64255667E-01   3.32536512E+02   8.38129560E-01   1.60474487E-01   7.72196258E-04   5.23150656E-04   1.39390004E-06   3.30746942E-32   4.99284710E-05   2.29820339E-05  
  35               4.23036922E-01   3.43603045E+02   8.38129559E-01   1.60474487E-01   7.72196452E-04   5.23150787E-04   1.39390039E-06   3.89981268E-31   4.99284840E-05   2.29820339E-05  
  36               4.90945076E-01   3.57285325E+02   8.38129556E-01   1.60474486E-01   7.72196663E-04   5.23150930E-04   1.39390077E-06   6.75463773E-30   4.99284983E-05   2.29820338E-05  
  37               5.69303058E-01   3.70597168E+02   8.38129556E-01   1.60474486E-01   7.72196888E-04   5.23151083E-04   1.39390118E-06   8.79629053E-29   4.99285133E-05   2.29820338E-05  
  38               6.59564724E-01   3.87051409E+02   8.38129270E-01   1.60474431E-01   7.72197146E-04   5.23151257E-04   1.39390164E-06   1.66514741E-27   4.99285306E-05   2.29820259E-05  
  39               7.63221249E-01   4.04652510E+02   8.38129298E-01   1.60474403E-01   7.72197147E-04   5.23151258E-04   1.39390165E-06   2.97080047E-26   4.99285314E-05   2.29820219E-05  
  40               8.82012328E-01   4.23052479E+02   8.38129298E-01   1.60474401E-01   7.72197522E-04   5.23151512E-04   1.39390233E-06   4.66970717E-25   4.99285564E-05   2.29820217E-05  
  41               1.01802234E+00   4.41844788E+02   8.38129296E-01   1.60474397E-01   7.72197630E-04   5.23151585E-04   1.39390252E-06   6.12632975E-24   4.99285642E-05   2.29820211E-05  
  42               1.17364183E+00   4.61455158E+02   8.38129192E-01   1.60474373E-01   7.72203193E-04   5.23155355E-04   1.39391257E-06   7.18103087E-23   4.99289248E-05   2.29820176E-05  
  43               1.35146551E+00   4.81524528E+02   8.38128828E-01   1.60474376E-01   7.72203927E-04   5.23155852E-04   1.39391389E-06   7.22751645E-22   4.99289732E-05   2.29820180E-05  
  44               1.55431511E+00   5.02424545E+02   8.38125830E-01   1.60474041E-01   7.72205402E-04   5.23156851E-04   1.39391655E-06   6.57112343E-21   4.99290696E-05   2.29819700E-05  
  45               1.78530409E+00   5.23807181E+02   8.38126160E-01   1.60473714E-01   7.72203245E-04   5.23155390E-04   1.39391266E-06   5.22735368E-20   4.99289313E-05   2.29819233E-05  
  46               2.04842562E+00   5.46058450E+02   8.38126266E-01   1.60473603E-01   7.72206182E-04   5.23157380E-04   1.39391797E-06   3.80292272E-19   4.99291225E-05   2.29819073E-05  
  47               2.34810185E+00   5.68877190E+02   8.38126365E-01   1.60473392E-01   7.72269624E-04   5.23200360E-04   1.39403249E-06   2.47163421E-18   4.99332259E-05   2.29818771E-05  
  48               2.68895600E+00   5.92616200E+02   8.38126689E-01   1.60473067E-01   7.72270193E-04   5.23200746E-04   1.39403352E-06   1.48494758E-17   4.99332642E-05   2.29818305E-05  
  49               3.07566408E+00   6.16940272E+02   8.38127197E-01   1.60472559E-01   7.72269881E-04   5.23200535E-04   1.39403295E-06   8.06517488E-17   4.99332456E-05   2.29817578E-05  
  50               3.51314561E+00   6.42146097E+02   8.38127954E-01   1.60471803E-01   7.72269121E-04   5.23200020E-04   1.39403158E-06   4.06395404E-16   4.99331983E-05   2.29816496E-05  
  51               4.00792828E+00   6.67944702E+02   8.38128985E-01   1.60470774E-01   7.72267763E-04   5.23199100E-04   1.39402914E-06   1.87107331E-15   4.99331124E-05   2.29815022E-05  
  52               4.56758720E+00   6.94725476E+02   8.38130315E-01   1.60469447E-01   7.72265832E-04   5.23197792E-04   1.39402565E-06   8.08975552E-15   4.99329897E-05   2.29813121E-05  
  53               5.19976969E+00   7.22155432E+02   8.38131873E-01   1.60467889E-01   7.72263249E-04   5.23196042E-04   1.39402099E-06   3.23235206E-14   4.99328250E-05   2.29810890E-05  
  54               5.91222792E+00   7.50563460E+02   8.38133603E-01   1.60466150E-01   7.72260363E-04   5.23194087E-04   1.39401579E-06   1.21833730E-13   4.99326410E-05   2.29808399E-05  
  55               6.71319084E+00   7.79566723E+02   8.38135357E-01   1.60464359E-01   7.72257293E-04   5.23192007E-04   1.39401026E-06   4.26575365E-13   4.99324453E-05   2.29805833E-05  
  56               7.61345546E+00   8.09570179E+02   8.38136972E-01   1.60462542E-01   7.72254647E-04   5.23190214E-04   1.39400554E-06   1.41752642E-12   4.99322774E-05   2.29803230E-05  
  57               8.62715531E+00   8.40308269E+02   8.38138443E-01   1.60460816E-01   7.72252943E-04   5.23189060E-04   1.39400281E-06   4.43068020E-12   4.99321707E-05   2.29800753E-05  
  58               9.76832887E+00   8.72177079E+02   8.38140008E-01   1.60459236E-01   7.72255494E-04   5.23190789E-04   1.39400952E-06   1.32539834E-11   4.99323395E-05   2.29798478E-05  
  59               1.10499356E+01   9.04772038E+02   8.38141394E-01   1.60457816E-01   7.72258372E-04   5.23192739E-04   1.39402667E-06   3.74670592E-11   4.99325297E-05   2.29865394E-05  
  60               1.24834403E+01   9.38363759E+02   8.38142597E-01   1.60456532E-01   7.72257353E-04   5.23192048E-04   1.39408838E-06   1.01274330E-10   4.99324683E-05   2.30046076E-05  
  61               1.40813174E+01   9.72532365E+02   8.38143511E-01   1.60455391E-01   7.72257294E-04   5.23192008E-04   1.39440283E-06   2.59090362E-10   4.99324692E-05   2.30539243E-05  
  62               1.58594774E+01   1.00758744E+03   8.38143990E-01   1.60454328E-01   7.72259327E-04   5.23193385E-04   1.39583298E-06   6.34992822E-10   4.99326056E-05   2.31839919E-05  
  63               1.78398657E+01   1.04328426E+03   8.38143607E-01   1.60453273E-01   7.72267024E-04   5.23198598E-04   1.40178600E-06   1.48472195E-09   4.99331087E-05   2.35039671E-05  
  64               2.00430169E+01   1.07988003E+03   8.38142928E-01   1.60452334E-01   7.72286814E-04   5.23211981E-04   1.42429895E-06   3.34190146E-09   4.99343954E-05   2.42844673E-05  
  65               2.24891453E+01   1.11708792E+03   8.38143614E-01   1.60451562E-01   7.72286622E-04   5.23211680E-04   1.50086401E-06   7.20942798E-09   4.99344019E-05   2.42842604E-05  
  66               2.52004010E+01   1.15507621E+03   8.38144187E-01   1.60450751E-01   7.72286630E-04   5.23210611E-04   1.72716157E-06   1.49996756E-08   4.99344952E-05   2.42839892E-05  
  67               2.82003684E+01   1.19363436E+03   8.38144558E-01   1.60449813E-01   7.72282718E-04   5.23201965E-04   2.28158929E-06   3.00385737E-08   4.99347509E-05   2.42836112E-05  
  68               3.15160964E+01   1.23196448E+03   8.38144659E-01   1.60448688E-01   7.72250657E-04   5.23151309E-04   3.34766194E-06   5.72375991E-08   4.99352175E-05   2.42830853E-05  
  69               3.51934479E+01   1.26747247E+03   8.38144613E-01   1.60447506E-01   7.72096166E-04   5.22932515E-04   4.88749865E-06   9.98338986E-08   4.99358754E-05   2.42824352E-05  
  70               3.92756753E+01   1.30455693E+03   8.38144981E-01   1.60446021E-01   7.71565876E-04   5.22229975E-04   7.13711308E-06   1.72815170E-07   4.99365043E-05   2.42815164E-05  
  71               4.38012769E+01   1.34003908E+03   8.38146622E-01   1.60444596E-01   7.70160316E-04   5.20506769E-04   9.90617845E-06   2.82696551E-07   4.99369654E-05   2.42803948E-05  
  72               4.88044616E+01   1.37779951E+03   8.38150319E-01   1.60442924E-01   7.67289382E-04   5.17248185E-04   1.37847194E-05   4.64794691E-07   4.99370036E-05   2.42788182E-05  
  73               5.43237599E+01   1.41462295E+03   8.38155806E-01   1.60441250E-01   7.63045215E-04   5.12749446E-04   1.83908740E-05   7.33417580E-07   4.99368967E-05   2.42768152E-05  
  74               6.04034301E+01   1.45413780E+03   8.38163458E-01   1.60439033E-01   7.57050972E-04   5.06527079E-04   2.46631157E-05   1.16832356E-06   4.99370595E-05   2.42738448E-05  
  75               6.71018356E+01   1.49314177E+03   8.38172288E-01   1.60436545E-01   7.49982020E-04   4.99253343E-04   3.19154309E-05   1.80112575E-06   4.99383709E-05   2.42697035E-05  
  76               7.44866840E+01   1.53508106E+03   8.38183649E-01   1.60433281E-01   7.40724319E-04   4.89725524E-04   4.14111580E-05   2.80402046E-06   4.99429829E-05   2.42627630E-05  
  77               8.26019008E+01   1.57668901E+03   8.38195070E-01   1.60429495E-01   7.30443254E-04   4.79078066E-04   5.20052033E-05   4.24042289E-06   4.99547199E-05   2.42509770E-05  
  78               9.14601647E+01   1.62141459E+03   8.38209446E-01   1.60424896E-01   7.18408471E-04   4.65573557E-04   6.54361630E-05   6.47327765E-06   4.99826461E-05   2.41836209E-05  
  79               1.01041851E+02   1.66588382E+03   8.38209121E-01   1.60416805E-01   7.04148751E-04   4.51046150E-04   7.98593370E-05   9.62382443E-06   5.00217063E-05   2.41730869E-05  
  80               1.11285745E+02   1.71026263E+03   8.38208144E-01   1.60410723E-01   7.07218990E-04   4.33510019E-04   9.72773435E-05   1.39944190E-05   5.00789088E-05   2.32801183E-05  
  81               1.22171246E+02   1.75362108E+03   8.38222535E-01   1.60405068E-01   6.91896381E-04   4.17730298E-04   1.12918727E-04   1.97793261E-05   5.00931147E-05   2.32707042E-05  
  82               1.33675919E+02   1.79655944E+03   8.38234613E-01   1.60399166E-01   6.76935907E-04   4.01762493E-04   1.28722026E-04   2.73875572E-05   5.00801502E-05   2.32500754E-05  
  83               1.45679052E+02   1.83797982E+03   8.38241021E-01   1.60392999E-01   6.63951808E-04   3.86386553E-04   1.43910042E-04   3.69032633E-05   5.00313525E-05   2.32086318E-05  
  84               1.58575194E+02   1.87981552E+03   8.38237310E-01   1.60385599E-01   6.53969667E-04   3.70540141E-04   1.59532799E-04   4.91799017E-05   4.99590399E-05   2.31201789E-05  
  85               1.71865058E+02   1.91990644E+03   8.38219617E-01   1.60377130E-01   6.50507099E-04   3.54815418E-04   1.75010572E-04   6.39321591E-05   4.98606870E-05   2.29540713E-05  
  86               1.85205004E+02   1.95788231E+03   8.38175155E-01   1.60365432E-01   6.56111402E-04   3.38630883E-04   1.90926640E-04   8.11088235E-05   4.97499244E-05   2.26861536E-05  
  87               1.99575872E+02   1.99623165E+03   8.38089432E-01   1.60350540E-01   6.93492623E-04   3.16923812E-04   2.12354832E-04   1.02105489E-04   4.96204714E-05   2.20769901E-05  
  88               2.13544081E+02   2.03151695E+03   8.38082354E-01   1.60345281E-01   6.82727264E-04   3.05862647E-04   2.23125625E-04   1.25165664E-04   4.94820447E-05   2.20580919E-05  
  89               2.26494389E+02   2.06246400E+03   8.38072328E-01   1.60340588E-01   6.73869497E-04   2.96722476E-04   2.31985642E-04   1.48691865E-04   4.93450757E-05   2.20398639E-05  
  90               2.40874279E+02   2.09531559E+03   8.38057535E-01   1.60335460E-01   6.64958185E-04   2.87485160E-04   2.40897709E-04   1.77464387E-04   4.91890409E-05   2.20184993E-05  
  91               2.56815253E+02   2.12975987E+03   8.38026086E-01   1.60327861E-01   6.56270565E-04   2.78428685E-04   2.49573759E-04   2.12232502E-04   4.90077551E-05   2.19939792E-05  
  92               2.70585125E+02   2.15822638E+03   8.38004807E-01   1.60323134E-01   6.49516026E-04   2.71337585E-04   2.56329475E-04   2.44918052E-04   4.88495428E-05   2.19722393E-05  
