# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  1                1.00000000E-05   3.78186090E+02   8.38458514E-01   1.60502385E-01   8.70920330E-26   3.62735111E-04   4.09080647E-04   1.74338516E-04   5.96071394E-05   2.29861707E-05  
  2                1.57253379E-05   4.01194101E+02   8.38458487E-01   1.60502304E-01   3.73911885E-24   3.62735041E-04   4.09080568E-04   1.74338483E-04   5.96071278E-05   2.29861591E-05  
  3                2.26871567E-05   4.17452350E+02   8.38458438E-01   1.60502351E-01   3.99928647E-23   3.62735959E-04   4.09081604E-04   1.74338924E-04   5.96072787E-05   2.29861658E-05  
  4                3.13081977E-05   4.19748150E+02   8.38458096E-01   1.60502320E-01   4.80545047E-23   3.62735880E-04   4.09081515E-04   1.74338886E-04   5.96072656E-05   2.29861614E-05  
  5                4.20224784E-05   4.32426530E+02   8.38457866E-01   1.60502544E-01   2.60626600E-22   3.62738258E-04   4.09084197E-04   1.74340029E-04   5.96076562E-05   2.29861934E-05  
  6                5.53407055E-05   4.34493063E+02   8.38457838E-01   1.60502571E-01   3.03355263E-22   3.62738310E-04   4.09084256E-04   1.74340054E-04   5.96076645E-05   2.29861974E-05  
  7                7.19205198E-05   4.45951194E+02   8.38457850E-01   1.60502559E-01   1.26203824E-21   3.62738317E-04   4.09084263E-04   1.74340057E-04   5.96076651E-05   2.29861957E-05  
  8                9.25574196E-05   4.48185982E+02   8.38457822E-01   1.60502587E-01   1.49328000E-21   3.62738385E-04   4.09084340E-04   1.74340090E-04   5.96076757E-05   2.29861996E-05  
  9                1.18255723E-04   4.59316142E+02   8.38457834E-01   1.60502575E-01   5.48603332E-21   3.62738411E-04   4.09084370E-04   1.74340103E-04   5.96076793E-05   2.29861980E-05  
  10               1.50244845E-04   4.61921692E+02   8.38457806E-01   1.60502603E-01   6.72575225E-21   3.62738503E-04   4.09084473E-04   1.74340147E-04   5.96076934E-05   2.29862019E-05  
  11               1.90072445E-04   4.72952365E+02   8.38457817E-01   1.60502592E-01   2.26117010E-20   3.62738560E-04   4.09084537E-04   1.74340174E-04   5.96077014E-05   2.29862003E-05  
  12               2.39637721E-04   4.75953389E+02   8.38457789E-01   1.60502619E-01   2.86133853E-20   3.62738688E-04   4.09084681E-04   1.74340236E-04   5.96077208E-05   2.29862042E-05  
  13               3.01322868E-04   4.87030541E+02   8.38457800E-01   1.60502608E-01   8.98993765E-20   3.62738787E-04   4.09084793E-04   1.74340283E-04   5.96077350E-05   2.29862027E-05  
  14               3.78054537E-04   4.90429493E+02   8.38457771E-01   1.60502636E-01   1.16787322E-19   3.62738964E-04   4.09084993E-04   1.74340369E-04   5.96077617E-05   2.29862067E-05  
  15               4.73489771E-04   5.01697757E+02   8.38457781E-01   1.60502626E-01   3.49048587E-19   3.62739120E-04   4.09085169E-04   1.74340444E-04   5.96077843E-05   2.29862052E-05  
  16               5.92122011E-04   5.05531356E+02   8.38457752E-01   1.60502654E-01   4.64985600E-19   3.62739362E-04   4.09085442E-04   1.74340560E-04   5.96078203E-05   2.29862093E-05  
  17               7.39559756E-04   5.17113269E+02   8.38457762E-01   1.60502644E-01   1.33860232E-18   3.62739589E-04   4.09085698E-04   1.74340669E-04   5.96078533E-05   2.29862078E-05  
  18               9.22760782E-04   5.21289946E+02   8.38457731E-01   1.60502674E-01   1.80348713E-18   3.62739911E-04   4.09086061E-04   1.74340824E-04   5.96079012E-05   2.29862121E-05  
  19               1.15041220E-03   5.33098848E+02   8.38457740E-01   1.60502665E-01   4.95675427E-18   3.62740222E-04   4.09086411E-04   1.74340973E-04   5.96079463E-05   2.29862107E-05  
  20               1.43326414E-03   5.37428289E+02   8.38457705E-01   1.60502697E-01   6.61718664E-18   3.62740634E-04   4.09086876E-04   1.74341171E-04   5.96080073E-05   2.29862154E-05  
  21               1.78473200E-03   5.49314257E+02   8.38457712E-01   1.60502690E-01   1.71652826E-17   3.62741046E-04   4.09087341E-04   1.74341369E-04   5.96080675E-05   2.29862143E-05  
  22               2.22142375E-03   5.53661237E+02   8.38457673E-01   1.60502727E-01   2.24402637E-17   3.62741557E-04   4.09087916E-04   1.74341615E-04   5.96081429E-05   2.29862197E-05  
  23               2.76403253E-03   5.65553981E+02   8.38457677E-01   1.60502722E-01   5.48554018E-17   3.62742056E-04   4.09088480E-04   1.74341855E-04   5.96082157E-05   2.29862190E-05  
  24               3.43816134E-03   5.69881683E+02   8.38457631E-01   1.60502765E-01   7.01262173E-17   3.62742667E-04   4.09089168E-04   1.74342148E-04   5.96083058E-05   2.29862252E-05  
  25               4.27563501E-03   5.81875174E+02   8.38457632E-01   1.60502763E-01   1.63528359E-16   3.62743263E-04   4.09089841E-04   1.74342435E-04   5.96083928E-05   2.29862248E-05  
  26               5.31585850E-03   5.86154161E+02   8.38457578E-01   1.60502814E-01   2.04318879E-16   3.62743970E-04   4.09090637E-04   1.74342774E-04   5.96084970E-05   2.29862322E-05  
  27               6.60773984E-03   5.98239854E+02   8.38457576E-01   1.60502815E-01   4.55780890E-16   3.62744648E-04   4.09091401E-04   1.74343100E-04   5.96085958E-05   2.29862322E-05  
  28               8.21178881E-03   6.02539954E+02   8.38457511E-01   1.60502875E-01   5.60470247E-16   3.62745441E-04   4.09092296E-04   1.74343482E-04   5.96087129E-05   2.29862409E-05  
  29               1.02029477E-02   6.14811580E+02   8.38457505E-01   1.60502878E-01   1.20753012E-15   3.62746210E-04   4.09093163E-04   1.74343851E-04   5.96088253E-05   2.29862414E-05  
  30               1.26736505E-02   6.19205287E+02   8.38457430E-01   1.60502950E-01   1.47029377E-15   3.62747080E-04   4.09094144E-04   1.74344269E-04   5.96089538E-05   2.29862516E-05  
  31               1.57386044E-02   6.31956504E+02   8.38457422E-01   1.60502955E-01   3.12485811E-15   3.62747898E-04   4.09095066E-04   1.74344663E-04   5.96090732E-05   2.29862523E-05  
  32               1.95396762E-02   6.36756310E+02   8.38457328E-01   1.60503035E-01   3.84553560E-15   3.62748830E-04   4.09096117E-04   1.74345110E-04   5.96092108E-05   2.29862638E-05  
  33               2.42513463E-02   6.50228914E+02   8.38457321E-01   1.60503040E-01   8.16885132E-15   3.62749785E-04   4.09097194E-04   1.74345570E-04   5.96093518E-05   2.29862644E-05  
  34               3.00874729E-02   6.55817448E+02   8.38457222E-01   1.60503128E-01   1.03765008E-14   3.62750768E-04   4.09098302E-04   1.74346042E-04   5.96094969E-05   2.29862771E-05  
  35               3.73097682E-02   6.70562795E+02   8.38457221E-01   1.60503126E-01   2.26487363E-14   3.62751712E-04   4.09099366E-04   1.74346496E-04   5.96096351E-05   2.29862768E-05  
  36               4.62364256E-02   6.77327551E+02   8.38457072E-01   1.60503208E-01   3.01890069E-14   3.62752999E-04   4.09100817E-04   1.74347114E-04   5.96098293E-05   2.29862885E-05  
  37               5.72536500E-02   6.93674492E+02   8.38457068E-01   1.60503192E-01   6.82213249E-14   3.62753892E-04   4.09101823E-04   1.74347543E-04   5.96099585E-05   2.29862862E-05  
  38               7.08272245E-02   7.02257235E+02   8.38456981E-01   1.60503276E-01   9.78576727E-14   3.62755024E-04   4.09103100E-04   1.74348088E-04   5.96101267E-05   2.29862982E-05  
  39               8.75167937E-02   7.20725532E+02   8.38456843E-01   1.60503211E-01   2.31719534E-13   3.62758006E-04   4.09106462E-04   1.74349520E-04   5.96105984E-05   2.29862888E-05  
  40               1.07984232E-01   7.31550953E+02   8.38456771E-01   1.60503277E-01   3.59691959E-13   3.62759612E-04   4.09108273E-04   1.74350292E-04   5.96108437E-05   2.29862982E-05  
  41               1.33022533E-01   7.52667565E+02   8.38456646E-01   1.60503173E-01   8.96982241E-13   3.62760417E-04   4.09109181E-04   1.74350679E-04   5.96109571E-05   2.29862831E-05  
  42               1.63560723E-01   7.66322024E+02   8.38456603E-01   1.60503204E-01   1.51691057E-12   3.62763433E-04   4.09112582E-04   1.74352129E-04   5.96114334E-05   2.29862874E-05  
  43               2.00734800E-01   7.90463745E+02   8.38456731E-01   1.60503069E-01   3.94830606E-12   3.62764308E-04   4.09113569E-04   1.74352550E-04   5.96115575E-05   2.29884173E-05  
  44               2.45877873E-01   8.07574201E+02   8.38456754E-01   1.60503029E-01   7.27537701E-12   3.62765263E-04   4.09114645E-04   1.74353009E-04   5.96116943E-05   2.29909224E-05  
  45               3.00572503E-01   8.35543687E+02   8.38457037E-01   1.60502710E-01   1.98219082E-11   3.62766016E-04   4.09115493E-04   1.74353370E-04   5.96117973E-05   2.30010576E-05  
  46               3.66594931E-01   8.56887695E+02   8.38457193E-01   1.60502452E-01   3.96902076E-11   3.62766924E-04   4.09116517E-04   1.74353806E-04   5.96119252E-05   2.30176623E-05  
  47               4.45957089E-01   8.89336759E+02   8.38457869E-01   1.60501514E-01   1.11882850E-10   3.62767776E-04   4.09117476E-04   1.74354216E-04   5.96120433E-05   2.30863141E-05  
  48               5.40892408E-01   9.15711093E+02   8.38458213E-01   1.60500415E-01   2.40897228E-10   3.62768907E-04   4.09118746E-04   1.74354757E-04   5.96122059E-05   2.32174460E-05  
  49               6.53914574E-01   9.53244645E+02   8.38459839E-01   1.60497218E-01   6.90075060E-10   3.62778428E-04   4.09129455E-04   1.74359321E-04   5.96137430E-05   2.37275311E-05  
  50               7.87966350E-01   9.85029824E+02   8.38462637E-01   1.60493343E-01   1.55245504E-09   3.62775326E-04   4.09125784E-04   1.74357755E-04   5.96131843E-05   2.42906908E-05  
  51               9.46445490E-01   1.02781583E+03   8.38472455E-01   1.60483592E-01   4.38377170E-09   3.62765972E-04   4.09114361E-04   1.74352868E-04   5.96114970E-05   2.42890989E-05  
  52               1.13320063E+00   1.06503456E+03   8.38484248E-01   1.60471850E-01   9.95100544E-09   3.62758781E-04   4.09101004E-04   1.74346951E-04   5.96095558E-05   2.42871454E-05  
  53               1.35251115E+00   1.11277203E+03   8.38507652E-01   1.60448506E-01   2.67944400E-08   3.62756002E-04   4.09071285E-04   1.74332394E-04   5.96054631E-05   2.42831961E-05  
  54               1.60895883E+00   1.15441856E+03   8.38530073E-01   1.60426056E-01   5.86013361E-08   3.62847135E-04   4.09028246E-04   1.74294928E-04   5.96017558E-05   2.42791843E-05  
  55               1.90859350E+00   1.20588698E+03   8.38562405E-01   1.60393534E-01   1.45171030E-07   3.63300270E-04   4.08873915E-04   1.74097919E-04   5.95963432E-05   2.42729361E-05  
  56               2.25950905E+00   1.25070481E+03   8.38586475E-01   1.60369358E-01   2.96538985E-07   3.65174984E-04   4.08119547E-04   1.72907274E-04   5.95930944E-05   2.42674232E-05  
  57               2.67355480E+00   1.30488239E+03   8.38616178E-01   1.60341737E-01   6.65982942E-07   3.71068289E-04   4.04940688E-04   1.67678804E-04   5.95895544E-05   2.42594625E-05  
  58               3.17083952E+00   1.35184647E+03   8.38642722E-01   1.60326267E-01   1.25282261E-06   3.84444633E-04   3.95139178E-04   1.52310095E-04   5.95869872E-05   2.42516911E-05  
  59               3.78644023E+00   1.40807608E+03   8.38681222E-01   1.60312422E-01   2.54299442E-06   4.07660247E-04   3.74396625E-04   1.23609170E-04   5.95821900E-05   2.42358238E-05  
  60               4.55366481E+00   1.45734780E+03   8.38705418E-01   1.60305460E-01   4.43427834E-06   4.28508785E-04   3.54395930E-04   1.02445432E-04   5.95803495E-05   2.42041584E-05  
  61               5.50054310E+00   1.51657592E+03   8.38726570E-01   1.60297350E-01   8.32483561E-06   4.50166063E-04   3.33897481E-04   8.03257913E-05   5.95789370E-05   2.40765827E-05  
  62               6.62849331E+00   1.56902833E+03   8.38720813E-01   1.60290073E-01   1.37694248E-05   4.63211548E-04   3.24703043E-04   6.74104560E-05   5.95824257E-05   2.37202180E-05  
  63               7.90706856E+00   1.63024905E+03   8.38713199E-01   1.60283614E-01   2.41104105E-05   4.79337761E-04   3.27217039E-04   5.11692033E-05   5.96044130E-05   2.21645016E-05  
  64               9.30052191E+00   1.68346055E+03   8.38700094E-01   1.60278475E-01   3.76114285E-05   4.87566721E-04   3.23125266E-04   4.29129389E-05   5.96042708E-05   2.20653100E-05  
  65               1.07249903E+01   1.74330487E+03   8.38647081E-01   1.60268210E-01   6.09241064E-05   4.97886254E-04   3.31641058E-04   3.25234383E-05   5.96120517E-05   2.16530783E-05  
  66               1.20065345E+01   1.79641485E+03   8.38553090E-01   1.60256553E-01   9.12898016E-05   5.06788478E-04   3.67396069E-04   2.35681140E-05   5.96424701E-05   2.09031977E-05  
  67               1.30386619E+01   1.83517991E+03   8.38481350E-01   1.60249303E-01   1.20614687E-04   5.11428650E-04   3.95689956E-04   1.88951500E-05   5.96507591E-05   2.04871214E-05  
  68               1.42131640E+01   1.87729872E+03   8.38436218E-01   1.60243081E-01   1.61129737E-04   5.13996472E-04   3.93060048E-04   1.62817791E-05   5.96274195E-05   2.04886383E-05  
  69               1.52048258E+01   1.90982621E+03   8.38403058E-01   1.60239509E-01   1.99453030E-04   5.15583133E-04   3.91419653E-04   1.46614671E-05   5.96183285E-05   2.04848888E-05  
  70               1.59875648E+01   1.93513489E+03   8.38372378E-01   1.60236354E-01   2.34409866E-04   5.16692515E-04   3.90266619E-04   1.35236917E-05   5.96041361E-05   2.04774594E-05  
  71               1.69120985E+01   1.96271346E+03   8.38333803E-01   1.60232555E-01   2.77797938E-04   5.17702049E-04   3.89208627E-04   1.24803531E-05   5.95874937E-05   2.04659265E-05  
  72               1.79952869E+01   1.99450887E+03   8.38251282E-01   1.60221756E-01   3.36071477E-04   5.18733634E-04   3.88089394E-04   1.13874455E-05   5.95637016E-05   2.04453723E-05  
  73               1.88363078E+01   2.01731580E+03   8.38208493E-01   1.60217774E-01   3.83429393E-04   5.19360908E-04   3.87442298E-04   1.07272757E-05   5.95537717E-05   2.04278909E-05  
  74               1.94771217E+01   2.03499252E+03   8.38171726E-01   1.60214363E-01   4.24089266E-04   5.19833544E-04   3.86927702E-04   1.02277158E-05   5.95397440E-05   2.04111161E-05  
  75               2.02484202E+01   2.05458570E+03   8.38127543E-01   1.60210322E-01   4.72697151E-04   5.20275191E-04   3.86483173E-04   9.75399911E-06   5.95241462E-05   2.03911319E-05  
  76               2.11704107E+01   2.07825178E+03   8.38068351E-01   1.60204938E-01   5.37831024E-04   5.20790695E-04   3.85906778E-04   9.19789624E-06   5.95066872E-05   2.03621723E-05  
  77               2.22695863E+01   2.10431793E+03   8.37996087E-01   1.60198436E-01   6.17115977E-04   5.21259464E-04   3.85367196E-04   8.68016745E-06   5.94838487E-05   2.03265188E-05  
  78               2.35716335E+01   2.13486528E+03   8.37900052E-01   1.60189843E-01   7.22322626E-04   5.21767870E-04   3.84770173E-04   8.11022227E-06   5.94576694E-05   2.02774728E-05  
  79               2.51043508E+01   2.16800587E+03   8.37782096E-01   1.60179368E-01   8.51276625E-04   5.22207454E-04   3.84227598E-04   7.59640557E-06   5.94245543E-05   2.02174163E-05  
  80               2.68979430E+01   2.20570074E+03   8.37627318E-01   1.60165680E-01   1.02029584E-03   5.22647760E-04   3.83660137E-04   7.06352181E-06   5.93863571E-05   2.01380206E-05  
  81               2.89853252E+01   2.24589717E+03   8.37437544E-01   1.60148979E-01   1.22725737E-03   5.22998664E-04   3.83161923E-04   6.60123527E-06   5.93393892E-05   2.00427130E-05  
  82               3.14027846E+01   2.29043547E+03   8.37190346E-01   1.60127076E-01   1.49449497E-03   5.23315148E-04   3.82663688E-04   6.14570452E-06   5.92849834E-05   1.99217082E-05  
  83               3.41896131E+01   2.33714136E+03   8.36884174E-01   1.60100792E-01   1.81900550E-03   5.23629538E-04   3.88303418E-04   5.67758737E-06   5.92232025E-05   1.98136121E-05  
  84               3.73906811E+01   2.38782181E+03   8.36505519E-01   1.60067699E-01   2.23099271E-03   5.23784812E-04   3.88055769E-04   5.32195615E-06   5.91484688E-05   1.96409982E-05  
  85               4.10569220E+01   2.44022488E+03   8.36051785E-01   1.60028104E-01   2.72453268E-03   5.23828625E-04   3.87858336E-04   5.04023883E-06   5.90601161E-05   1.94456261E-05  
  86               4.52451234E+01   2.49620709E+03   8.35486209E-01   1.59978780E-01   3.33966856E-03   5.23797355E-04   3.87662540E-04   4.78248922E-06   5.89586796E-05   1.92155025E-05  
