# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.79717671E+02   8.38542179E-01   1.60542180E-01   2.15665156E-36   5.28914775E-04   2.91628169E-04   6.05244414E-05   0.00000000E+00   2.29927364E-05  
  2                1.33285088E-04   3.35701643E+02   8.38549235E-01   1.60535144E-01   3.64060793E-30   5.28903447E-04   2.91621971E-04   6.05230238E-05   0.00000000E+00   2.29917288E-05  
  3                2.63377613E-04   3.60256836E+02   8.38553144E-01   1.60531248E-01   5.34992831E-28   5.28896683E-04   2.91618348E-04   6.05219858E-05   0.00000000E+00   2.29911707E-05  
  4                4.07765221E-04   3.76935127E+02   8.38554936E-01   1.60529463E-01   1.08313779E-26   5.28892567E-04   2.91616168E-04   6.05212897E-05   0.00000000E+00   2.29909151E-05  
  5                5.70005761E-04   3.90749303E+02   8.38556113E-01   1.60528291E-01   1.07760653E-25   5.28890288E-04   2.91614991E-04   6.05208294E-05   0.00000000E+00   2.29907472E-05  
  6                7.53340131E-04   4.02237318E+02   8.38556841E-01   1.60527568E-01   6.40399105E-25   5.28886326E-04   2.91612880E-04   6.05201927E-05   0.00000000E+00   2.29906438E-05  
  7                9.61113974E-04   4.13496950E+02   8.38554699E-01   1.60526359E-01   3.36327367E-24   5.28926127E-04   2.91634894E-04   6.05245747E-05   0.00000000E+00   2.29904706E-05  
  8                1.19691413E-03   4.23867784E+02   8.38555433E-01   1.60525590E-01   1.42939162E-23   5.28922825E-04   2.91633139E-04   6.05240317E-05   0.00000000E+00   2.29903604E-05  
  9                1.46464610E-03   4.35025937E+02   8.38555583E-01   1.60525000E-01   6.35161266E-23   5.28924711E-04   2.91634242E-04   6.05240871E-05   0.00000000E+00   2.29902760E-05  
  10               1.76894982E-03   4.44453722E+02   8.38555616E-01   1.60524968E-01   2.08598675E-22   5.28924246E-04   2.91634049E-04   6.05238769E-05   0.00000000E+00   2.29902713E-05  
  11               2.11577017E-03   4.53239270E+02   8.38555850E-01   1.60524736E-01   6.01360247E-22   5.28923087E-04   2.91633471E-04   6.05235897E-05   0.00000000E+00   2.29902381E-05  
  12               2.51144913E-03   4.61606331E+02   8.38556033E-01   1.60524555E-01   1.58238877E-21   5.28921912E-04   2.91632884E-04   6.05233022E-05   0.00000000E+00   2.29902122E-05  
  13               2.96310278E-03   4.69863455E+02   8.38556194E-01   1.60524396E-01   3.97126603E-21   5.28920860E-04   2.91632364E-04   6.05230297E-05   0.00000000E+00   2.29901894E-05  
  14               3.47874060E-03   4.78118199E+02   8.38556341E-01   1.60524251E-01   9.65057588E-21   5.28919749E-04   2.91631811E-04   6.05227508E-05   0.00000000E+00   2.29901686E-05  
  15               4.06744806E-03   4.86388354E+02   8.38556475E-01   1.60524119E-01   2.27841350E-20   5.28918731E-04   2.91631310E-04   6.05224821E-05   0.00000000E+00   2.29901497E-05  
  16               4.73951513E-03   4.94765349E+02   8.38556601E-01   1.60523994E-01   5.28366105E-20   5.28917650E-04   2.91630774E-04   6.05222055E-05   0.00000000E+00   2.29901319E-05  
  17               5.50654965E-03   5.03314143E+02   8.38556723E-01   1.60523874E-01   1.21188169E-19   5.28916635E-04   2.91630275E-04   6.05219353E-05   0.00000000E+00   2.29901147E-05  
  18               6.38163207E-03   5.12142177E+02   8.38556844E-01   1.60523755E-01   2.77775866E-19   5.28915554E-04   2.91629740E-04   6.05216559E-05   0.00000000E+00   2.29900977E-05  
  19               7.37980286E-03   5.21225270E+02   8.38556961E-01   1.60523640E-01   6.33811937E-19   5.28914524E-04   2.91629234E-04   6.05213806E-05   0.00000000E+00   2.29900811E-05  
  20               8.51823427E-03   5.30576305E+02   8.38557074E-01   1.60523529E-01   1.43974772E-18   5.28913438E-04   2.91628698E-04   6.05210966E-05   0.00000000E+00   2.29900652E-05  
  21               9.81630735E-03   5.40250538E+02   8.38557184E-01   1.60523421E-01   3.26846618E-18   5.28912391E-04   2.91628184E-04   6.05208145E-05   0.00000000E+00   2.29900497E-05  
  22               1.12957893E-02   5.50323254E+02   8.38557292E-01   1.60523314E-01   7.45256260E-18   5.28911291E-04   2.91627643E-04   6.05205237E-05   0.00000000E+00   2.29900345E-05  
  23               1.29810284E-02   5.60932997E+02   8.38557401E-01   1.60523207E-01   1.72303141E-17   5.28910211E-04   2.91627113E-04   6.05202322E-05   0.00000000E+00   2.29900191E-05  
  24               1.48992683E-02   5.72108108E+02   8.38557510E-01   1.60523100E-01   4.03521283E-17   5.28909087E-04   2.91626560E-04   6.05199323E-05   0.00000000E+00   2.29900038E-05  
