# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  34               1.72261258E-01   8.89766458E+02   8.38558253E-01   1.60509837E-01   1.82661535E-10   4.96934688E-04   2.90028400E-04   5.97599157E-05   0.00000000E+00   5.11397459E-05  
  35               2.03400005E-01   9.08589439E+02   8.38560337E-01   1.60506437E-01   3.12697711E-10   4.96975399E-04   2.90052083E-04   5.97744705E-05   0.00000000E+00   5.11435176E-05  
  36               2.39618937E-01   9.35536625E+02   8.38566856E-01   1.60498150E-01   6.71091697E-10   4.97023663E-04   2.90080143E-04   5.97904724E-05   0.00000000E+00   5.11480259E-05  
  37               2.81646946E-01   9.58084505E+02   8.38574448E-01   1.60490509E-01   1.21140709E-09   4.97061262E-04   2.90101936E-04   5.98058275E-05   0.00000000E+00   5.11513887E-05  
  38               3.30317079E-01   9.88741774E+02   8.38590489E-01   1.60474449E-01   2.65505010E-09   4.97086526E-04   2.90116472E-04   5.98204221E-05   0.00000000E+00   5.11534239E-05  
  39               3.86488364E-01   1.01533301E+03   8.38605392E-01   1.60459507E-01   4.98246585E-09   4.97117491E-04   2.90134221E-04   5.98365282E-05   6.12408756E-16   5.11559580E-05  
  40               4.51080533E-01   1.05013140E+03   8.38630938E-01   1.60433948E-01   1.10415717E-08   4.97133106E-04   2.90142723E-04   5.98516871E-05   4.49007796E-15   5.11567274E-05  
  41               5.25077199E-01   1.08101266E+03   8.38652437E-01   1.60412401E-01   2.11997578E-08   4.97160088E-04   2.90156826E-04   5.98690966E-05   2.31910986E-14   5.11579483E-05  
  42               6.09513265E-01   1.11979794E+03   8.38681619E-01   1.60383174E-01   4.64295210E-08   4.97179150E-04   2.90162785E-04   5.98862372E-05   1.68794313E-13   5.11555050E-05  
  43               7.05478370E-01   1.15448333E+03   8.38703061E-01   1.60361634E-01   8.86208453E-08   4.97224870E-04   2.90171017E-04   5.99063079E-05   8.66676791E-13   5.11422456E-05  
  44               8.14440729E-01   1.19669623E+03   8.38727264E-01   1.60337307E-01   1.87303774E-07   4.97298532E-04   2.90153608E-04   5.99269526E-05   5.75892828E-12   5.10807901E-05  
  45               9.38009645E-01   1.23470131E+03   8.38743367E-01   1.60321156E-01   3.48348517E-07   4.97473807E-04   2.90064774E-04   5.99502518E-05   2.73750260E-11   5.08318874E-05  
  46               1.07811906E+00   1.27988476E+03   8.38759720E-01   1.60305128E-01   7.01041395E-07   4.97853864E-04   2.89756986E-04   5.99741713E-05   1.56884646E-10   5.00032006E-05  
  47               1.23702290E+00   1.32056118E+03   8.38770983E-01   1.60295556E-01   1.25101712E-06   4.98670430E-04   2.88936006E-04   5.99992961E-05   6.55448931E-10   4.76296511E-05  
