# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   4.24707893E+02   8.38493331E-01   1.60509221E-01   1.76796850E-22   4.21979237E-04   3.58493010E-04   1.23777143E-04   5.98731579E-05   0.00000000E+00  
  2                1.62779745E-05   4.44074202E+02   8.38493322E-01   1.60509221E-01   2.06704482E-21   4.21979178E-04   3.58492960E-04   1.23777126E-04   5.98731495E-05   0.00000000E+00  
  3                2.39394032E-05   4.62777442E+02   8.38493333E-01   1.60509214E-01   1.87238387E-20   4.21979174E-04   3.58492957E-04   1.23777124E-04   5.98731487E-05   0.00000000E+00  
  4                3.34280020E-05   4.64184710E+02   8.38493318E-01   1.60509226E-01   1.88294144E-20   4.21979193E-04   3.58492972E-04   1.23777130E-04   5.98731508E-05   0.00000000E+00  
  5                4.52175080E-05   4.79228661E+02   8.38493327E-01   1.60509220E-01   9.61702549E-20   4.21979195E-04   3.58492974E-04   1.23777130E-04   5.98731503E-05   0.00000000E+00  
  6                5.98671535E-05   4.80271900E+02   8.38493313E-01   1.60509231E-01   9.41833881E-20   4.21979220E-04   3.58492996E-04   1.23777138E-04   5.98731527E-05   0.00000000E+00  
  7                7.80876113E-05   4.94341039E+02   8.38493322E-01   1.60509224E-01   3.93200311E-19   4.21979230E-04   3.58493004E-04   1.23777141E-04   5.98731523E-05   0.00000000E+00  
  8                1.00740092E-04   4.95608759E+02   8.38493307E-01   1.60509236E-01   3.96777989E-19   4.21979268E-04   3.58493036E-04   1.23777152E-04   5.98731553E-05   0.00000000E+00  
  9                1.28916164E-04   5.09188142E+02   8.38493318E-01   1.60509229E-01   1.44949840E-18   4.21979291E-04   3.58493056E-04   1.23777159E-04   5.98731554E-05   0.00000000E+00  
  10               1.63946826E-04   5.10776216E+02   8.38493302E-01   1.60509241E-01   1.50994312E-18   4.21979347E-04   3.58493103E-04   1.23777175E-04   5.98731589E-05   0.00000000E+00  
  11               2.07523837E-04   5.24052864E+02   8.38493313E-01   1.60509233E-01   4.96625649E-18   4.21979401E-04   3.58493150E-04   1.23777191E-04   5.98731610E-05   0.00000000E+00  
  12               2.61722424E-04   5.25895500E+02   8.38493296E-01   1.60509247E-01   5.27543087E-18   4.21979486E-04   3.58493222E-04   1.23777216E-04   5.98731659E-05   0.00000000E+00  
  13               3.29153792E-04   5.39062821E+02   8.38493309E-01   1.60509236E-01   1.60262412E-17   4.21979561E-04   3.58493285E-04   1.23777238E-04   5.98731674E-05   0.00000000E+00  
  14               4.13026568E-04   5.41184787E+02   8.38493290E-01   1.60509252E-01   1.73351296E-17   4.21979684E-04   3.58493390E-04   1.23777274E-04   5.98731737E-05   0.00000000E+00  
  15               5.17355089E-04   5.54506584E+02   8.38493306E-01   1.60509238E-01   5.00087363E-17   4.21979803E-04   3.58493491E-04   1.23777309E-04   5.98731770E-05   0.00000000E+00  
  16               6.47079513E-04   5.56976512E+02   8.38493285E-01   1.60509256E-01   5.52308443E-17   4.21979977E-04   3.58493639E-04   1.23777360E-04   5.98731853E-05   0.00000000E+00  
