# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  1                1.00000000E-05   7.73302147E+01   8.38429604E-01   1.60531886E-01   4.15144567E-04   3.50684378E-04   1.83615841E-04   5.97638512E-05   3.16437269E-109  2.29910741E-05  
  2                1.42374003E-04   1.06694734E+02   8.38360774E-01   1.60518707E-01   4.15108679E-04   3.50654063E-04   1.83599968E-04   5.97586852E-05   1.05250099E-102  2.29891867E-05  
  3                2.76062477E-04   1.26944575E+02   8.38429524E-01   1.60531871E-01   4.15178961E-04   3.50713432E-04   1.83631053E-04   5.97688032E-05   6.32497682E-86   2.29910719E-05  
  4                4.20222984E-04   1.41328037E+02   8.38429369E-01   1.60531841E-01   4.15178827E-04   3.50713319E-04   1.83630994E-04   5.97687842E-05   6.16943937E-77   2.29910677E-05  
  5                5.79538155E-04   1.52619968E+02   8.38427956E-01   1.60531570E-01   4.15178365E-04   3.50712928E-04   1.83630790E-04   5.97687178E-05   4.49400087E-71   2.29910289E-05  
  6                7.57491646E-04   1.63078268E+02   8.38421097E-01   1.60530257E-01   4.15173195E-04   3.50708561E-04   1.83628503E-04   5.97679737E-05   2.27907027E-66   2.29908408E-05  
  7                9.57559352E-04   1.72228784E+02   8.38389915E-01   1.60524287E-01   4.15166958E-04   3.50703293E-04   1.83625745E-04   5.97670760E-05   1.00285348E-62   2.29899858E-05  
  8                1.18315535E-03   1.81386231E+02   8.38296874E-01   1.60506473E-01   4.15113160E-04   3.50657849E-04   1.83601950E-04   5.97593316E-05   1.90679759E-59   2.29874345E-05  
  9                1.43782111E-03   1.89755429E+02   8.37956590E-01   1.60441319E-01   4.15061192E-04   3.50613950E-04   1.83578965E-04   5.97518505E-05   9.92634043E-57   2.29781033E-05  
  10               1.72569063E-03   1.98540485E+02   8.38428865E-01   1.60531744E-01   4.15506115E-04   3.50989789E-04   1.83775752E-04   5.98159015E-05   4.01879519E-54   2.29910538E-05  
  11               2.05158857E-03   2.06500974E+02   8.38428865E-01   1.60531744E-01   4.15506115E-04   3.50989789E-04   1.83775752E-04   5.98159017E-05   5.89957537E-52   2.29910538E-05  
  12               2.42095062E-03   2.14722546E+02   8.38428865E-01   1.60531744E-01   4.15506114E-04   3.50989788E-04   1.83775752E-04   5.98159018E-05   6.92520326E-50   2.29910538E-05  
  13               2.83985826E-03   2.22189280E+02   8.38428865E-01   1.60531744E-01   4.15506113E-04   3.50989788E-04   1.83775751E-04   5.98159020E-05   3.83216530E-48   2.29910538E-05  
  14               3.31524709E-03   2.29911699E+02   8.38428865E-01   1.60531744E-01   4.15506112E-04   3.50989787E-04   1.83775751E-04   5.98159022E-05   1.85063262E-46   2.29910538E-05  
  15               3.85505541E-03   2.36829893E+02   8.38428865E-01   1.60531744E-01   4.15506111E-04   3.50989787E-04   1.83775751E-04   5.98159024E-05   4.76869367E-45   2.29910538E-05  
  16               4.46847814E-03   2.44042057E+02   8.38428865E-01   1.60531744E-01   4.15506110E-04   3.50989786E-04   1.83775750E-04   5.98159026E-05   1.16059256E-43   2.29910538E-05  
  17               5.16590043E-03   2.50629309E+02   8.38428865E-01   1.60531744E-01   4.15506109E-04   3.50989786E-04   1.83775750E-04   5.98159028E-05   1.80954223E-42   2.29910538E-05  
  18               5.95909637E-03   2.57649911E+02   8.38428865E-01   1.60531744E-01   4.15506108E-04   3.50989785E-04   1.83775750E-04   5.98159030E-05   2.90279397E-41   2.29910538E-05  
