# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  34               2.11104973E-01   3.70312089E+02   8.38123098E-01   1.60473256E-01   7.74997163E-04   5.25679696E-04   1.36778531E-28   9.45270300E-07   4.70095338E-05   2.77222389E-05  
  35               2.55606409E-01   3.81649828E+02   8.38123098E-01   1.60473255E-01   7.74997259E-04   5.25679760E-04   1.02310067E-27   9.45270413E-07   4.70095447E-05   2.77222447E-05  
  36               3.09267310E-01   3.92695268E+02   8.38123099E-01   1.60473254E-01   7.74997263E-04   5.25679763E-04   6.45365160E-27   9.45270415E-07   4.70095503E-05   2.77222472E-05  
  37               3.73879228E-01   4.05425744E+02   8.38123099E-01   1.60473253E-01   7.74998045E-04   5.25680293E-04   4.80460724E-26   9.45271366E-07   4.70096034E-05   2.77222778E-05  
  38               4.51545994E-01   4.17955542E+02   8.38122813E-01   1.60473195E-01   7.74998081E-04   5.25680317E-04   3.05715487E-25   9.45271406E-07   4.70096115E-05   2.77222818E-05  
  39               5.44778821E-01   4.32337095E+02   8.38122845E-01   1.60473163E-01   7.74997851E-04   5.25680160E-04   2.25958429E-24   9.45271122E-07   4.70096039E-05   2.77222765E-05  
  40               6.56545028E-01   4.46736546E+02   8.38122842E-01   1.60473155E-01   7.74997582E-04   5.25679978E-04   1.46482811E-23   9.45270790E-07   4.70095943E-05   2.77222699E-05  
  41               7.90276211E-01   4.63209177E+02   8.38122729E-01   1.60473126E-01   7.75005031E-04   5.25685030E-04   1.08624926E-22   9.45279872E-07   4.70100532E-05   2.77225396E-05  
  42               9.49926473E-01   4.80032026E+02   8.38122379E-01   1.60473132E-01   7.75005309E-04   5.25685218E-04   7.27183701E-22   9.45280207E-07   4.70100776E-05   2.77225530E-05  
  43               1.14016151E+00   4.99509688E+02   8.38119413E-01   1.60472776E-01   7.75011730E-04   5.25689573E-04   5.64832735E-21   9.45288033E-07   4.70104751E-05   2.77227864E-05  
  44               1.36620713E+00   5.19684705E+02   8.38119759E-01   1.60472439E-01   7.75006608E-04   5.25686098E-04   4.00731177E-20   9.45281781E-07   4.70101731E-05   2.77226072E-05  
  45               1.63436606E+00   5.41008811E+02   8.38119792E-01   1.60472299E-01   7.75067483E-04   5.25727389E-04   2.71130317E-19   9.45356025E-07   4.70138749E-05   2.77247890E-05  
  46               1.95177428E+00   5.64098178E+02   8.38120007E-01   1.60472084E-01   7.75067078E-04   5.25727114E-04   1.82924755E-18   9.45355525E-07   4.70138603E-05   2.77247791E-05  
  47               2.32701481E+00   5.88462691E+02   8.38120358E-01   1.60471735E-01   7.75066410E-04   5.25726660E-04   1.16511250E-17   9.45354705E-07   4.70138306E-05   2.77247602E-05  
  48               2.76931503E+00   6.14539320E+02   8.38120919E-01   1.60471176E-01   7.75065211E-04   5.25725846E-04   7.18855537E-17   9.45353235E-07   4.70137696E-05   2.77247227E-05  
  49               3.28841276E+00   6.41780921E+02   8.38121740E-01   1.60470358E-01   7.75063511E-04   5.25724692E-04   4.10310964E-16   9.45351155E-07   4.70136793E-05   2.77246678E-05  
  50               3.89588330E+00   6.70535141E+02   8.38122883E-01   1.60469219E-01   7.75060970E-04   5.25722968E-04   2.21202173E-15   9.45348048E-07   4.70135393E-05   2.77245834E-05  
