# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  1                1.00000000E-05   7.09807255E+01   8.38309896E-01   1.60509018E-01   5.96726120E-04   3.57792666E-04   1.36356762E-04   3.16386628E-109  5.84265181E-05   2.29888655E-05  
  2                9.81443811E-05   9.53493069E+01   8.38212062E-01   1.60490287E-01   5.96709765E-04   3.57782860E-04   1.36353025E-04   1.00979853E-109  5.84249173E-05   2.29861826E-05  
  3                1.90912190E-04   1.09016834E+02   8.38309856E-01   1.60509011E-01   5.96750504E-04   3.57807286E-04   1.36362334E-04   1.64995521E-100  5.84289065E-05   2.29888644E-05  
  4                2.94579237E-04   1.22151523E+02   8.38309777E-01   1.60508996E-01   5.96799275E-04   3.57836529E-04   1.36373479E-04   1.93713857E-89   5.84336818E-05   2.29888622E-05  
  5                4.12594540E-04   1.30332411E+02   8.38309770E-01   1.60508994E-01   5.96800052E-04   3.57836995E-04   1.36373657E-04   1.07773243E-83   5.84337580E-05   2.29888620E-05  
  6                5.48118024E-04   1.40473578E+02   8.38309751E-01   1.60508991E-01   5.96800304E-04   3.57837146E-04   1.36373714E-04   1.75746609E-77   5.84337827E-05   2.29888615E-05  
  7                7.04492798E-04   1.46896707E+02   8.38309518E-01   1.60508946E-01   5.96800564E-04   3.57837302E-04   1.36373774E-04   5.21383702E-74   5.84338083E-05   2.29888551E-05  
  8                8.85489748E-04   1.56171661E+02   8.38309193E-01   1.60508884E-01   5.96800880E-04   3.57837491E-04   1.36373846E-04   1.77622050E-69   5.84338393E-05   2.29888462E-05  
  9                1.09547499E-03   1.61665890E+02   8.38298730E-01   1.60506881E-01   5.96801360E-04   3.57837779E-04   1.36373955E-04   4.67956227E-67   5.84338863E-05   2.29885593E-05  
  10               1.33960970E-03   1.70392597E+02   8.38309770E-01   1.60508994E-01   5.96803675E-04   3.57839168E-04   1.36374484E-04   1.65458423E-63   5.84341132E-05   2.29888620E-05  
  11               1.62370596E-03   1.75615287E+02   8.38215171E-01   1.60490882E-01   5.96810335E-04   3.57843161E-04   1.36376006E-04   1.43348641E-61   5.84347654E-05   2.29862679E-05  
  12               1.95452195E-03   1.84249461E+02   8.38309733E-01   1.60508987E-01   5.96826383E-04   3.57852783E-04   1.36379673E-04   1.39100196E-58   5.84363368E-05   2.29888610E-05  
  13               2.33973904E-03   1.89449664E+02   8.37760217E-01   1.60403773E-01   5.96878495E-04   3.57884029E-04   1.36391581E-04   6.22896685E-57   5.84414393E-05   2.29737917E-05  
  14               2.78819535E-03   1.98265505E+02   8.38309669E-01   1.60508975E-01   5.96865721E-04   3.57876370E-04   1.36388663E-04   2.63365357E-54   5.84401888E-05   2.29888593E-05  
  15               3.31030220E-03   2.03682830E+02   8.38309007E-01   1.60508848E-01   5.97273589E-04   3.58120924E-04   1.36481864E-04   8.05662604E-53   5.84801239E-05   2.29888411E-05  
  16               3.91858115E-03   2.12534110E+02   8.38309007E-01   1.60508848E-01   5.97273881E-04   3.58121099E-04   1.36481930E-04   1.55307775E-50   5.84801527E-05   2.29888411E-05  
  17               4.62718387E-03   2.17948120E+02   8.38309005E-01   1.60508848E-01   5.97274679E-04   3.58121578E-04   1.36482113E-04   3.03763967E-49   5.84802311E-05   2.29888411E-05  
  18               5.45273876E-03   2.26727990E+02   8.38309005E-01   1.60508848E-01   5.97274651E-04   3.58121561E-04   1.36482106E-04   2.91922835E-47   5.84802285E-05   2.29888411E-05  
  19               6.41451095E-03   2.32100110E+02   8.38309008E-01   1.60508848E-01   5.97273238E-04   3.58120714E-04   1.36481783E-04   3.88984377E-46   5.84800904E-05   2.29888411E-05  
  20               7.53483225E-03   2.40745997E+02   8.38309002E-01   1.60508847E-01   5.97276631E-04   3.58122749E-04   1.36482559E-04   2.05808089E-44   5.84804229E-05   2.29888410E-05  
  21               8.83957610E-03   2.46059109E+02   8.38309001E-01   1.60508847E-01   5.97277324E-04   3.58123164E-04   1.36482717E-04   1.98761102E-43   5.84804910E-05   2.29888410E-05  
  22               1.03595731E-02   2.54754201E+02   8.38309000E-01   1.60508847E-01   5.97278098E-04   3.58123628E-04   1.36482894E-04   6.93409328E-42   5.84805670E-05   2.29888409E-05  
  23               1.21295649E-02   2.60351742E+02   8.38308999E-01   1.60508847E-01   5.97278876E-04   3.58124094E-04   1.36483072E-04   5.84104849E-41   5.84806434E-05   2.29888409E-05  
  24               1.41903974E-02   2.69312219E+02   8.38308997E-01   1.60508846E-01   5.97279663E-04   3.58124566E-04   1.36483252E-04   1.53477138E-39   5.84807208E-05   2.29888408E-05  
  25               1.65890695E-02   2.75213734E+02   8.38308996E-01   1.60508846E-01   5.97280437E-04   3.58125031E-04   1.36483429E-04   1.14291615E-38   5.84807969E-05   2.29888408E-05  
  26               1.93803936E-02   2.84485753E+02   8.38308995E-01   1.60508846E-01   5.97281262E-04   3.58125525E-04   1.36483617E-04   2.35446589E-37   5.84808779E-05   2.29888408E-05  
  27               2.26270479E-02   2.90870154E+02   8.38308993E-01   1.60508846E-01   5.97282150E-04   3.58126058E-04   1.36483820E-04   1.64611807E-36   5.84809651E-05   2.29888407E-05  
  28               2.64021680E-02   3.00663770E+02   8.38308992E-01   1.60508845E-01   5.97283103E-04   3.58126629E-04   1.36484038E-04   2.87026824E-35   5.84810588E-05   2.29888407E-05  
  29               3.07899781E-02   3.07595591E+02   8.38308990E-01   1.60508845E-01   5.97284127E-04   3.58127243E-04   1.36484272E-04   1.89708612E-34   5.84811595E-05   2.29888406E-05  
  30               3.58885515E-02   3.17873629E+02   8.38308988E-01   1.60508844E-01   5.97285225E-04   3.58127902E-04   1.36484523E-04   2.76807664E-33   5.84812673E-05   2.29888406E-05  
  31               4.18094182E-02   3.25420760E+02   8.38308986E-01   1.60508844E-01   5.97286404E-04   3.58128608E-04   1.36484792E-04   1.73897968E-32   5.84813832E-05   2.29888405E-05  
  32               4.86808831E-02   3.36454519E+02   8.38308983E-01   1.60508843E-01   5.97287663E-04   3.58129364E-04   1.36485080E-04   2.26856165E-31   5.84815069E-05   2.29888403E-05  
  33               5.66483692E-02   3.44972586E+02   8.38308982E-01   1.60508842E-01   5.97289017E-04   3.58130175E-04   1.36485389E-04   1.44364464E-30   5.84816400E-05   2.29888402E-05  
  34               6.58818777E-02   3.57083336E+02   8.38308960E-01   1.60508836E-01   5.97290456E-04   3.58131038E-04   1.36485718E-04   1.76917767E-29   5.84817814E-05   2.29888394E-05  
  35               7.65751233E-02   3.66872365E+02   8.38308962E-01   1.60508832E-01   5.97292006E-04   3.58131968E-04   1.36486072E-04   1.16804831E-28   5.84819337E-05   2.29888387E-05  
  36               8.89482648E-02   3.80426272E+02   8.38308965E-01   1.60508826E-01   5.97293642E-04   3.58132948E-04   1.36486446E-04   1.39011757E-27   5.84820944E-05   2.29888379E-05  
  37               1.03245088E-01   3.91894863E+02   8.38308970E-01   1.60508817E-01   5.97295493E-04   3.58134058E-04   1.36486869E-04   9.74443887E-27   5.84822763E-05   2.29888366E-05  
  38               1.19740697E-01   4.07302219E+02   8.38308664E-01   1.60508731E-01   5.97297140E-04   3.58135046E-04   1.36487245E-04   1.14494073E-25   5.84824382E-05   2.29888243E-05  
  39               1.38731952E-01   4.21053771E+02   8.38308720E-01   1.60508660E-01   5.97303863E-04   3.58139077E-04   1.36488782E-04   8.76644151E-25   5.84830972E-05   2.29888142E-05  
  40               1.60545568E-01   4.39466390E+02   8.38308803E-01   1.60508549E-01   5.97305883E-04   3.58140288E-04   1.36489243E-04   1.11775066E-23   5.84832958E-05   2.29887982E-05  
  41               1.85497322E-01   4.58877986E+02   8.38308638E-01   1.60508251E-01   5.97307912E-04   3.58141504E-04   1.36489707E-04   1.31119020E-22   5.84834953E-05   2.29887555E-05  
  42               2.13994119E-01   4.79048737E+02   8.38306093E-01   1.60507529E-01   5.97310576E-04   3.58143102E-04   1.36490316E-04   1.36913770E-21   5.84837570E-05   2.29886522E-05  
  43               2.46495654E-01   4.99731194E+02   8.38307255E-01   1.60506365E-01   5.97312252E-04   3.58144107E-04   1.36490699E-04   1.24381475E-20   5.84839221E-05   2.29884854E-05  
  44               2.83503446E-01   5.21196084E+02   8.38308672E-01   1.60504854E-01   5.97360721E-04   3.58173169E-04   1.36501774E-04   1.01943892E-19   5.84886689E-05   2.29882690E-05  
  45               3.25631686E-01   5.43214690E+02   8.38310796E-01   1.60502730E-01   5.97360815E-04   3.58173225E-04   1.36501796E-04   7.40691588E-19   5.84886793E-05   2.29879649E-05  
  46               3.73560154E-01   5.66092622E+02   8.38313453E-01   1.60500076E-01   5.97359819E-04   3.58172628E-04   1.36501568E-04   4.93232991E-18   5.84885830E-05   2.29875847E-05  
  47               4.28029517E-01   5.89565233E+02   8.38316314E-01   1.60497217E-01   5.97358507E-04   3.58171841E-04   1.36501269E-04   2.95533360E-17   5.84884560E-05   2.29871753E-05  
  48               4.89861399E-01   6.13931840E+02   8.38319137E-01   1.60494396E-01   5.97357559E-04   3.58171273E-04   1.36501052E-04   1.63828032E-16   5.84883647E-05   2.29867712E-05  
  49               5.59958506E-01   6.38909731E+02   8.38321674E-01   1.60491859E-01   5.97357386E-04   3.58171169E-04   1.36501013E-04   8.26272222E-16   5.84883495E-05   2.29864079E-05  
