# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  1                1.00000000E-05   6.46137354E+01   8.38359422E-01   1.60518502E-01   5.30250149E-04   2.06593210E-04   2.95601551E-04   3.16405032E-109  5.91128589E-05   2.29899742E-05  
  2                8.08860787E-05   8.50439513E+01   8.38359421E-01   1.60518502E-01   5.30250565E-04   2.06593372E-04   2.95601784E-04   1.11251658E-109  5.91129055E-05   2.29899742E-05  
  3                1.54883793E-04   9.76816060E+01   8.38331159E-01   1.60513090E-01   5.30230200E-04   2.06585438E-04   2.95590431E-04   8.03943931E-110  5.91106354E-05   2.29891992E-05  
  4                2.36274594E-04   1.08008096E+02   8.38288372E-01   1.60504898E-01   5.30227986E-04   2.06584575E-04   2.95589196E-04   1.59129046E-101  5.91103887E-05   2.29880259E-05  
  5                3.27872214E-04   1.15994103E+02   8.38359311E-01   1.60518481E-01   5.30314186E-04   2.06618160E-04   2.95637251E-04   2.21074664E-94   5.91199985E-05   2.29899712E-05  
  6                4.32040575E-04   1.24031204E+02   8.38359310E-01   1.60518480E-01   5.30314688E-04   2.06618355E-04   2.95637530E-04   4.06138773E-88   5.91200544E-05   2.29899711E-05  
  7                5.51039544E-04   1.30898896E+02   8.38359308E-01   1.60518480E-01   5.30314732E-04   2.06618373E-04   2.95637555E-04   2.21690423E-83   5.91200594E-05   2.29899711E-05  
  8                6.87403100E-04   1.38240839E+02   8.38359299E-01   1.60518478E-01   5.30314776E-04   2.06618390E-04   2.95637580E-04   7.82066143E-79   5.91200643E-05   2.29899709E-05  
  9                8.44034416E-04   1.44619137E+02   8.38359244E-01   1.60518468E-01   5.30314794E-04   2.06618397E-04   2.95637590E-04   2.90498506E-75   5.91200663E-05   2.29899694E-05  
  10               1.02426023E-03   1.51731591E+02   8.38359064E-01   1.60518433E-01   5.30314795E-04   2.06618397E-04   2.95637590E-04   1.24206579E-71   5.91200665E-05   2.29899644E-05  
  11               1.23187568E-03   1.58017878E+02   8.38358175E-01   1.60518263E-01   5.30314418E-04   2.06618251E-04   2.95637380E-04   1.06138170E-68   5.91200245E-05   2.29899400E-05  
  12               1.47132353E-03   1.65186557E+02   8.38355900E-01   1.60517828E-01   5.30314024E-04   2.06618097E-04   2.95637161E-04   1.26163440E-65   5.91199806E-05   2.29898777E-05  
  13               1.74773483E-03   1.71560958E+02   8.38346655E-01   1.60516057E-01   5.30291830E-04   2.06609450E-04   2.95624788E-04   4.11365231E-63   5.91175064E-05   2.29896241E-05  
  14               2.06700646E-03   1.78819580E+02   8.38326828E-01   1.60512261E-01   5.30326522E-04   2.06622966E-04   2.95644128E-04   1.82585262E-60   5.91213739E-05   2.29890804E-05  
  15               2.43579947E-03   1.85364035E+02   8.38252883E-01   1.60498103E-01   5.30281119E-04   2.06605276E-04   2.95618816E-04   2.92253935E-58   5.91163124E-05   2.29870526E-05  
  16               2.86155171E-03   1.92940605E+02   8.37860201E-01   1.60422917E-01   5.30099237E-04   2.06534413E-04   2.95517422E-04   6.83291018E-56   5.90960360E-05   2.29762843E-05  
  17               3.35296351E-03   2.00025771E+02   8.38358585E-01   1.60518342E-01   5.30732846E-04   2.06781276E-04   2.95870643E-04   7.66263177E-54   5.91666716E-05   2.29899513E-05  
  18               3.92042106E-03   2.07833055E+02   8.38358584E-01   1.60518342E-01   5.30733459E-04   2.06781515E-04   2.95870985E-04   9.60687676E-52   5.91667400E-05   2.29899513E-05  
  19               4.57591407E-03   2.14992701E+02   8.38358589E-01   1.60518342E-01   5.30730893E-04   2.06780515E-04   2.95869555E-04   5.86967206E-50   5.91664540E-05   2.29899514E-05  
  20               5.33289571E-03   2.22811252E+02   8.38358584E-01   1.60518341E-01   5.30733803E-04   2.06781649E-04   2.95871177E-04   3.88414316E-48   5.91667785E-05   2.29899512E-05  
