# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  1                1.00000000E-05   2.47345900E+02   8.38543293E-01   1.60553501E-01   1.02808739E-41   5.25790858E-04   2.74880659E-04   6.04269097E-05   0.00000000E+00   2.29955741E-05  
  2                1.48585336E-04   2.97068181E+02   8.38544034E-01   1.60552763E-01   1.33202655E-34   5.25789435E-04   2.74879919E-04   6.04267468E-05   0.00000000E+00   2.29954683E-05  
  3                2.94889041E-04   3.19313485E+02   8.38545778E-01   1.60551016E-01   4.43158350E-32   5.25785870E-04   2.74878070E-04   6.04263399E-05   0.00000000E+00   2.29952182E-05  
  4                4.57155985E-04   3.33713630E+02   8.38547493E-01   1.60549307E-01   1.23389000E-30   5.25782866E-04   2.74876516E-04   6.04259977E-05   0.00000000E+00   2.29949733E-05  
  5                6.39351520E-04   3.46734983E+02   8.38549596E-01   1.60547082E-01   2.00122112E-29   5.25779914E-04   2.74874988E-04   6.04256613E-05   0.00000000E+00   2.29946547E-05  
  6                8.45022919E-04   3.57145206E+02   8.38551347E-01   1.60545336E-01   1.58260630E-28   5.25777192E-04   2.74873580E-04   6.04253512E-05   0.00000000E+00   2.29944047E-05  
  7                1.07803284E-03   3.67465187E+02   8.38553310E-01   1.60543379E-01   1.10528721E-27   5.25773685E-04   2.74871761E-04   6.04249507E-05   0.00000000E+00   2.29941244E-05  
  8                1.34265099E-03   3.75938882E+02   8.38554618E-01   1.60542074E-01   4.96234660E-27   5.25771772E-04   2.74870773E-04   6.04247332E-05   0.00000000E+00   2.29939374E-05  
  9                1.64365705E-03   3.84975992E+02   8.38556189E-01   1.60540509E-01   2.31419808E-26   5.25768744E-04   2.74869203E-04   6.04243876E-05   0.00000000E+00   2.29937132E-05  
  10               1.98641123E-03   3.92653791E+02   8.38557209E-01   1.60539483E-01   7.99984779E-26   5.25772124E-04   2.74870983E-04   6.04247784E-05   0.00000000E+00   2.29935663E-05  
  11               2.37697672E-03   4.01164371E+02   8.38557862E-01   1.60538069E-01   3.02697355E-25   5.25770069E-04   2.74869920E-04   6.04245444E-05   0.00000000E+00   2.29933638E-05  
