# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  34               1.69744708E-01   2.13744260E+02   8.38098622E-01   1.60468577E-01   7.79739019E-04   5.30514918E-04   6.90845101E-05   4.73311959E-51   2.61782527E-05   2.29807597E-05  
  35               2.05257401E-01   2.22708816E+02   8.37596939E-01   1.60372521E-01   7.79652879E-04   5.30456311E-04   6.90768787E-05   5.92450451E-49   2.61753608E-05   2.29670035E-05  
  36               2.48117504E-01   2.31340950E+02   8.38098647E-01   1.60468582E-01   7.79722510E-04   5.30503686E-04   6.90830485E-05   4.31933349E-47   2.61776986E-05   2.29807604E-05  
  37               2.99886389E-01   2.40318169E+02   8.38097915E-01   1.60468442E-01   7.80206464E-04   5.30832957E-04   6.91259272E-05   2.68757407E-45   2.61939465E-05   2.29807403E-05  
  38               3.62477338E-01   2.49021967E+02   8.38097909E-01   1.60468441E-01   7.80210285E-04   5.30835556E-04   6.91262663E-05   1.10033013E-43   2.61940749E-05   2.29807402E-05  
  39               4.38188728E-01   2.58219483E+02   8.38097909E-01   1.60468441E-01   7.80210276E-04   5.30835550E-04   6.91262661E-05   4.23412977E-42   2.61940747E-05   2.29807402E-05  
  40               5.29832859E-01   2.67379613E+02   8.38097909E-01   1.60468441E-01   7.80210267E-04   5.30835544E-04   6.91262659E-05   1.24322618E-40   2.61940745E-05   2.29807402E-05  
  41               6.40729053E-01   2.77276319E+02   8.38097909E-01   1.60468441E-01   7.80210257E-04   5.30835537E-04   6.91262657E-05   3.73275205E-39   2.61940743E-05   2.29807402E-05  
  42               7.74779901E-01   2.87419995E+02   8.38097909E-01   1.60468441E-01   7.80210245E-04   5.30835529E-04   6.91262654E-05   9.53491669E-38   2.61940740E-05   2.29807402E-05  
  43               9.36659054E-01   2.98601255E+02   8.38097909E-01   1.60468441E-01   7.80210233E-04   5.30835521E-04   6.91262652E-05   2.63790183E-36   2.61940737E-05   2.29807402E-05  
  44               1.13204683E+00   3.10357867E+02   8.38097909E-01   1.60468441E-01   7.80210220E-04   5.30835512E-04   6.91262649E-05   6.68044717E-35   2.61940735E-05   2.29807402E-05  
  45               1.36756806E+00   3.23392361E+02   8.38097909E-01   1.60468441E-01   7.80210206E-04   5.30835502E-04   6.91262646E-05   1.83326670E-33   2.61940731E-05   2.29807402E-05  
  46               1.65079083E+00   3.37385839E+02   8.38097909E-01   1.60468441E-01   7.80210192E-04   5.30835493E-04   6.91262644E-05   4.83051375E-32   2.61940728E-05   2.29807402E-05  
  47               1.99048056E+00   3.53302346E+02   8.38097908E-01   1.60468441E-01   7.80210174E-04   5.30835481E-04   6.91262640E-05   1.46476607E-30   2.61940724E-05   2.29807401E-05  
  48               2.39744599E+00   3.70871562E+02   8.38097730E-01   1.60468406E-01   7.80210167E-04   5.30835476E-04   6.91262647E-05   4.51708924E-29   2.61940724E-05   2.29807353E-05  
  49               2.88369461E+00   3.90819730E+02   8.38097748E-01   1.60468389E-01   7.80209786E-04   5.30835217E-04   6.91262323E-05   1.53274262E-27   2.61940599E-05   2.29807328E-05  
  50               3.46173356E+00   4.13325564E+02   8.38097741E-01   1.60468388E-01   7.80214515E-04   5.30838434E-04   6.91266529E-05   5.45542354E-26   2.61942189E-05   2.29807326E-05  
