# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  1                1.00000000E-05   4.97988435E+01   8.38206573E-01   1.60489200E-01   7.16105527E-04   4.71816610E-04   2.43277744E-05   5.67205757E-05   3.16346966E-109  2.29861363E-05  
  2                8.10602623E-05   6.31548215E+01   8.38206572E-01   1.60489200E-01   7.16106080E-04   4.71816975E-04   2.43277932E-05   5.67206200E-05   1.11111669E-109  2.29861363E-05  
  3                1.65020790E-04   7.10886724E+01   8.38206571E-01   1.60489200E-01   7.16106393E-04   4.71817181E-04   2.43278039E-05   5.67206451E-05   7.78743333E-110  2.29861362E-05  
  4                2.63141666E-04   7.79219202E+01   8.38206571E-01   1.60489200E-01   7.16106594E-04   4.71817313E-04   2.43278107E-05   5.67206613E-05   6.16692778E-110  2.29861362E-05  
  5                3.75089780E-04   8.26617444E+01   8.38206571E-01   1.60489200E-01   7.16106753E-04   4.71817418E-04   2.43278161E-05   5.67206741E-05   5.16530602E-110  2.29861362E-05  
  6                5.02691962E-04   8.81469217E+01   8.38206571E-01   1.60489199E-01   7.16106893E-04   4.71817511E-04   2.43278209E-05   5.67206854E-05   4.46182673E-110  2.29861362E-05  
  7                6.49012664E-04   9.22468600E+01   8.38206570E-01   1.60489199E-01   7.16107020E-04   4.71817594E-04   2.43278252E-05   5.67206955E-05   3.92678466E-110  2.29861362E-05  
  8                8.17456309E-04   9.75058595E+01   8.38206570E-01   1.60489199E-01   7.16107100E-04   4.71817647E-04   2.43278280E-05   5.67207020E-05   3.49889892E-110  2.29861362E-05  
  9                1.01190524E-03   1.01443844E+02   8.38203291E-01   1.60488572E-01   7.16107137E-04   4.71817671E-04   2.43278292E-05   5.67207050E-05   1.28126982E-108  2.29860463E-05  
  10               1.23679338E-03   1.06831496E+02   8.38198151E-01   1.60487587E-01   7.16108810E-04   4.71818773E-04   2.43278861E-05   5.67208375E-05   4.88040685E-103  2.29859053E-05  
  11               1.49727815E-03   1.10923761E+02   8.38116910E-01   1.60472032E-01   7.16111877E-04   4.71820794E-04   2.43279903E-05   5.67210805E-05   3.58599426E-99   2.29836775E-05  
  12               1.79945195E-03   1.16545853E+02   8.38206464E-01   1.60489179E-01   7.16178446E-04   4.71864654E-04   2.43302518E-05   5.67263532E-05   2.73344856E-94   2.29861333E-05  
  13               2.15029406E-03   1.20823693E+02   8.38206536E-01   1.60489193E-01   7.16129933E-04   4.71832690E-04   2.43286037E-05   5.67225107E-05   6.86935994E-91   2.29861353E-05  
  14               2.55779402E-03   1.26865760E+02   8.38206440E-01   1.60489174E-01   7.16194455E-04   4.71875202E-04   2.43307956E-05   5.67276213E-05   1.82852050E-86   2.29861326E-05  
  15               3.03110708E-03   1.31556068E+02   8.38206439E-01   1.60489174E-01   7.16194377E-04   4.71875151E-04   2.43307930E-05   5.67276152E-05   2.55651972E-83   2.29861326E-05  
  16               3.58109652E-03   1.38074616E+02   8.38206439E-01   1.60489174E-01   7.16194061E-04   4.71874942E-04   2.43307822E-05   5.67275902E-05   2.72968663E-79   2.29861326E-05  
  17               4.22035064E-03   1.43147553E+02   8.38206430E-01   1.60489173E-01   7.16194610E-04   4.71875304E-04   2.43308009E-05   5.67276337E-05   2.03311260E-76   2.29861324E-05  
  18               4.96344028E-03   1.50247265E+02   8.38206409E-01   1.60489169E-01   7.16194660E-04   4.71875337E-04   2.43308026E-05   5.67276378E-05   1.03152714E-72   2.29861318E-05  
  19               5.82716121E-03   1.55915741E+02   8.38206258E-01   1.60489140E-01   7.16194734E-04   4.71875386E-04   2.43308051E-05   5.67276437E-05   5.26225732E-70   2.29861277E-05  
  20               6.83135139E-03   1.63640296E+02   8.38205932E-01   1.60489077E-01   7.16194919E-04   4.71875508E-04   2.43308114E-05   5.67276584E-05   1.31482254E-66   2.29861187E-05  
  21               7.99941820E-03   1.69760175E+02   8.38203867E-01   1.60488682E-01   7.16195258E-04   4.71875731E-04   2.43308230E-05   5.67276854E-05   3.82512560E-64   2.29860621E-05  
  22               9.35840032E-03   1.77979511E+02   8.38199988E-01   1.60487939E-01   7.16197094E-04   4.71876941E-04   2.43308853E-05   5.67278310E-05   4.30568361E-61   2.29859557E-05  
  23               1.09389462E-02   1.84626189E+02   8.38177889E-01   1.60483708E-01   7.16200766E-04   4.71879360E-04   2.43310101E-05   5.67281219E-05   7.85090681E-59   2.29853497E-05  
  24               1.27759949E-02   1.93487905E+02   8.38136041E-01   1.60475695E-01   7.16220816E-04   4.71892570E-04   2.43316912E-05   5.67297101E-05   4.74468698E-56   2.29842021E-05  
  25               1.49092997E-02   2.01063544E+02   8.37659288E-01   1.60384413E-01   7.16263244E-04   4.71920525E-04   2.43331326E-05   5.67330709E-05   7.12499222E-54   2.29711281E-05  
  26               1.73863684E-02   2.10338830E+02   8.38205693E-01   1.60489031E-01   7.16693207E-04   4.72203812E-04   2.43477395E-05   5.67671272E-05   2.04147217E-51   2.29861122E-05  
  27               2.02609708E-02   2.18087571E+02   8.38206285E-01   1.60489145E-01   7.16298023E-04   4.71943440E-04   2.43343142E-05   5.67358260E-05   1.56723812E-49   2.29861284E-05  
  28               2.35965717E-02   2.27296676E+02   8.38205594E-01   1.60489012E-01   7.16759727E-04   4.72247640E-04   2.43499994E-05   5.67723965E-05   1.87271947E-47   2.29861094E-05  
  29               2.74679802E-02   2.34865327E+02   8.38205595E-01   1.60489013E-01   7.16758674E-04   4.72246946E-04   2.43499636E-05   5.67723133E-05   7.08752454E-46   2.29861095E-05  
  30               3.19624778E-02   2.43736349E+02   8.38205593E-01   1.60489012E-01   7.16760217E-04   4.72247963E-04   2.43500160E-05   5.67724357E-05   3.79228030E-44   2.29861094E-05  
  31               3.71824224E-02   2.51089168E+02   8.38205597E-01   1.60489013E-01   7.16757376E-04   4.72246091E-04   2.43499195E-05   5.67722110E-05   8.16473264E-43   2.29861095E-05  
  32               4.32447996E-02   2.59916260E+02   8.38205592E-01   1.60489012E-01   7.16760643E-04   4.72248244E-04   2.43500306E-05   5.67724700E-05   2.61337881E-41   2.29861094E-05  
