# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  34               7.51334632E-02   4.29950621E+02   8.38381909E-01   1.60522232E-01   4.86434047E-04   2.69506391E-04   2.50010245E-04   4.34134067E-24   5.92594587E-05   2.29907049E-05  
  35               8.72107627E-02   4.40762202E+02   8.38382072E-01   1.60522029E-01   4.86433997E-04   2.69506363E-04   2.50010220E-04   1.80872958E-23   5.92594534E-05   2.29906759E-05  
  36               1.01128763E-01   4.58347832E+02   8.38379468E-01   1.60520791E-01   4.86433516E-04   2.69506096E-04   2.50009972E-04   1.66189178E-22   5.92593956E-05   2.29904985E-05  
  37               1.17128689E-01   4.71967090E+02   8.38380109E-01   1.60520150E-01   4.86433631E-04   2.69506160E-04   2.50010031E-04   8.10839013E-22   5.92594105E-05   2.29904067E-05  
  38               1.35479612E-01   4.92266125E+02   8.38381735E-01   1.60518446E-01   4.86469173E-04   2.69525852E-04   2.50028299E-04   7.53890816E-21   5.92637413E-05   2.29901627E-05  
  39               1.56477358E-01   5.08367752E+02   8.38383308E-01   1.60516879E-01   4.86466930E-04   2.69524610E-04   2.50027146E-04   3.82652869E-20   5.92634690E-05   2.29899382E-05  
  40               1.80428652E-01   5.32334673E+02   8.38386616E-01   1.60513580E-01   4.86462919E-04   2.69522387E-04   2.50025084E-04   3.68625818E-19   5.92629814E-05   2.29894658E-05  
  41               2.07656120E-01   5.53421082E+02   8.38389504E-01   1.60510701E-01   4.86458964E-04   2.69520196E-04   2.50023052E-04   2.27331691E-18   5.92625008E-05   2.29890534E-05  
  42               2.38590496E-01   5.78868008E+02   8.38392978E-01   1.60507237E-01   4.86454521E-04   2.69517735E-04   2.50020768E-04   1.72893686E-17   5.92619608E-05   2.29885573E-05  
  43               2.73696962E-01   6.01180988E+02   8.38395400E-01   1.60504823E-01   4.86451347E-04   2.69515977E-04   2.50019137E-04   8.79082862E-17   5.92615755E-05   2.29882115E-05  
  44               3.13472824E-01   6.28211191E+02   8.38397971E-01   1.60502259E-01   4.86448269E-04   2.69514272E-04   2.50017555E-04   5.45463057E-16   5.92612021E-05   2.29878442E-05  
  45               3.58508419E-01   6.51816630E+02   8.38399589E-01   1.60500643E-01   4.86446394E-04   2.69513233E-04   2.50016591E-04   2.34602891E-15   5.92609754E-05   2.29876128E-05  
  46               4.09504391E-01   6.80551740E+02   8.38401248E-01   1.60498981E-01   4.86444728E-04   2.69512310E-04   2.50015735E-04   1.22091096E-14   5.92607745E-05   2.29873748E-05  
  47               4.67204374E-01   7.05578905E+02   8.38402232E-01   1.60497971E-01   4.86444035E-04   2.69511926E-04   2.50015379E-04   4.55113552E-14   5.92606924E-05   2.29872301E-05  
  48               5.32394757E-01   7.36130775E+02   8.38403098E-01   1.60496897E-01   4.86443758E-04   2.69511773E-04   2.50015236E-04   2.02998137E-13   5.92606614E-05   2.29870762E-05  
  49               6.05883365E-01   7.62582537E+02   8.38403646E-01   1.60496263E-01   4.86446757E-04   2.69513435E-04   2.50016778E-04   6.64908270E-13   5.92610300E-05   2.29869852E-05  
  50               6.88652174E-01   7.94929523E+02   8.38404129E-01   1.60495563E-01   4.86450108E-04   2.69515293E-04   2.50018501E-04   2.57480396E-12   5.92614420E-05   2.29868845E-05  
  51               7.81901700E-01   8.22853451E+02   8.38404526E-01   1.60495152E-01   4.86450614E-04   2.69515573E-04   2.50018761E-04   7.52005719E-12   5.92615076E-05   2.29876086E-05  
  52               8.86853064E-01   8.57118592E+02   8.38404987E-01   1.60494644E-01   4.86451201E-04   2.69515900E-04   2.50019062E-04   2.57312374E-11   5.92615834E-05   2.29983264E-05  
  53               1.00481152E+00   8.86533683E+02   8.38405251E-01   1.60494224E-01   4.86452206E-04   2.69516462E-04   2.50019579E-04   6.77943174E-11   5.92617104E-05   2.30257086E-05  
  54               1.13707903E+00   9.22648005E+02   8.38405587E-01   1.60493448E-01   4.86453892E-04   2.69517416E-04   2.50020446E-04   2.06810700E-10   5.92619205E-05   2.31310927E-05  
  55               1.28504743E+00   9.53403881E+02   8.38405286E-01   1.60492369E-01   4.86458492E-04   2.69520073E-04   2.50022810E-04   4.94542329E-10   5.92624859E-05   2.33748398E-05  
  56               1.45052354E+00   9.91276851E+02   8.38405720E-01   1.60490125E-01   4.86468136E-04   2.69525868E-04   2.50027765E-04   1.35745716E-09   5.92636660E-05   2.42902213E-05  
  57               1.63543818E+00   1.02335913E+03   8.38408640E-01   1.60487237E-01   4.86464057E-04   2.69525663E-04   2.50025653E-04   2.97741856E-09   5.92631764E-05   2.42897180E-05  
  58               1.84188520E+00   1.06303270E+03   8.38415204E-01   1.60480707E-01   4.86454975E-04   2.69528456E-04   2.50020873E-04   7.44404289E-09   5.92620904E-05   2.42885843E-05  
  59               2.07226155E+00   1.09643136E+03   8.38423232E-01   1.60472684E-01   4.86441890E-04   2.69552871E-04   2.50013219E-04   1.51182664E-08   5.92606267E-05   2.42871694E-05  
  60               2.32909236E+00   1.13794159E+03   8.38438749E-01   1.60457113E-01   4.86414716E-04   2.69648115E-04   2.49993813E-04   3.47893388E-08   5.92580457E-05   2.42843945E-05  
  61               2.61537738E+00   1.17263878E+03   8.38454088E-01   1.60441513E-01   4.86355057E-04   2.70009271E-04   2.49927657E-04   6.59564086E-08   5.92554083E-05   2.42814919E-05  
  62               2.93467029E+00   1.21606087E+03   8.38478347E-01   1.60416542E-01   4.86150739E-04   2.71113503E-04   2.49655408E-04   1.41054265E-07   5.92518712E-05   2.42766311E-05  
  63               3.29115723E+00   1.25214488E+03   8.38497274E-01   1.60396383E-01   4.85343535E-04   2.74211851E-04   2.48465116E-04   2.51845249E-07   5.92499110E-05   2.42722521E-05  
  64               3.69206950E+00   1.29138893E+03   8.38518465E-01   1.60374334E-01   4.82690405E-04   2.81452060E-04   2.44491523E-04   4.56810988E-07   5.92485577E-05   2.42667995E-05  
  65               4.14822358E+00   1.32526216E+03   8.38536876E-01   1.60359167E-01   4.75765977E-04   2.94904449E-04   2.34391024E-04   7.34320446E-07   5.92484423E-05   2.42619724E-05  
  66               4.67567811E+00   1.36373738E+03   8.38563849E-01   1.60344056E-01   4.61733488E-04   3.15817815E-04   2.15073868E-04   1.22755255E-06   5.92472098E-05   2.42554206E-05  
  67               5.29318861E+00   1.39791628E+03   8.38590615E-01   1.60335503E-01   4.42482127E-04   3.38610508E-04   1.92544068E-04   1.87109751E-06   5.92454998E-05   2.42483980E-05  
  68               6.02115776E+00   1.43789974E+03   8.38622617E-01   1.60326402E-01   4.18833684E-04   3.63626006E-04   1.66893136E-04   3.00114426E-06   5.92428537E-05   2.42347857E-05  
  69               6.87352860E+00   1.47461125E+03   8.38644787E-01   1.60320348E-01   4.00183454E-04   3.82601695E-04   1.48218234E-04   4.48390207E-06   5.92410409E-05   2.42114468E-05  
  70               7.86165336E+00   1.51807731E+03   8.38668547E-01   1.60313008E-01   3.79824278E-04   4.03663889E-04   1.26941466E-04   7.08707389E-06   5.92395706E-05   2.41454683E-05  
  71               8.99364992E+00   1.55895459E+03   8.38679636E-01   1.60306932E-01   3.66009284E-04   4.19170133E-04   1.11472296E-04   1.05737020E-05   5.92397390E-05   2.39948494E-05  
  72               1.02660224E+01   1.60693394E+03   8.38680799E-01   1.60298142E-01   3.53135969E-04   4.37489036E-04   9.30562284E-05   1.66246007E-05   5.92445024E-05   2.35297530E-05  
  73               1.16502809E+01   1.65257546E+03   8.38677402E-01   1.60292185E-01   3.53484094E-04   4.53037282E-04   7.74601764E-05   2.48665017E-05   5.92621853E-05   2.23179287E-05  
  74               1.31023058E+01   1.70508291E+03   8.38672039E-01   1.60284856E-01   3.43287368E-04   4.67824489E-04   6.26031192E-05   3.88757434E-05   5.92606286E-05   2.21820976E-05  
  75               1.45660112E+01   1.75405961E+03   8.38640565E-01   1.60276415E-01   3.45765150E-04   4.79974392E-04   5.03884368E-05   5.75193905E-05   5.92655564E-05   2.18522242E-05  
  76               1.59541175E+01   1.79641865E+03   8.38570271E-01   1.60264945E-01   3.64997521E-04   4.89815112E-04   4.04871099E-05   7.91973381E-05   5.92732645E-05   2.13211391E-05  
  77               1.71631776E+01   1.83149165E+03   8.38480060E-01   1.60254968E-01   4.08607975E-04   4.98429750E-04   3.18368908E-05   1.02035406E-04   5.93006462E-05   2.06045671E-05  
  78               1.81496981E+01   1.85813442E+03   8.38464526E-01   1.60252445E-01   4.05900263E-04   5.01124759E-04   2.91121229E-05   1.22783179E-04   5.92796997E-05   2.06044558E-05  
  79               1.92472113E+01   1.88704071E+03   8.38443652E-01   1.60249493E-01   4.03253791E-04   5.03735309E-04   2.64651960E-05   1.49233036E-04   5.92626392E-05   2.06014754E-05  
  80               2.04633513E+01   1.91692683E+03   8.38406686E-01   1.60244186E-01   4.00922997E-04   5.06013687E-04   2.41393378E-05   1.81255552E-04   5.92425288E-05   2.05956881E-05  
  81               2.14738883E+01   1.94120237E+03   8.38381197E-01   1.60241245E-01   3.99213433E-04   5.07688452E-04   2.24298112E-05   2.11365617E-04   5.92319282E-05   2.05881247E-05  
  82               2.22734719E+01   1.95927667E+03   8.38359757E-01   1.60238905E-01   3.98096513E-04   5.08778325E-04   2.13123331E-05   2.36241891E-04   5.92165111E-05   2.05812510E-05  
