# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  1                1.00000000E-05   1.05517738E+02   8.38182749E-01   1.60484673E-01   7.33275517E-04   4.86826371E-04   2.60603791E-103  1.92271217E-05   5.53846949E-05   2.29854901E-05  
  2                5.22542731E-04   1.34378161E+02   8.38181921E-01   1.60484514E-01   7.33275482E-04   4.86826348E-04   3.95725233E-81   1.92271208E-05   5.53846923E-05   2.29854674E-05  
  3                1.07832179E-03   1.61405758E+02   8.38171280E-01   1.60482477E-01   7.33273850E-04   4.86825265E-04   3.63532951E-67   1.92270780E-05   5.53845694E-05   2.29851756E-05  
  4                1.70250786E-03   1.76015688E+02   8.38091257E-01   1.60467155E-01   7.33262592E-04   4.86817791E-04   1.96320462E-61   1.92267828E-05   5.53837192E-05   2.29829811E-05  
  5                2.41839280E-03   1.89494530E+02   8.37630688E-01   1.60378971E-01   7.33308941E-04   4.86848562E-04   6.32923004E-57   1.92279981E-05   5.53872201E-05   2.29703509E-05  
  6                3.24443820E-03   1.98523993E+02   8.38182610E-01   1.60484646E-01   7.33368703E-04   4.86888239E-04   2.89821280E-54   1.92295651E-05   5.53917341E-05   2.29854863E-05  
  7                4.20149162E-03   2.08972045E+02   8.38181883E-01   1.60484507E-01   7.33855295E-04   4.87211290E-04   1.84178185E-51   1.92423240E-05   5.54284867E-05   2.29854664E-05  
  8                5.31294759E-03   2.16287946E+02   8.38181888E-01   1.60484508E-01   7.33852038E-04   4.87209128E-04   1.12836883E-49   1.92422386E-05   5.54282408E-05   2.29854665E-05  
  9                6.60479763E-03   2.25670632E+02   8.38181882E-01   1.60484507E-01   7.33855681E-04   4.87211546E-04   1.54452802E-47   1.92423341E-05   5.54285160E-05   2.29854664E-05  
  10               8.10648544E-03   2.32372901E+02   8.38181882E-01   1.60484507E-01   7.33855841E-04   4.87211653E-04   3.94917668E-46   1.92423383E-05   5.54285282E-05   2.29854663E-05  
  11               9.85364628E-03   2.41067609E+02   8.38181882E-01   1.60484507E-01   7.33855989E-04   4.87211751E-04   2.08028588E-44   1.92423422E-05   5.54285395E-05   2.29854663E-05  
  12               1.18870028E-02   2.47329467E+02   8.38181882E-01   1.60484507E-01   7.33856139E-04   4.87211850E-04   2.95973520E-43   1.92423461E-05   5.54285508E-05   2.29854663E-05  
  13               1.42543749E-02   2.55666723E+02   8.38181882E-01   1.60484507E-01   7.33856292E-04   4.87211952E-04   8.52976828E-42   1.92423501E-05   5.54285624E-05   2.29854663E-05  
  14               1.70111395E-02   2.61718468E+02   8.38181881E-01   1.60484507E-01   7.33856448E-04   4.87212056E-04   8.33887804E-41   1.92423542E-05   5.54285743E-05   2.29854663E-05  
  15               2.02218980E-02   2.69908601E+02   8.38181881E-01   1.60484507E-01   7.33856609E-04   4.87212163E-04   1.59367985E-39   1.92423585E-05   5.54285866E-05   2.29854663E-05  
  16               2.39607054E-02   2.76026240E+02   8.38181881E-01   1.60484506E-01   7.33856775E-04   4.87212273E-04   1.25836976E-38   1.92423628E-05   5.54285992E-05   2.29854663E-05  
  17               2.83137501E-02   2.84415654E+02   8.38181881E-01   1.60484506E-01   7.33856948E-04   4.87212387E-04   1.90392037E-37   1.92423673E-05   5.54286123E-05   2.29854663E-05  
  18               3.33811325E-02   2.90778157E+02   8.38181880E-01   1.60484506E-01   7.33857126E-04   4.87212506E-04   1.31697229E-36   1.92423720E-05   5.54286259E-05   2.29854663E-05  
