# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  34               3.93267498E-01   4.18940806E+02   8.38158511E-01   1.60479995E-01   7.52730258E-04   5.04913730E-04   3.79865719E-25   8.83527751E-06   5.41609283E-05   2.29827414E-05  
  35               4.55286882E-01   4.33909003E+02   8.38158506E-01   1.60479985E-01   7.52737363E-04   5.04918495E-04   3.08167457E-24   8.83536086E-06   5.41614523E-05   2.29827399E-05  
  36               5.26456550E-01   4.50654295E+02   8.38158495E-01   1.60479964E-01   7.52737370E-04   5.04918500E-04   2.73069838E-23   8.83536091E-06   5.41614666E-05   2.29827369E-05  
  37               6.07969965E-01   4.68162245E+02   8.38158130E-01   1.60479879E-01   7.52737474E-04   5.04918569E-04   2.26042734E-22   8.83536209E-06   5.41614888E-05   2.29827247E-05  
  38               7.01102495E-01   4.87808404E+02   8.38155089E-01   1.60479554E-01   7.52739426E-04   5.04919877E-04   2.03107103E-21   8.83538495E-06   5.41616451E-05   2.29826782E-05  
  39               8.07126254E-01   5.09525819E+02   8.38155519E-01   1.60479125E-01   7.52738604E-04   5.04919325E-04   1.89519665E-20   8.83537525E-06   5.41616031E-05   2.29826167E-05  
  40               9.27705359E-01   5.30529581E+02   8.38155701E-01   1.60478839E-01   7.52797456E-04   5.04958801E-04   1.37298272E-19   8.83606598E-06   5.41658562E-05   2.29825758E-05  
  41               1.06493243E+00   5.53650218E+02   8.38156218E-01   1.60478324E-01   7.52796474E-04   5.04958141E-04   1.02360908E-18   8.83605440E-06   5.41658056E-05   2.29825021E-05  
  42               1.22102712E+00   5.76031820E+02   8.38156978E-01   1.60477565E-01   7.52795443E-04   5.04957448E-04   6.10266142E-18   8.83604224E-06   5.41657533E-05   2.29823934E-05  
  43               1.39834596E+00   6.00693075E+02   8.38158222E-01   1.60476326E-01   7.52792882E-04   5.04955729E-04   3.75171142E-17   8.83601211E-06   5.41655928E-05   2.29822160E-05  
  44               1.59936392E+00   6.24487393E+02   8.38159738E-01   1.60474815E-01   7.52789604E-04   5.04953529E-04   1.87802012E-16   8.83597356E-06   5.41653829E-05   2.29819996E-05  
  45               1.82690095E+00   6.50685070E+02   8.38161780E-01   1.60472782E-01   7.52785272E-04   5.04950622E-04   9.68126357E-16   8.83592263E-06   5.41650996E-05   2.29817083E-05  
  46               2.08460928E+00   6.75945377E+02   8.38163828E-01   1.60470740E-01   7.52780715E-04   5.04947564E-04   4.14905858E-15   8.83586906E-06   5.41648033E-05   2.29814160E-05  
  47               2.37630195E+00   7.03830792E+02   8.38166168E-01   1.60468406E-01   7.52775656E-04   5.04944169E-04   1.83767655E-14   8.83580958E-06   5.41644745E-05   2.29810817E-05  
  48               2.70587691E+00   7.30651385E+02   8.38168186E-01   1.60466382E-01   7.52771146E-04   5.04941142E-04   6.86944346E-14   8.83575654E-06   5.41641898E-05   2.29807918E-05  
  49               3.07735209E+00   7.60195035E+02   8.38170245E-01   1.60464292E-01   7.52766807E-04   5.04938229E-04   2.64392434E-13   8.83570548E-06   5.41639230E-05   2.29804924E-05  
  50               3.49536014E+00   7.88480578E+02   8.38171728E-01   1.60462604E-01   7.52763628E-04   5.04936095E-04   8.69172960E-13   8.83566805E-06   5.41637456E-05   2.29802505E-05  
  51               3.96623376E+00   8.19704015E+02   8.38173141E-01   1.60460931E-01   7.52764809E-04   5.04936885E-04   2.94813267E-12   8.83568191E-06   5.41638882E-05   2.29800105E-05  
  52               4.49698214E+00   8.49637767E+02   8.38174372E-01   1.60459686E-01   7.52767097E-04   5.04938416E-04   8.69013984E-12   8.83570956E-06   5.41641166E-05   2.29798313E-05  
  53               5.09445377E+00   8.82710317E+02   8.38175564E-01   1.60458473E-01   7.52764674E-04   5.04936789E-04   2.64258940E-11   8.83568641E-06   5.41640118E-05   2.29859594E-05  
  54               5.76523846E+00   9.14260635E+02   8.38176404E-01   1.60457560E-01   7.52762962E-04   5.04935637E-04   7.04324444E-11   8.83569717E-06   5.41639634E-05   2.30014398E-05  
  55               6.51581682E+00   9.48976504E+02   8.38177112E-01   1.60456642E-01   7.52761940E-04   5.04934948E-04   1.92679224E-10   8.83583860E-06   5.41639692E-05   2.30495039E-05  
  56               7.35424393E+00   9.81896710E+02   8.38177293E-01   1.60455890E-01   7.52763014E-04   5.04935665E-04   4.65886384E-10   8.83659619E-06   5.41641294E-05   2.31689213E-05  
  57               8.29111252E+00   1.01817011E+03   8.38176745E-01   1.60454979E-01   7.52768380E-04   5.04939259E-04   1.15717607E-09   8.83981787E-06   5.41646011E-05   2.35021757E-05  
  58               9.33774970E+00   1.05254231E+03   8.38175904E-01   1.60454212E-01   7.52786595E-04   5.04951458E-04   2.57167884E-09   8.85309003E-06   5.41660006E-05   2.42847630E-05  
  59               1.05056072E+01   1.09044845E+03   8.38176684E-01   1.60453381E-01   7.52784529E-04   5.04949959E-04   5.87056740E-09   8.90081330E-06   5.41659515E-05   2.42845475E-05  
  60               1.18067342E+01   1.12621744E+03   8.38177439E-01   1.60452454E-01   7.52781968E-04   5.04947457E-04   1.20872115E-08   9.06734763E-06   5.41659341E-05   2.42842698E-05  
  61               1.32539782E+01   1.16566838E+03   8.38178421E-01   1.60450962E-01   7.52775588E-04   5.04938705E-04   2.55449588E-08   9.57094258E-06   5.41660141E-05   2.42838002E-05  
  62               1.48629005E+01   1.20180080E+03   8.38179020E-01   1.60449083E-01   7.52745428E-04   5.04893737E-04   4.82137259E-08   1.08903651E-05   5.41664724E-05   2.42831762E-05  
