# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  1                1.00000000E-05   2.77593609E+02   8.38365809E-01   1.60510176E-01   1.05294654E-36   5.21803688E-04   2.28040486E-04   2.84295451E-04   5.88434899E-05   2.29879486E-05  
  2                5.70505128E-04   3.25393649E+02   8.38359241E-01   1.60516720E-01   1.47879963E-31   5.21814626E-04   2.28045266E-04   2.84301411E-04   5.88447262E-05   2.29888858E-05  
  3                1.19246728E-03   3.40402611E+02   8.38359280E-01   1.60516653E-01   3.58248405E-30   5.21815284E-04   2.28045554E-04   2.84301769E-04   5.88448178E-05   2.29888762E-05  
  4                1.90567548E-03   3.57820337E+02   8.38360505E-01   1.60515428E-01   1.21043612E-28   5.21815543E-04   2.28045667E-04   2.84301910E-04   5.88448587E-05   2.29887007E-05  
  5                2.73020877E-03   3.64962300E+02   8.38360290E-01   1.60515641E-01   4.25295132E-28   5.21816176E-04   2.28045944E-04   2.84302255E-04   5.88449393E-05   2.29887313E-05  
  6                3.68748421E-03   3.78420493E+02   8.38361516E-01   1.60514334E-01   4.73448573E-27   5.21814941E-04   2.28045404E-04   2.84301581E-04   5.88448080E-05   2.29885441E-05  
  7                4.80069303E-03   3.83773180E+02   8.38361222E-01   1.60514627E-01   1.09303998E-26   5.21815505E-04   2.28045650E-04   2.84301888E-04   5.88448788E-05   2.29885860E-05  
  8                6.09722544E-03   3.95688937E+02   8.38362551E-01   1.60513300E-01   7.62942240E-26   5.21814178E-04   2.28045070E-04   2.84301165E-04   5.88447360E-05   2.29883960E-05  
  9                7.60814962E-03   4.00245928E+02   8.38362176E-01   1.60513674E-01   1.45535458E-25   5.21814839E-04   2.28045359E-04   2.84301525E-04   5.88448171E-05   2.29884495E-05  
  10               9.36998608E-03   4.11570819E+02   8.38363361E-01   1.60512270E-01   7.99665722E-25   5.21813227E-04   2.28044654E-04   2.84300647E-04   5.88446416E-05   2.29882485E-05  
  11               1.14244002E-02   4.15860162E+02   8.38362965E-01   1.60512652E-01   1.40005311E-24   5.21818812E-04   2.28047095E-04   2.84303690E-04   5.88452777E-05   2.29883032E-05  
  12               1.38202296E-02   4.27193506E+02   8.38364424E-01   1.60511197E-01   6.81898463E-24   5.21817278E-04   2.28046425E-04   2.84302854E-04   5.88451108E-05   2.29880948E-05  
  13               1.66141086E-02   4.31659141E+02   8.38364039E-01   1.60511550E-01   1.17625239E-23   5.21817916E-04   2.28046704E-04   2.84303201E-04   5.88451888E-05   2.29881454E-05  
  14               1.98718014E-02   4.43378313E+02   8.38365044E-01   1.60509883E-01   5.38978102E-23   5.21816301E-04   2.28045998E-04   2.84302322E-04   5.88450128E-05   2.29879066E-05  
  15               2.36681578E-02   4.48377863E+02   8.38364472E-01   1.60510002E-01   9.57522564E-23   5.21816472E-04   2.28046072E-04   2.84302414E-04   5.88450381E-05   2.29879237E-05  
  16               2.80895921E-02   4.60899863E+02   8.38365946E-01   1.60508533E-01   4.33444236E-22   5.21814324E-04   2.28045134E-04   2.84301244E-04   5.88448021E-05   2.29877134E-05  
  17               3.32333158E-02   4.67017580E+02   8.38365872E-01   1.60508517E-01   8.42460711E-22   5.21857225E-04   2.28063883E-04   2.84324618E-04   5.88496463E-05   2.29877110E-05  
  18               3.92148614E-02   4.79996166E+02   8.38365404E-01   1.60506317E-01   3.56533933E-21   5.21855156E-04   2.28062978E-04   2.84323490E-04   5.88494194E-05   2.29873960E-05  
  19               4.61701845E-02   4.85815183E+02   8.38365474E-01   1.60506248E-01   6.34248363E-21   5.21854259E-04   2.28062586E-04   2.84323002E-04   5.88493248E-05   2.29873861E-05  
  20               5.42523533E-02   4.99412871E+02   8.38367227E-01   1.60504500E-01   2.56370915E-20   5.21852339E-04   2.28061747E-04   2.84321956E-04   5.88491151E-05   2.29871357E-05  
  21               6.36350841E-02   5.06047045E+02   8.38367207E-01   1.60504520E-01   4.72985964E-20   5.21852388E-04   2.28061768E-04   2.84321982E-04   5.88491275E-05   2.29871385E-05  
  22               7.45195711E-02   5.20479830E+02   8.38368919E-01   1.60502812E-01   1.85470903E-19   5.21850515E-04   2.28060950E-04   2.84320961E-04   5.88489236E-05   2.29868940E-05  
  23               8.71361978E-02   5.28013434E+02   8.38369010E-01   1.60502722E-01   3.53534036E-19   5.21850452E-04   2.28060922E-04   2.84320927E-04   5.88489239E-05   2.29868810E-05  
  24               1.01748881E-01   5.43498046E+02   8.38370654E-01   1.60501082E-01   1.35913550E-18   5.21848670E-04   2.28060143E-04   2.84319956E-04   5.88487307E-05   2.29866461E-05  
  25               1.18655205E-01   5.52241392E+02   8.38370872E-01   1.60500864E-01   2.71587224E-18   5.21848482E-04   2.28060061E-04   2.84319853E-04   5.88487177E-05   2.29866149E-05  
  26               1.38197340E-01   5.69000338E+02   8.38372414E-01   1.60499325E-01   1.02937270E-17   5.21846836E-04   2.28059342E-04   2.84318956E-04   5.88485405E-05   2.29863946E-05  
  27               1.60752226E-01   5.79180976E+02   8.38372739E-01   1.60499001E-01   2.15887346E-17   5.21846568E-04   2.28059224E-04   2.84318810E-04   5.88485191E-05   2.29863482E-05  
  28               1.86745661E-01   5.97462099E+02   8.38374146E-01   1.60497597E-01   8.09346765E-17   5.21845116E-04   2.28058590E-04   2.84318019E-04   5.88483647E-05   2.29861471E-05  
  29               2.16639293E-01   6.09445169E+02   8.38374559E-01   1.60497185E-01   1.79405425E-16   5.21844813E-04   2.28058457E-04   2.84317854E-04   5.88483402E-05   2.29860880E-05  
  30               2.50961196E-01   6.29640061E+02   8.38375815E-01   1.60495931E-01   6.70756222E-16   5.21843596E-04   2.28057925E-04   2.84317190E-04   5.88482132E-05   2.29859085E-05  
  31               2.90316651E-01   6.43735899E+02   8.38376271E-01   1.60495474E-01   1.56564040E-15   5.21843300E-04   2.28057796E-04   2.84317029E-04   5.88481905E-05   2.29858429E-05  
  32               3.35403181E-01   6.66116013E+02   8.38377345E-01   1.60494402E-01   5.80224727E-15   5.21842392E-04   2.28057399E-04   2.84316534E-04   5.88480994E-05   2.29856894E-05  
  33               3.86955627E-01   6.82852460E+02   8.38377796E-01   1.60493928E-01   1.43202707E-14   5.21842165E-04   2.28057300E-04   2.84316410E-04   5.88480855E-05   2.29856215E-05  
  34               4.45781697E-01   7.07985357E+02   8.38378691E-01   1.60493035E-01   5.29399104E-14   5.21841581E-04   2.28057045E-04   2.84316092E-04   5.88480320E-05   2.29854936E-05  
  35               5.12735003E-01   7.27870248E+02   8.38379061E-01   1.60492573E-01   1.37392221E-13   5.21841675E-04   2.28057086E-04   2.84316143E-04   5.88480555E-05   2.29854275E-05  
  36               5.88734391E-01   7.56011313E+02   8.38379640E-01   1.60491839E-01   4.98330400E-13   5.21841893E-04   2.28057181E-04   2.84316261E-04   5.88480935E-05   2.29853222E-05  
  37               6.74743817E-01   7.79135881E+02   8.38379803E-01   1.60491412E-01   1.32074714E-12   5.21844947E-04   2.28058516E-04   2.84317925E-04   5.88484519E-05   2.29852607E-05  
  38               7.72011503E-01   8.10385191E+02   8.38380341E-01   1.60490860E-01   4.60228788E-12   5.21848174E-04   2.28059925E-04   2.84319683E-04   5.88488303E-05   2.29851810E-05  
  39               8.81799002E-01   8.36909406E+02   8.38380656E-01   1.60490521E-01   1.21890779E-11   5.21848367E-04   2.28060010E-04   2.84319788E-04   5.88488671E-05   2.29894654E-05  
  40               1.00551076E+00   8.71296950E+02   8.38381085E-01   1.60490021E-01   4.00663592E-11   5.21848464E-04   2.28060054E-04   2.84319840E-04   5.88488935E-05   2.30060608E-05  
  41               1.14450869E+00   9.00805217E+02   8.38381294E-01   1.60489579E-01   1.02277874E-10   5.21848976E-04   2.28060285E-04   2.84320119E-04   5.88489674E-05   2.30475869E-05  
  42               1.30019177E+00   9.37559984E+02   8.38381522E-01   1.60488697E-01   3.06330763E-10   5.21850181E-04   2.28060846E-04   2.84320775E-04   5.88491197E-05   2.32053605E-05  
  43               1.47426033E+00   9.69044867E+02   8.38381300E-01   1.60487499E-01   7.25569259E-10   5.21854530E-04   2.28062932E-04   2.84323144E-04   5.88496271E-05   2.35638885E-05  
  44               1.66883355E+00   1.00723417E+03   8.38382324E-01   1.60485038E-01   1.93990642E-09   5.21863932E-04   2.28067839E-04   2.84328264E-04   5.88507053E-05   2.42894273E-05  
  45               1.88625773E+00   1.03967643E+03   8.38385517E-01   1.60481872E-01   4.17835993E-09   5.21858895E-04   2.28069261E-04   2.84325486E-04   5.88501593E-05   2.42888658E-05  
  46               2.12937799E+00   1.07836343E+03   8.38392114E-01   1.60475296E-01   9.90411587E-09   5.21848902E-04   2.28078598E-04   2.84319818E-04   5.88490799E-05   2.42877014E-05  
  47               2.40120887E+00   1.11095482E+03   8.38399776E-01   1.60467613E-01   1.93311348E-08   5.21834904E-04   2.28125145E-04   2.84310516E-04   5.88477366E-05   2.42863128E-05  
  48               2.70515463E+00   1.14965046E+03   8.38413135E-01   1.60454135E-01   4.10386781E-08   5.21805442E-04   2.28285000E-04   2.84285573E-04   5.88455727E-05   2.42838436E-05  
