# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  1                1.00000000E-05   2.80482457E+01   8.38112312E-01   1.60471200E-01   7.78352565E-04   5.29060836E-04   4.15312537E-05   4.01320160E-05   2.29805655E-05   0.00000000E+00  
  2                4.17336595E-05   3.38936901E+01   8.38112313E-01   1.60471200E-01   7.78351923E-04   5.29060400E-04   4.15312195E-05   4.01319829E-05   2.29805655E-05   0.00000000E+00  
  3                7.92668356E-05   3.66813139E+01   8.38112313E-01   1.60471200E-01   7.78351644E-04   5.29060210E-04   4.15312046E-05   4.01319685E-05   2.29805655E-05   0.00000000E+00  
  4                1.23644732E-04   3.90894649E+01   8.38112313E-01   1.60471200E-01   7.78351466E-04   5.29060090E-04   4.15311951E-05   4.01319594E-05   2.29805655E-05   0.00000000E+00  
  5                1.76106715E-04   4.07281725E+01   8.38112313E-01   1.60471200E-01   7.78351331E-04   5.29059997E-04   4.15311879E-05   4.01319524E-05   2.29805655E-05   0.00000000E+00  
  6                2.38116887E-04   4.25739646E+01   8.38112314E-01   1.60471200E-01   7.78351217E-04   5.29059920E-04   4.15311818E-05   4.01319465E-05   2.29805655E-05   0.00000000E+00  
  7                3.11403022E-04   4.38884746E+01   8.38112314E-01   1.60471200E-01   7.78351115E-04   5.29059851E-04   4.15311764E-05   4.01319413E-05   2.29805656E-05   0.00000000E+00  
  8                3.97998607E-04   4.55692367E+01   8.38112314E-01   1.60471200E-01   7.78351021E-04   5.29059787E-04   4.15311714E-05   4.01319364E-05   2.29805656E-05   0.00000000E+00  
  9                5.00310541E-04   4.67682156E+01   8.38112314E-01   1.60471200E-01   7.78350932E-04   5.29059727E-04   4.15311666E-05   4.01319318E-05   2.29805656E-05   0.00000000E+00  
  10               6.21165252E-04   4.84183601E+01   8.38112314E-01   1.60471200E-01   7.78350846E-04   5.29059668E-04   4.15311620E-05   4.01319274E-05   2.29805656E-05   0.00000000E+00  
  11               7.63884340E-04   4.96208643E+01   8.38112314E-01   1.60471200E-01   7.78350761E-04   5.29059610E-04   4.15311575E-05   4.01319230E-05   2.29805656E-05   0.00000000E+00  
  12               9.32399443E-04   5.13025165E+01   8.38112314E-01   1.60471200E-01   7.78350676E-04   5.29059552E-04   4.15311529E-05   4.01319186E-05   2.29805656E-05   0.00000000E+00  
  13               1.13132196E-03   5.25288865E+01   8.38112315E-01   1.60471200E-01   7.78350590E-04   5.29059494E-04   4.15311483E-05   4.01319142E-05   2.29805656E-05   0.00000000E+00  
  14               1.36604691E-03   5.43118528E+01   8.38112315E-01   1.60471200E-01   7.78350503E-04   5.29059435E-04   4.15311437E-05   4.01319097E-05   2.29805656E-05   0.00000000E+00  
  15               1.64292703E-03   5.56479913E+01   8.38112315E-01   1.60471200E-01   7.78350415E-04   5.29059375E-04   4.15311390E-05   4.01319051E-05   2.29805656E-05   0.00000000E+00  
  16               1.96945387E-03   5.75864495E+01   8.38112315E-01   1.60471200E-01   7.78350325E-04   5.29059314E-04   4.15311342E-05   4.01319005E-05   2.29805656E-05   0.00000000E+00  
  17               2.35435599E-03   5.90862567E+01   8.38112315E-01   1.60471200E-01   7.78350233E-04   5.29059251E-04   4.15311293E-05   4.01318958E-05   2.29805656E-05   0.00000000E+00  
  18               2.80777975E-03   6.12743762E+01   8.38112315E-01   1.60471200E-01   7.78350138E-04   5.29059187E-04   4.15311242E-05   4.01318909E-05   2.29805656E-05   0.00000000E+00  
  19               3.34165526E-03   6.30200409E+01   8.38112315E-01   1.60471200E-01   7.78350039E-04   5.29059119E-04   4.15311190E-05   4.01318858E-05   2.29805656E-05   0.00000000E+00  
  20               3.97000860E-03   6.54843303E+01   8.38112316E-01   1.60471200E-01   7.78349935E-04   5.29059049E-04   4.15311134E-05   4.01318804E-05   2.29805656E-05   0.00000000E+00  
  21               4.70904546E-03   6.75013054E+01   8.38112316E-01   1.60471200E-01   7.78349824E-04   5.29058973E-04   4.15311075E-05   4.01318747E-05   2.29805656E-05   0.00000000E+00  
  22               5.57742094E-03   7.03258177E+01   8.38112316E-01   1.60471201E-01   7.78349704E-04   5.29058892E-04   4.15311011E-05   4.01318685E-05   2.29805656E-05   0.00000000E+00  
  23               6.59594888E-03   7.27367662E+01   8.38112316E-01   1.60471201E-01   7.78349576E-04   5.29058805E-04   4.15310943E-05   4.01318619E-05   2.29805656E-05   0.00000000E+00  
  24               7.78468002E-03   7.61088899E+01   8.38112316E-01   1.60471201E-01   7.78349441E-04   5.29058713E-04   4.15310870E-05   4.01318549E-05   2.29805656E-05   0.00000000E+00  
  25               9.16508259E-03   7.93458271E+01   8.38112317E-01   1.60471201E-01   7.78349311E-04   5.29058624E-04   4.15310801E-05   4.01318482E-05   2.29805656E-05   0.00000000E+00  
  26               1.07625733E-02   8.33790099E+01   8.38112317E-01   1.60471201E-01   7.78349214E-04   5.29058559E-04   4.15310749E-05   4.01318432E-05   2.29805656E-05   0.00000000E+00  
  27               1.26068729E-02   8.77286928E+01   8.38112317E-01   1.60471201E-01   7.78349144E-04   5.29058511E-04   4.15310712E-05   4.01318396E-05   2.29805656E-05   0.00000000E+00  
  28               1.47389808E-02   9.20599900E+01   8.38112317E-01   1.60471201E-01   7.78349095E-04   5.29058478E-04   4.15310686E-05   4.01318371E-05   2.29805656E-05   0.00000000E+00  
  29               1.72069573E-02   9.67607222E+01   8.38112317E-01   1.60471201E-01   7.78349064E-04   5.29058457E-04   4.15310670E-05   4.01318355E-05   2.29805656E-05   0.00000000E+00  
  30               2.00669168E-02   1.01458528E+02   8.38112160E-01   1.60471171E-01   7.78349031E-04   5.29058434E-04   4.15310652E-05   4.01318338E-05   2.29805613E-05   1.63707806E-16  
  31               2.33839005E-02   1.06577656E+02   8.38111638E-01   1.60471071E-01   7.78349140E-04   5.29058509E-04   4.15310710E-05   4.01318395E-05   2.29805470E-05   1.86543633E-15  
  32               2.72331681E-02   1.11704244E+02   8.38109311E-01   1.60470625E-01   7.78349730E-04   5.29058910E-04   4.15311025E-05   4.01318699E-05   2.29804832E-05   2.13772079E-14  
  33               3.17025442E-02   1.17303301E+02   8.38101287E-01   1.60469089E-01   7.78352397E-04   5.29060722E-04   4.15312448E-05   4.01320073E-05   2.29802632E-05   1.91849633E-13  
  34               3.68944900E-02   1.22933958E+02   8.38025141E-01   1.60454509E-01   7.78362251E-04   5.29067420E-04   4.15317706E-05   4.01325155E-05   2.29781753E-05   1.85224679E-12  
  35               4.29274052E-02   1.29241753E+02   8.38112178E-01   1.60471174E-01   7.78441704E-04   5.29121426E-04   4.15360100E-05   4.01366121E-05   2.29805618E-05   1.35791273E-11  
  36               4.99386030E-02   1.35505822E+02   8.38112187E-01   1.60471176E-01   7.78435492E-04   5.29117203E-04   4.15356785E-05   4.01362917E-05   2.29805621E-05   1.08659639E-10  
  37               5.80859249E-02   1.42554030E+02   8.38112300E-01   1.60471198E-01   7.78359792E-04   5.29065749E-04   4.15316394E-05   4.01323887E-05   2.29805652E-05   6.56267938E-10  
  38               6.75543063E-02   1.49503780E+02   8.38112172E-01   1.60471173E-01   7.78443403E-04   5.29122581E-04   4.15361007E-05   4.01366997E-05   2.29805617E-05   4.28747919E-09  
  39               7.85595101E-02   1.57284637E+02   8.38112157E-01   1.60471170E-01   7.78443995E-04   5.29122983E-04   4.15361323E-05   4.01367302E-05   2.29805612E-05   2.12928913E-08  
