# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   5.02947165E+02   8.38573217E-01   1.60523792E-01   2.73718727E-18   5.22274438E-04   2.71599628E-04   6.02194039E-05   0.00000000E+00   0.00000000E+00  
  2                1.76842037E-04   5.80308701E+02   8.38573963E-01   1.60522961E-01   7.11403571E-16   5.22282308E-04   2.71603725E-04   6.02203101E-05   0.00000000E+00   0.00000000E+00  
  3                3.62990647E-04   6.07987758E+02   8.38574900E-01   1.60521863E-01   3.95070479E-15   5.22335603E-04   2.71631462E-04   6.02264491E-05   0.00000000E+00   0.00000000E+00  
  4                5.77337726E-04   6.31977470E+02   8.38577058E-01   1.60519437E-01   1.63402943E-14   5.22381104E-04   2.71655142E-04   6.02316902E-05   0.00000000E+00   0.00000000E+00  
  5                8.26884735E-04   6.46203592E+02   8.38577985E-01   1.60518435E-01   3.43326107E-14   5.22422170E-04   2.71676513E-04   6.02364208E-05   0.00000000E+00   0.00000000E+00  
  6                1.11924171E-03   6.63319087E+02   8.38580797E-01   1.60515333E-01   8.49554663E-14   5.22460356E-04   2.71696385E-04   6.02408196E-05   0.00000000E+00   0.00000000E+00  
  7                1.46283360E-03   6.73894143E+02   8.38581500E-01   1.60514563E-01   1.39072357E-13   5.22496190E-04   2.71715032E-04   6.02449473E-05   0.00000000E+00   0.00000000E+00  
  8                1.86747905E-03   6.88638014E+02   8.38585146E-01   1.60510864E-01   2.85673334E-13   5.22529958E-04   2.71732605E-04   6.02488372E-05   0.00000000E+00   0.00000000E+00  
  9                2.34460256E-03   6.97648235E+02   8.38585596E-01   1.60510351E-01   4.19166489E-13   5.22563523E-04   2.71750071E-04   6.02527036E-05   0.00000000E+00   0.00000000E+00  
  10               2.90772741E-03   7.11133856E+02   8.38589670E-01   1.60506230E-01   7.73911652E-13   5.22591609E-04   2.71764688E-04   6.02559385E-05   0.00000000E+00   0.00000000E+00  
  11               3.57275469E-03   7.19177609E+02   8.38589695E-01   1.60506141E-01   1.05963002E-12   5.22624235E-04   2.71781665E-04   6.02596969E-05   0.00000000E+00   0.00000000E+00  
  12               4.35850959E-03   7.31939726E+02   8.38593987E-01   1.60501801E-01   1.82542757E-12   5.22650898E-04   2.71795541E-04   6.02627679E-05   0.00000000E+00   0.00000000E+00  
  13               5.28711588E-03   7.39413484E+02   8.38593560E-01   1.60502162E-01   2.39111797E-12   5.22683208E-04   2.71812353E-04   6.02664900E-05   0.00000000E+00   0.00000000E+00  
  14               6.38467783E-03   7.51847461E+02   8.38598003E-01   1.60497666E-01   3.94020113E-12   5.22708884E-04   2.71825715E-04   6.02694472E-05   0.00000000E+00   0.00000000E+00  
  15               7.68194349E-03   7.59137531E+02   8.38597287E-01   1.60498311E-01   5.04264836E-12   5.22740900E-04   2.71842373E-04   6.02731354E-05   0.00000000E+00   0.00000000E+00  
  16               9.21579710E-03   7.71566900E+02   8.38601944E-01   1.60493593E-01   8.08959845E-12   5.22765718E-04   2.71855288E-04   6.02759936E-05   0.00000000E+00   0.00000000E+00  
