# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   5.42449510E+02   8.38512418E-01   1.60492587E-01   1.24825761E-16   5.29226390E-04   3.73063888E-04   6.06206868E-05   0.00000000E+00   0.00000000E+00  
  2                2.38597103E-05   6.64493758E+02   8.38743693E-01   1.60261895E-01   6.24299155E-13   5.28892059E-04   3.72828285E-04   6.05823851E-05   0.00000000E+00   0.00000000E+00  
  3                3.83354597E-05   7.08169458E+02   8.38749508E-01   1.60255447E-01   5.76475856E-12   5.28881608E-04   3.72820990E-04   6.05811826E-05   0.00000000E+00   0.00000000E+00  
  4                5.44294291E-05   7.43478590E+02   8.38749233E-01   1.60254015E-01   2.86719633E-11   5.28891600E-04   3.72828093E-04   6.05823228E-05   0.00000000E+00   0.00000000E+00  
  5                7.25539296E-05   7.65737744E+02   8.38748116E-01   1.60253691E-01   7.01377539E-11   5.28887086E-04   3.72824962E-04   6.05818019E-05   0.00000000E+00   0.00000000E+00  
  6                9.31454312E-05   7.90185568E+02   8.38748263E-01   1.60253549E-01   1.81121425E-10   5.28883268E-04   3.72822316E-04   6.05813613E-05   0.00000000E+00   0.00000000E+00  
  7                1.16653533E-04   8.06668444E+02   8.38748293E-01   1.60253523E-01   3.21868317E-10   5.28880009E-04   3.72820061E-04   6.05809849E-05   0.00000000E+00   9.36518481E-16  
  8                1.43567231E-04   8.27326327E+02   8.38748332E-01   1.60253488E-01   6.60972618E-10   5.28877021E-04   3.72817993E-04   6.05806397E-05   0.00000000E+00   8.01535739E-15  
  9                1.74417418E-04   8.41598869E+02   8.38748338E-01   1.60253486E-01   1.03473327E-09   5.28874288E-04   3.72816103E-04   6.05803240E-05   0.00000000E+00   8.01535602E-15  
  10               2.09805146E-04   8.60721631E+02   8.38748350E-01   1.60253475E-01   1.90527197E-09   5.28871700E-04   3.72814314E-04   6.05800249E-05   0.00000000E+00   2.46110290E-14  
  11               2.50399390E-04   8.74078735E+02   8.38748350E-01   1.60253478E-01   2.79848795E-09   5.28869258E-04   3.72812625E-04   6.05797426E-05   0.00000000E+00   1.34737954E-13  
  12               2.96962942E-04   8.92537517E+02   8.38748353E-01   1.60253476E-01   4.82729099E-09   5.28866903E-04   3.72810998E-04   6.05794705E-05   0.00000000E+00   1.34737914E-13  
  13               3.50348128E-04   9.05553641E+02   8.38748349E-01   1.60253479E-01   6.82731500E-09   5.28864638E-04   3.72809432E-04   6.05792086E-05   9.13472304E-16   6.32568029E-13  
  14               4.11525285E-04   9.23815869E+02   8.38748345E-01   1.60253479E-01   1.12755841E-08   5.28862426E-04   3.72807904E-04   6.05789530E-05   2.10370527E-15   6.32567799E-13  
  15               4.81627592E-04   9.36798434E+02   8.38748339E-01   1.60253482E-01   1.55524543E-08   5.28860267E-04   3.72806412E-04   6.05787034E-05   6.88221532E-15   2.65957799E-12  
  16               5.62008770E-04   9.55105886E+02   8.38748327E-01   1.60253483E-01   2.48575660E-08   5.28858136E-04   3.72804939E-04   6.05784570E-05   1.48682153E-14   2.65957675E-12  
  17               6.54188185E-04   9.68322013E+02   8.38748315E-01   1.60253486E-01   3.37434225E-08   5.28856033E-04   3.72803486E-04   6.05782139E-05   4.58662518E-14   1.03964410E-11  
  18               7.59891239E-04   9.87013300E+02   8.38748291E-01   1.60253486E-01   5.27888330E-08   5.28853939E-04   3.72802038E-04   6.05779719E-05   9.46011819E-14   1.03964346E-11  
  19               8.81045142E-04   1.00076893E+03   8.38748269E-01   1.60253488E-01   7.11279622E-08   5.28851857E-04   3.72800599E-04   6.05777312E-05   2.83721735E-13   3.88506350E-11  
  20               1.01982865E-03   1.02009430E+03   8.38748223E-01   1.60253487E-01   1.09665155E-07   5.28849772E-04   3.72799157E-04   6.05774903E-05   5.65836437E-13   3.88506034E-11  
  21               1.17866560E-03   1.03455652E+03   8.38748182E-01   1.60253486E-01   1.47169039E-07   5.28847692E-04   3.72797719E-04   6.05772500E-05   1.66993151E-12   1.40119822E-10  
  22               1.36028272E-03   1.05465220E+03   8.38748096E-01   1.60253482E-01   2.24247403E-07   5.28845610E-04   3.72796279E-04   6.05770094E-05   3.23435375E-12   1.40119671E-10  
  23               1.56769050E-03   1.06996322E+03   8.38748017E-01   1.60253478E-01   3.00370111E-07   5.28843545E-04   3.72794850E-04   6.05767707E-05   9.46339784E-12   4.91041141E-10  
  24               1.80425775E-03   1.09095683E+03   8.38747855E-01   1.60253467E-01   4.53236565E-07   5.28841485E-04   3.72793425E-04   6.05765327E-05   1.78807800E-11   4.91040440E-10  
  25               2.07368255E-03   1.10720372E+03   8.38747699E-01   1.60253456E-01   6.06204741E-07   5.28839455E-04   3.72792020E-04   6.05762982E-05   5.19325601E-11   1.68174729E-09  
  26               2.38007863E-03   1.12920954E+03   8.38747394E-01   1.60253433E-01   9.06994169E-07   5.28837442E-04   3.72790628E-04   6.05760656E-05   9.58594444E-11   1.68174409E-09  
  27               2.72830452E-03   1.14654659E+03   8.38747083E-01   1.60253407E-01   1.21317809E-06   5.28835456E-04   3.72789253E-04   6.05758360E-05   2.77789441E-10   5.68595336E-09  
  28               3.12402455E-03   1.16980640E+03   8.38746499E-01   1.60253359E-01   1.80552871E-06   5.28833613E-04   3.72787980E-04   6.05756230E-05   5.02172171E-10   5.68593882E-09  
  29               3.57342750E-03   1.18857292E+03   8.38745834E-01   1.60253296E-01   2.42540207E-06   5.28831723E-04   3.72786673E-04   6.05754044E-05   1.47356062E-09   1.92143560E-08  
  30               4.08335259E-03   1.21342519E+03   8.38744669E-01   1.60253209E-01   3.60433997E-06   5.28830968E-04   3.72786167E-04   6.05753160E-05   2.62317596E-09   1.92142892E-08  
  31               4.66115550E-03   1.23395154E+03   8.38743009E-01   1.60253023E-01   4.87624914E-06   5.28829489E-04   3.72785150E-04   6.05751446E-05   7.86783112E-09   6.56667686E-08  
  32               5.31480383E-03   1.26075865E+03   8.38740523E-01   1.60252895E-01   7.25788182E-06   5.28835819E-04   3.72789639E-04   6.05758677E-05   1.38067103E-08   6.56664665E-08  
  33               6.05258071E-03   1.28350109E+03   8.38735089E-01   1.60252161E-01   9.92646580E-06   5.28836522E-04   3.72790164E-04   6.05759465E-05   4.28229240E-08   2.30817935E-07  
  34               6.88305151E-03   1.31284015E+03   8.38729430E-01   1.60252296E-01   1.48742414E-05   5.28884754E-04   3.72824198E-04   6.05814693E-05   7.36593840E-08   2.30816988E-07  
