# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   3.62229618E+02   8.38514284E-01   1.60513080E-01   4.08367041E-27   5.29482000E-04   3.49293982E-04   6.05534371E-05   0.00000000E+00   0.00000000E+00  
  2                1.77374351E-05   4.21820314E+02   8.38514295E-01   1.60513089E-01   8.68690927E-23   5.29472897E-04   3.49287976E-04   6.05523968E-05   0.00000000E+00   0.00000000E+00  
  3                2.64900577E-05   4.44767774E+02   8.38514332E-01   1.60513075E-01   1.77733032E-21   5.29458889E-04   3.49278735E-04   6.05507967E-05   0.00000000E+00   0.00000000E+00  
  4                3.67856149E-05   4.64463861E+02   8.38514368E-01   1.60513067E-01   1.85727187E-20   5.29444411E-04   3.49269184E-04   6.05491443E-05   0.00000000E+00   0.00000000E+00  
  5                4.89937895E-05   4.78078671E+02   8.38514386E-01   1.60513065E-01   8.09451755E-20   5.29437076E-04   3.49264344E-04   6.05483094E-05   0.00000000E+00   0.00000000E+00  
  6                6.35277339E-05   4.92911221E+02   8.38514410E-01   1.60513059E-01   3.73466491E-19   5.29429144E-04   3.49259111E-04   6.05474070E-05   0.00000000E+00   0.00000000E+00  
  7                8.08674694E-05   5.03639720E+02   8.38514420E-01   1.60513054E-01   1.03442363E-18   5.29427117E-04   3.49257773E-04   6.05471802E-05   0.00000000E+00   0.00000000E+00  
  8                1.01588554E-04   5.16339576E+02   8.38514448E-01   1.60513043E-01   3.34616894E-18   5.29420552E-04   3.49253441E-04   6.05464346E-05   0.00000000E+00   0.00000000E+00  
  9                1.26383856E-04   5.25717826E+02   8.38514460E-01   1.60513033E-01   7.46412581E-18   5.29420473E-04   3.49253388E-04   6.05464309E-05   0.00000000E+00   0.00000000E+00  
  10               1.56082939E-04   5.37648951E+02   8.38514500E-01   1.60513007E-01   2.04617051E-17   5.29415979E-04   3.49250423E-04   6.05459224E-05   0.00000000E+00   0.00000000E+00  
  11               1.91670450E-04   5.46716060E+02   8.38514524E-01   1.60512983E-01   4.16856845E-17   5.29416772E-04   3.49250945E-04   6.05460186E-05   0.00000000E+00   0.00000000E+00  
  12               2.34322746E-04   5.58606361E+02   8.38514599E-01   1.60512920E-01   1.05401616E-16   5.29413645E-04   3.49248882E-04   6.05456666E-05   0.00000000E+00   0.00000000E+00  
  13               2.85443867E-04   5.67670949E+02   8.38514652E-01   1.60512864E-01   2.03192670E-16   5.29415027E-04   3.49249793E-04   6.05458301E-05   0.00000000E+00   0.00000000E+00  
  14               3.46717882E-04   5.79554977E+02   8.38514800E-01   1.60512724E-01   4.78817676E-16   5.29412839E-04   3.49248348E-04   6.05455854E-05   0.00000000E+00   0.00000000E+00  
  15               4.20159675E-04   5.88520196E+02   8.38514904E-01   1.60512608E-01   8.71264291E-16   5.29414945E-04   3.49249737E-04   6.05458318E-05   0.00000000E+00   0.00000000E+00  
  16               5.08187712E-04   6.00295945E+02   8.38515186E-01   1.60512331E-01   1.91224376E-15   5.29413168E-04   3.49248564E-04   6.05456341E-05   0.00000000E+00   0.00000000E+00  
  17               6.13691242E-04   6.09130269E+02   8.38515335E-01   1.60512117E-01   3.29648875E-15   5.29415761E-04   3.49250274E-04   6.05459362E-05   0.00000000E+00   0.00000000E+00  
  18               7.40126626E-04   6.20885982E+02   8.38515834E-01   1.60511613E-01   6.83060242E-15   5.29414216E-04   3.49249254E-04   6.05457650E-05   0.00000000E+00   0.00000000E+00  
  19               8.91648833E-04   6.29717108E+02   8.38516171E-01   1.60511271E-01   1.13127976E-14   5.29417336E-04   3.49251312E-04   6.05461273E-05   0.00000000E+00   0.00000000E+00  
  20               1.07329228E-03   6.41587016E+02   8.38516864E-01   1.60510387E-01   2.24396776E-14   5.29415726E-04   3.49250249E-04   6.05459486E-05   0.00000000E+00   0.00000000E+00  
  21               1.29107863E-03   6.50483139E+02   8.38517394E-01   1.60509850E-01   3.59743206E-14   5.29419485E-04   3.49252728E-04   6.05463838E-05   0.00000000E+00   0.00000000E+00  
  22               1.55221783E-03   6.62516221E+02   8.38518755E-01   1.60508497E-01   6.87276740E-14   5.29417532E-04   3.49251439E-04   6.05461659E-05   0.00000000E+00   0.00000000E+00  
  23               1.86531954E-03   6.71529894E+02   8.38519338E-01   1.60507673E-01   1.07230271E-13   5.29422154E-04   3.49254487E-04   6.05466997E-05   0.00000000E+00   0.00000000E+00  
  24               2.24067661E-03   6.83776470E+02   8.38521368E-01   1.60505651E-01   1.98351202E-13   5.29419545E-04   3.49252766E-04   6.05464067E-05   0.00000000E+00   0.00000000E+00  
  25               2.69053444E-03   6.92998278E+02   8.38522461E-01   1.60504543E-01   3.03203499E-13   5.29426412E-04   3.49257295E-04   6.05471972E-05   0.00000000E+00   0.00000000E+00  
  26               3.22944982E-03   7.05703218E+02   8.38525442E-01   1.60501571E-01   5.51107293E-13   5.29423032E-04   3.49255065E-04   6.05468159E-05   0.00000000E+00   0.00000000E+00  
  27               3.87471539E-03   7.15463481E+02   8.38527103E-01   1.60499904E-01   8.40129825E-13   5.29423987E-04   3.49255694E-04   6.05469302E-05   0.00000000E+00   0.00000000E+00  
  28               4.64662090E-03   7.28889684E+02   8.38531483E-01   1.60495512E-01   1.51896391E-12   5.29429855E-04   3.49259564E-04   6.05476064E-05   0.00000000E+00   0.00000000E+00  
  29               5.56921928E-03   7.39342172E+02   8.38534005E-01   1.60492978E-01   2.32155982E-12   5.29430134E-04   3.49259748E-04   6.05476434E-05   0.00000000E+00   0.00000000E+00  
  30               6.67096299E-03   7.53707977E+02   8.38540444E-01   1.60486539E-01   4.20558132E-12   5.29422668E-04   3.49254822E-04   6.05467947E-05   0.00000000E+00   0.00000000E+00  
  31               7.98523743E-03   7.65247986E+02   8.38544509E-01   1.60482445E-01   6.53958241E-12   5.29420886E-04   3.49253646E-04   6.05465960E-05   0.00000000E+00   0.00000000E+00  
  32               9.55248476E-03   7.80791569E+02   8.38553790E-01   1.60473127E-01   1.19343741E-11   5.29409890E-04   3.49246391E-04   6.05453435E-05   0.00000000E+00   0.00000000E+00  
  33               1.14203308E-02   7.93540755E+02   8.38559973E-01   1.60466908E-01   1.88596302E-11   5.29405347E-04   3.49243394E-04   6.05448289E-05   0.00000000E+00   0.00000000E+00  
  34               1.36444524E-02   8.10637408E+02   8.38572974E-01   1.60453791E-01   3.49782162E-11   5.29389722E-04   3.49233085E-04   6.05430469E-05   0.00000000E+00   0.00000000E+00  
  35               1.62895454E-02   8.25065232E+02   8.38582027E-01   1.60444477E-01   5.68233097E-11   5.29381045E-04   3.49227360E-04   6.05420596E-05   0.00000000E+00   0.00000000E+00  
  36               1.94305384E-02   8.43994753E+02   8.38598742E-01   1.60427274E-01   1.07254684E-10   5.29360328E-04   3.49213693E-04   6.05396953E-05   0.00000000E+00   0.00000000E+00  
  37               2.31528495E-02   8.60440508E+02   8.38610286E-01   1.60414539E-01   1.79561077E-10   5.29347196E-04   3.49205029E-04   6.05381985E-05   0.00000000E+00   0.00000000E+00  
  38               2.75531722E-02   8.81803314E+02   8.38629641E-01   1.60393707E-01   3.48460391E-10   5.29321994E-04   3.49188403E-04   6.05353213E-05   0.00000000E+00   7.40365597E-16  
  39               3.27397824E-02   9.00817884E+02   8.38644950E-01   1.60378440E-01   6.05027094E-10   5.29305001E-04   3.49177192E-04   6.05333830E-05   0.00000000E+00   2.03312634E-15  
  40               3.88327975E-02   9.24954566E+02   8.38666723E-01   1.60356737E-01   1.20283104E-09   5.29278423E-04   3.49159658E-04   6.05303485E-05   0.00000000E+00   7.16062824E-15  
  41               4.59702751E-02   9.47020102E+02   8.38682597E-01   1.60340926E-01   2.16511675E-09   5.29260304E-04   3.49147705E-04   6.05282815E-05   0.00000000E+00   2.09386416E-14  
  42               5.43182567E-02   9.74639889E+02   8.38702351E-01   1.60321258E-01   4.42830697E-09   5.29236127E-04   3.49131755E-04   6.05255216E-05   5.52859304E-16   7.72949170E-14  
  43               6.40571403E-02   1.00063043E+03   8.38716343E-01   1.60307333E-01   8.31130547E-09   5.29219863E-04   3.49121025E-04   6.05236667E-05   2.73954930E-15   2.42776692E-13  
  44               7.53801202E-02   1.03240874E+03   8.38731238E-01   1.60292503E-01   1.74396696E-08   5.29201639E-04   3.49109002E-04   6.05215876E-05   1.78275483E-14   9.31970920E-13  
  45               8.84839051E-02   1.06285941E+03   8.38741111E-01   1.60282663E-01   3.38250479E-08   5.29190151E-04   3.49101422E-04   6.05202787E-05   9.35009102E-14   3.07856993E-12  
  46               1.03563946E-01   1.09951092E+03   8.38750168E-01   1.60273607E-01   7.24199513E-08   5.29179137E-04   3.49094157E-04   6.05190237E-05   6.15450445E-13   1.20993832E-11  
  47               1.20805417E-01   1.13514498E+03   8.38755632E-01   1.60268084E-01   1.44143567E-07   5.29172866E-04   3.49090042E-04   6.05183104E-05   3.31874034E-12   4.14812314E-11  
