# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           H               
  1                1.00000000E-05   5.65446384E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.81186775E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   3.16582839E-109 
  2                3.06523427E-04   5.84947447E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.57795544E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   5.71814985E-110 
  3                6.70409208E-04   6.52107205E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.61543053E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   3.86649438E-110 
  4                1.11694299E-03   6.69520265E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.60028390E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   2.99551754E-110 
  5                1.66441110E-03   7.18312260E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.58781487E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   2.45390117E-110 
  6                2.33228855E-03   7.36336409E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.58022716E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   2.07298533E-110 
  7                3.14099835E-03   7.71459607E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.69181202E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   1.78629637E-110 
  8                4.11291013E-03   8.00623105E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.65767841E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   1.56103543E-110 
  9                5.28139385E-03   8.26262106E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.62494704E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   1.37756815E-110 
  10               6.68435141E-03   8.57687045E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.59895116E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   1.22449702E-110 
  11               8.37360959E-03   8.81830208E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.87853852E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   1.09403449E-110 
  12               1.04104063E-02   9.16257321E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.63263842E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   9.81190940E-111 
  13               1.28678472E-02   9.42449186E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.72036086E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   8.82540046E-111 
  14               1.58365547E-02   9.80148650E+01   8.38831878E-01   1.60608973E-01   5.31825921E-04   7.80367872E-18   3.32425781E-08   2.30011629E-05   0.00000000E+00   7.95530832E-111 
  15               1.94300618E-02   1.00661008E+02   8.38831706E-01   1.60608940E-01   5.31825812E-04   7.62701646E-18   3.34787962E-08   2.30011582E-05   5.45499050E-17   3.97255242E-110 
  16               2.37762239E-02   1.04675206E+02   8.38831706E-01   1.60608940E-01   5.31825812E-04   6.23477458E-17   2.38924609E-07   2.30011582E-05   1.48566632E-16   7.33112436E-106 
  17               2.90179284E-02   1.07322752E+02   8.38830574E-01   1.60608723E-01   5.31825094E-04   2.12529735E-16   2.40470433E-07   2.30011271E-05   1.40808378E-15   3.07896460E-103 
  18               3.52827730E-02   1.11739323E+02   8.38830574E-01   1.60608723E-01   5.31825094E-04   1.62461786E-15   1.58798598E-06   2.30011271E-05   3.48991421E-15   4.10666585E-99  
  19               4.25894040E-02   1.14602144E+02   8.38824491E-01   1.60607558E-01   5.31821237E-04   5.21436810E-15   1.59619239E-06   2.30009603E-05   8.80375305E-14   1.26699269E-96  
  20               5.07276118E-02   1.19302195E+02   8.38824491E-01   1.60607558E-01   5.31821237E-04   9.32518986E-14   8.84024243E-06   2.30009603E-05   0.00000000E+00   9.03499651E-93  
  21               5.89606176E-02   1.22025264E+02   8.38802083E-01   1.60603268E-01   5.31807031E-04   9.41900801E-14   8.86900280E-06   2.30003459E-05   8.65639255E-13   1.09853224E-90  
  22               6.66913121E-02   1.26543805E+02   8.38802083E-01   1.60603268E-01   5.31807031E-04   9.59829336E-13   3.55525950E-05   2.30003459E-05   0.00000000E+00   2.12425268E-87  
  23               7.31433714E-02   1.28589214E+02   8.38729720E-01   1.60589413E-01   5.31761152E-04   9.63276180E-13   3.56298959E-05   2.29983617E-05   3.78531337E-12   5.37642047E-86  
  24               7.82684565E-02   1.32915676E+02   8.38729720E-01   1.60589413E-01   5.31761152E-04   4.74858955E-12   1.21819261E-04   2.29983617E-05   0.00000000E+00   3.82421695E-83  
  25               8.20782229E-02   1.33426014E+02   8.38729720E-01   1.60589413E-01   5.31761152E-04   4.76629757E-12   1.21819261E-04   2.29983617E-05   1.89906715E-11   7.90943417E-83  
  26               8.67525267E-02   1.37412928E+02   8.38729720E-01   1.60589413E-01   5.31761152E-04   2.37569690E-11   1.21819261E-04   2.29983617E-05   0.00000000E+00   2.23457753E-80  
