# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               O-3P             H2O              Mg               Fe              
  34               1.15709821E-03   2.58373748E+03   5.79934987E-01   3.05459175E-01   1.13758243E-01   3.76661907E-04   7.42025141E-05   1.35378688E-04   4.74041068E-05   3.94418310E-05  
  35               1.34226663E-03   2.62241205E+03   6.05404105E-01   2.82047562E-01   1.11715704E-01   3.69900784E-04   8.54819668E-05   1.17800101E-04   4.65520741E-05   3.87335350E-05  
  36               1.55662881E-03   2.63495931E+03   5.98039976E-01   2.88816883E-01   1.12306100E-01   3.71855597E-04   8.28878987E-05   1.21379010E-04   4.67963090E-05   3.89380380E-05  
  37               1.80482373E-03   2.67431525E+03   6.22261794E-01   2.66551795E-01   1.10363553E-01   3.65425517E-04   9.41293675E-05   1.04789187E-04   4.59858870E-05   3.82644014E-05  
  38               2.09149346E-03   2.68835590E+03   6.16265831E-01   2.72063451E-01   1.10844243E-01   3.67017121E-04   9.20024587E-05   1.07492504E-04   4.61841960E-05   3.84308401E-05  
  39               2.42227403E-03   2.72824202E+03   6.39069096E-01   2.51102267E-01   1.09015446E-01   3.60963594E-04   1.02970999E-04   9.21801446E-05   4.54211115E-05   3.77966319E-05  
  40               2.80265380E-03   2.74354819E+03   6.34173978E-01   2.55601983E-01   1.09407861E-01   3.62262940E-04   1.01247461E-04   9.41855881E-05   4.55824191E-05   3.79324359E-05  
  41               3.23910593E-03   2.78375273E+03   6.55441117E-01   2.36052732E-01   1.07702264E-01   3.56617212E-04   1.11725475E-04   8.03598487E-05   4.48706076E-05   3.73409320E-05  
  42               3.73791883E-03   2.80038293E+03   6.51750143E-01   2.39445543E-01   1.07998118E-01   3.57596871E-04   1.10493654E-04   8.16355450E-05   4.49914800E-05   3.74432295E-05  
  43               4.30616363E-03   2.84066098E+03   6.71400640E-01   2.21382193E-01   1.06422192E-01   3.52380326E-04   1.20303704E-04   6.94244317E-05   4.43336407E-05   3.68966733E-05  
  44               4.95074253E-03   2.85861994E+03   6.68951255E-01   2.23633660E-01   1.06618483E-01   3.53030351E-04   1.19608656E-04   7.00042540E-05   4.44128592E-05   3.69644260E-05  
  45               5.67910947E-03   2.89868405E+03   6.86911122E-01   2.07124180E-01   1.05178165E-01   3.48262614E-04   1.28610524E-04   5.94669422E-05   4.38114709E-05   3.64648766E-05  
  46               6.49848506E-03   2.91758409E+03   6.85363381E-01   2.08546763E-01   1.05302152E-01   3.48673235E-04   1.28305203E-04   5.96031392E-05   4.38604123E-05   3.65075378E-05  
  47               7.41678784E-03   2.95720632E+03   7.01656002E-01   1.93569610E-01   1.03995561E-01   3.44348046E-04   1.36446066E-04   5.06737858E-05   4.33146980E-05   3.60543439E-05  
  48               8.44203765E-03   2.97712508E+03   7.01069082E-01   1.94108876E-01   1.04042498E-01   3.44503535E-04   1.36565656E-04   5.03932677E-05   4.33314327E-05   3.60702730E-05  
  49               9.58309744E-03   3.01621312E+03   7.15790769E-01   1.80575466E-01   1.02861897E-01   3.40595242E-04   1.43868759E-04   4.29310324E-05   4.28381762E-05   3.56607526E-05  
  50               1.08490346E-02   3.03720597E+03   7.16123836E-01   1.80268897E-01   1.02835056E-01   3.40506398E-04   1.44397339E-04   4.23145471E-05   4.28241105E-05   3.56510886E-05  
  51               1.22495235E-02   3.07529345E+03   7.29067912E-01   1.68369173E-01   1.01796995E-01   3.37069745E-04   1.50777239E-04   3.62858638E-05   4.23901723E-05   3.52909766E-05  
  52               1.37949262E-02   3.09651380E+03   7.29611622E-01   1.67868798E-01   1.01753249E-01   3.36924805E-04   1.51390473E-04   3.56823640E-05   4.23689542E-05   3.52754325E-05  
  53               1.54979258E-02   3.13409646E+03   7.41294801E-01   1.57127714E-01   1.00816271E-01   3.33822473E-04   1.57122431E-04   3.07092635E-05   4.19770937E-05   3.49503585E-05  
  54               1.73727301E-02   3.15705589E+03   7.42955851E-01   1.55599930E-01   1.00682905E-01   3.33380626E-04   1.58247583E-04   2.97782036E-05   4.19185785E-05   3.49037402E-05  
  55               1.94358223E-02   3.19486219E+03   7.53812958E-01   1.45617661E-01   9.98121185E-02   3.30496944E-04   1.63568707E-04   2.56051119E-05   4.15543076E-05   3.46016120E-05  
  56               2.17052904E-02   3.21970511E+03   7.56399088E-01   1.43239083E-01   9.96045324E-02   3.29809010E-04   1.65127460E-04   2.44847598E-05   4.14649378E-05   3.45292617E-05  
  57               2.42017355E-02   3.25749333E+03   7.66200029E-01   1.34227085E-01   9.88183622E-02   3.27204730E-04   1.69975368E-04   2.11102995E-05   4.11358787E-05   3.42564612E-05  
  58               2.69476238E-02   3.28346850E+03   7.69045187E-01   1.31609955E-01   9.85899497E-02   3.26447255E-04   1.71681564E-04   2.00548534E-05   4.10378120E-05   3.41768811E-05  
  59               2.99685454E-02   3.32109714E+03   7.77725116E-01   1.23627876E-01   9.78935851E-02   3.24139188E-04   1.76065548E-04   1.73839676E-05   4.07460707E-05   3.39352007E-05  
  60               3.32928984E-02   3.34834158E+03   7.80760899E-01   1.20835062E-01   9.76498270E-02   3.23329927E-04   1.77903276E-04   1.64095074E-05   4.06415844E-05   3.38502899E-05  
  61               3.69525444E-02   3.38622945E+03   7.88555672E-01   1.13666206E-01   9.70243691E-02   3.21254860E-04   1.81951229E-04   1.42720748E-05   4.03792927E-05   3.36331772E-05  
  62               4.09837618E-02   3.41563301E+03   7.92045359E-01   1.10455710E-01   9.67441656E-02   3.20323142E-04   1.84049140E-04   1.33102772E-05   4.02596840E-05   3.35356299E-05  
  63               4.54262002E-02   3.45446276E+03   7.99224655E-01   1.03852429E-01   9.61680364E-02   3.18408398E-04   1.87884502E-04   1.15686808E-05   4.00178961E-05   3.33356081E-05  
  64               5.03256779E-02   3.48684378E+03   8.03286391E-01   1.00115848E-01   9.58419582E-02   3.17321363E-04   1.90294954E-04   1.06088685E-05   3.98793285E-05   3.32221657E-05  
