# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.17172050E+03   8.38721177E-01   3.31311435E-05   1.60252239E-01   5.30514724E-04   2.55608807E-04   2.41700430E-07   1.90066763E-06   6.07817378E-05  
  2                1.22429930E-05   1.36021767E+03   8.37916025E-01   7.20501252E-04   1.60185981E-01   5.30304195E-04   3.76623592E-04   6.67737152E-05   5.55416639E-05   6.07566097E-05  
  3                1.39568790E-05   1.34495824E+03   8.38082739E-01   5.39005923E-04   1.60200648E-01   5.30348790E-04   3.76946098E-04   6.67797219E-05   5.55467464E-05   6.07621720E-05  
  4                1.59306876E-05   1.42833288E+03   8.37084473E-01   1.62551877E-03   1.60113040E-01   5.30077782E-04   3.75537798E-04   6.67429131E-05   5.55163402E-05   6.07289434E-05  
  5                1.82189552E-05   1.40393884E+03   8.37571972E-01   1.09492987E-03   1.60155812E-01   5.30214377E-04   3.76131134E-04   6.67605772E-05   5.55311688E-05   6.07451658E-05  
  6                2.08908663E-05   1.48057816E+03   8.36037452E-01   2.76482415E-03   1.60021394E-01   5.29783666E-04   3.74674201E-04   6.67042958E-05   5.54845272E-05   6.06941817E-05  
  7                2.39950834E-05   1.45802713E+03   8.36789638E-01   1.94624112E-03   1.60087266E-01   5.29997904E-04   3.75311755E-04   6.67315178E-05   5.55073632E-05   6.07191660E-05  
  8                2.75242283E-05   1.54463970E+03   8.33862377E-01   5.13112993E-03   1.59831290E-01   5.29163619E-04   3.73554505E-04   6.66245708E-05   5.54185626E-05   6.06220743E-05  
  9                3.11802612E-05   1.55920549E+03   8.33360988E-01   5.67660018E-03   1.59787519E-01   5.29020565E-04   3.73346423E-04   6.66060674E-05   5.54033658E-05   6.06054712E-05  
  10               3.54797959E-05   1.58448553E+03   8.32130565E-01   7.01520924E-03   1.59680103E-01   5.28667965E-04   3.72855119E-04   6.65610050E-05   5.53660937E-05   6.05647265E-05  
  11               4.05460521E-05   1.59641026E+03   8.31726936E-01   7.45429679E-03   1.59644894E-01   5.28552746E-04   3.72722040E-04   6.65460021E-05   5.53538617E-05   6.05513705E-05  
  12               4.65215165E-05   1.62053285E+03   8.30350269E-01   8.95195601E-03   1.59524764E-01   5.28157597E-04   3.72244862E-04   6.64955600E-05   5.53121756E-05   6.05058026E-05  
  13               5.35698792E-05   1.63207079E+03   8.29950233E-01   9.38711928E-03   1.59489883E-01   5.28043287E-04   3.72129429E-04   6.64806134E-05   5.53000514E-05   6.04925705E-05  
  14               6.18857246E-05   1.65588596E+03   8.28393670E-01   1.10804463E-02   1.59354096E-01   5.27596002E-04   3.71638705E-04   6.64235499E-05   5.52529287E-05   6.04410620E-05  
  15               7.16944192E-05   1.66745501E+03   8.27979721E-01   1.15307346E-02   1.59318011E-01   5.27477594E-04   3.71528024E-04   6.64080064E-05   5.52403794E-05   6.04273725E-05  
  16               8.32703934E-05   1.69120098E+03   8.26232630E-01   1.34312996E-02   1.59165634E-01   5.26975151E-04   3.71010910E-04   6.63439160E-05   5.51874953E-05   6.03695697E-05  
  17               9.69354726E-05   1.70297407E+03   8.25796558E-01   1.39056484E-02   1.59127627E-01   5.26850295E-04   3.70898447E-04   6.63274575E-05   5.51742700E-05   6.03551498E-05  
  18               1.13074334E-04   1.72680975E+03   8.23847916E-01   1.60254475E-02   1.58957696E-01   5.26289540E-04   3.70344304E-04   6.62559172E-05   5.51152879E-05   6.02906860E-05  
  19               1.32134478E-04   1.73893420E+03   8.23376645E-01   1.65380820E-02   1.58916624E-01   5.26154474E-04   3.70223526E-04   6.62380448E-05   5.51009883E-05   6.02751022E-05  
  20               1.54650087E-04   1.76297288E+03   8.21213274E-01   1.88914514E-02   1.58727988E-01   5.25531623E-04   3.69622425E-04   6.61585497E-05   5.50355064E-05   6.02035397E-05  
  21               1.81241164E-04   1.77559109E+03   8.20686185E-01   1.94648028E-02   1.58682053E-01   5.25380405E-04   3.69485474E-04   6.61384862E-05   5.50195060E-05   6.01861089E-05  
  22               2.12646699E-04   1.79993868E+03   8.18288526E-01   2.20730218E-02   1.58473004E-01   5.24689827E-04   3.68826447E-04   6.60502950E-05   5.49469290E-05   6.01067988E-05  
  23               2.49722504E-04   1.81317197E+03   8.17680118E-01   2.27348313E-02   1.58419981E-01   5.24515103E-04   3.68664498E-04   6.60270812E-05   5.49284533E-05   6.00866765E-05  
  24               2.93485707E-04   1.83795480E+03   8.15016875E-01   2.56319467E-02   1.58187791E-01   5.23747778E-04   3.67933622E-04   6.59290213E-05   5.48478309E-05   5.99985811E-05  
  25               3.45109667E-04   1.85198067E+03   8.14282973E-01   2.64302695E-02   1.58123828E-01   5.23536803E-04   3.67732686E-04   6.59010134E-05   5.48255402E-05   5.99743048E-05  
  26               4.05984199E-04   1.87737711E+03   8.11300323E-01   2.96748317E-02   1.57863802E-01   5.22677208E-04   3.66909666E-04   6.57910878E-05   5.47352404E-05   5.98756408E-05  
  27               4.77703996E-04   1.89244667E+03   8.10368242E-01   3.06887358E-02   1.57782563E-01   5.22409010E-04   3.66647452E-04   6.57555997E-05   5.47069324E-05   5.98448043E-05  
  28               5.62149353E-04   1.91872038E+03   8.06973236E-01   3.43818556E-02   1.57486597E-01   5.21430329E-04   3.65700295E-04   6.56303841E-05   5.46041397E-05   5.97324929E-05  
  29               6.61461628E-04   1.93519965E+03   8.05721756E-01   3.57432057E-02   1.57377515E-01   5.21069930E-04   3.65339855E-04   6.55829594E-05   5.45661440E-05   5.96910833E-05  
  30               7.78146252E-04   1.96279254E+03   8.01741706E-01   4.00727372E-02   1.57030554E-01   5.19922333E-04   3.64212104E-04   6.54361260E-05   5.44456317E-05   5.95594053E-05  
  31               9.15011736E-04   1.98141847E+03   7.99912444E-01   4.20626042E-02   1.56871103E-01   5.19395173E-04   3.63675231E-04   6.53673171E-05   5.43901304E-05   5.94988695E-05  
  32               1.07525296E-03   2.01168695E+03   7.94837712E-01   4.75829366E-02   1.56428720E-01   5.17931599E-04   3.62209505E-04   6.51802891E-05   5.42364846E-05   5.93309524E-05  
  33               1.26096017E-03   2.04633967E+03   7.87972100E-01   5.50514001E-02   1.55830224E-01   5.15951185E-04   3.60202696E-04   6.49279697E-05   5.40286787E-05   5.91037580E-05  
  34               1.47587775E-03   2.07950317E+03   7.80963580E-01   6.26753118E-02   1.55219279E-01   5.13929408E-04   3.58110775E-04   6.46702749E-05   5.38165355E-05   5.88717958E-05  
  35               1.72510633E-03   2.11185864E+03   7.73705655E-01   7.05705226E-02   1.54586598E-01   5.11835555E-04   3.55895263E-04   6.44033105E-05   5.35968316E-05   5.86315303E-05  
  36               2.01453833E-03   2.14325371E+03   7.66356391E-01   7.85650900E-02   1.53945956E-01   5.09715250E-04   3.53596306E-04   6.41327994E-05   5.33743418E-05   5.83881797E-05  
  37               2.35096196E-03   2.17437187E+03   7.58726451E-01   8.68649788E-02   1.53280847E-01   5.07513865E-04   3.51150032E-04   6.38518392E-05   5.31433389E-05   5.81354611E-05  
  38               2.74221302E-03   2.20482538E+03   7.51050597E-01   9.52148134E-02   1.52611734E-01   5.05299153E-04   3.48622279E-04   6.35689388E-05   5.29109163E-05   5.78811277E-05  
  39               3.19731919E-03   2.23526011E+03   7.43096920E-01   1.03866867E-01   1.51918398E-01   5.03004193E-04   3.45933730E-04   6.32756512E-05   5.26700602E-05   5.76174772E-05  
  40               3.72667579E-03   2.26514747E+03   7.35173575E-01   1.12485929E-01   1.51227702E-01   5.00717917E-04   3.43177454E-04   6.29831481E-05   5.24300823E-05   5.73546893E-05  
  41               4.34218864E-03   2.29523457E+03   7.26950261E-01   1.21431304E-01   1.50510850E-01   4.98345006E-04   3.40238883E-04   6.26794113E-05   5.21809948E-05   5.70817857E-05  
  42               5.05746307E-03   2.32488939E+03   7.18798944E-01   1.30296348E-01   1.49800074E-01   4.95992171E-04   3.37236826E-04   6.23778468E-05   5.19339710E-05   5.68109810E-05  
  43               5.88334152E-03   2.35471791E+03   7.10374460E-01   1.39451439E-01   1.49066032E-01   4.93561492E-04   3.40372417E-04   6.20662447E-05   5.16788370E-05   5.65310091E-05  
  44               6.83646346E-03   2.38399290E+03   7.02150002E-01   1.48398131E-01   1.48349051E-01   4.91188061E-04   3.37101134E-04   6.17613753E-05   5.14295727E-05   5.62572634E-05  
  45               7.94145518E-03   2.41372037E+03   6.93604445E-01   1.57694128E-01   1.47604067E-01   4.88721891E-04   3.33608027E-04   6.14444203E-05   5.11705460E-05   5.59724529E-05  
  46               9.22066541E-03   2.44308946E+03   6.85252216E-01   1.66779826E-01   1.46875926E-01   4.86311459E-04   3.30081766E-04   6.11340278E-05   5.09173030E-05   5.56935732E-05  
