# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   9.64894471E+02   8.38848925E-01   1.60272730E-01   2.47483962E-07   5.30442348E-04   2.50825748E-04   2.37670997E-12   6.07894947E-05   2.52161959E-10  
  2                1.41544593E-05   1.06903575E+03   8.38845620E-01   1.60272404E-01   3.09359103E-06   5.30533812E-04   2.50950955E-04   9.95542102E-10   6.07893770E-05   2.50819912E-08  
  3                1.86168480E-05   1.11846817E+03   8.38840481E-01   1.60271932E-01   8.16528485E-06   5.30559624E-04   2.51139729E-04   1.02511897E-08   6.07891978E-05   3.26594878E-07  
  4                2.36941468E-05   1.14680567E+03   8.38833795E-01   1.60271192E-01   1.30886267E-05   5.30569708E-04   2.51579518E-04   3.23053229E-08   6.07889155E-05   3.26593283E-07  
  5                2.95571045E-05   1.17764160E+03   8.38819708E-01   1.60269572E-01   2.16260460E-05   5.30575545E-04   2.53155421E-04   7.95411121E-08   6.07883000E-05   1.29072844E-06  
  6                3.62941835E-05   1.19789602E+03   8.38802745E-01   1.60268139E-01   2.86957486E-05   5.30574551E-04   2.60014936E-04   1.31864552E-07   6.07877541E-05   1.29071650E-06  
  7                4.40831898E-05   1.22376961E+03   8.38777975E-01   1.60264722E-01   4.18334227E-05   5.30571303E-04   2.60393195E-04   3.97347203E-07   6.07864563E-05   6.29456708E-06  
  8                5.29441652E-05   1.24126392E+03   8.38753263E-01   1.60263760E-01   5.20224252E-05   5.30566223E-04   2.76884395E-04   6.13312360E-07   6.07860888E-05   6.29452702E-06  
  9                6.30142758E-05   1.26498808E+03   8.38720994E-01   1.60259826E-01   7.15865427E-05   5.30559064E-04   2.78853452E-04   1.94486888E-06   6.07845948E-05   6.29436966E-06  
  10               7.47133219E-05   1.28116244E+03   8.38700980E-01   1.60257888E-01   8.59927100E-05   5.30555784E-04   2.81607317E-04   3.76424199E-06   6.07838567E-05   1.87119262E-05  
  11               8.80909434E-05   1.30420632E+03   8.38657707E-01   1.60254070E-01   1.14788761E-04   5.30545370E-04   2.90782793E-04   9.77399438E-06   6.07824063E-05   1.87114700E-05  
  12               1.03267268E-04   1.31988475E+03   8.38584788E-01   1.60243987E-01   1.35478557E-04   5.30512069E-04   3.00832916E-04   1.63569260E-05   6.07785785E-05   1.87102828E-05  
  13               1.19799130E-04   1.34302709E+03   8.38489070E-01   1.60235000E-01   1.78793095E-04   5.30478203E-04   3.28469363E-04   3.44737312E-05   6.07751676E-05   5.55584616E-05  
  14               1.36751173E-04   1.35855412E+03   8.38384390E-01   1.60227269E-01   2.10472541E-04   5.30440216E-04   3.77621998E-04   6.67863673E-05   6.07722327E-05   5.55557488E-05  
  15               1.54878216E-04   1.38103886E+03   8.38326757E-01   1.60222211E-01   2.73199558E-04   5.30428880E-04   3.77460569E-04   6.67836151E-05   6.07703122E-05   5.55539548E-05  
  16               1.75137913E-04   1.39668584E+03   8.38283990E-01   1.60218461E-01   3.19743213E-04   5.30419969E-04   3.77354576E-04   6.67814413E-05   6.07688867E-05   5.55526167E-05  
  17               1.99061305E-04   1.41589048E+03   8.38219662E-01   1.60212821E-01   3.89750453E-04   5.30405337E-04   3.77215134E-04   6.67783747E-05   6.07667444E-05   5.55506152E-05  
  18               2.27300857E-04   1.43219478E+03   8.38161421E-01   1.60207718E-01   4.53129942E-04   5.30391661E-04   3.77102177E-04   6.67754911E-05   6.07648047E-05   5.55487973E-05  
  19               2.60616548E-04   1.45228922E+03   8.38073057E-01   1.60199977E-01   5.49289312E-04   5.30369756E-04   3.76950945E-04   6.67713821E-05   6.07618644E-05   5.55460543E-05  
  20               2.99886384E-04   1.46962882E+03   8.37991806E-01   1.60192863E-01   6.37703004E-04   5.30349216E-04   3.76826756E-04   6.67674787E-05   6.07591607E-05   5.55435250E-05  
  21               3.46122656E-04   1.49095352E+03   8.37868289E-01   1.60182049E-01   7.72107255E-04   5.30316891E-04   3.76659056E-04   6.67618844E-05   6.07550539E-05   5.55397000E-05  
  22               4.00469885E-04   1.50977715E+03   8.37750893E-01   1.60171776E-01   8.99843790E-04   5.30285751E-04   3.76517411E-04   6.67564413E-05   6.07511509E-05   5.55360571E-05  
  23               4.64199748E-04   1.53293921E+03   8.37571068E-01   1.60156043E-01   1.09550543E-03   5.30236965E-04   3.76324380E-04   6.67485449E-05   6.07451765E-05   5.55305043E-05  
  24               5.38640565E-04   1.55414202E+03   8.37388825E-01   1.60140104E-01   1.29378519E-03   5.30187013E-04   3.76152436E-04   6.67404659E-05   6.07391230E-05   5.55248725E-05  
  25               6.25010177E-04   1.58051465E+03   8.37101897E-01   1.60115012E-01   1.60594978E-03   5.30107202E-04   3.75914639E-04   6.67283627E-05   6.07295981E-05   5.55160458E-05  
  26               7.23864678E-04   1.60633428E+03   8.36771686E-01   1.60086144E-01   1.96516195E-03   5.30014575E-04   3.75682192E-04   6.67145658E-05   6.07186397E-05   5.55058976E-05  
  27               8.33304110E-04   1.63990751E+03   8.36200601E-01   1.60036232E-01   2.58638827E-03   5.29852838E-04   3.75358550E-04   6.66917770E-05   6.06997006E-05   5.54884244E-05  
  28               9.53881978E-04   1.66393353E+03   8.35757441E-01   1.59997518E-01   3.06853306E-03   5.29726983E-04   3.75098262E-04   6.66737203E-05   6.06850063E-05   5.54748433E-05  
  29               1.09455151E-03   1.68382664E+03   8.35386297E-01   1.59965108E-01   3.47231403E-03   5.29621479E-04   3.74900550E-04   6.66581776E-05   6.06727001E-05   5.54634408E-05  
  30               1.25886426E-03   1.70703699E+03   8.34873784E-01   1.59920356E-01   4.02989347E-03   5.29475295E-04   3.74643301E-04   6.66372280E-05   6.06557115E-05   5.54477318E-05  
  31               1.45080718E-03   1.72723322E+03   8.34423345E-01   1.59881035E-01   4.51992789E-03   5.29346736E-04   3.74434881E-04   6.66183773E-05   6.06407802E-05   5.54338940E-05  
  32               1.67497228E-03   1.75109757E+03   8.33788961E-01   1.59825660E-01   5.21007722E-03   5.29165207E-04   3.74154336E-04   6.65925190E-05   6.06197575E-05   5.54144556E-05  
  33               1.93659418E-03   1.77224794E+03   8.33219843E-01   1.59775993E-01   5.82921139E-03   5.29002280E-04   3.73919413E-04   6.65688332E-05   6.06008966E-05   5.53969804E-05  
  34               2.24170844E-03   1.79716354E+03   8.32420624E-01   1.59706248E-01   6.69866940E-03   5.28773041E-04   3.73601101E-04   6.65364079E-05   6.05744170E-05   5.53725023E-05  
  35               2.59716073E-03   1.81961905E+03   8.31685900E-01   1.59642144E-01   7.49795144E-03   5.28562222E-04   3.73324393E-04   6.65060804E-05   6.05500726E-05   5.53499588E-05  
  36               3.01078852E-03   1.84595081E+03   8.30659787E-01   1.59552620E-01   8.61422612E-03   5.28267385E-04   3.72948758E-04   6.64647249E-05   6.05160816E-05   5.53185516E-05  
  37               3.49138950E-03   1.87016106E+03   8.29683556E-01   1.59467460E-01   9.67622382E-03   5.27986783E-04   3.72606353E-04   6.64248815E-05   6.04837405E-05   5.52886302E-05  
  38               4.04892918E-03   1.89842810E+03   8.28327204E-01   1.59349146E-01   1.11517363E-02   5.27596535E-04   3.72141218E-04   6.63707176E-05   6.04388164E-05   5.52471533E-05  
  39               4.69440956E-03   1.92508760E+03   8.26974241E-01   1.59231140E-01   1.26235502E-02   5.27207136E-04   3.71691153E-04   6.63163120E-05   6.03940016E-05   5.52057472E-05  
  40               5.43997932E-03   1.95634358E+03   8.25077728E-01   1.59065734E-01   1.46866596E-02   5.26660912E-04   3.71071166E-04   6.62415669E-05   6.03311942E-05   5.51478323E-05  
  41               6.29823098E-03   1.98756387E+03   8.22979538E-01   1.58882753E-01   1.69691478E-02   5.26056396E-04   3.70398555E-04   6.61590322E-05   6.02617065E-05   5.50837712E-05  
  42               7.27642468E-03   2.03378936E+03   8.18800951E-01   1.58518358E-01   2.15147640E-02   5.24851680E-04   3.69079358E-04   6.59999506E-05   6.01233614E-05   5.49566605E-05  
  43               8.38298555E-03   2.07700214E+03   8.14281065E-01   1.58124241E-01   2.64316215E-02   5.23548264E-04   3.67671393E-04   6.58281516E-05   5.99737003E-05   5.48192039E-05  
  44               9.64015350E-03   2.11825081E+03   8.09392022E-01   1.57697966E-01   3.17500300E-02   5.22138164E-04   3.66150266E-04   6.56425443E-05   5.98117876E-05   5.46705471E-05  
  45               1.10727532E-02   2.15766247E+03   8.04214195E-01   1.57246535E-01   3.73825621E-02   5.20644602E-04   3.64527876E-04   6.54460016E-05   5.96402674E-05   5.45131137E-05  
  46               1.27088504E-02   2.19575544E+03   7.98745623E-01   1.56769774E-01   4.33313539E-02   5.19067033E-04   3.62792647E-04   6.52383928E-05   5.94590560E-05   5.43468353E-05  
