# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   8.41506932E+01   8.38729754E-01   1.60589381E-01   9.96604577E-15   5.31761046E-04   6.29553922E-102  3.16563567E-109  1.21819237E-04   1.08194236E-33  
  2                2.62761182E-05   1.20130973E+02   8.38729747E-01   1.60589380E-01   9.64861341E-11   5.31761042E-04   1.45098366E-81   1.79214096E-90   1.21819236E-04   2.69518424E-27  
  3                4.43070710E-05   1.33273882E+02   8.38729690E-01   1.60589369E-01   8.38172373E-09   5.31761005E-04   1.31387933E-71   2.72348850E-81   1.21819227E-04   3.61743757E-24  
  4                6.48858862E-05   1.41299498E+02   8.38729562E-01   1.60589344E-01   7.66392486E-08   5.31760924E-04   1.44236115E-66   1.51312552E-76   1.21819209E-04   1.25491852E-22  
  5                8.85108071E-05   1.46095098E+02   8.38728240E-01   1.60589091E-01   2.31511484E-07   5.31760086E-04   5.99640017E-64   5.55348338E-74   1.21819017E-04   7.12982541E-22  
  6                1.15683591E-04   1.51135974E+02   8.38728240E-01   1.60589091E-01   1.80513534E-06   5.31760086E-04   6.41413569E-61   1.87734714E-71   1.21819017E-04   4.26542735E-21  
  7                1.46936769E-04   1.55642007E+02   8.38725257E-01   1.60588520E-01   1.80841954E-06   5.31758195E-04   3.90098125E-59   2.47026937E-69   1.21818583E-04   1.86912125E-20  
  8                1.82863589E-04   1.61008374E+02   8.38710862E-01   1.60585764E-01   5.37809289E-06   5.31749068E-04   1.26790920E-56   5.92618693E-67   1.21816493E-04   1.08132176E-19  
  9                2.24172022E-04   1.64682393E+02   8.38710862E-01   1.60585764E-01   2.25245372E-05   5.31749068E-04   9.81601184E-55   1.99317326E-65   1.21816493E-04   2.98475915E-19  
  10               2.71629067E-04   1.69155913E+02   8.38663578E-01   1.60576710E-01   2.25704840E-05   5.31719090E-04   3.16960891E-53   1.19894062E-63   1.21809625E-04   1.06136850E-18  
  11               3.26063704E-04   1.72512274E+02   8.38663578E-01   1.60576710E-01   7.89013103E-05   5.31719090E-04   1.22127922E-51   2.20566136E-62   1.21809625E-04   2.41280921E-18  
  12               3.88273018E-04   1.77029278E+02   8.38497907E-01   1.60544990E-01   7.90047399E-05   5.31614053E-04   3.03066509E-50   9.61922443E-61   1.21785563E-04   7.85018883E-18  
  13               4.58823673E-04   1.79345263E+02   8.38497907E-01   1.60544990E-01   2.76427188E-04   5.31614053E-04   4.40230464E-49   5.94844896E-60   1.21785563E-04   1.19734586E-17  
  14               5.37756575E-04   1.85480262E+02   8.38074100E-01   1.60463844E-01   2.76287909E-04   5.31345356E-04   2.73459790E-47   6.79359200E-58   1.21724008E-04   5.91389165E-17  
  15               6.24825670E-04   1.88731650E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   5.40121887E-46   7.13749315E-57   1.21724008E-04   1.15341174E-16  
  16               7.18198319E-04   1.98029476E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   1.67471526E-43   4.43340740E-54   1.21724008E-04   1.17485663E-15  
  17               8.24974239E-04   2.04910671E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   7.72639639E-42   3.48134161E-52   1.21724008E-04   5.28073833E-15  
  18               9.47221454E-04   2.12746181E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   4.60041450E-40   3.57004695E-50   1.21724008E-04   2.66358353E-14  
  19               1.08728881E-03   2.18456012E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   6.92453456E-39   8.28064192E-49   1.21724008E-04   7.41656553E-14  
  20               1.24785985E-03   2.25463669E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   1.68103524E-37   3.19428981E-47   1.21724007E-04   2.55034855E-13  
  21               1.43197598E-03   2.30693478E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   1.48295524E-36   4.13913075E-46   1.21724007E-04   5.65249213E-13  
  22               1.64313787E-03   2.37384374E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   2.22724177E-35   9.45116160E-45   1.21724005E-04   1.58429248E-12  
  23               1.88535937E-03   2.42392047E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   1.42195187E-34   8.60609774E-44   1.21724002E-04   3.05911271E-12  
  24               2.16323915E-03   2.48978682E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   1.56509943E-33   1.39849708E-42   1.21723993E-04   7.51418820E-12  
  25               2.48199258E-03   2.54105711E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   8.67942282E-33   1.08949769E-41   1.21723980E-04   1.36812973E-11  
  26               2.84755755E-03   2.61012456E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   8.51433498E-32   1.55466034E-40   1.21723944E-04   3.20739930E-11  
  27               3.26669402E-03   2.66591493E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   4.65108327E-31   1.18517016E-39   1.21723891E-04   5.81947937E-11  
  28               3.74713958E-03   2.73962225E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   4.24928560E-30   1.55630348E-38   1.21723742E-04   1.32760598E-10  
  29               4.29768153E-03   2.80027150E+02   8.38074100E-01   1.60463844E-01   7.81723723E-04   5.31345356E-04   2.27283904E-29   1.15315882E-37   1.21723529E-04   2.39457281E-10  
  30               4.92835279E-03   2.87904742E+02   8.38074100E-01   1.60463844E-01   7.81723722E-04   5.31345355E-04   1.93463680E-28   1.39386570E-36   1.21722944E-04   5.31720287E-10  
  31               5.65057054E-03   2.94496983E+02   8.38074101E-01   1.60463844E-01   7.81723722E-04   5.31345355E-04   1.00901237E-27   9.99089752E-36   1.21722104E-04   9.51813504E-10  
  32               6.47740705E-03   3.02960979E+02   8.38074102E-01   1.60463844E-01   7.81723720E-04   5.31345354E-04   8.07520203E-27   1.12226306E-34   1.21719876E-04   2.06564970E-09  
  33               7.42374507E-03   3.10186951E+02   8.38074104E-01   1.60463843E-01   7.81723717E-04   5.31345352E-04   4.15396984E-26   7.87394104E-34   1.21716629E-04   3.68897839E-09  
  34               8.50653080E-03   3.19331679E+02   8.38074110E-01   1.60463842E-01   7.81723243E-04   5.31345347E-04   3.14978872E-25   8.28518913E-33   1.21708303E-04   7.85141981E-09  
  35               9.74487567E-03   3.27390544E+02   8.38074117E-01   1.60463839E-01   7.81723231E-04   5.31345340E-04   1.64124283E-24   5.84931379E-32   1.21695687E-04   1.41583721E-08  
  36               1.11603903E-02   3.37615412E+02   8.38074140E-01   1.60463834E-01   7.81721479E-04   5.31345323E-04   1.26284623E-23   6.19385500E-31   1.21663050E-04   3.04749900E-08  
  37               1.27773808E-02   3.47060414E+02   8.38074170E-01   1.60463825E-01   7.81721431E-04   5.31345290E-04   7.25337804E-23   4.80326564E-30   1.21608702E-04   5.76451172E-08  
  38               1.46239842E-02   3.58902679E+02   8.38074271E-01   1.60463802E-01   7.81714464E-04   5.31345217E-04   6.02107038E-22   5.45021063E-29   1.21466159E-04   1.28908206E-07  
  39               1.67323459E-02   3.70253157E+02   8.38074112E-01   1.60463697E-01   7.81713950E-04   5.31344868E-04   3.94536287E-21   4.80351596E-28   1.21205239E-04   2.59328414E-07  
  40               1.91408851E-02   3.84460934E+02   8.38074945E-01   1.60463615E-01   7.81317914E-04   5.31344596E-04   3.73785318E-20   6.18535461E-27   1.20495594E-04   6.14119697E-07  
  41               2.18972008E-02   3.99436858E+02   8.38075993E-01   1.60463361E-01   7.81316686E-04   5.31343755E-04   3.36818717E-19   7.50723939E-26   1.18912787E-04   1.40542685E-06  
  42               2.50742850E-02   4.17088846E+02   8.38078656E-01   1.60462715E-01   7.81313852E-04   5.31341615E-04   3.78241521E-18   1.13822895E-24   1.14886476E-04   3.41833720E-06  
  43               2.87853672E-02   4.33739916E+02   8.38082999E-01   1.60461638E-01   7.81315743E-04   5.31338050E-04   2.99171808E-17   1.19683168E-23   1.08237205E-04   6.74256480E-06  
  44               3.32332855E-02   4.54001202E+02   8.38088173E-01   1.60458983E-01   7.81541481E-04   5.31329258E-04   3.11317658E-16   1.67186038E-22   9.53821146E-05   1.31691027E-05  
  45               3.87125387E-02   4.74154533E+02   8.38099559E-01   1.60456804E-01   7.79951973E-04   5.31322042E-04   2.52712915E-15   1.82404800E-21   8.01644232E-05   2.07771219E-05  
  46               4.56537005E-02   4.99449877E+02   8.38112507E-01   1.60453665E-01   7.79936721E-04   5.31311649E-04   2.84384829E-14   2.80482441E-20   6.06009308E-05   3.05576775E-05  
  47               5.45040706E-02   5.25438184E+02   8.38123008E-01   1.60451119E-01   7.79924364E-04   5.31303218E-04   2.58361459E-13   3.49795841E-19   4.47335174E-05   3.84904186E-05  
  48               6.56601456E-02   5.56979219E+02   8.38132440E-01   1.60448833E-01   7.79913315E-04   5.31295644E-04   2.92720712E-12   5.48185926E-18   3.04827358E-05   4.56149422E-05  
  49               7.93181818E-02   5.87994552E+02   8.38138328E-01   1.60447405E-01   7.79906547E-04   5.31290895E-04   2.37597523E-11   6.08895343E-17   2.15857866E-05   5.00628753E-05  
  50               9.54889691E-02   6.23144058E+02   8.38142797E-01   1.60446321E-01   7.79901700E-04   5.31287122E-04   2.02857907E-10   7.01466278E-16   1.48309187E-05   5.34398980E-05  
  51               1.14115476E-01   6.55697424E+02   8.38145339E-01   1.60445699E-01   7.79899070E-04   5.31284097E-04   1.15826581E-09   5.28690038E-15   1.09731149E-05   5.53685643E-05  
  52               1.35211463E-01   6.91561775E+02   8.38147260E-01   1.60445213E-01   7.79894511E-04   5.31276913E-04   6.68353339E-09   3.94867503E-14   8.01018629E-06   5.68498442E-05  
  53               1.58818944E-01   7.23891510E+02   8.38148222E-01   1.60444894E-01   7.79878677E-04   5.31255497E-04   2.69108885E-08   2.01984841E-13   6.29532455E-06   5.77071539E-05  
  54               1.85001271E-01   7.59573595E+02   8.38149067E-01   1.60444600E-01   7.79804595E-04   5.31169265E-04   1.11760054E-07   1.04789174E-12   4.87627488E-06   5.84165673E-05  
  55               2.13890513E-01   7.91276711E+02   8.38149903E-01   1.60444387E-01   7.79591241E-04   5.30937180E-04   3.42280367E-07   3.95796474E-12   4.03231521E-06   5.88384658E-05  
  56               2.45754941E-01   8.26819637E+02   8.38151352E-01   1.60444009E-01   7.78853965E-04   5.30165824E-04   1.11011985E-06   1.56593036E-11   3.27243250E-06   5.92182620E-05  
  57               2.80889495E-01   8.58296167E+02   8.38153680E-01   1.60443366E-01   7.77216570E-04   5.28484101E-04   2.78575962E-06   4.76978112E-11   2.80976401E-06   5.94493486E-05  
  58               3.19661995E-01   8.94210002E+02   8.38159634E-01   1.60441705E-01   7.72579036E-04   5.23775053E-04   7.48024535E-06   1.55539284E-10   2.36071442E-06   5.96732307E-05  
  59               3.62562620E-01   9.25975681E+02   8.38169688E-01   1.60438748E-01   7.64167557E-04   5.15281547E-04   1.59507296E-05   4.06230511E-10   2.08467846E-06   5.98101002E-05  
  60               4.10508539E-01   9.63099383E+02   8.38194768E-01   1.60432135E-01   7.44258620E-04   4.95243530E-04   3.59416419E-05   1.15961828E-09   1.79693235E-06   5.99513927E-05  
  61               4.65001365E-01   9.96699385E+02   8.38233727E-01   1.60422632E-01   7.14928283E-04   4.65744231E-04   6.53812601E-05   2.77554912E-09   1.61654347E-06   6.00378499E-05  
  62               5.28863010E-01   1.03782249E+03   8.38307127E-01   1.60404742E-01   6.59584883E-04   4.10124058E-04   1.20904526E-04   7.53517122E-09   1.41393505E-06   6.01320536E-05  
  63               6.06263969E-01   1.07747623E+03   8.38390978E-01   1.60384298E-01   5.96312440E-04   3.46518219E-04   1.84418480E-04   1.81834335E-08   1.28116056E-06   6.01901703E-05  
  64               7.04422036E-01   1.12867984E+03   8.38507701E-01   1.60355822E-01   5.08212462E-04   2.57918963E-04   2.72911958E-04   5.21324231E-08   1.12489709E-06   6.02564296E-05  
  65               8.33153243E-01   1.18204453E+03   8.38607751E-01   1.60331377E-01   4.32642716E-04   1.81875564E-04   3.48881684E-04   1.40207049E-07   1.01855727E-06   6.02987077E-05  
