# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  1                1.00000000E-05   1.47976584E+02   8.38074103E-01   1.60463844E-01   3.48145441E-06   5.31345355E-04   1.59925788E-72   5.65107930E-60   1.21724007E-04   1.35266294E-19  
  2                2.48413578E-05   1.78968664E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   1.88117144E-59   3.20452319E-46   1.21724007E-04   3.61878683E-15  
  3                3.92748978E-05   1.83092491E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   4.00585293E-58   2.66263493E-45   1.21724007E-04   5.34330949E-15  
  4                5.56738256E-05   2.05035006E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   1.44790769E-51   1.82272502E-39   1.21724005E-04   1.19616682E-12  
  5                7.43631479E-05   2.04220527E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   7.53433927E-52   6.37470030E-40   1.21724006E-04   5.46437672E-13  
  6                9.57405373E-05   2.21893030E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   1.78279514E-47   5.01768147E-36   1.21723967E-04   2.02921951E-11  
  7                1.20185965E-04   2.20849071E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   9.11440294E-48   1.89538996E-36   1.21723987E-04   1.02710213E-11  
  8                1.48191556E-04   2.36205781E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   1.81561845E-44   1.63806926E-33   1.21723696E-04   1.55535776E-10  
  9                1.80285626E-04   2.34160867E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345355E-04   6.25594104E-45   4.48472202E-34   1.21723866E-04   7.07701620E-11  
  10               2.17114518E-04   2.47983552E+02   8.38074104E-01   1.60463844E-01   7.81718361E-04   5.31345354E-04   2.89487430E-42   1.04662035E-31   1.21722753E-04   6.27076316E-10  
  11               2.59397009E-04   2.44869182E+02   8.38074103E-01   1.60463844E-01   7.81718362E-04   5.31345354E-04   6.91727564E-43   2.08696221E-32   1.21723501E-04   2.53018093E-10  
  12               3.07972759E-04   2.58040818E+02   8.38074105E-01   1.60463843E-01   7.81718359E-04   5.31345353E-04   1.48878547E-40   2.46106106E-30   1.21720607E-04   1.70017508E-09  
  13               3.63787392E-04   2.54367368E+02   8.38074104E-01   1.60463844E-01   7.81718361E-04   5.31345354E-04   3.16398482E-41   4.46219554E-31   1.21722677E-04   6.65295842E-10  
  14               4.27923451E-04   2.67820376E+02   8.38074108E-01   1.60463843E-01   7.81718356E-04   5.31345350E-04   5.13974951E-39   4.14082060E-29   1.21715829E-04   4.08883460E-09  
  15               5.01607950E-04   2.64134070E+02   8.38074105E-01   1.60463843E-01   7.81718359E-04   5.31345353E-04   1.21250881E-39   8.35633377E-30   1.21720629E-04   1.68920524E-09  
  16               5.86254737E-04   2.78111407E+02   8.38074116E-01   1.60463841E-01   7.81718347E-04   5.31345344E-04   1.63884540E-37   6.65395466E-28   1.21704347E-04   9.82895495E-09  
  17               6.83455186E-04   2.74715709E+02   8.38074109E-01   1.60463843E-01   7.81718355E-04   5.31345350E-04   4.73695533E-38   1.63504536E-28   1.21715105E-04   4.45084444E-09  
  18               7.95073763E-04   2.89126660E+02   8.38074135E-01   1.60463836E-01   7.81718325E-04   5.31345329E-04   5.09868013E-36   1.06890686E-26   1.21676023E-04   2.39890707E-08  
  19               9.23201928E-04   2.85998068E+02   8.38074118E-01   1.60463840E-01   7.81718344E-04   5.31345342E-04   1.75532541E-36   3.10916634E-27   1.21700513E-04   1.17456222E-08  
  20               1.07033877E-03   3.00393363E+02   8.38074176E-01   1.60463826E-01   7.81718276E-04   5.31345296E-04   1.31755464E-34   1.46823391E-25   1.21613451E-04   5.52714166E-08  
  21               1.23924967E-03   2.97371106E+02   8.38074141E-01   1.60463835E-01   7.81718318E-04   5.31345325E-04   5.04337174E-35   4.73215839E-26   1.21667207E-04   2.83969710E-08  
  22               1.43323687E-03   3.11880809E+02   8.38074261E-01   1.60463806E-01   7.81718175E-04   5.31345227E-04   2.83646017E-33   1.72267197E-24   1.21484430E-04   1.19774117E-07  
  23               1.65592223E-03   3.09106979E+02   8.38074188E-01   1.60463823E-01   7.81718259E-04   5.31345284E-04   1.24077690E-33   6.30949570E-25   1.21593406E-04   6.52928638E-08  
  24               1.91169078E-03   3.24016100E+02   8.38074442E-01   1.60463762E-01   7.81716177E-04   5.31345083E-04   5.73198201E-32   1.92819225E-23   1.21212603E-04   2.55671163E-07  
  25               2.20525941E-03   3.21595721E+02   8.38074300E-01   1.60463796E-01   7.81716344E-04   5.31345196E-04   2.90152476E-32   8.11903498E-24   1.21426511E-04   1.48730062E-07  
  26               2.54255529E-03   3.37128348E+02   8.38074831E-01   1.60463667E-01   7.81715716E-04   5.31344770E-04   1.15981136E-30   2.18610184E-22   1.20623778E-04   5.50047599E-07  
  27               2.92969126E-03   3.35194058E+02   8.38074548E-01   1.60463731E-01   7.81716029E-04   5.31344982E-04   6.89451813E-31   1.07310675E-22   1.21035744E-04   3.44088824E-07  
  28               3.37507095E-03   3.51507850E+02   8.38075694E-01   1.60463457E-01   7.81702134E-04   5.31344074E-04   2.43395817E-29   2.59385979E-21   1.19321022E-04   1.20134584E-06  
  29               3.88671405E-03   3.50036012E+02   8.38075166E-01   1.60463586E-01   7.81702758E-04   5.31344499E-04   1.65674555E-29   1.44879490E-21   1.20120213E-04   8.01799282E-07  
