# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  1                1.00000000E-05   1.65317946E+02   8.38073946E-01   1.60463844E-01   2.64586435E-04   5.31345356E-04   1.73481416E-64   1.01528567E-50   1.21724008E-04   1.90624135E-16  
  2                5.94388573E-05   1.99746661E+02   8.38073946E-01   1.60463844E-01   7.81878033E-04   5.31345356E-04   4.79302248E-53   6.99669709E-41   1.21724007E-04   2.70373016E-13  
  3                1.12434980E-04   2.11029809E+02   8.38073946E-01   1.60463844E-01   6.78419713E-04   5.31345356E-04   2.55251328E-47   1.68276457E-36   1.21724001E-04   3.24924173E-12  
  4                1.75087694E-04   2.22580782E+02   8.38073946E-01   1.60463844E-01   7.81878033E-04   5.31345356E-04   2.16098700E-45   5.95617808E-35   1.21723990E-04   9.12312755E-12  
  5                2.47434415E-04   2.26272607E+02   8.38073946E-01   1.60463844E-01   7.81878033E-04   5.31345356E-04   9.22308514E-45   1.77952783E-34   1.21723978E-04   1.50547380E-11  
  6                3.32277841E-04   2.35934981E+02   8.38073946E-01   1.60463844E-01   7.81878033E-04   5.31345356E-04   3.26893521E-43   3.06234013E-33   1.21723941E-04   3.33661273E-11  
  7                4.31821056E-04   2.38792022E+02   8.38073946E-01   1.60463844E-01   7.81878033E-04   5.31345356E-04   1.20769645E-42   8.38718752E-33   1.21723906E-04   5.08826263E-11  
  8                5.48688950E-04   2.47662857E+02   8.38073946E-01   1.60463844E-01   7.81878033E-04   5.31345356E-04   2.78024688E-41   1.02482557E-31   1.21723803E-04   1.02229373E-10  
  9                6.85901191E-04   2.50342480E+02   8.38073946E-01   1.60463844E-01   7.81878032E-04   5.31345356E-04   9.56444459E-41   2.68894834E-31   1.21723706E-04   1.50631404E-10  
  10               8.47034182E-04   2.59043716E+02   8.38073946E-01   1.60463844E-01   7.81878032E-04   5.31345356E-04   1.51035118E-39   2.41636780E-30   1.21723448E-04   2.79756328E-10  
  11               1.03624641E-03   2.61729280E+02   8.38073946E-01   1.60463844E-01   7.81878032E-04   5.31345356E-04   4.70676885E-39   5.87972278E-30   1.21723215E-04   3.96494992E-10  
  12               1.25847794E-03   2.70192614E+02   8.38073946E-01   1.60463844E-01   7.81878032E-04   5.31345355E-04   5.47952140E-38   4.08221248E-29   1.21722639E-04   6.84296029E-10  
  13               1.51948310E-03   2.72751030E+02   8.38073947E-01   1.60463844E-01   7.81878031E-04   5.31345355E-04   1.55275020E-37   9.19096034E-29   1.21722150E-04   9.28726868E-10  
  14               1.82607947E-03   2.81071297E+02   8.38073948E-01   1.60463844E-01   7.81878030E-04   5.31345355E-04   1.40166200E-36   5.12368184E-28   1.21721014E-04   1.49677237E-09  
  15               2.18623622E-03   2.83462329E+02   8.38073948E-01   1.60463844E-01   7.81878030E-04   5.31345354E-04   3.78034044E-36   1.10408060E-27   1.21720088E-04   1.95943650E-09  
  16               2.60935184E-03   2.91684470E+02   8.38073950E-01   1.60463843E-01   7.81878028E-04   5.31345353E-04   3.07640177E-35   5.64074656E-27   1.21717915E-04   3.04577123E-09  
  17               3.10637997E-03   2.94086492E+02   8.38073951E-01   1.60463843E-01   7.81878026E-04   5.31345352E-04   8.31926578E-35   1.21768280E-26   1.21716143E-04   3.93181932E-09  
  18               3.69018337E-03   3.02621631E+02   8.38073953E-01   1.60463842E-01   7.81877909E-04   5.31345350E-04   6.46379423E-34   6.03200352E-26   1.21711919E-04   6.04350366E-09  
  19               4.37576330E-03   3.05264844E+02   8.38073956E-01   1.60463842E-01   7.81877792E-04   5.31345348E-04   1.79272325E-33   1.33249873E-25   1.21708332E-04   7.83680896E-09  
  20               5.18066036E-03   3.14255225E+02   8.38073961E-01   1.60463840E-01   7.81877672E-04   5.31345343E-04   1.36414741E-32   6.56153617E-25   1.21699832E-04   1.20865338E-08  
  21               6.12529604E-03   3.17278595E+02   8.38073966E-01   1.60463839E-01   7.81877290E-04   5.31345339E-04   3.86544632E-32   1.48076580E-24   1.21692342E-04   1.58307133E-08  
  22               7.23369672E-03   3.26835756E+02   8.38073978E-01   1.60463836E-01   7.81876901E-04   5.31345330E-04   2.80338718E-31   7.07253791E-24   1.21675188E-04   2.44069869E-08  
  23               8.53387938E-03   3.30252826E+02   8.38073987E-01   1.60463834E-01   7.81876626E-04   5.31345321E-04   8.16437210E-31   1.63636225E-23   1.21659454E-04   3.22729671E-08  
  24               1.00586503E-02   3.40314423E+02   8.38074010E-01   1.60463828E-01   7.81874929E-04   5.31345301E-04   5.80023447E-30   7.75767378E-23   1.21624197E-04   4.98991668E-08  
  25               1.18460175E-02   3.44238524E+02   8.38074033E-01   1.60463822E-01   7.81873234E-04   5.31345283E-04   1.75910674E-29   1.86269868E-22   1.21590337E-04   6.68269124E-08  
  26               1.39408443E-02   3.54990913E+02   8.38074075E-01   1.60463809E-01   7.81871761E-04   5.31345238E-04   1.23114518E-28   8.82227115E-22   1.21516120E-04   1.03930298E-07  
  27               1.63954556E-02   3.59574381E+02   8.38074126E-01   1.60463796E-01   7.81861204E-04   5.31345196E-04   3.93719411E-28   2.22381259E-21   1.21440587E-04   1.41691776E-07  
  28               1.92713300E-02   3.71114718E+02   8.38074236E-01   1.60463769E-01   7.81850580E-04   5.31345106E-04   2.81765250E-27   1.08887899E-20   1.21276535E-04   2.23707970E-07  
  29               2.26396298E-02   3.76555427E+02   8.38074356E-01   1.60463739E-01   7.81841350E-04   5.31345008E-04   9.80464123E-27   2.96792358E-20   1.21096502E-04   3.13713280E-07  
  30               2.65845791E-02   3.89226977E+02   8.38074554E-01   1.60463666E-01   7.81831913E-04   5.31344764E-04   7.32693697E-26   1.53652845E-19   1.20710550E-04   5.06661190E-07  
  31               3.12050612E-02   3.95905313E+02   8.38074870E-01   1.60463587E-01   7.81752802E-04   5.31344505E-04   2.81326198E-25   4.59454454E-19   1.20253699E-04   7.35056880E-07  
  32               3.66213228E-02   4.10016904E+02   8.38075507E-01   1.60463428E-01   7.81683280E-04   5.31343977E-04   2.23724264E-24   2.56056343E-18   1.19296108E-04   1.21379196E-06  
  33               4.29768908E-02   4.18282182E+02   8.38076292E-01   1.60463222E-01   7.81618189E-04   5.31343295E-04   9.86001178E-24   8.71407286E-18   1.18074871E-04   1.82433228E-06  
  34               5.04568605E-02   4.34303940E+02   8.38077140E-01   1.60462712E-01   7.81656355E-04   5.31341607E-04   8.35957401E-23   5.24292107E-17   1.15684207E-04   3.01947095E-06  
  35               5.92954087E-02   4.44882484E+02   8.38078812E-01   1.60462159E-01   7.81317015E-04   5.31339775E-04   4.07539651E-22   1.95893730E-16   1.12626126E-04   4.54830181E-06  
  36               6.98147775E-02   4.63281752E+02   8.38081856E-01   1.60461252E-01   7.81045610E-04   5.31336774E-04   3.60034398E-21   1.23357118E-15   1.07399893E-04   7.16107453E-06  
  37               8.24354280E-02   4.76377619E+02   8.38085619E-01   1.60460172E-01   7.80772464E-04   5.31333196E-04   1.96142116E-20   5.09848024E-15   1.01088016E-04   1.03166028E-05  
  38               9.77345526E-02   4.97725191E+02   8.38091169E-01   1.60458669E-01   7.80492610E-04   5.31328219E-04   1.79150488E-19   3.32457498E-14   9.21173850E-05   1.48013484E-05  
  39               1.16447767E-01   5.14226214E+02   8.38097884E-01   1.60457172E-01   7.80108060E-04   5.31323263E-04   1.05962139E-18   1.47571844E-13   8.24620786E-05   1.96284340E-05  
  40               1.39539925E-01   5.39338171E+02   8.38105505E-01   1.60455325E-01   7.80099115E-04   5.31317144E-04   9.56830633E-18   9.54027571E-13   7.09473653E-05   2.53850899E-05  
  41               1.68158063E-01   5.59943219E+02   8.38112649E-01   1.60453593E-01   7.80090773E-04   5.31311406E-04   5.73903211E-17   4.28782368E-12   6.01521390E-05   3.07820461E-05  
  42               2.03616412E-01   5.89474957E+02   8.38119976E-01   1.60451816E-01   7.80082334E-04   5.31305502E-04   4.58425519E-16   2.49115937E-11   4.90810699E-05   3.63169069E-05  
