# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           H               
  34               6.49247336E-02   1.49299919E+02   8.38729721E-01   1.60589413E-01   5.31761153E-04   7.73385152E-10   1.21819261E-04   2.30013645E-05   1.45245506E-09   9.48060730E-74  
  35               7.22973535E-02   1.53701647E+02   8.38729708E-01   1.60589411E-01   5.31761145E-04   2.23961417E-09   1.21819259E-04   2.30013642E-05   1.47719898E-08   1.34089921E-71  
  36               8.13375907E-02   1.58866351E+02   8.38729708E-01   1.60589411E-01   5.31761145E-04   1.70116040E-08   1.21819259E-04   2.30013642E-05   0.00000000E+00   3.15752178E-69  
  37               9.24164074E-02   1.63041768E+02   8.38729639E-01   1.60589398E-01   5.31761101E-04   1.70888281E-08   1.21819249E-04   2.30013623E-05   8.28295829E-08   1.99143970E-67  
  38               1.05985241E-01   1.68460500E+02   8.38729639E-01   1.60589398E-01   5.31761101E-04   9.99184110E-08   1.21819249E-04   2.30013623E-05   0.00000000E+00   3.20959711E-65  
  39               1.22590100E-01   1.72471387E+02   8.38729302E-01   1.60589333E-01   5.31760888E-04   1.00291963E-07   1.21819200E-04   2.30013531E-05   4.00909190E-07   1.09747310E-63  
  40               1.42895597E-01   1.78071972E+02   8.38729302E-01   1.60589333E-01   5.31760888E-04   5.01201154E-07   1.21819200E-04   2.30013531E-05   0.00000000E+00   1.18987256E-61  
  41               1.67714862E-01   1.82355194E+02   8.38727743E-01   1.60589035E-01   5.31759900E-04   5.02926265E-07   1.21818974E-04   2.30013103E-05   1.85666119E-06   3.44427249E-60  
  42               1.98047546E-01   1.88311687E+02   8.38727743E-01   1.60589035E-01   5.31759900E-04   2.35958746E-06   1.21818974E-04   2.30013103E-05   0.00000000E+00   2.94524306E-58  
  43               2.35105776E-01   1.93189549E+02   8.38720596E-01   1.60587666E-01   5.31755368E-04   2.36739610E-06   1.21817936E-04   2.30011143E-05   8.51419893E-06   8.98419360E-57  
  44               2.80326650E-01   1.99947427E+02   8.38720596E-01   1.60587666E-01   5.31755368E-04   1.08815950E-05   1.21817936E-04   2.30011143E-05   0.00000000E+00   7.96239192E-55  
  45               3.35443846E-01   2.05362439E+02   8.38680061E-01   1.60579905E-01   5.31729669E-04   1.09226881E-05   1.21812049E-04   2.30000027E-05   4.82870788E-05   2.28661498E-53  
  46               4.02483239E-01   2.12506964E+02   8.38680061E-01   1.60579905E-01   5.31729669E-04   5.92097670E-05   1.21812049E-04   2.30000027E-05   0.00000000E+00   1.50866602E-51  
  47               4.83643429E-01   2.20523515E+02   8.38533382E-01   1.60551821E-01   5.31636673E-04   5.93136353E-05   1.21790744E-04   2.29959801E-05   1.74779422E-04   1.20653846E-49  
  48               5.81277345E-01   2.33558781E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   2.33965257E-04   1.21724008E-04   2.29833792E-05   5.47961274E-04   8.25764872E-47  
  49               6.92625027E-01   2.46562619E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   7.81926531E-04   1.21724008E-04   2.29833792E-05   0.00000000E+00   2.78949322E-44  
  50               8.18894769E-01   2.59629839E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   7.81926531E-04   1.21724008E-04   2.29833792E-05   0.00000000E+00   5.37298472E-42  
  51               9.72706146E-01   2.73662401E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   7.81926531E-04   1.21724008E-04   2.29833792E-05   0.00000000E+00   8.69866917E-40  
  52               1.15991180E+00   2.88772380E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   7.81926531E-04   1.21724008E-04   2.29833792E-05   0.00000000E+00   1.19439616E-37  
  53               1.38744454E+00   3.04891824E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   7.81926531E-04   1.21724008E-04   2.29833792E-05   0.00000000E+00   1.32657053E-35  
  54               1.66354979E+00   3.22134342E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   7.81926506E-04   1.21724007E-04   2.29833792E-05   0.00000000E+00   1.21081094E-33  
  55               1.99800819E+00   3.40427112E+02   8.38073897E-01   1.60463844E-01   5.31345356E-04   7.81926420E-04   1.21724005E-04   2.29833792E-05   0.00000000E+00   8.79776613E-32  
