# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   4.36869242E+02   8.38152517E-01   1.60443955E-01   9.91757721E-22   7.79929907E-04   3.77003670E-10   5.31278922E-04   6.08032036E-05   0.00000000E+00  
  2                4.25331086E-05   4.93704581E+02   8.38152564E-01   1.60443942E-01   4.97172975E-19   7.79914140E-04   1.79583871E-08   5.31258850E-04   6.08086662E-05   0.00000000E+00  
  3                7.92820770E-05   5.12914864E+02   8.38152581E-01   1.60443938E-01   2.69188872E-18   7.79893388E-04   3.66543211E-08   5.31239032E-04   6.08003266E-05   0.00000000E+00  
  4                1.22229532E-04   5.32859125E+02   8.38152687E-01   1.60443913E-01   1.48663835E-17   7.79820956E-04   1.02099402E-07   5.31169875E-04   6.08007440E-05   0.00000000E+00  
  5                1.72853784E-04   5.43124735E+02   8.38152709E-01   1.60443908E-01   3.18835536E-17   7.79794138E-04   1.28237448E-07   5.31143267E-04   6.07932137E-05   0.00000000E+00  
  6                2.32814215E-04   5.58062707E+02   8.38152894E-01   1.60443864E-01   1.00939197E-16   7.79659105E-04   2.54719728E-07   5.31012154E-04   6.07933482E-05   0.00000000E+00  
  7                3.03989853E-04   5.65711678E+02   8.38152912E-01   1.60443858E-01   1.67516574E-16   7.79633618E-04   2.80908769E-07   5.30986151E-04   6.07856566E-05   0.00000000E+00  
  8                3.88642914E-04   5.78537164E+02   8.38153188E-01   1.60443792E-01   4.17213306E-16   7.79427435E-04   4.77664965E-07   5.30784168E-04   6.07852587E-05   0.00000000E+00  
  9                4.89426821E-04   5.84836559E+02   8.38153175E-01   1.60443790E-01   6.08098974E-16   7.79417554E-04   4.89978605E-07   5.30772880E-04   6.07767504E-05   0.00000000E+00  
  10               6.09540412E-04   5.96509373E+02   8.38153543E-01   1.60443702E-01   1.31960043E-15   7.79140339E-04   7.57652195E-07   5.30499745E-04   6.07756807E-05   0.00000000E+00  
  11               7.52754657E-04   6.02078717E+02   8.38153500E-01   1.60443710E-01   1.78931107E-15   7.79156206E-04   7.45853207E-07   5.30513366E-04   6.07660798E-05   0.00000000E+00  
  12               9.23614432E-04   6.13084533E+02   8.38153956E-01   1.60443600E-01   3.55404136E-15   7.78811051E-04   1.08188563E-06   5.30171883E-04   6.07642585E-05   0.00000000E+00  
  13               1.12750817E-03   6.18130425E+02   8.38153830E-01   1.60443616E-01   4.57480296E-15   7.78868618E-04   1.03003749E-06   5.30226368E-04   6.07531085E-05   0.00000000E+00  
  14               1.37094778E-03   6.28702245E+02   8.38154358E-01   1.60443489E-01   8.52137944E-15   7.78467967E-04   1.42255117E-06   5.29828682E-04   6.07503557E-05   0.00000000E+00  
  15               1.66171779E-03   6.33433158E+02   8.38154181E-01   1.60443524E-01   1.05992574E-14   7.78573541E-04   1.32402227E-06   5.29930509E-04   6.07373231E-05   0.00000000E+00  
  16               2.00915488E-03   6.43857440E+02   8.38154781E-01   1.60443379E-01   1.89614795E-14   7.78117348E-04   1.77308561E-06   5.29476520E-04   6.07336643E-05   0.00000000E+00  
  17               2.42435622E-03   6.48461157E+02   8.38154418E-01   1.60443406E-01   2.31133562E-14   7.78268848E-04   1.62936840E-06   5.29623869E-04   6.07184649E-05   0.00000000E+00  
  18               2.92060907E-03   6.58915711E+02   8.38155094E-01   1.60443242E-01   4.02544179E-14   7.77754326E-04   2.13778620E-06   5.29110726E-04   6.07138529E-05   0.00000000E+00  
  19               3.51368183E-03   6.63585602E+02   8.38154774E-01   1.60443299E-01   4.86992568E-14   7.77940821E-04   1.95953364E-06   5.29292805E-04   6.06963418E-05   0.00000000E+00  
  20               4.22241734E-03   6.74265872E+02   8.38155550E-01   1.60443110E-01   8.36097400E-14   7.77349444E-04   2.54567330E-06   5.28701964E-04   6.06908629E-05   0.00000000E+00  
  21               5.06917201E-03   6.79100490E+02   8.38155234E-01   1.60443186E-01   1.00942239E-13   7.77566489E-04   2.33713613E-06   5.28914386E-04   6.06707857E-05   0.00000000E+00  
  22               6.08062147E-03   6.90106698E+02   8.38156134E-01   1.60442967E-01   1.71746049E-13   7.76880411E-04   3.01889130E-06   5.28227864E-04   6.06644064E-05   0.00000000E+00  
  23               7.28826051E-03   6.95332426E+02   8.38155617E-01   1.60443008E-01   2.09376456E-13   7.77100948E-04   2.80658421E-06   5.28443698E-04   6.06419076E-05   0.00000000E+00  
  24               8.72959928E-03   7.06891655E+02   8.38156717E-01   1.60442739E-01   3.56908926E-13   7.76262358E-04   3.64153083E-06   5.27603577E-04   6.06350058E-05   0.00000000E+00  
