# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             OH               Mg              
  34               1.75523901E-02   2.68793382E+03   5.58765696E-01   3.04375154E-01   1.35847932E-01   4.49800444E-04   2.70750032E-04   1.33966885E-05   3.86851467E-05   5.65121683E-05  
  35               1.98306565E-02   2.71300107E+03   5.51157492E-01   3.12651631E-01   1.35184465E-01   4.47604013E-04   2.66136609E-04   1.45843571E-05   4.05813751E-05   5.62285480E-05  
  36               2.23790721E-02   2.73726657E+03   5.44355851E-01   3.20050705E-01   1.34591314E-01   4.45640378E-04   2.61858240E-04   1.57264077E-05   4.23586088E-05   5.59738020E-05  
  37               2.52251112E-02   2.76280190E+03   5.36594051E-01   3.28494279E-01   1.33914424E-01   4.43399491E-04   2.56977336E-04   1.70807238E-05   4.43345978E-05   5.56839764E-05  
  38               2.83982965E-02   2.78739888E+03   5.29751251E-01   3.35938133E-01   1.33317657E-01   4.41423866E-04   2.52510673E-04   1.83637820E-05   4.61618725E-05   5.54270710E-05  
  39               3.19306382E-02   2.81314930E+03   5.22049673E-01   3.44316200E-01   1.32645989E-01   4.39200248E-04   2.47484242E-04   1.98624712E-05   4.81642327E-05   5.51387704E-05  
  40               3.58565381E-02   2.83780947E+03   5.15389938E-01   3.51560907E-01   1.32065158E-01   4.37277365E-04   2.42966508E-04   2.12534995E-05   4.99856638E-05   5.48878016E-05  
  41               4.02133114E-02   2.86355212E+03   5.07936598E-01   3.59668925E-01   1.31415108E-01   4.35125296E-04   2.37920688E-04   2.28629031E-05   5.19629096E-05   5.46078065E-05  
  42               4.50410402E-02   2.88812265E+03   5.01584952E-01   3.66578468E-01   1.30861120E-01   4.33291253E-04   2.33448278E-04   2.43318947E-05   5.37400625E-05   5.43672646E-05  
  43               5.03830227E-02   2.91384620E+03   4.94388369E-01   3.74407159E-01   1.30233434E-01   4.31213193E-04   2.28415951E-04   2.60412781E-05   5.56744857E-05   5.40958546E-05  
  44               5.62855352E-02   2.93844103E+03   4.88245770E-01   3.81089269E-01   1.29697653E-01   4.29439393E-04   2.23957358E-04   2.75978682E-05   5.74117933E-05   5.38621307E-05  
  45               6.27984766E-02   2.96430297E+03   4.81175587E-01   3.88780426E-01   1.29080965E-01   4.27397700E-04   2.18886380E-04   2.94271399E-05   5.93123880E-05   5.35945768E-05  
  46               6.99752190E-02   2.98906577E+03   4.75123902E-01   3.95363597E-01   1.28553090E-01   4.25650026E-04   2.14392295E-04   3.10916634E-05   6.10182545E-05   5.33633865E-05  
  47               7.78735749E-02   3.01515928E+03   4.68110354E-01   4.02993097E-01   1.27941316E-01   4.23624545E-04   2.09261611E-04   3.30541107E-05   6.28826697E-05   5.30971603E-05  
  48               8.65538757E-02   3.04016322E+03   4.62095886E-01   4.09535726E-01   1.27416666E-01   4.21887478E-04   2.04718119E-04   3.48375673E-05   6.45532717E-05   5.28665569E-05  
  49               9.60807925E-02   3.06650304E+03   4.55132877E-01   4.17110177E-01   1.26809275E-01   4.19876432E-04   1.99545150E-04   3.69334877E-05   6.63671783E-05   5.26014382E-05  
  50               1.06524765E-01   3.09168187E+03   4.49213617E-01   4.23549155E-01   1.26292907E-01   4.18166696E-04   1.95008792E-04   3.88187058E-05   6.79792609E-05   5.23735049E-05  
  51               1.17963722E-01   3.11816369E+03   4.42397651E-01   4.30963550E-01   1.25698317E-01   4.16197927E-04   1.89877683E-04   4.10180943E-05   6.97126896E-05   5.21129543E-05  
  52               1.30482790E-01   3.14344654E+03   4.36648372E-01   4.37217509E-01   1.25196753E-01   4.14537090E-04   1.85417529E-04   4.29779096E-05   7.12438852E-05   5.18903484E-05  
  53               1.44176021E-01   3.17006120E+03   4.30012910E-01   4.44435416E-01   1.24617882E-01   4.12620228E-04   1.80373385E-04   4.52624046E-05   7.28818330E-05   5.16355268E-05  
  54               1.59146019E-01   3.19548696E+03   4.24432352E-01   4.50505693E-01   1.24131013E-01   4.11007886E-04   1.76009185E-04   4.72881512E-05   7.43257444E-05   5.14181464E-05  
  55               1.75506072E-01   3.22230089E+03   4.17960692E-01   4.57545241E-01   1.23566405E-01   4.09138062E-04   1.71063103E-04   4.96532075E-05   7.58638811E-05   5.11683942E-05  
  56               1.93379351E-01   3.24798860E+03   4.12494492E-01   4.63490935E-01   1.23089487E-01   4.07558465E-04   1.66777821E-04   5.17539748E-05   7.72233291E-05   5.09542213E-05  
  57               2.12901147E-01   3.27518804E+03   4.06087551E-01   4.70459863E-01   1.22530498E-01   4.05706996E-04   1.61884731E-04   5.42245329E-05   7.86689265E-05   5.07059246E-05  
  58               2.34218333E-01   3.30134121E+03   4.00626988E-01   4.76399193E-01   1.22054047E-01   4.04128665E-04   1.57623736E-04   5.64324130E-05   7.99520190E-05   5.04910038E-05  
  59               2.57492909E-01   3.32908410E+03   3.94215953E-01   4.83372300E-01   1.21494672E-01   4.02275580E-04   1.52756890E-04   5.90295732E-05   8.13048938E-05   5.02416471E-05  
  60               2.82901763E-01   3.35579692E+03   3.88741097E-01   4.89326891E-01   1.21016946E-01   4.00692648E-04   1.48522982E-04   6.13511982E-05   8.25055279E-05   5.00252089E-05  
  61               3.10641266E-01   3.38411786E+03   3.82352990E-01   4.96274725E-01   1.20459539E-01   3.98845617E-04   1.43717886E-04   6.40643681E-05   8.37532155E-05   4.97756995E-05  
  62               3.40926833E-01   3.41138406E+03   3.76919656E-01   5.02183808E-01   1.19985404E-01   3.97274058E-04   1.39562627E-04   6.64782713E-05   8.48582318E-05   4.95596624E-05  
  63               3.73998463E-01   3.44024905E+03   3.70630951E-01   5.09023134E-01   1.19436634E-01   3.95454994E-04   1.34885279E-04   6.92752593E-05   8.59871179E-05   4.93126424E-05  
  64               4.10119798E-01   3.46803001E+03   3.65316326E-01   5.14802716E-01   1.18972823E-01   3.93916912E-04   1.30871481E-04   7.17475701E-05   8.69864265E-05   4.90996492E-05  
  65               4.49584163E-01   3.49743400E+03   3.59181266E-01   5.21474513E-01   1.18437421E-01   3.92141257E-04   1.26369716E-04   7.46000510E-05   8.79906784E-05   4.88569313E-05  
  66               4.92712360E-01   3.52579868E+03   3.53988154E-01   5.27121551E-01   1.17984181E-01   3.90637211E-04   1.22508647E-04   7.71228976E-05   8.88841342E-05   4.86469510E-05  
  67               5.39859467E-01   3.55589549E+03   3.47955755E-01   5.33681314E-01   1.17457707E-01   3.88889926E-04   1.18159768E-04   8.00436798E-05   8.97666928E-05   4.84065996E-05  
  68               5.91412467E-01   3.58506484E+03   3.42791746E-01   5.39296390E-01   1.17006983E-01   3.87392861E-04   1.14400956E-04   8.26497555E-05   9.05573379E-05   4.81962351E-05  
  69               6.47799925E-01   3.61608223E+03   3.36771095E-01   5.45843123E-01   1.16481516E-01   3.85647231E-04   1.10157283E-04   8.56717123E-05   9.13176761E-05   4.79549284E-05  
  70               7.09489655E-01   3.64627881E+03   3.31553590E-01   5.51516233E-01   1.16026118E-01   3.84132753E-04   1.06458201E-04   8.83935592E-05   9.20008031E-05   4.77411670E-05  
  71               7.77000347E-01   3.67844001E+03   3.25469016E-01   5.58132447E-01   1.15495079E-01   3.82366233E-04   1.02283690E-04   9.15463156E-05   9.26301679E-05   4.74961610E-05  
  72               8.50899394E-01   3.70987323E+03   3.20136284E-01   5.63930968E-01   1.15029644E-01   3.80815684E-04   9.86171680E-05   9.44094642E-05   9.31932229E-05   4.72767639E-05  
  73               9.31818526E-01   3.74331825E+03   3.13973896E-01   5.70632040E-01   1.14491846E-01   3.79023196E-04   9.45151232E-05   9.76956042E-05   9.36762051E-05   4.70275164E-05  
  74               1.02045187E+00   3.77604109E+03   3.08565413E-01   5.76513277E-01   1.14019841E-01   3.77446717E-04   9.09153499E-05   1.00678305E-04   9.41033406E-05   4.68038066E-05  
  75               1.11757401E+00   3.81073061E+03   3.02417901E-01   5.83198600E-01   1.13483391E-01   3.75653428E-04   8.69497385E-05   1.04046970E-04   9.44273163E-05   4.65534856E-05  
  76               1.22403731E+00   3.84463486E+03   2.97060343E-01   5.89024899E-01   1.13015881E-01   3.74085730E-04   8.34966086E-05   1.07080257E-04   9.47107905E-05   4.63297784E-05  
  77               1.34078887E+00   3.88050475E+03   2.91025044E-01   5.95588646E-01   1.12489276E-01   3.72317346E-04   7.97266588E-05   1.10470544E-04   9.48723525E-05   4.60816405E-05  
  78               1.46886579E+00   3.91563252E+03   2.85753040E-01   6.01322313E-01   1.12029279E-01   3.70765552E-04   7.64411085E-05   1.13522304E-04   9.50082989E-05   4.58589802E-05  
  79               1.60941358E+00   3.95283543E+03   2.79805810E-01   6.07790662E-01   1.11510403E-01   3.69011351E-04   7.28542958E-05   1.16927071E-04   9.50013802E-05   4.56120305E-05  
