# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           N2              
  1                1.00000000E-05   3.39272900E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.31953274E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   1.08593719E-41  
  2                4.70829957E-04   4.65331818E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   2.81868737E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   4.89865133E-45  
  3                1.01201091E-03   5.14406177E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   2.74563553E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   1.06031355E-45  
  4                1.64791543E-03   5.46060997E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.98679899E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   3.99884772E-46  
  5                2.39475829E-03   5.78079352E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.78612497E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   1.89356987E-46  
  6                3.27072266E-03   6.00424535E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.02711490E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   1.01511972E-46  
  7                4.29746401E-03   6.31202355E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   2.92410799E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   5.88003902E-47  
  8                5.49925163E-03   6.52608143E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   2.81413131E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   3.59085213E-47  
  9                6.90348131E-03   6.85206304E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.04524155E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   2.27860160E-47  
  10               8.54299123E-03   7.05372401E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.57678243E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   1.48793782E-47  
  11               1.04499570E-02   7.38721468E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   2.86572381E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   9.94433397E-48  
  12               1.26519401E-02   7.64080190E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.09605654E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   6.78407202E-48  
  13               1.51902731E-02   7.89156028E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.26751585E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   4.70623423E-48  
  14               1.81136352E-02   8.18478907E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.40893011E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   3.30973691E-48  
  15               2.14831732E-02   8.46941476E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.53688780E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   2.35292371E-48  
  16               2.53758751E-02   8.80187359E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.30905640E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   1.68640798E-48  
  17               2.98835684E-02   9.14345129E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.39770098E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   1.21601742E-48  
  18               3.51158956E-02   9.52335878E+01   8.38831897E-01   1.60608975E-01   5.31825929E-04   3.48049705E-18   1.22066219E-08   2.30015532E-05   0.00000000E+00   8.80637562E-49  
  19               4.12050954E-02   9.95724541E+01   8.38831857E-01   1.60608967E-01   5.31825903E-04   2.41864391E-18   1.22615703E-08   2.30015521E-05   2.94596790E-17   6.45363014E-49  
  20               4.83080723E-02   1.04770290E+02   8.38831658E-01   1.60608929E-01   5.31825777E-04   3.23381022E-17   6.03103038E-08   2.30015467E-05   3.99917530E-16   1.02958370E-45  
  21               5.65829345E-02   1.10036163E+02   8.38830755E-01   1.60608756E-01   5.31825205E-04   4.37877272E-16   2.98486747E-07   2.30015219E-05   4.89824513E-15   1.71427119E-42  
  22               6.60599374E-02   1.15628325E+02   8.38821572E-01   1.60606998E-01   5.31819383E-04   5.37519239E-15   1.38599155E-06   2.30012701E-05   3.46819363E-14   2.16226263E-39  
  23               7.56214998E-02   1.20566243E+02   8.38821572E-01   1.60606998E-01   5.31819383E-04   4.02316560E-14   1.23207760E-05   2.30012701E-05   1.54694395E-13   4.49523630E-36  
