# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                H2S             
  34               2.40600000E-02   2.10877817E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   2.59311505E-43   1.21724008E-04   2.38407538E-51   2.29833421E-05  
  35               2.74575794E-02   2.20710275E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   3.38890366E-41   1.21724008E-04   5.59730151E-49   2.29833421E-05  
  36               3.14193158E-02   2.29235340E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.57208874E-39   1.21724008E-04   4.29515938E-47   2.29833421E-05  
  37               3.60356419E-02   2.40198500E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.54848700E-37   1.21724008E-04   7.34339477E-45   2.29833421E-05  
  38               4.14123273E-02   2.49689217E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   5.65293627E-36   1.21724008E-04   4.31115897E-43   2.29833421E-05  
  39               4.76761142E-02   2.60251978E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   2.30700655E-34   1.21724008E-04   2.83397238E-41   2.29833421E-05  
  40               5.49742491E-02   2.69261156E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   4.10488201E-33   1.21724007E-04   7.65294980E-40   2.29833421E-05  
  41               6.34749398E-02   2.80334994E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.14809492E-31   1.21724006E-04   3.32530322E-38   2.29833421E-05  
  42               7.33705319E-02   2.90470971E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   1.86582753E-30   1.21724001E-04   8.07438954E-37   2.29833421E-05  
  43               8.48834549E-02   3.03323716E+02   8.38073951E-01   1.60463844E-01   7.81872992E-04   5.31345356E-04   5.18746834E-29   1.21723983E-04   3.43822016E-35   2.29833421E-05  
  44               9.82608484E-02   3.17165265E+02   8.38073951E-01   1.60463844E-01   7.81872930E-04   5.31345356E-04   1.38573937E-27   1.21723915E-04   1.39091386E-33   2.29833421E-05  
  45               1.13798881E-01   3.31437398E+02   8.38073951E-01   1.60463844E-01   7.81872761E-04   5.31345356E-04   3.05515685E-26   1.21723692E-04   4.55454190E-32   2.29833421E-05  
  46               1.31839763E-01   3.46583910E+02   8.38073948E-01   1.60463844E-01   7.81872300E-04   5.31345353E-04   6.17003316E-25   1.21722970E-04   1.34761697E-30   2.29833420E-05  
  47               1.52783073E-01   3.62193018E+02   8.38073953E-01   1.60463844E-01   7.81868327E-04   5.31345353E-04   1.04258312E-23   1.21720844E-04   3.27811175E-29   2.29833420E-05  
  48               1.77095680E-01   3.78763872E+02   8.38073752E-01   1.60463803E-01   7.81868130E-04   5.31345220E-04   1.62708859E-22   1.21714630E-04   7.27323387E-28   2.29833362E-05  
  49               2.05312724E-01   3.95837288E+02   8.38073988E-01   1.60463820E-01   7.81623298E-04   5.31345276E-04   2.15306175E-21   1.21698242E-04   1.34746681E-26   2.29833387E-05  
  50               2.38041860E-01   4.13946633E+02   8.38074017E-01   1.60463813E-01   7.81623281E-04   5.31345253E-04   2.64348437E-20   1.21655151E-04   2.28877439E-25   2.29833377E-05  
  51               2.75977773E-01   4.32577700E+02   8.38074080E-01   1.60463796E-01   7.81623802E-04   5.31345196E-04   2.78029974E-19   1.21551891E-04   3.28382960E-24   2.29833352E-05  
  52               3.19953287E-01   4.52337027E+02   8.38074131E-01   1.60463739E-01   7.81642100E-04   5.31345006E-04   2.73007212E-18   1.21306199E-04   4.35277947E-23   2.29833270E-05  
  53               3.70955296E-01   4.72684905E+02   8.38070855E-01   1.60463044E-01   7.82086603E-04   5.31342707E-04   2.33220380E-17   1.20773122E-04   4.95749548E-22   2.29832275E-05  
  54               4.30212671E-01   4.94312901E+02   8.38073288E-01   1.60463136E-01   7.80131867E-04   5.31343011E-04   1.87318512E-16   1.19632825E-04   5.27895327E-21   2.29832407E-05  
  55               4.99291595E-01   5.16681089E+02   8.38074740E-01   1.60462784E-01   7.80130160E-04   5.31341846E-04   1.33594513E-15   1.17439555E-04   4.93459197E-20   2.29831903E-05  
  56               5.80339657E-01   5.40657359E+02   8.38077431E-01   1.60462132E-01   7.80126997E-04   5.31339685E-04   9.15483572E-15   1.13372566E-04   4.40771746E-19   2.29830968E-05  
  57               6.76445325E-01   5.65832425E+02   8.38081758E-01   1.60461083E-01   7.80121924E-04   5.31336212E-04   5.73797919E-14   1.06834887E-04   3.58657621E-18   2.29829466E-05  
