# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  34               7.09313703E-02   9.95841830E+02   8.38665761E-01   1.60317619E-01   6.30586983E-09   3.91362811E-04   3.89093518E-04   6.06768624E-05   1.39221546E-04   1.60144057E-15  
  35               8.67264337E-02   1.00331006E+03   8.38672320E-01   1.60315989E-01   9.06241996E-09   3.96449431E-04   3.84151045E-04   6.06643234E-05   1.34148323E-04   2.69316326E-15  
  36               1.06132340E-01   1.02621666E+03   8.38666672E-01   1.60317340E-01   1.15702780E-08   3.92263872E-04   3.88413349E-04   6.06473931E-05   1.38351409E-04   5.46314884E-15  
  37               1.30016910E-01   1.03584275E+03   8.38675727E-01   1.60315100E-01   1.71087493E-08   3.99247263E-04   3.81580716E-04   6.06327869E-05   1.31377877E-04   1.49679235E-14  
  38               1.59509004E-01   1.06131549E+03   8.38673770E-01   1.60315549E-01   2.26917261E-08   3.97866907E-04   3.83051929E-04   6.06130687E-05   1.32772187E-04   3.39986547E-14  
  39               1.95984630E-01   1.07371427E+03   8.38685531E-01   1.60312647E-01   3.47295667E-08   4.06907699E-04   3.74167437E-04   6.05964681E-05   1.23737651E-04   8.93968425E-14  
  40               2.41235056E-01   1.10240278E+03   8.38687616E-01   1.60312108E-01   4.81934380E-08   4.08601605E-04   3.72577108E-04   6.05741754E-05   1.22053716E-04   2.24954821E-13  
  41               2.97441023E-01   1.11852947E+03   8.38701898E-01   1.60308586E-01   7.67289505E-08   4.19564558E-04   3.61771221E-04   6.05558614E-05   1.11093471E-04   6.23507939E-13  
  42               3.67440989E-01   1.15120531E+03   8.38707831E-01   1.60307101E-01   1.11840348E-07   4.24194782E-04   3.57251771E-04   6.05314407E-05   1.06469089E-04   1.86411971E-12  
  43               4.54674763E-01   1.17189570E+03   8.38723794E-01   1.60303156E-01   1.85659234E-07   4.36462272E-04   3.45133241E-04   6.05118263E-05   9.42010064E-05   5.41677411E-12  
  44               5.63637729E-01   1.20961502E+03   8.38732737E-01   1.60300917E-01   2.85076877E-07   4.43420235E-04   3.38284279E-04   6.04859913E-05   8.72448087E-05   1.94926485E-11  
  45               6.99519727E-01   1.23606531E+03   8.38749105E-01   1.60296830E-01   4.93319731E-07   4.56088954E-04   3.25747735E-04   6.04657736E-05   7.45723802E-05   8.77636611E-11  
  46               8.68593398E-01   1.27985541E+03   8.38759436E-01   1.60294182E-01   7.94643383E-07   4.64254658E-04   3.17683129E-04   6.04395158E-05   6.64044892E-05   2.78899222E-10  
  47               1.07758034E+00   1.31290637E+03   8.38774097E-01   1.60290358E-01   1.41691803E-06   4.75967989E-04   3.06102252E-04   6.04194412E-05   5.46844477E-05   1.21463108E-09  
  48               1.33409571E+00   1.36318326E+03   8.38783055E-01   1.60287727E-01   2.34947956E-06   4.83771060E-04   2.98467602E-04   6.03935336E-05   4.68752211E-05   3.97073520E-09  
  49               1.64472694E+00   1.40255479E+03   8.38792582E-01   1.60284425E-01   4.19299209E-06   4.93172543E-04   2.89544100E-04   6.03736391E-05   3.74635138E-05   1.66064261E-08  
  50               2.01690055E+00   1.45802256E+03   8.38791050E-01   1.60281064E-01   6.90784314E-06   4.99296591E-04   2.84427075E-04   6.03473878E-05   3.13255513E-05   5.21094113E-08  
  51               2.45347987E+00   1.50152137E+03   8.38782311E-01   1.60277268E-01   1.19038571E-05   5.06229497E-04   2.85406053E-04   6.03273525E-05   2.43748863E-05   1.35103382E-07  
  52               2.95241501E+00   1.55949176E+03   8.38767634E-01   1.60273956E-01   1.88843630E-05   5.10712045E-04   2.88911485E-04   6.03021113E-05   1.98735420E-05   4.78775735E-07  
  53               3.50626214E+00   1.60426858E+03   8.38749388E-01   1.60270771E-01   3.06022323E-05   5.15206245E-04   2.94292231E-04   6.02835456E-05   1.53595110E-05   2.38413666E-06  
  54               4.09884646E+00   1.66103356E+03   8.38718877E-01   1.60266402E-01   4.56268726E-05   5.17880316E-04   2.99837138E-04   6.02613166E-05   1.26609684E-05   7.64805484E-06  
  55               4.69660346E+00   1.70293360E+03   8.38657212E-01   1.60259448E-01   6.83256754E-05   5.20796089E-04   3.19803388E-04   6.02484104E-05   9.71401589E-06   2.22750303E-05  
  56               5.25425210E+00   1.75405099E+03   8.38574717E-01   1.60251009E-01   9.67902273E-05   5.22970243E-04   3.48440420E-04   6.02384090E-05   7.50577588E-06   4.19619714E-05  
  57               5.74337956E+00   1.79549979E+03   8.38500009E-01   1.60243809E-01   1.30653809E-04   5.24720895E-04   3.72146009E-04   6.02346629E-05   5.72639971E-06   5.82037440E-05  
  58               6.14694190E+00   1.82763302E+03   8.38448694E-01   1.60238872E-01   1.66192945E-04   5.25614030E-04   3.81612404E-04   6.02296269E-05   4.81137007E-06   6.47769226E-05  
  59               6.53260653E+00   1.85671639E+03   8.38414001E-01   1.60235628E-01   2.04647619E-04   5.26119383E-04   3.81042131E-04   6.02237235E-05   4.28890687E-06   6.46688345E-05  
  60               6.93846884E+00   1.88587567E+03   8.38364354E-01   1.60230040E-01   2.47874474E-04   5.26513978E-04   3.80572627E-04   6.02163918E-05   3.86916305E-06   6.45620855E-05  
  61               7.34226181E+00   1.91347369E+03   8.38312264E-01   1.60224279E-01   2.93632055E-04   5.26824863E-04   3.80190923E-04   6.02088630E-05   3.53261325E-06   6.44612491E-05  
  62               7.68037976E+00   1.93573090E+03   8.38259825E-01   1.60218519E-01   3.39659263E-04   5.27060782E-04   3.79890983E-04   6.02014718E-05   3.27137986E-06   6.43698113E-05  
  63               7.99556469E+00   1.95572150E+03   8.38217123E-01   1.60214715E-01   3.86357688E-04   5.27249863E-04   3.79655544E-04   6.01949777E-05   3.06373632E-06   6.42866430E-05  
  64               8.32718202E+00   1.97612651E+03   8.38168367E-01   1.60210388E-01   4.39601670E-04   5.27417517E-04   3.79443296E-04   6.01877680E-05   2.87529853E-06   6.42000535E-05  
  65               8.72174801E+00   1.99947319E+03   8.38108049E-01   1.60205054E-01   5.05399906E-04   5.27578322E-04   3.79237689E-04   6.01791662E-05   2.68928119E-06   6.41023933E-05  
  66               9.18837413E+00   2.02602623E+03   8.38031052E-01   1.60198268E-01   5.89351318E-04   5.27733700E-04   3.79019152E-04   6.01685377E-05   2.50229899E-06   6.39889350E-05  
  67               9.73752348E+00   2.05578329E+03   8.37932542E-01   1.60189609E-01   6.96716739E-04   5.27878558E-04   3.78786724E-04   6.01554939E-05   2.31776482E-06   6.38579802E-05  
  68               1.03812191E+01   2.08896249E+03   8.37806772E-01   1.60178578E-01   8.33744850E-04   5.28006396E-04   3.78539172E-04   6.01395112E-05   2.14018255E-06   6.37079416E-05  
  69               1.11324605E+01   2.12544016E+03   8.37646235E-01   1.60164522E-01   1.00857091E-03   5.28112029E-04   3.78290055E-04   6.01200590E-05   1.97219436E-06   6.35371613E-05  
  70               1.20045603E+01   2.16527054E+03   8.37442424E-01   1.60146700E-01   1.23044409E-03   5.28189312E-04   3.78041190E-04   6.00964803E-05   1.81706180E-06   6.33442910E-05  
  71               1.30121409E+01   2.20817413E+03   8.37184695E-01   1.60124186E-01   1.51093824E-03   5.28233347E-04   3.77791961E-04   6.00681006E-05   1.67612390E-06   6.31279419E-05  
