# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.69988829E+02   8.38154306E-01   1.60444197E-01   1.86785627E-26   7.77858440E-04   1.04656493E-14   5.31280298E-04   6.02960830E-05   0.00000000E+00  
  2                1.25749219E-05   4.03426781E+02   8.38154354E-01   1.60444004E-01   6.00744228E-24   7.77892899E-04   1.90407249E-12   5.31279654E-04   6.06600580E-05   0.00000000E+00  
  3                1.56052152E-05   4.22121074E+02   8.38152554E-01   1.60443982E-01   9.67806267E-23   7.79786997E-04   2.01589328E-11   5.31279549E-04   6.07268794E-05   0.00000000E+00  
  4                1.92322904E-05   4.33323788E+02   8.38152567E-01   1.60443976E-01   4.36833067E-22   7.79793864E-04   6.31935165E-11   5.31279468E-04   6.07445090E-05   0.00000000E+00  
  5                2.36052075E-05   4.45229591E+02   8.38152588E-01   1.60443971E-01   2.00116443E-21   7.79794818E-04   2.02802116E-10   5.31279260E-04   6.07604978E-05   0.00000000E+00  
  6                2.88901420E-05   4.53707401E+02   8.38152595E-01   1.60443969E-01   5.46156803E-21   7.79794708E-04   3.96169632E-10   5.31279010E-04   6.07646474E-05   0.00000000E+00  
  7                3.52871617E-05   4.63892069E+02   8.38152607E-01   1.60443966E-01   1.76750423E-20   7.79794005E-04   9.17676903E-10   5.31278363E-04   6.07720444E-05   0.00000000E+00  
  8                4.30356889E-05   4.71473101E+02   8.38152610E-01   1.60443966E-01   3.98853562E-20   7.79793249E-04   1.50189831E-09   5.31277679E-04   6.07726217E-05   0.00000000E+00  
  9                5.24260939E-05   4.81014826E+02   8.38152620E-01   1.60443963E-01   1.09502409E-19   7.79791351E-04   2.98468133E-09   5.31275970E-04   6.07768332E-05   0.00000000E+00  
  10               6.38077860E-05   4.88289243E+02   8.38152623E-01   1.60443963E-01   2.24525418E-19   7.79789561E-04   4.47200820E-09   5.31274316E-04   6.07759188E-05   0.00000000E+00  
  11               7.76049383E-05   4.97566381E+02   8.38152634E-01   1.60443960E-01   5.57087324E-19   7.79785243E-04   8.09030932E-09   5.31270317E-04   6.07784405E-05   0.00000000E+00  
  12               9.43291162E-05   5.04719217E+02   8.38152637E-01   1.60443959E-01   1.07080465E-18   7.79781448E-04   1.14226744E-08   5.31266726E-04   6.07765711E-05   0.00000000E+00  
  13               1.14602454E-04   5.13834028E+02   8.38152654E-01   1.60443955E-01   2.45470480E-18   7.79772607E-04   1.91961693E-08   5.31258367E-04   6.07778596E-05   0.00000000E+00  
  14               1.39184794E-04   5.20834843E+02   8.38152660E-01   1.60443954E-01   4.44117242E-18   7.79765583E-04   2.56132455E-08   5.31251602E-04   6.07750067E-05   0.00000000E+00  
  15               1.69003128E-04   5.29756297E+02   8.38152683E-01   1.60443948E-01   9.45948671E-18   7.79749600E-04   4.01574489E-08   5.31236256E-04   6.07751127E-05   0.00000000E+00  
  16               2.05181103E-04   5.36602508E+02   8.38152694E-01   1.60443946E-01   1.62101049E-17   7.79738188E-04   5.08946462E-08   5.31225112E-04   6.07712116E-05   0.00000000E+00  
  17               2.49085879E-04   5.45363798E+02   8.38152729E-01   1.60443937E-01   3.24265596E-17   7.79712167E-04   7.51639989E-08   5.31199843E-04   6.07702019E-05   0.00000000E+00  
  18               3.02375739E-04   5.52055012E+02   8.38152742E-01   1.60443934E-01   5.29232339E-17   7.79695803E-04   9.09184696E-08   5.31183684E-04   6.07651249E-05   0.00000000E+00  
  19               3.67066790E-04   5.60682268E+02   8.38152792E-01   1.60443922E-01   1.00281291E-16   7.79657317E-04   1.27475284E-07   5.31145984E-04   6.07629737E-05   0.00000000E+00  
  20               4.45604142E-04   5.67244219E+02   8.38152811E-01   1.60443917E-01   1.56964989E-16   7.79636285E-04   1.48113168E-07   5.31125011E-04   6.07565713E-05   0.00000000E+00  
  21               5.40956739E-04   5.75800078E+02   8.38152874E-01   1.60443901E-01   2.84617131E-16   7.79583365E-04   1.99073800E-07   5.31072823E-04   6.07532504E-05   0.00000000E+00  
  22               6.56717991E-04   5.82341996E+02   8.38152897E-01   1.60443895E-01   4.32571390E-16   7.79557454E-04   2.24869055E-07   5.31046783E-04   6.07454763E-05   0.00000000E+00  
  23               7.97239188E-04   5.90996345E+02   8.38152987E-01   1.60443873E-01   7.63138594E-16   7.79485881E-04   2.94483211E-07   5.30975846E-04   6.07411275E-05   0.00000000E+00  
  24               9.67778877E-04   5.97676111E+02   8.38153004E-01   1.60443863E-01   1.14191063E-15   7.79452620E-04   3.27860322E-07   5.30942268E-04   6.07320409E-05   0.00000000E+00  
  25               1.17469981E-03   6.06541713E+02   8.38153125E-01   1.60443834E-01   1.97881005E-15   7.79356201E-04   4.22336148E-07   5.30846347E-04   6.07267115E-05   0.00000000E+00  
  26               1.42569476E-03   6.13383503E+02   8.38153165E-01   1.60443824E-01   2.92137327E-15   7.79314494E-04   4.64486567E-07   5.30804067E-04   6.07161216E-05   0.00000000E+00  
  27               1.73006333E-03   6.22502905E+02   8.38153320E-01   1.60443784E-01   4.98842050E-15   7.79186667E-04   5.90462036E-07   5.30676518E-04   6.07097137E-05   0.00000000E+00  
  28               2.09912737E-03   6.29555876E+02   8.38153328E-01   1.60443762E-01   7.29099496E-15   7.79134172E-04   6.43718977E-07   5.30623159E-04   6.06974492E-05   0.00000000E+00  
