# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  34               4.24826485E-02   5.71826728E+02   8.38141897E-01   1.60446503E-01   2.33485894E-17   7.80051405E-04   5.31287909E-04   2.35797393E-11   5.28726793E-05   2.29781300E-05  
  35               5.17728813E-02   5.81932146E+02   8.38141785E-01   1.60446530E-01   4.71858971E-17   7.80051596E-04   5.31287986E-04   3.50948158E-11   5.27881662E-05   2.29781339E-05  
  36               6.30811857E-02   5.95451516E+02   8.38142201E-01   1.60446429E-01   1.19893226E-16   7.80051214E-04   5.31287621E-04   6.56098213E-11   5.31027860E-05   2.29781194E-05  
  37               7.68391338E-02   6.07473799E+02   8.38142278E-01   1.60446410E-01   2.61594272E-16   7.80051244E-04   5.31287517E-04   1.05664508E-10   5.31613473E-05   2.29781167E-05  
  38               9.35600511E-02   6.23153904E+02   8.38142834E-01   1.60446275E-01   7.09136034E-16   7.80050797E-04   5.31286963E-04   2.11489962E-10   5.35812216E-05   2.29780974E-05  
  39               1.13863892E-01   6.37354390E+02   8.38143065E-01   1.60446218E-01   1.65577722E-15   7.80050750E-04   5.31286617E-04   3.65801443E-10   5.37578942E-05   2.29780892E-05  
  40               1.38503460E-01   6.55646907E+02   8.38143727E-01   1.60446057E-01   4.78400047E-15   7.80050299E-04   5.31285661E-04   7.84001828E-10   5.42584106E-05   2.29780662E-05  
  41               1.68369634E-01   6.72542280E+02   8.38144074E-01   1.60445965E-01   1.19720000E-14   7.80050142E-04   5.31284672E-04   1.46007414E-09   5.45343556E-05   2.29780529E-05  
  42               2.04498696E-01   6.93842987E+02   8.38144784E-01   1.60445792E-01   3.64205669E-14   7.80049302E-04   5.31282231E-04   3.31498635E-09   5.50697471E-05   2.29780282E-05  
  43               2.48094563E-01   7.13792595E+02   8.38145161E-01   1.60445673E-01   9.62232625E-14   7.80047959E-04   5.31278569E-04   6.56073287E-09   5.54004364E-05   2.29780110E-05  
  44               3.00535775E-01   7.38466543E+02   8.38145728E-01   1.60445475E-01   3.02730419E-13   7.80042704E-04   5.31268891E-04   1.55329478E-08   5.59260462E-05   2.29779826E-05  
  45               3.63377415E-01   7.61704534E+02   8.38145970E-01   1.60445318E-01   8.24531097E-13   7.80031819E-04   5.31251856E-04   3.19760076E-08   5.62646501E-05   2.29779599E-05  
