# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               NH3              N2              
  1                1.00000000E-05   1.79616669E+02   8.38074174E-01   1.60463844E-01   7.81649423E-04   5.01989017E-59   5.31345356E-04   3.21369524E-45   1.21724008E-04   2.75210141E-14  
  2                1.86476852E-05   2.17573052E+02   8.38074175E-01   1.60463844E-01   7.81649422E-04   1.77513506E-45   5.31345355E-04   2.18435940E-33   1.21722654E-04   6.76947450E-10  
  3                2.84599154E-05   2.31909499E+02   8.38074177E-01   1.60463844E-01   7.81649420E-04   4.98377346E-44   5.31345354E-04   3.05396770E-32   1.21720092E-04   1.95759031E-09  
  4                3.98268871E-05   2.39261834E+02   8.38074181E-01   1.60463843E-01   7.81649415E-04   2.09508316E-42   5.31345350E-04   6.40975066E-31   1.21713093E-04   5.45681592E-09  
  5                5.30451690E-05   2.48092950E+02   8.38074188E-01   1.60463841E-01   7.81649407E-04   2.04885923E-41   5.31345345E-04   3.87411251E-30   1.21703143E-04   1.04311758E-08  
  6                6.84347880E-05   2.53679630E+02   8.38074202E-01   1.60463837E-01   7.81649389E-04   3.68017395E-40   5.31345333E-04   3.95387821E-29   1.21680944E-04   2.15293537E-08  
  7                8.63674909E-05   2.61417265E+02   8.38074221E-01   1.60463833E-01   7.81649367E-04   2.50423473E-39   5.31345318E-04   1.80095135E-28   1.21652449E-04   3.57748626E-08  
  8                1.07271782E-04   2.66538959E+02   8.38074259E-01   1.60463824E-01   7.81649322E-04   2.77474646E-38   5.31345287E-04   1.22972206E-27   1.21594816E-04   6.45880804E-08  
  9                1.31652910E-04   2.73700940E+02   8.38074303E-01   1.60463813E-01   7.81649271E-04   1.39218216E-37   5.31345253E-04   4.36255071E-27   1.21529572E-04   9.72061719E-08  
  10               1.60102451E-04   2.78310379E+02   8.38074380E-01   1.60463795E-01   7.81649180E-04   1.01927516E-36   5.31345191E-04   2.08726889E-26   1.21413395E-04   1.55287373E-07  
  11               1.93317959E-04   2.84844382E+02   8.38074453E-01   1.60463777E-01   7.81649094E-04   3.89102697E-36   5.31345132E-04   5.84947664E-26   1.21302365E-04   2.10795486E-07  
  12               2.32119611E-04   2.88864472E+02   8.38074573E-01   1.60463748E-01   7.81648952E-04   2.04695398E-35   5.31345036E-04   2.09332429E-25   1.21120973E-04   3.01480815E-07  
  13               2.77469481E-04   2.94844337E+02   8.38074670E-01   1.60463724E-01   7.81648836E-04   6.39701589E-35   5.31344957E-04   4.89997352E-25   1.20973625E-04   3.75145633E-07  
  14               3.30496528E-04   2.98420333E+02   8.38074833E-01   1.60463684E-01   7.81648369E-04   2.76916863E-34   5.31344826E-04   1.47316663E-24   1.20727540E-04   4.98173013E-07  
  15               3.92517882E-04   3.04194289E+02   8.38074957E-01   1.60463654E-01   7.81647947E-04   7.90177381E-34   5.31344727E-04   3.16640269E-24   1.20539997E-04   5.91933409E-07  
  16               4.65081784E-04   3.07703221E+02   8.38075184E-01   1.60463599E-01   7.81647404E-04   3.16745378E-33   5.31344545E-04   8.91058511E-24   1.20197758E-04   7.63031823E-07  
  17               5.49995496E-04   3.13602212E+02   8.38075360E-01   1.60463557E-01   7.81647195E-04   8.82342893E-33   5.31344403E-04   1.87577895E-23   1.19931294E-04   8.96247640E-07  
  18               6.49396212E-04   3.17277074E+02   8.38075698E-01   1.60463475E-01   7.81645783E-04   3.50317094E-32   5.31344131E-04   5.25965910E-23   1.19420937E-04   1.15139523E-06  
  19               7.65785019E-04   3.23531192E+02   8.38075977E-01   1.60463407E-01   7.81644439E-04   9.93679846E-32   5.31343907E-04   1.12915234E-22   1.18998946E-04   1.36236478E-06  
  20               9.02144325E-04   3.27557757E+02   8.38076502E-01   1.60463280E-01   7.81642808E-04   3.95927606E-31   5.31343487E-04   3.20100186E-22   1.18207709E-04   1.75793549E-06  
  21               1.06197650E-03   3.34200323E+02   8.38076938E-01   1.60463173E-01   7.81642289E-04   1.12600647E-30   5.31343134E-04   6.92362000E-22   1.17545451E-04   2.08902366E-06  
  22               1.24949015E-03   3.38504469E+02   8.38077715E-01   1.60462985E-01   7.81638822E-04   4.39396431E-30   5.31342509E-04   1.93724908E-21   1.16371272E-04   2.67604185E-06  
  23               1.46963403E-03   3.45472776E+02   8.38078359E-01   1.60462828E-01   7.81635513E-04   1.24229951E-29   5.31341992E-04   4.17509995E-21   1.15398489E-04   3.16237418E-06  
  24               1.72840738E-03   3.50064139E+02   8.38079443E-01   1.60462562E-01   7.81631670E-04   4.68823029E-29   5.31341111E-04   1.13784288E-20   1.13750627E-04   3.98620394E-06  
  25               2.03288866E-03   3.57316982E+02   8.38080333E-01   1.60462346E-01   7.81620227E-04   1.31073017E-28   5.31340395E-04   2.42727459E-20   1.12407920E-04   4.65747577E-06  
  26               2.39172670E-03   3.62203921E+02   8.38081817E-01   1.60461986E-01   7.81608082E-04   4.91304316E-28   5.31339202E-04   6.57749361E-20   1.10166742E-04   5.77792803E-06  
  27               2.81523982E-03   3.69953621E+02   8.38083099E-01   1.60461678E-01   7.81596195E-04   1.42903830E-27   5.31338183E-04   1.45119506E-19   1.08244670E-04   6.73884751E-06  
  28               3.31639246E-03   3.75519668E+02   8.38085162E-01   1.60461149E-01   7.81593619E-04   5.69922290E-27   5.31336432E-04   4.16614109E-19   1.05026622E-04   8.34767086E-06  
  29               3.91102607E-03   3.84204388E+02   8.38087130E-01   1.60460668E-01   7.81512283E-04   1.80223297E-26   5.31334837E-04   9.92761207E-19   1.02063798E-04   9.82889995E-06  
  30               4.61954788E-03   3.90786341E+02   8.38090242E-01   1.60459908E-01   7.81429608E-04   7.91107137E-26   5.31332322E-04   3.12026139E-18   9.73704232E-05   1.21752994E-05  
  31               5.46733004E-03   4.00742637E+02   8.38093279E-01   1.60459196E-01   7.81347219E-04   2.80422396E-25   5.31329963E-04   8.26001769E-18   9.28907973E-05   1.44148421E-05  
  32               6.48762318E-03   4.08738607E+02   8.38097606E-01   1.60458146E-01   7.81342791E-04   1.39110242E-24   5.31326489E-04   2.91236489E-17   8.63516522E-05   1.76840166E-05  
  33               7.72221776E-03   4.20398730E+02   8.38100760E-01   1.60456965E-01   7.81340976E-04   5.61071962E-24   5.31322577E-04   8.68049548E-17   8.01319255E-05   2.07934319E-05  
  34               9.22621321E-03   4.30207289E+02   8.38106121E-01   1.60455528E-01   7.80246412E-04   3.19962669E-23   5.31317817E-04   3.47380814E-16   7.18997826E-05   2.49089581E-05  
  35               1.10687118E-02   4.44125003E+02   8.38110479E-01   1.60454188E-01   7.79753322E-04   1.51191991E-22   5.31313380E-04   1.19779856E-15   6.42752788E-05   2.87207019E-05  
  36               1.33350614E-02   4.56464797E+02   8.38116655E-01   1.60452823E-01   7.79256845E-04   9.44056578E-22   5.31308861E-04   5.26192322E-15   5.53538947E-05   3.31808763E-05  
  37               1.61256916E-02   4.72733362E+02   8.38121138E-01   1.60451590E-01   7.79852461E-04   4.86799463E-21   5.31304780E-04   1.96923705E-14   4.76714570E-05   3.70216276E-05  
  38               1.95546112E-02   4.87575992E+02   8.38126442E-01   1.60450305E-01   7.79846218E-04   3.20062851E-20   5.31300522E-04   9.13378895E-14   3.96585070E-05   4.10276150E-05  
  39               2.37495705E-02   5.06581653E+02   8.38130841E-01   1.60449238E-01   7.79841044E-04   1.81999696E-19   5.31296991E-04   3.76755009E-13   3.30116843E-05   4.43506219E-05  
  40               2.88453423E-02   5.24800518E+02   8.38135125E-01   1.60448200E-01   7.79836021E-04   1.26286959E-18   5.31293550E-04   1.86923598E-12   2.65386881E-05   4.75867260E-05  
  41               3.49865109E-02   5.47325571E+02   8.38138548E-01   1.60447370E-01   7.79832039E-04   7.46175236E-18   5.31290796E-04   8.13806396E-12   2.13664497E-05   5.01725305E-05  
  42               4.23128274E-02   5.69053351E+02   8.38141627E-01   1.60446623E-01   7.79828521E-04   5.13321109E-17   5.31288289E-04   4.10248919E-11   1.67137681E-05   5.24985881E-05  
  43               5.09539750E-02   5.95316492E+02   8.38143983E-01   1.60446052E-01   7.79825914E-04   3.01134052E-16   5.31286253E-04   1.81668290E-10   1.31523558E-05   5.42790774E-05  
  44               6.10222676E-02   6.20900067E+02   8.38145986E-01   1.60445564E-01   7.79823580E-04   1.93815386E-15   5.31283926E-04   8.85033271E-10   1.01212522E-05   5.57944444E-05  
