# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.30653558E+02   8.38150650E-01   1.60445098E-01   4.02734911E-30   7.77816323E-04   3.29061844E-18   5.31283280E-04   5.74938388E-05   0.00000000E+00  
  2                4.23435641E-05   3.79285305E+02   8.38152972E-01   1.60444534E-01   5.17465039E-26   7.77813624E-04   3.10171355E-15   5.31281413E-04   5.92497275E-05   0.00000000E+00  
  3                7.90968697E-05   4.06505855E+02   8.38153626E-01   1.60444365E-01   3.92454451E-24   7.77823831E-04   7.74811107E-14   5.31280853E-04   5.97658059E-05   0.00000000E+00  
  4                1.21305260E-04   4.18813588E+02   8.38153144E-01   1.60444294E-01   2.12191012E-23   7.77908634E-04   2.06756931E-13   5.31280617E-04   5.97574120E-05   0.00000000E+00  
  5                1.70050953E-04   4.35212534E+02   8.38151549E-01   1.60444234E-01   1.91212035E-22   7.79750233E-04   1.04355972E-12   5.31280418E-04   5.99437737E-05   0.00000000E+00  
  6                2.26559091E-04   4.42661934E+02   8.38151475E-01   1.60444252E-01   4.58399222E-22   7.79750322E-04   1.57797364E-12   5.31280476E-04   5.98879044E-05   0.00000000E+00  
  7                2.92328308E-04   4.54395465E+02   8.38151583E-01   1.60444226E-01   1.87467123E-21   7.79750194E-04   4.21433396E-12   5.31280387E-04   5.99693034E-05   0.00000000E+00  
  8                3.68999052E-04   4.59602807E+02   8.38151479E-01   1.60444251E-01   3.21758925E-21   7.79750317E-04   5.00996257E-12   5.31280469E-04   5.98908089E-05   0.00000000E+00  
  9                4.58469598E-04   4.69962655E+02   8.38151561E-01   1.60444231E-01   1.02111762E-20   7.79750218E-04   1.11078167E-11   5.31280396E-04   5.99528160E-05   0.00000000E+00  
  10               5.62939522E-04   4.74295299E+02   8.38151449E-01   1.60444258E-01   1.53782571E-20   7.79750351E-04   1.21385174E-11   5.31280484E-04   5.98687637E-05   0.00000000E+00  
