# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                CO               H2S             
  1                1.00000000E-05   1.07481009E+02   8.38825184E-01   1.60607680E-01   2.56431293E-15   5.31821642E-04   8.02621499E-06   2.37123340E-101  2.23336037E-95   2.30032777E-05  
  2                4.65562699E-05   9.97419598E+01   8.38825184E-01   1.60607680E-01   2.56421651E-15   5.31821642E-04   8.02621499E-06   1.46722442E-109  7.47153178E-104  2.30032777E-05  
  3                9.18588279E-05   1.07003957E+02   8.38825184E-01   1.60607680E-01   2.56406809E-15   5.31821642E-04   8.02621499E-06   2.65504834E-102  9.92628463E-98   2.30032777E-05  
  4                1.47720740E-04   1.02273793E+02   8.38809619E-01   1.60604700E-01   2.58545699E-15   5.31811773E-04   8.04650392E-06   2.69622974E-107  1.42241938E-102  2.30028508E-05  
  5                2.03604634E-04   1.08934394E+02   8.38809619E-01   1.60604700E-01   2.20281438E-14   5.31811773E-04   2.65817003E-05   1.33407479E-100  8.71465254E-96   2.30028508E-05  
  6                2.54517916E-04   1.07240229E+02   8.38729731E-01   1.60589404E-01   2.31998768E-14   5.31761124E-04   2.66678871E-05   2.72711014E-102  1.90354613E-97   2.30006600E-05  
  7                2.93922060E-04   1.15889296E+02   8.38729731E-01   1.60589404E-01   1.28214529E-12   5.31761124E-04   1.21819254E-04   1.90641837E-94   1.12348049E-88   2.30006600E-05  
  8                3.21534856E-04   1.16009222E+02   8.38729731E-01   1.60589404E-01   1.31177668E-12   5.31761124E-04   1.21819254E-04   2.29978226E-94   1.18658287E-88   2.30006600E-05  
  9                3.55527864E-04   1.24513676E+02   8.38729731E-01   1.60589404E-01   3.30917356E-11   5.31761124E-04   1.21819254E-04   1.01136794E-87   2.84947194E-81   2.30006600E-05  
  10               3.97395467E-04   1.24200978E+02   8.38729731E-01   1.60589404E-01   3.34074833E-11   5.31761123E-04   1.21819254E-04   5.64672726E-88   1.42440154E-81   2.30006600E-05  
  11               4.49006529E-04   1.31865302E+02   8.38729731E-01   1.60589404E-01   3.72050175E-10   5.31761123E-04   1.21819254E-04   1.05797680E-82   8.42872321E-76   2.30006600E-05  
  12               5.12655189E-04   1.31381550E+02   8.38729728E-01   1.60589404E-01   3.75417745E-10   5.31761122E-04   1.21819254E-04   4.78032010E-83   3.35714003E-76   2.30006599E-05  
  13               5.91147981E-04   1.38904308E+02   8.38729716E-01   1.60589401E-01   4.00011526E-09   5.31761114E-04   1.21819252E-04   2.07777705E-78   4.93901445E-71   2.30006596E-05  
  14               6.87766599E-04   1.42164807E+02   8.38729716E-01   1.60589401E-01   1.78626470E-08   5.31761114E-04   1.21819252E-04   1.42974861E-76   8.36253696E-69   2.30006596E-05  
  15               8.07018074E-04   1.44885954E+02   8.38729661E-01   1.60589391E-01   1.79232949E-08   5.31761080E-04   1.21819244E-04   4.14340596E-75   1.42714703E-67   2.30006581E-05  
  16               9.54145774E-04   1.49012106E+02   8.38729661E-01   1.60589391E-01   8.29768395E-08   5.31761080E-04   1.21819244E-04   5.57991917E-73   4.54540351E-65   2.30006581E-05  
  17               1.13566008E-03   1.51644858E+02   8.38729469E-01   1.60589354E-01   8.31900824E-08   5.31760958E-04   1.21819216E-04   1.06953856E-71   5.21675030E-64   2.30006529E-05  
  18               1.35957236E-03   1.55697524E+02   8.38729469E-01   1.60589354E-01   3.12006848E-07   5.31760958E-04   1.21819216E-04   8.62140845E-70   8.30461316E-62   2.30006529E-05  
  19               1.63574621E-03   1.58281005E+02   8.38728957E-01   1.60589256E-01   3.12575565E-07   5.31760633E-04   1.21819142E-04   1.21268353E-68   7.08093627E-61   2.30006388E-05  
  20               1.97642568E-03   1.61936378E+02   8.38728957E-01   1.60589256E-01   9.23455292E-07   5.31760633E-04   1.21819142E-04   4.56485702E-67   4.37601661E-59   2.30006388E-05  
  21               2.39657402E-03   1.64530023E+02   8.38727370E-01   1.60588952E-01   9.25208785E-07   5.31759627E-04   1.21818912E-04   5.26358954E-66   3.08220645E-58   2.30005953E-05  
  22               2.91457680E-03   1.68037300E+02   8.38727370E-01   1.60588952E-01   2.81451596E-06   5.31759627E-04   1.21818912E-04   1.30994561E-64   1.33353176E-56   2.30005953E-05  
  23               3.55272050E-03   1.71482037E+02   8.38722685E-01   1.60588055E-01   2.81964879E-06   5.31756656E-04   1.21818231E-04   2.69125568E-63   1.59083339E-55   2.30004668E-05  
  24               4.33883399E-03   1.74756712E+02   8.38722685E-01   1.60588055E-01   8.40144840E-06   5.31756656E-04   1.21818231E-04   4.22576950E-62   4.40296122E-54   2.30004668E-05  
  25               5.30587323E-03   1.78968518E+02   8.38710533E-01   1.60585729E-01   8.41442789E-06   5.31748952E-04   1.21816466E-04   1.28750130E-60   7.54840432E-53   2.30001336E-05  
  26               6.49363166E-03   1.82371941E+02   8.38710533E-01   1.60585729E-01   2.28890168E-05   5.31748952E-04   1.21816466E-04   1.77357154E-59   1.69234188E-51   2.30001336E-05  
  27               7.95233328E-03   1.86631451E+02   8.38677372E-01   1.60579379E-01   2.29220070E-05   5.31727928E-04   1.21811650E-04   4.21445610E-58   2.31378522E-50   2.29992242E-05  
  28               9.73784306E-03   1.90332670E+02   8.38677372E-01   1.60579379E-01   6.24266173E-05   5.31727928E-04   1.21811650E-04   5.79593477E-57   5.20424497E-49   2.29992242E-05  
  29               1.19211330E-02   1.94980080E+02   8.38577725E-01   1.60560300E-01   6.25042632E-05   5.31664751E-04   1.21797177E-04   1.38162231E-55   7.17826347E-48   2.29964915E-05  
  30               1.45736410E-02   1.99009712E+02   8.38577725E-01   1.60560300E-01   1.81233876E-04   5.31664751E-04   1.21797177E-04   1.88601586E-54   1.71987582E-46   2.29964915E-05  
  31               1.77707600E-02   2.04480865E+02   8.38073954E-01   1.60463844E-01   1.81125521E-04   5.31345356E-04   1.21724008E-04   5.73483304E-53   3.00483729E-45   2.29826765E-05  
  32               2.15206103E-02   2.09025692E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724008E-04   8.40238776E-52   1.16843429E-43   2.29826765E-05  
  33               2.57307262E-02   2.17934419E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724008E-04   1.27811656E-49   9.47300253E-42   2.29826765E-05  
  34               3.08465727E-02   2.28024947E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724008E-04   2.36523115E-47   9.27113288E-40   2.29826765E-05  
  35               3.70768670E-02   2.37101739E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724008E-04   1.74461558E-45   3.86970468E-38   2.29826765E-05  
  36               4.46672011E-02   2.45996879E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724008E-04   8.60485429E-44   1.11353192E-36   2.29826765E-05  
  37               5.39148874E-02   2.54478828E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724008E-04   2.71883986E-42   2.11966653E-35   2.29826765E-05  
  38               6.51781910E-02   2.63474420E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724008E-04   8.29853539E-41   3.92053586E-34   2.29826765E-05  
  39               7.88931767E-02   2.72013826E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724007E-04   1.70984054E-39   5.03213617E-33   2.29826765E-05  
  40               9.55878778E-02   2.81480864E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724007E-04   3.96448457E-38   7.24700057E-32   2.29826765E-05  
  41               1.15901527E-01   2.90594436E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724005E-04   6.67538516E-37   7.75284360E-31   2.29826765E-05  
  42               1.40608441E-01   3.00956350E+02   8.38073954E-01   1.60463844E-01   7.81869352E-04   5.31345356E-04   1.21724001E-04   1.35342080E-35   9.93138424E-30   2.29826765E-05  
  43               1.70656600E-01   3.11012830E+02   8.38073954E-01   1.60463844E-01   7.81869351E-04   5.31345356E-04   1.21723992E-04   2.05565316E-34   9.72766601E-29   2.29826765E-05  
  44               2.07201815E-01   3.22678961E+02   8.38073954E-01   1.60463844E-01   7.81869177E-04   5.31345356E-04   1.21723970E-04   3.93636394E-33   1.19332523E-27   2.29826765E-05  
  45               2.51636761E-01   3.34283665E+02   8.38073953E-01   1.60463844E-01   7.81869176E-04   5.31345355E-04   1.21723921E-04   6.01063789E-32   1.18740716E-26   2.29826765E-05  
  46               3.05630731E-01   3.47820352E+02   8.38073954E-01   1.60463844E-01   7.81868243E-04   5.31345356E-04   1.21723791E-04   1.15861402E-30   1.48476511E-25   2.29826765E-05  
  47               3.71208549E-01   3.61594465E+02   8.38073923E-01   1.60463838E-01   7.81868213E-04   5.31345336E-04   1.21723494E-04   1.86517867E-29   1.57438218E-24   2.29826756E-05  
  48               4.50820945E-01   3.77859122E+02   8.38073958E-01   1.60463841E-01   7.81831009E-04   5.31345345E-04   1.21722664E-04   3.86088272E-28   2.14052653E-23   2.29826761E-05  
  49               5.47387222E-01   3.94845309E+02   8.38073959E-01   1.60463841E-01   7.81831008E-04   5.31345344E-04   1.21720637E-04   6.98414290E-27   2.58000820E-22   2.29826760E-05  
  50               6.64373458E-01   4.14709547E+02   8.38073963E-01   1.60463840E-01   7.81831010E-04   5.31345341E-04   1.21714690E-04   1.53989727E-25   3.80037765E-21   2.29826759E-05  
  51               8.05866515E-01   4.35797141E+02   8.38070919E-01   1.60463253E-01   7.81828530E-04   5.31343396E-04   1.21698848E-04   3.01219993E-24   5.04239921E-20   2.29825918E-05  
  52               9.76869601E-01   4.60373306E+02   8.38073868E-01   1.60463460E-01   7.78216383E-04   5.31344084E-04   1.21652622E-04   6.88267097E-23   7.83546719E-19   2.29826215E-05  
  53               1.18319240E+00   4.87073050E+02   8.38072039E-01   1.60463440E-01   7.80129712E-04   5.31344016E-04   1.21524615E-04   1.44084460E-21   1.14106601E-17   2.29826186E-05  
  54               1.43161053E+00   5.16229583E+02   8.38072267E-01   1.60463384E-01   7.80129446E-04   5.31343833E-04   1.21180101E-04   2.78690570E-20   1.55534483E-16   2.29826107E-05  
  55               1.73077571E+00   5.45840868E+02   8.38072775E-01   1.60463261E-01   7.80128855E-04   5.31343425E-04   1.20412399E-04   4.05797584E-19   1.62478359E-15   2.29825930E-05  
  56               2.09193208E+00   5.78270572E+02   8.38073933E-01   1.60462981E-01   7.80127518E-04   5.31342495E-04   1.18662651E-04   5.56793522E-18   1.61829634E-14   2.29825528E-05  
  57               2.52974548E+00   6.11458763E+02   8.38076080E-01   1.60462460E-01   7.80125066E-04   5.31340771E-04   1.15418606E-04   6.05468397E-17   1.29235081E-13   2.29824782E-05  
  58               3.06336518E+00   6.46323597E+02   8.38079659E-01   1.60461592E-01   7.80121058E-04   5.31337896E-04   1.10009836E-04   5.68065638E-16   8.97350172E-13   2.29823539E-05  
  59               3.71751083E+00   6.80826446E+02   8.38084265E-01   1.60460475E-01   7.80116105E-04   5.31334192E-04   1.03048092E-04   4.11490441E-15   4.83597636E-12   2.29821939E-05  
  60               4.52412671E+00   7.17969085E+02   8.38090129E-01   1.60459050E-01   7.80110281E-04   5.31329452E-04   9.41764796E-05   2.79700267E-14   2.45100861E-11   2.29819898E-05  
  61               5.52021518E+00   7.56536501E+02   8.38096362E-01   1.60457524E-01   7.80105141E-04   5.31324311E-04   8.47063796E-05   1.66707227E-13   1.09102470E-10   2.29817712E-05  
  62               6.74669321E+00   7.99869175E+02   8.38103169E-01   1.60455786E-01   7.80101551E-04   5.31318161E-04   7.41134652E-05   1.01100105E-12   4.95642858E-10   2.29815220E-05  
  63               8.24896391E+00   8.46182831E+02   8.38109614E-01   1.60454129E-01   7.80102189E-04   5.31311075E-04   6.40460732E-05   5.64543731E-12   2.08114150E-09   2.29812840E-05  
  64               1.00761399E+01   8.97500433E+02   8.38115948E-01   1.60452572E-01   7.80109891E-04   5.31299350E-04   5.44014801E-05   3.09022425E-11   8.61481799E-09   2.29842054E-05  
  65               1.22628665E+01   9.50052052E+02   8.38120882E-01   1.60451287E-01   7.80117585E-04   5.31272857E-04   4.66505529E-05   1.44986283E-10   3.07851058E-08   2.30179806E-05  
  66               1.48319583E+01   1.00435295E+03   8.38124337E-01   1.60450135E-01   7.80098349E-04   5.31201205E-04   4.03436645E-05   6.02833370E-10   9.84661405E-08   2.31761575E-05  
  67               1.78150449E+01   1.05642714E+03   8.38125927E-01   1.60449192E-01   7.79996582E-04   5.31037233E-04   3.59256026E-05   2.04423727E-09   2.59028140E-07   2.37366135E-05  
  68               2.12571911E+01   1.10756915E+03   8.38127434E-01   1.60448461E-01   7.79763239E-04   5.30695518E-04   3.26445823E-05   6.03352757E-09   5.97780270E-07   2.42838160E-05  
  69               2.52031708E+01   1.15482626E+03   8.38129392E-01   1.60447936E-01   7.79346973E-04   5.30127390E-04   3.05837738E-05   1.49233706E-08   1.16329390E-06   2.42835646E-05  
  70               2.97050111E+01   1.20108137E+03   8.38131423E-01   1.60447384E-01   7.78599786E-04   5.29210777E-04   2.90680783E-05   3.36490881E-08   2.07664191E-06   2.42831951E-05  
  71               3.48351653E+01   1.24432915E+03   8.38133441E-01   1.60446829E-01   7.77524657E-04   5.27964879E-04   2.82011358E-05   6.76243179E-08   3.31859513E-06   2.42826911E-05  
  72               4.06952563E+01   1.28797129E+03   8.38135992E-01   1.60446131E-01   7.75926032E-04   5.26183266E-04   2.75319109E-05   1.30157652E-07   5.09458606E-06   2.42819459E-05  
  73               4.73681403E+01   1.33007065E+03   8.38138867E-01   1.60445340E-01   7.73875129E-04   5.23952466E-04   2.72078734E-05   2.33817706E-07   7.31801993E-06   2.42809357E-05  
  74               5.49172668E+01   1.37418616E+03   8.38142855E-01   1.60444249E-01   7.70934935E-04   5.20818371E-04   2.68603213E-05   4.16182747E-07   1.04409748E-05   2.42794278E-05  
  75               6.34064548E+01   1.41811044E+03   8.38147660E-01   1.60442922E-01   7.67211650E-04   5.16901343E-04   2.66691043E-05   7.11466127E-07   1.43426022E-05   2.42773227E-05  
  76               7.29966927E+01   1.46532152E+03   8.38154358E-01   1.60441053E-01   7.61936113E-04   5.11408570E-04   2.63831863E-05   1.22466566E-06   1.98115395E-05   2.42740032E-05  
  77               8.38410631E+01   1.51314684E+03   8.38162258E-01   1.60438769E-01   7.55431414E-04   5.04660599E-04   2.62247741E-05   2.04716925E-06   2.65259943E-05   2.42688174E-05  
  78               9.60283279E+01   1.56487398E+03   8.38172633E-01   1.60435600E-01   7.46593175E-04   4.95454667E-04   2.59622129E-05   3.45454934E-06   3.56802487E-05   2.42588206E-05  
  79               1.09569033E+02   1.61750141E+03   8.38183793E-01   1.60431656E-01   7.36065159E-04   4.84398568E-04   2.57788828E-05   5.67973241E-06   4.66633087E-05   2.42376015E-05  
  80               1.24389059E+02   1.67438696E+03   8.38182095E-01   1.60423434E-01   7.22697973E-04   4.69719375E-04   2.54534205E-05   9.42138926E-06   6.12221882E-05   2.41801933E-05  
  81               1.40420988E+02   1.72857609E+03   8.38178851E-01   1.60417565E-01   7.26753169E-04   4.53076543E-04   2.53513724E-05   1.47400851E-05   7.77249654E-05   2.33149118E-05  
  82               1.57751670E+02   1.78331131E+03   8.38192001E-01   1.60411425E-01   7.10808107E-04   4.36422070E-04   2.52912902E-05   2.25297893E-05   9.41971208E-05   2.33049803E-05  
  83               1.76478782E+02   1.83611857E+03   8.38199318E-01   1.60404967E-01   6.96514090E-04   4.20180766E-04   2.53855731E-05   3.30284965E-05   1.10216534E-04   2.32745566E-05  
  84               1.96558078E+02   1.88897120E+03   8.38194224E-01   1.60396846E-01   6.85362215E-04   4.03111053E-04   2.55181409E-05   4.73852389E-05   1.27007550E-04   2.31906094E-05  
  85               2.17621973E+02   1.93913777E+03   8.38168901E-01   1.60387111E-01   6.83221418E-04   3.86186171E-04   2.57530266E-05   6.54015853E-05   1.43611763E-04   2.30032210E-05  
  86               2.38992838E+02   1.98681761E+03   8.38112553E-01   1.60374143E-01   6.94911805E-04   3.67930835E-04   2.60076321E-05   8.74562997E-05   1.61507382E-04   2.26641637E-05  
  87               2.62639936E+02   2.03517925E+03   8.38033088E-01   1.60359980E-01   7.23907275E-04   3.47170302E-04   2.63468099E-05   1.15621082E-04   1.81866149E-04   2.21795817E-05  
  88               2.86541436E+02   2.08099873E+03   8.38018512E-01   1.60353493E-01   7.11735907E-04   3.34551631E-04   2.67031625E-05   1.48744162E-04   1.94043538E-04   2.21579497E-05  
  89               3.09811105E+02   2.12231743E+03   8.37998532E-01   1.60347440E-01   7.01661369E-04   3.24022525E-04   2.70822440E-05   1.84722287E-04   2.04121029E-04   2.21355087E-05  
  90               3.36497174E+02   2.16715008E+03   8.37959223E-01   1.60338596E-01   6.91363297E-04   3.13171523E-04   2.75144859E-05   2.31384272E-04   2.14412697E-04   2.21067914E-05  
  91               3.61311565E+02   2.20576809E+03   8.37926120E-01   1.60332349E-01   6.83396875E-04   3.04665153E-04   2.79436633E-05   2.78539460E-04   2.22386588E-04   2.20799627E-05  
  92               3.83179782E+02   2.23848205E+03   8.37892348E-01   1.60326665E-01   6.76972897E-04   2.97733415E-04   2.83112365E-05   3.24263740E-04   2.28823387E-04   2.20545627E-05  
  93               4.08739748E+02   2.27434819E+03   8.37848481E-01   1.60320147E-01   6.70650654E-04   2.90776667E-04   2.87595857E-05   3.80779743E-04   2.35189017E-04   2.20251294E-05  
  94               4.38495830E+02   2.31421994E+03   8.37757584E-01   1.60305943E-01   6.64012637E-04   2.83442131E-04   2.92692676E-05   4.52429295E-04   2.41782042E-04   2.19881841E-05  
  95               4.62658968E+02   2.34459830E+03   8.37700756E-01   1.60299448E-01   6.63928713E-04   2.77512447E-04   2.96951214E-05   5.13535932E-04   2.47134146E-04   2.19694933E-05  
  96               4.81366246E+02   2.36750323E+03   8.37658578E-01   1.60294412E-01   6.60772975E-04   2.73775438E-04   3.00158067E-05   5.63781215E-04   2.50395802E-04   2.19464028E-05  
  97               5.03777171E+02   2.39365279E+03   8.37605954E-01   1.60288436E-01   6.57532950E-04   2.69844741E-04   3.04087850E-05   6.25468386E-04   2.53752980E-04   2.19193317E-05  
  98               5.30538585E+02   2.42394631E+03   8.37538812E-01   1.60281054E-01   6.53969555E-04   2.65443893E-04   3.08658457E-05   7.03384948E-04   2.57447466E-04   2.18860157E-05  
  99               5.62375955E+02   2.45801110E+03   8.37454992E-01   1.60272258E-01   6.50474429E-04   2.60956788E-04   3.14157176E-05   7.99293137E-04   2.61083392E-04   2.18471050E-05  
  100              6.00107742E+02   2.49664983E+03   8.37348643E-01   1.60261451E-01   6.46868939E-04   2.56158157E-04   3.20510842E-05   9.19826777E-04   2.64841526E-04   2.18001117E-05  
  101              6.44660253E+02   2.53933448E+03   8.37216562E-01   1.60248551E-01   6.43585523E-04   2.51465022E-04   3.28017218E-05   1.06782571E-03   2.68286510E-04   2.17458414E-05  
