# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   4.12116858E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.58272195E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  2                1.46646646E-03   4.99117972E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   3.36201268E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  3                3.15114992E-03   5.82019818E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.27430064E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  4                5.10723911E-03   6.02518508E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.05614234E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  5                7.37468732E-03   6.54158252E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.31035387E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  6                1.00012305E-02   6.68308669E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.00351160E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  7                1.30355986E-02   7.10994681E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.37188198E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  8                1.65305612E-02   7.24497468E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.60194395E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  9                2.05425138E-02   7.63570045E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.78051247E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  10               2.51450866E-02   7.78208935E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.56579455E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  11               3.04318015E-02   8.16402495E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.67723938E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  12               3.65212319E-02   8.34801863E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.77675271E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  13               4.35678594E-02   8.73371179E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.86974507E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  14               5.17531261E-02   8.96776483E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   2.96007081E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  15               6.12856497E-02   9.38168907E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   3.02234287E-18   1.00738951E-08   2.30019034E-05   0.00000000E+00   4.22443658E-06  
  16               7.24186581E-02   9.68617088E+01   8.38831896E-01   1.60608978E-01   5.31825940E-04   1.37617101E-18   1.00738951E-08   2.30019034E-05   1.30517066E-18   4.22443658E-06  
  17               8.54602169E-02   1.01413314E+02   8.38831872E-01   1.60608974E-01   5.31825924E-04   2.70685704E-18   1.01074928E-08   2.30019027E-05   2.21837480E-17   4.22443645E-06  
  18               1.00780419E-01   1.05670653E+02   8.38831717E-01   1.60608944E-01   5.31825826E-04   2.53495047E-17   3.95306328E-08   2.30018985E-05   3.99096972E-16   4.22443567E-06  
  19               1.18757024E-01   1.11499247E+02   8.38831075E-01   1.60608821E-01   5.31825419E-04   4.29508916E-16   2.24988340E-07   2.30018809E-05   4.40819805E-15   4.22443244E-06  
  20               1.39573695E-01   1.17088079E+02   8.38828398E-01   1.60608309E-01   5.31823722E-04   4.89103733E-15   9.92930999E-07   2.30018074E-05   4.66806608E-14   4.22441896E-06  
  21               1.62395738E-01   1.23053991E+02   8.38822064E-01   1.60607096E-01   5.31819706E-04   5.18329044E-14   4.18952983E-06   2.30016338E-05   2.31647617E-13   4.22438706E-06  
  22               1.84270277E-01   1.27799529E+02   8.38798015E-01   1.60602491E-01   5.31804459E-04   2.85543827E-13   1.17616470E-05   2.30009743E-05   1.92150706E-12   4.22426595E-06  
  23               2.00757908E-01   1.31557872E+02   8.38798015E-01   1.60602491E-01   5.31804459E-04   2.20705088E-12   4.04008156E-05   2.30009743E-05   0.00000000E+00   4.22426595E-06  
  24               2.14094417E-01   1.33986188E+02   8.38729719E-01   1.60589415E-01   5.31761159E-04   2.21084589E-12   4.04733789E-05   2.29991015E-05   4.26254726E-12   4.22392200E-06  
  25               2.24559496E-01   1.36286153E+02   8.38729719E-01   1.60589415E-01   5.31761159E-04   6.47339315E-12   1.21819262E-04   2.29991015E-05   0.00000000E+00   4.22392200E-06  
  26               2.32374111E-01   1.37491139E+02   8.38729719E-01   1.60589415E-01   5.31761159E-04   6.48490909E-12   1.21819262E-04   2.29991015E-05   1.23499027E-11   4.22392200E-06  
  27               2.41590793E-01   1.39463007E+02   8.38729719E-01   1.60589415E-01   5.31761159E-04   1.88348118E-11   1.21819262E-04   2.29991015E-05   0.00000000E+00   4.22392200E-06  
  28               2.52456965E-01   1.41161376E+02   8.38729719E-01   1.60589415E-01   5.31761158E-04   1.88838826E-11   1.21819262E-04   2.29991015E-05   5.26244608E-11   4.22392200E-06  
  29               2.65262813E-01   1.43696076E+02   8.38729719E-01   1.60589415E-01   5.31761158E-04   7.15083434E-11   1.21819262E-04   2.29991015E-05   0.00000000E+00   4.22392200E-06  
  30               2.80348618E-01   1.46031211E+02   8.38729719E-01   1.60589415E-01   5.31761158E-04   7.17695782E-11   1.21819262E-04   2.29991015E-05   2.80153085E-10   4.22392200E-06  
  31               2.98113439E-01   1.49242978E+02   8.38729719E-01   1.60589415E-01   5.31761158E-04   3.51922663E-10   1.21819262E-04   2.29991015E-05   0.00000000E+00   4.22392200E-06  
  32               3.19025298E-01   1.52316083E+02   8.38729717E-01   1.60589414E-01   5.31761157E-04   3.53620406E-10   1.21819262E-04   2.29991015E-05   1.82069573E-09   4.22392199E-06  
  33               3.43633221E-01   1.56321231E+02   8.38729717E-01   1.60589414E-01   5.31761157E-04   2.17431614E-09   1.21819262E-04   2.29991015E-05   0.00000000E+00   4.22392199E-06  
  34               3.72581793E-01   1.60215307E+02   8.38729705E-01   1.60589412E-01   5.31761150E-04   2.18734552E-09   1.21819260E-04   2.29991012E-05   1.39732702E-08   4.22392193E-06  
  35               4.06629218E-01   1.65137812E+02   8.38729705E-01   1.60589412E-01   5.31761150E-04   1.61606157E-08   1.21819260E-04   2.29991012E-05   0.00000000E+00   4.22392193E-06  
  36               4.46664296E-01   1.69954494E+02   8.38729606E-01   1.60589393E-01   5.31761087E-04   1.62708275E-08   1.21819246E-04   2.29990984E-05   1.18215428E-07   4.22392143E-06  
  37               4.93729410E-01   1.75905134E+02   8.38729606E-01   1.60589393E-01   5.31761087E-04   1.34486255E-07   1.21819246E-04   2.29990984E-05   0.00000000E+00   4.22392143E-06  
  38               5.49051099E-01   1.81645853E+02   8.38729394E-01   1.60589353E-01   5.31760952E-04   1.34722026E-07   1.21819215E-04   2.29990926E-05   2.53006418E-07   4.22392036E-06  
  39               6.14075227E-01   1.88171382E+02   8.38728707E-01   1.60589221E-01   5.31760517E-04   3.88490013E-07   1.21819115E-04   2.29990738E-05   8.18322463E-07   4.22391690E-06  
  40               6.90415819E-01   1.95684542E+02   8.38726789E-01   1.60588854E-01   5.31759301E-04   1.20893069E-06   1.21818837E-04   2.29990212E-05   2.28477294E-06   4.22390724E-06  
  41               7.79797013E-01   2.03360938E+02   8.38720818E-01   1.60587710E-01   5.31755515E-04   3.50022102E-06   1.21817970E-04   2.29988575E-05   7.11249764E-06   4.22387717E-06  
  42               8.84180070E-01   2.12036090E+02   8.38704899E-01   1.60584663E-01   5.31745422E-04   1.06295312E-05   1.21815657E-04   2.29984209E-05   1.89632088E-05   4.22379700E-06  
  43               1.00570861E+00   2.20846984E+02   8.38549204E-01   1.60554852E-01   5.31646711E-04   2.97126568E-05   1.21793044E-04   2.29941516E-05   1.85511558E-04   4.22301291E-06  
  44               1.14565778E+00   2.30534987E+02   8.38549204E-01   1.60554852E-01   5.31646711E-04   2.15224215E-04   1.21793044E-04   2.29941516E-05   0.00000000E+00   4.22301291E-06  
  45               1.30455002E+00   2.40164484E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   2.15102709E-04   1.21724008E-04   2.29811177E-05   5.66833639E-04   4.22061916E-06  
  46               1.48295998E+00   2.50384124E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81936348E-04   1.21724008E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  47               1.67672103E+00   2.60189219E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81936348E-04   1.21724008E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  48               1.90303480E+00   2.70960782E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81936348E-04   1.21724008E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  49               2.16713718E+00   2.82126201E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81936348E-04   1.21724008E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  50               2.47476296E+00   2.94187957E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81936348E-04   1.21724008E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  51               2.83252250E+00   3.06692278E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81936348E-04   1.21724008E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  52               3.24778700E+00   3.20027493E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81936301E-04   1.21724007E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  53               3.72877505E+00   3.33846724E+02   8.38073885E-01   1.60463844E-01   5.31345355E-04   7.81936300E-04   1.21724007E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  54               4.28547829E+00   3.48460435E+02   8.38073886E-01   1.60463844E-01   5.31345355E-04   7.81935997E-04   1.21724006E-04   2.29811177E-05   0.00000000E+00   4.22061916E-06  
  55               4.92930647E+00   3.63612599E+02   8.38073854E-01   1.60463838E-01   5.31345335E-04   7.81935967E-04   1.21723999E-04   2.29811168E-05   0.00000000E+00   4.22061900E-06  
  56               5.67265975E+00   3.79543921E+02   8.38073889E-01   1.60463841E-01   5.31345345E-04   7.81898232E-04   1.21723996E-04   2.29811173E-05   0.00000000E+00   4.22061908E-06  
