# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  34               1.93871015E-02   2.77431812E+02   8.38074166E-01   1.60463844E-01   7.81657359E-04   5.31345356E-04   4.89521208E-31   2.26255078E-38   1.21723991E-04   8.16529137E-12  
  35               2.25857600E-02   2.86754219E+02   8.38074166E-01   1.60463844E-01   7.81657359E-04   5.31345356E-04   6.52486086E-30   4.51888698E-37   1.21723964E-04   2.17238002E-11  
  36               2.63211516E-02   2.94522059E+02   8.38074166E-01   1.60463844E-01   7.81657359E-04   5.31345356E-04   4.68323088E-29   4.66433348E-36   1.21723920E-04   4.40072027E-11  
  37               3.06816166E-02   3.04751784E+02   8.38074166E-01   1.60463844E-01   7.81657359E-04   5.31345356E-04   5.82558771E-28   8.57502548E-35   1.21723779E-04   1.14135653E-10  
  38               3.57692299E-02   3.13513323E+02   8.38074166E-01   1.60463844E-01   7.81657155E-04   5.31345355E-04   4.18988346E-27   8.79751824E-34   1.21723543E-04   2.32451707E-10  
  39               4.17020562E-02   3.24909913E+02   8.38074166E-01   1.60463844E-01   7.81657153E-04   5.31345355E-04   5.00752609E-26   1.53347617E-32   1.21722816E-04   5.95783115E-10  
  40               4.86150823E-02   3.35180070E+02   8.38074167E-01   1.60463844E-01   7.81656166E-04   5.31345354E-04   3.88472369E-25   1.68698065E-31   1.21721483E-04   1.26203754E-09  
  41               5.66630858E-02   3.48499317E+02   8.38074104E-01   1.60463830E-01   7.81656101E-04   5.31345310E-04   4.96971893E-24   3.11713245E-30   1.21717279E-04   3.35909724E-09  
  42               6.60250143E-02   3.61040369E+02   8.38074182E-01   1.60463835E-01   7.81576497E-04   5.31345326E-04   4.47112849E-23   3.95605326E-29   1.21708684E-04   7.65865507E-09  
  43               7.69078932E-02   3.77019971E+02   8.38074201E-01   1.60463831E-01   7.81576475E-04   5.31345311E-04   6.33730505E-22   8.00724408E-28   1.21680932E-04   2.15327073E-08  
  44               8.95412525E-02   3.93793163E+02   8.38074249E-01   1.60463819E-01   7.81576418E-04   5.31345273E-04   8.12131757E-21   1.44541099E-26   1.21607796E-04   5.80964178E-08  
  45               1.04195048E-01   4.13003349E+02   8.38074394E-01   1.60463784E-01   7.81576279E-04   5.31345156E-04   1.19914773E-19   2.99210981E-25   1.21388489E-04   1.67736275E-07  
  46               1.21196211E-01   4.31230736E+02   8.38071686E-01   1.60463129E-01   7.81574150E-04   5.31342987E-04   1.19913061E-18   4.09773492E-24   1.20912105E-04   4.05679809E-07  
  47               1.40977966E-01   4.52197573E+02   8.38075388E-01   1.60463138E-01   7.78021281E-04   5.31343018E-04   1.37545269E-17   6.44077231E-23   1.19647083E-04   1.03819452E-06  
  48               1.64092740E-01   4.72231651E+02   8.38075077E-01   1.60462755E-01   7.79914406E-04   5.31341747E-04   1.12814613E-16   7.06555372E-22   1.17254745E-04   2.23421813E-06  
  49               1.91351386E-01   4.95540277E+02   8.38078618E-01   1.60461896E-01   7.79910236E-04   5.31338905E-04   1.07712470E-15   9.03326103E-21   1.11904527E-04   4.90900151E-06  
  50               2.23959049E-01   5.18331721E+02   8.38083979E-01   1.60460597E-01   7.79903925E-04   5.31334602E-04   7.78570960E-15   8.66879175E-20   1.03804711E-04   8.95841635E-06  
  51               2.63853482E-01   5.45567816E+02   8.38092899E-01   1.60458434E-01   7.79893435E-04   5.31327441E-04   6.82374587E-14   1.01447304E-18   9.03270632E-05   1.56964202E-05  
  52               3.13629945E-01   5.73279052E+02   8.38102592E-01   1.60456084E-01   7.79882066E-04   5.31319659E-04   4.85673593E-13   9.66011809E-18   7.56806503E-05   2.30187354E-05  
  53               3.76586125E-01   6.06797425E+02   8.38113821E-01   1.60453362E-01   7.79869008E-04   5.31310641E-04   4.19202762E-12   1.12565420E-16   5.87139997E-05   3.15010282E-05  
  54               4.55838402E-01   6.41028684E+02   8.38122701E-01   1.60451208E-01   7.79858982E-04   5.31303484E-04   2.89210670E-11   1.04994992E-15   4.52934412E-05   3.82104906E-05  
  55               5.54069327E-01   6.80901143E+02   8.38130580E-01   1.60449294E-01   7.79850869E-04   5.31296953E-04   2.18505784E-10   1.07045968E-14   3.33742263E-05   4.41693719E-05  
  56               6.72928919E-01   7.19900884E+02   8.38135690E-01   1.60448028E-01   7.79846845E-04   5.31291748E-04   1.22287391E-09   8.00845396E-14   2.55602818E-05   4.80758641E-05  
  57               8.13100491E-01   7.63149637E+02   8.38139638E-01   1.60446981E-01   7.79843749E-04   5.31282648E-04   6.82357377E-09   5.88828300E-13   1.92886742E-05   5.12112706E-05  
  58               9.75131951E-01   8.03632337E+02   8.38142040E-01   1.60446318E-01   7.79833346E-04   5.31259457E-04   2.77396806E-08   3.10726309E-12   1.54145775E-05   5.31480672E-05  
  59               1.16036206E+00   8.47819714E+02   8.38144201E-01   1.60445772E-01   7.79774385E-04   5.31173418E-04   1.11742359E-07   1.59951704E-11   1.22310375E-05   5.47396297E-05  
  60               1.37010528E+00   8.88407304E+02   8.38145630E-01   1.60445355E-01   7.79583144E-04   5.30941283E-04   3.42007466E-07   6.18383001E-11   1.02560575E-05   5.57269588E-05  
  61               1.60568548E+00   9.32726448E+02   8.38147122E-01   1.60444765E-01   7.78936244E-04   5.30226213E-04   1.05392520E-06   2.37788840E-10   8.53055550E-06   5.65894768E-05  
  62               1.86915123E+00   9.72958249E+02   8.38148432E-01   1.60443912E-01   7.77496912E-04   5.28703351E-04   2.57189143E-06   7.19725413E-10   7.45072293E-06   5.71290464E-05  
  63               2.16418484E+00   1.01752150E+03   8.38152663E-01   1.60442373E-01   7.73759094E-04   5.24834746E-04   6.43100870E-06   2.22726203E-09   6.43355336E-06   5.76369801E-05  
  64               2.49537861E+00   1.05805078E+03   8.38161854E-01   1.60440088E-01   7.67173661E-04   5.18074400E-04   1.31773754E-05   5.67873610E-09   5.79347024E-06   5.79560143E-05  
  65               2.86931883E+00   1.10387213E+03   8.38181248E-01   1.60435307E-01   7.52889521E-04   5.03549883E-04   2.76743925E-05   1.51445255E-08   5.14397461E-06   5.82785981E-05  
  66               3.29491774E+00   1.14598490E+03   8.38208849E-01   1.60428528E-01   7.32268158E-04   4.82680386E-04   4.85075309E-05   3.45028690E-08   4.73742717E-06   5.84786770E-05  
  67               3.78711108E+00   1.19498179E+03   8.38257791E-01   1.60416539E-01   6.95516054E-04   4.45604284E-04   8.55234688E-05   8.40807089E-08   4.29318468E-06   5.86948977E-05  
  68               4.36492318E+00   1.23693294E+03   8.38305574E-01   1.60404833E-01   6.59474369E-04   4.09286550E-04   1.21786170E-04   1.67904110E-07   4.09366897E-06   5.87883776E-05  
  69               5.04937316E+00   1.27958952E+03   8.38357755E-01   1.60392037E-01   6.20017764E-04   3.69557241E-04   1.61457550E-04   3.22285645E-07   3.95348032E-06   5.88509014E-05  
  70               5.86017318E+00   1.31861504E+03   8.38401135E-01   1.60381365E-01   5.87085200E-04   3.36400866E-04   1.94565938E-04   5.57604061E-07   3.92754097E-06   5.88565114E-05  
  71               6.81668435E+00   1.36041823E+03   8.38446691E-01   1.60370105E-01   5.52368018E-04   3.01460059E-04   2.29454863E-04   9.68720053E-07   3.90550798E-06   5.88586044E-05  
