# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               Mg              
  1                1.00000000E-05   4.91489004E+02   8.38153173E-01   1.60443813E-01   8.06001975E-19   7.79562270E-04   5.30983066E-04   2.56495432E-07   6.08430331E-05   0.00000000E+00  
  2                1.74072690E-05   5.28414673E+02   8.38157779E-01   1.60442749E-01   2.59731533E-17   7.76075964E-04   5.27714070E-04   3.30499273E-06   6.08455845E-05   0.00000000E+00  
  3                2.64110122E-05   5.31777954E+02   8.38155715E-01   1.60443222E-01   2.89181501E-17   7.77639375E-04   5.29164905E-04   1.96765568E-06   6.08423030E-05   0.00000000E+00  
  4                3.75692885E-05   5.46614206E+02   8.38158085E-01   1.60442662E-01   9.32726391E-17   7.75835427E-04   5.27425634E-04   3.64029222E-06   6.08415750E-05   0.00000000E+00  
  5                5.14318566E-05   5.46770463E+02   8.38155627E-01   1.60443234E-01   8.08255570E-17   7.77688757E-04   5.29182988E-04   1.98028030E-06   6.08372730E-05   0.00000000E+00  
  6                6.86763660E-05   5.60119948E+02   8.38157671E-01   1.60442750E-01   2.21132035E-16   7.76137307E-04   5.27677746E-04   3.43732950E-06   6.08366897E-05   0.00000000E+00  
  7                9.01300805E-05   5.60254595E+02   8.38155616E-01   1.60443231E-01   1.95227745E-16   7.77680317E-04   5.29154632E-04   2.02782847E-06   6.08315245E-05   0.00000000E+00  
  8                1.16830821E-04   5.73252585E+02   8.38157597E-01   1.60442760E-01   4.99462175E-16   7.76179265E-04   5.27691098E-04   3.45162058E-06   6.08310784E-05   0.00000000E+00  
  9                1.50046740E-04   5.73902131E+02   8.38155801E-01   1.60443179E-01   4.64325725E-16   7.77516676E-04   5.28979947E-04   2.21248601E-06   6.08250748E-05   0.00000000E+00  
  10               1.91373389E-04   5.86890759E+02   8.38157866E-01   1.60442687E-01   1.13913786E-15   7.75954147E-04   5.27449789E-04   3.70764154E-06   6.08247039E-05   0.00000000E+00  
  11               2.42757215E-04   5.88179184E+02   8.38156209E-01   1.60443077E-01   1.11628711E-15   7.77189097E-04   5.28646456E-04   2.55033937E-06   6.08178375E-05   0.00000000E+00  
  12               3.06651850E-04   6.01230763E+02   8.38158441E-01   1.60442542E-01   2.63506006E-15   7.75500365E-04   5.26986236E-04   4.17884838E-06   6.08174182E-05   0.00000000E+00  
  13               3.86045311E-04   6.03142939E+02   8.38156793E-01   1.60442919E-01   2.69991192E-15   7.76705106E-04   5.28158999E-04   3.03908531E-06   6.08095865E-05   0.00000000E+00  
  14               4.84703762E-04   6.16309509E+02   8.38159264E-01   1.60442326E-01   6.14867264E-15   7.74835136E-04   5.26314378E-04   4.85440473E-06   6.08089961E-05   0.00000000E+00  
  15               6.07205116E-04   6.18853132E+02   8.38157623E-01   1.60442708E-01   6.55347496E-15   7.76046305E-04   5.27497850E-04   3.69958842E-06   6.08000894E-05   0.00000000E+00  
  16               7.59355122E-04   6.32157717E+02   8.38160394E-01   1.60442042E-01   1.44119759E-14   7.73949603E-04   5.25423565E-04   5.74653545E-06   6.07991812E-05   0.00000000E+00  
  17               9.48245517E-04   6.35298063E+02   8.38158585E-01   1.60442417E-01   1.58621451E-14   7.75201145E-04   5.26650376E-04   4.54528762E-06   6.07889992E-05   0.00000000E+00  
  18               1.18282942E-03   6.48766256E+02   8.38161701E-01   1.60441665E-01   3.37319353E-14   7.72842672E-04   5.24311328E-04   6.85876599E-06   6.07876034E-05   0.00000000E+00  
  19               1.47402823E-03   6.52360645E+02   8.38159822E-01   1.60442088E-01   3.78365160E-14   7.74199056E-04   5.25644650E-04   5.54931299E-06   6.07757824E-05   0.00000000E+00  
  20               1.83560629E-03   6.65922467E+02   8.38163234E-01   1.60441264E-01   7.75090216E-14   7.71616244E-04   5.23077557E-04   8.09314707E-06   6.07736073E-05   0.00000000E+00  
  21               2.28437393E-03   6.69805377E+02   8.38161188E-01   1.60441755E-01   8.75009520E-14   7.73144623E-04   5.24583835E-04   6.60984452E-06   6.07595757E-05   0.00000000E+00  
  22               2.84145782E-03   6.83353595E+02   8.38164742E-01   1.60440895E-01   1.71891563E-13   7.70453754E-04   5.21904112E-04   9.26944292E-06   6.07562058E-05   0.00000000E+00  
  23               3.53270230E-03   6.87375579E+02   8.38162231E-01   1.60441424E-01   1.93433051E-13   7.72201001E-04   5.23630165E-04   7.56558606E-06   6.07391502E-05   0.00000000E+00  
  24               4.39045194E-03   7.00891055E+02   8.38165760E-01   1.60440569E-01   3.65024351E-13   7.69526202E-04   5.20961648E-04   1.02174003E-05   6.07341553E-05   0.00000000E+00  
  25               5.45437510E-03   7.04928449E+02   8.38163104E-01   1.60441208E-01   4.06732566E-13   7.71509418E-04   5.22924750E-04   8.27582975E-06   6.07130373E-05   0.00000000E+00  
  26               6.77386860E-03   7.18378941E+02   8.38166421E-01   1.60440402E-01   7.38272672E-13   7.68992489E-04   5.20409263E-04   1.07781394E-05   6.07058132E-05   0.00000000E+00  
  27               8.40968300E-03   7.22425356E+02   8.38163535E-01   1.60441098E-01   8.14853203E-13   7.71145556E-04   5.22544029E-04   8.66350217E-06   6.06793853E-05   0.00000000E+00  
  28               1.04370678E-02   7.35909615E+02   8.38166577E-01   1.60440358E-01   1.43378715E-12   7.68836223E-04   5.20231801E-04   1.09654559E-05   6.06693719E-05   0.00000000E+00  
  29               1.29487075E-02   7.39989484E+02   8.38163567E-01   1.60441084E-01   1.57044516E-12   7.71075518E-04   5.22455086E-04   8.76042210E-06   6.06361301E-05   0.00000000E+00  
  30               1.60587625E-02   7.53786886E+02   8.38166430E-01   1.60440386E-01   2.71949068E-12   7.68896332E-04   5.20269437E-04   1.09375541E-05   6.06230915E-05   0.00000000E+00  
  31               1.99078328E-02   7.58194558E+02   8.38163511E-01   1.60441089E-01   2.99762111E-12   7.71058829E-04   5.22418417E-04   8.80426561E-06   6.05820520E-05   0.00000000E+00  
  32               2.46700151E-02   7.72570208E+02   8.38166343E-01   1.60440397E-01   5.16798864E-12   7.68899053E-04   5.20248740E-04   1.09663047E-05   6.05658686E-05   0.00000000E+00  
  33               3.05595839E-02   7.77683850E+02   8.38163676E-01   1.60441038E-01   5.82161220E-12   7.70860456E-04   5.22198546E-04   9.02942980E-06   6.05166026E-05   0.00000000E+00  
  34               3.78396184E-02   7.93170158E+02   8.38166824E-01   1.60440265E-01   1.01959350E-11   7.68454988E-04   5.19779224E-04   1.14407643E-05   6.04983298E-05   0.00000000E+00  
  35               4.68308274E-02   7.99486701E+02   8.38164542E-01   1.60440809E-01   1.19437585E-11   7.70111489E-04   5.21424667E-04   9.80554212E-06   6.04417432E-05   0.00000000E+00  
  36               5.79272675E-02   8.16504014E+02   8.38168396E-01   1.60439856E-01   2.14805521E-11   7.67157669E-04   5.18451544E-04   1.27694387E-05   6.04228088E-05   0.00000000E+00  
  37               7.16051693E-02   8.24669320E+02   8.38166718E-01   1.60440239E-01   2.66756674E-11   7.68331675E-04   5.19612680E-04   1.16156906E-05   6.03617758E-05   0.00000000E+00  
  38               8.84515900E-02   8.43870981E+02   8.38172072E-01   1.60438899E-01   5.00185974E-11   7.64198709E-04   5.15452090E-04   1.57642242E-05   6.03451780E-05   0.00000000E+00  
  39               1.09166240E-01   8.54479493E+02   8.38171326E-01   1.60439009E-01   6.66107504E-11   7.64592141E-04   5.15827121E-04   1.53934383E-05   6.02837967E-05   0.00000000E+00  
  40               1.34626408E-01   8.76440774E+02   8.38179489E-01   1.60436910E-01   1.30986937E-10   7.58174872E-04   5.09369501E-04   2.18339515E-05   6.02723759E-05   0.00000000E+00  
  41               1.65867013E-01   8.90066489E+02   8.38180603E-01   1.60436517E-01   1.87953190E-10   7.57084439E-04   5.08249091E-04   2.29544343E-05   6.02150375E-05   0.00000000E+00  
  42               2.04221278E-01   9.15136354E+02   8.38193415E-01   1.60432938E-01   3.84809732E-10   7.46516872E-04   4.97617643E-04   3.35604855E-05   6.02095331E-05   0.00000000E+00  
  43               2.51259370E-01   9.32210621E+02   8.38197304E-01   1.60431545E-01   5.91697079E-10   7.42530129E-04   4.93591948E-04   3.75800480E-05   6.01587641E-05   0.00000000E+00  
  44               3.09177175E-01   9.60894243E+02   8.38220985E-01   1.60425765E-01   1.25385524E-09   7.24651502E-04   4.75599863E-04   5.55356854E-05   6.01587969E-05   0.00000000E+00  
  45               3.80624048E-01   9.82023301E+02   8.38233424E-01   1.60422720E-01   2.05507503E-09   7.15223643E-04   4.66084168E-04   6.50368116E-05   6.01151688E-05   0.00000000E+00  
  46               4.69440795E-01   1.01493683E+03   8.38271904E-01   1.60413331E-01   4.47296605E-09   6.86171916E-04   4.36853749E-04   9.42172383E-05   6.01177707E-05   4.69990347E-16  
